"date","ID_0","NAME_0","t2m"
"2017-01-01",1,"Cyprus",7.36
"2017-01-02",1,"Cyprus",8.06
"2017-01-03",1,"Cyprus",7.96
"2017-01-04",1,"Cyprus",7.57
"2017-01-05",1,"Cyprus",8.93
"2017-01-06",1,"Cyprus",10.04
"2017-01-07",1,"Cyprus",10.39
"2017-01-08",1,"Cyprus",9.43
"2017-01-09",1,"Cyprus",7
"2017-01-10",1,"Cyprus",6.28
"2017-01-11",1,"Cyprus",8.46
"2017-01-12",1,"Cyprus",7.63
"2017-01-13",1,"Cyprus",10.81
"2017-01-14",1,"Cyprus",7.65
"2017-01-15",1,"Cyprus",9.46
"2017-01-16",1,"Cyprus",9.41
"2017-01-17",1,"Cyprus",8.23
"2017-01-18",1,"Cyprus",9.51
"2017-01-19",1,"Cyprus",9.67
"2017-01-20",1,"Cyprus",9.9
"2017-01-21",1,"Cyprus",9.43
"2017-01-22",1,"Cyprus",7.65
"2017-01-23",1,"Cyprus",7.07
"2017-01-24",1,"Cyprus",7.56
"2017-01-25",1,"Cyprus",11.87
"2017-01-26",1,"Cyprus",10.13
"2017-01-27",1,"Cyprus",9.55
"2017-01-28",1,"Cyprus",3.97
"2017-01-29",1,"Cyprus",2.84
"2017-01-30",1,"Cyprus",4
"2017-01-31",1,"Cyprus",6.3
"2017-02-01",1,"Cyprus",4.62
"2017-02-02",1,"Cyprus",5.31
"2017-02-03",1,"Cyprus",7.27
"2017-02-04",1,"Cyprus",7.08
"2017-02-05",1,"Cyprus",7.89
"2017-02-06",1,"Cyprus",10.21
"2017-02-07",1,"Cyprus",10.09
"2017-02-08",1,"Cyprus",12.4
"2017-02-09",1,"Cyprus",10.6
"2017-02-10",1,"Cyprus",9.85
"2017-02-11",1,"Cyprus",10.1
"2017-02-12",1,"Cyprus",11.38
"2017-02-13",1,"Cyprus",8.75
"2017-02-14",1,"Cyprus",7
"2017-02-15",1,"Cyprus",5.85
"2017-02-16",1,"Cyprus",7.17
"2017-02-17",1,"Cyprus",6.5
"2017-02-18",1,"Cyprus",5.33
"2017-02-19",1,"Cyprus",6.81
"2017-02-20",1,"Cyprus",6.98
"2017-02-21",1,"Cyprus",7.56
"2017-02-22",1,"Cyprus",9.01
"2017-02-23",1,"Cyprus",9.18
"2017-02-24",1,"Cyprus",10.54
"2017-02-25",1,"Cyprus",9.94
"2017-02-26",1,"Cyprus",9.67
"2017-02-27",1,"Cyprus",10.19
"2017-02-28",1,"Cyprus",12.43
"2017-03-01",1,"Cyprus",15.11
"2017-03-02",1,"Cyprus",12.04
"2017-03-03",1,"Cyprus",10.07
"2017-03-04",1,"Cyprus",9.48
"2017-03-05",1,"Cyprus",11.68
"2017-03-06",1,"Cyprus",10.05
"2017-03-07",1,"Cyprus",11.43
"2017-03-08",1,"Cyprus",10.81
"2017-03-09",1,"Cyprus",11.37
"2017-03-10",1,"Cyprus",15.47
"2017-03-11",1,"Cyprus",10.86
"2017-03-12",1,"Cyprus",12.85
"2017-03-13",1,"Cyprus",11.26
"2017-03-14",1,"Cyprus",11.82
"2017-03-15",1,"Cyprus",10.89
"2017-03-16",1,"Cyprus",9.82
"2017-03-17",1,"Cyprus",10.43
"2017-03-18",1,"Cyprus",10.1
"2017-03-19",1,"Cyprus",8.82
"2017-03-20",1,"Cyprus",11.75
"2017-03-21",1,"Cyprus",12.68
"2017-03-22",1,"Cyprus",11.99
"2017-03-23",1,"Cyprus",12.61
"2017-03-24",1,"Cyprus",11.4
"2017-03-25",1,"Cyprus",12.82
"2017-03-26",1,"Cyprus",11.93
"2017-03-27",1,"Cyprus",12.42
"2017-03-28",1,"Cyprus",11.98
"2017-03-29",1,"Cyprus",13.61
"2017-03-30",1,"Cyprus",14.04
"2017-03-31",1,"Cyprus",14.25
"2017-04-01",1,"Cyprus",11.65
"2017-04-02",1,"Cyprus",11.82
"2017-04-03",1,"Cyprus",13.54
"2017-04-04",1,"Cyprus",13.09
"2017-04-05",1,"Cyprus",14.94
"2017-04-06",1,"Cyprus",16.27
"2017-04-07",1,"Cyprus",14.97
"2017-04-08",1,"Cyprus",13.54
"2017-04-09",1,"Cyprus",12.75
"2017-04-10",1,"Cyprus",12.66
"2017-04-11",1,"Cyprus",12.65
"2017-04-12",1,"Cyprus",16.4
"2017-04-13",1,"Cyprus",15.8
"2017-04-14",1,"Cyprus",14.58
"2017-04-15",1,"Cyprus",13.27
"2017-04-16",1,"Cyprus",13.22
"2017-04-17",1,"Cyprus",12.97
"2017-04-18",1,"Cyprus",14.74
"2017-04-19",1,"Cyprus",14.06
"2017-04-20",1,"Cyprus",13.05
"2017-04-21",1,"Cyprus",14.59
"2017-04-22",1,"Cyprus",17.2
"2017-04-23",1,"Cyprus",15.97
"2017-04-24",1,"Cyprus",12.97
"2017-04-25",1,"Cyprus",12.32
"2017-04-26",1,"Cyprus",13.17
"2017-04-27",1,"Cyprus",14.82
"2017-04-28",1,"Cyprus",16.77
"2017-04-29",1,"Cyprus",18.34
"2017-04-30",1,"Cyprus",19.27
"2017-05-01",1,"Cyprus",18.71
"2017-05-02",1,"Cyprus",16.38
"2017-05-03",1,"Cyprus",15.85
"2017-05-04",1,"Cyprus",16.79
"2017-05-05",1,"Cyprus",17.45
"2017-05-06",1,"Cyprus",17.55
"2017-05-07",1,"Cyprus",16.64
"2017-05-08",1,"Cyprus",18.13
"2017-05-09",1,"Cyprus",17.91
"2017-05-10",1,"Cyprus",20.35
"2017-05-11",1,"Cyprus",17.7
"2017-05-12",1,"Cyprus",17.7
"2017-05-13",1,"Cyprus",19.93
"2017-05-14",1,"Cyprus",20.77
"2017-05-15",1,"Cyprus",21.4
"2017-05-16",1,"Cyprus",22.53
"2017-05-17",1,"Cyprus",19.61
"2017-05-18",1,"Cyprus",20.41
"2017-05-19",1,"Cyprus",18.46
"2017-05-20",1,"Cyprus",16.89
