"","date","ID_1","NAME_1","t2m"
"1","2010-01-01",1,"Famagusta",15.12
"2","2010-01-01",2,"Larnaca",12.61
"3","2010-01-01",3,"Limassol",12.37
"4","2010-01-01",4,"Nicosia",9.29
"5","2010-01-01",5,"Paphos",14.11
"6","2010-01-02",1,"Famagusta",18.07
"7","2010-01-02",2,"Larnaca",16.32
"8","2010-01-02",3,"Limassol",15.27
"9","2010-01-02",4,"Nicosia",13.48
"10","2010-01-02",5,"Paphos",16.39
"11","2010-01-03",1,"Famagusta",16.92
"12","2010-01-03",2,"Larnaca",15.01
"13","2010-01-03",3,"Limassol",13.6
"14","2010-01-03",4,"Nicosia",12.06
"15","2010-01-03",5,"Paphos",14.49
"16","2010-01-04",1,"Famagusta",16.52
"17","2010-01-04",2,"Larnaca",14.85
"18","2010-01-04",3,"Limassol",13.32
"19","2010-01-04",4,"Nicosia",11.96
"20","2010-01-04",5,"Paphos",14.17
"21","2010-01-05",1,"Famagusta",14.97
"22","2010-01-05",2,"Larnaca",12.45
"23","2010-01-05",3,"Limassol",10.86
"24","2010-01-05",4,"Nicosia",8.37
"25","2010-01-05",5,"Paphos",12.18
"26","2010-01-06",1,"Famagusta",15.73
"27","2010-01-06",2,"Larnaca",11.36
"28","2010-01-06",3,"Limassol",9.33
"29","2010-01-06",4,"Nicosia",6.36
"30","2010-01-06",5,"Paphos",10.58
"31","2010-01-07",1,"Famagusta",16.51
"32","2010-01-07",2,"Larnaca",12.48
"33","2010-01-07",3,"Limassol",10.62
"34","2010-01-07",4,"Nicosia",8.08
"35","2010-01-07",5,"Paphos",12.02
"36","2010-01-08",1,"Famagusta",16.73
"37","2010-01-08",2,"Larnaca",13.59
"38","2010-01-08",3,"Limassol",12.88
"39","2010-01-08",4,"Nicosia",10.29
"40","2010-01-08",5,"Paphos",14.05
"41","2010-01-09",1,"Famagusta",17.32
"42","2010-01-09",2,"Larnaca",13.25
"43","2010-01-09",3,"Limassol",13.1
"44","2010-01-09",4,"Nicosia",10.1
