"","date","ID_1","NAME_1","t2m"
"1","2019-01-01",1,"Ústecký",4.58
"2","2019-01-01",2,"Jihočeský",2.62
"3","2019-01-01",3,"Jihomoravský",-0.13
"4","2019-01-01",4,"Karlovarský",4.22
"5","2019-01-01",5,"Královéhradecký",1.6
"6","2019-01-01",6,"Kraj Vysočina",1.46
"7","2019-01-01",7,"Liberecký",3.06
"8","2019-01-01",8,"Moravskoslezský",-1.1
"9","2019-01-01",9,"Olomoucký",-1.32
"10","2019-01-01",10,"Pardubický",1.16
"11","2019-01-01",11,"Plzeňský",4.31
"12","2019-01-01",12,"Prague",4.45
"13","2019-01-01",13,"Středočeský",4.03
"14","2019-01-01",14,"Zlínský",-1.66
"15","2019-01-02",1,"Ústecký",0.92
"16","2019-01-02",2,"Jihočeský",0.91
"17","2019-01-02",3,"Jihomoravský",2.5
"18","2019-01-02",4,"Karlovarský",-0.57
"19","2019-01-02",5,"Královéhradecký",0.98
"20","2019-01-02",6,"Kraj Vysočina",0.53
"21","2019-01-02",7,"Liberecký",0.6
"22","2019-01-02",8,"Moravskoslezský",1.01
"23","2019-01-02",9,"Olomoucký",0.88
"24","2019-01-02",10,"Pardubický",0.79
"25","2019-01-02",11,"Plzeňský",0.63
"26","2019-01-02",12,"Prague",1.98
"27","2019-01-02",13,"Středočeský",1.68
"28","2019-01-02",14,"Zlínský",1.55
"29","2019-01-03",1,"Ústecký",-2.8
"30","2019-01-03",2,"Jihočeský",-4.21
"31","2019-01-03",3,"Jihomoravský",-2.61
"32","2019-01-03",4,"Karlovarský",-4.46
"33","2019-01-03",5,"Královéhradecký",-3.95
"34","2019-01-03",6,"Kraj Vysočina",-4.37
"35","2019-01-03",7,"Liberecký",-4.11
"36","2019-01-03",8,"Moravskoslezský",-3.57
"37","2019-01-03",9,"Olomoucký",-3.76
"38","2019-01-03",10,"Pardubický",-3.71
"39","2019-01-03",11,"Plzeňský",-3.5
"40","2019-01-03",12,"Prague",-2.27
"41","2019-01-03",13,"Středočeský",-2.64
"42","2019-01-03",14,"Zlínský",-3.02
"43","2019-01-04",1,"Ústecký",-3.65
"44","2019-01-04",2,"Jihočeský",-5.51
"45","2019-01-04",3,"Jihomoravský",-3.52
"46","2019-01-04",4,"Karlovarský",-3.24
"47","2019-01-04",5,"Královéhradecký",-5.4
"48","2019-01-04",6,"Kraj Vysočina",-5.71
"49","2019-01-04",7,"Liberecký",-6.08
"50","2019-01-04",8,"Moravskoslezský",-4.71
"51","2019-01-04",9,"Olomoucký",-4.47
"52","2019-01-04",10,"Pardubický",-4.92
"53","2019-01-04",11,"Plzeňský",-3.56
"54","2019-01-04",12,"Prague",-3.06
"55","2019-01-04",13,"Středočeský",-3.56
"56","2019-01-04",14,"Zlínský",-3.92
"57","2019-01-05",1,"Ústecký",1.76
"58","2019-01-05",2,"Jihočeský",-0.29
"59","2019-01-05",3,"Jihomoravský",0.32
"60","2019-01-05",4,"Karlovarský",0.48
"61","2019-01-05",5,"Královéhradecký",0.28
"62","2019-01-05",6,"Kraj Vysočina",-0.47
"63","2019-01-05",7,"Liberecký",0.61
"64","2019-01-05",8,"Moravskoslezský",-1.92
"65","2019-01-05",9,"Olomoucký",-1.18
"66","2019-01-05",10,"Pardubický",-0.24
"67","2019-01-05",11,"Plzeňský",0.25
"68","2019-01-05",12,"Prague",1.66
"69","2019-01-05",13,"Středočeský",1.3
"70","2019-01-05",14,"Zlínský",-1.92
"71","2019-01-06",1,"Ústecký",1.89
"72","2019-01-06",2,"Jihočeský",1.93
"73","2019-01-06",3,"Jihomoravský",1.85
"74","2019-01-06",4,"Karlovarský",2.02
"75","2019-01-06",5,"Královéhradecký",-0.04
"76","2019-01-06",6,"Kraj Vysočina",0.99
"77","2019-01-06",7,"Liberecký",-0.29
"78","2019-01-06",8,"Moravskoslezský",-0.21
"79","2019-01-06",9,"Olomoucký",0.1
"80","2019-01-06",10,"Pardubický",0.54
"81","2019-01-06",11,"Plzeňský",2.69
"82","2019-01-06",12,"Prague",2.68
"83","2019-01-06",13,"Středočeský",2.36
"84","2019-01-06",14,"Zlínský",0.79
"85","2019-01-07",1,"Ústecký",0.15
"86","2019-01-07",2,"Jihočeský",-1.03
"87","2019-01-07",3,"Jihomoravský",-1.15
"88","2019-01-07",4,"Karlovarský",0.36
"89","2019-01-07",5,"Královéhradecký",-1.13
"90","2019-01-07",6,"Kraj Vysočina",-2.6
"91","2019-01-07",7,"Liberecký",-0.82
"92","2019-01-07",8,"Moravskoslezský",-7.07
"93","2019-01-07",9,"Olomoucký",-3.89
"94","2019-01-07",10,"Pardubický",-1.79
"95","2019-01-07",11,"Plzeňský",0.61
"96","2019-01-07",12,"Prague",-0.5
"97","2019-01-07",13,"Středočeský",-0.41
"98","2019-01-07",14,"Zlínský",-6.54
"99","2019-01-08",1,"Ústecký",1.94
"100","2019-01-08",2,"Jihočeský",0.73
"101","2019-01-08",3,"Jihomoravský",-2.23
"102","2019-01-08",4,"Karlovarský",0.93
"103","2019-01-08",5,"Královéhradecký",0.29
"104","2019-01-08",6,"Kraj Vysočina",0.37
