"date","ID_2","GID_2","NAME_2","t2m"
"2023-01-01",1,"1","Ústí nad Labem",12.67
"2023-01-01",2,"2","Chomutov",11.87
"2023-01-01",3,"3","Děčín",12.87
"2023-01-01",4,"4","Litoměřice",13
"2023-01-01",5,"5","Louny",12.7
"2023-01-01",6,"6","Most",12.68
"2023-01-01",7,"7","Teplice",12.78
"2023-01-01",8,"8","České Budějovice",8.5
"2023-01-01",9,"9","Český Krumlov",9.23
"2023-01-01",10,"10","Jindřichův Hradec",8.37
"2023-01-01",11,"11","Písek",10.08
"2023-01-01",12,"12","Prachatice",9.58
"2023-01-01",13,"13","Strakonice",10.58
"2023-01-01",14,"14","Tábor",9.19
"2023-01-01",15,"15","Břeclav",4.6
"2023-01-01",16,"16","Blansko",5.04
"2023-01-01",17,"17","Brno-Venkov",4.31
"2023-01-01",18,"18","Brno",4.2
"2023-01-01",19,"19","Hodonín",3.83
"2023-01-01",20,"20","Vyškov",3.88
"2023-01-01",21,"21","Znojmo",3.85
"2023-01-01",22,"22","Cheb",10.3
"2023-01-01",23,"23","Karlovy Vary",10.82
"2023-01-01",24,"24","Sokolov",10.54
"2023-01-01",25,"25","Hradec Králové",10.37
"2023-01-01",26,"26","Jičín",10.92
"2023-01-01",27,"27","Náchod",9.28
"2023-01-01",28,"28","Rychnov nad Kněžnou",8.69
"2023-01-01",29,"29","Trutnov",8.54
"2023-01-01",30,"30","Žďár nad Sázavou",7.27
"2023-01-01",31,"31","Havlíčkův Brod",10.31
"2023-01-01",32,"32","Jihlava",8.3
"2023-01-01",33,"33","Pelhřimov",9.78
"2023-01-01",34,"34","Třebíč",5.97
"2023-01-01",35,"35","Česká Lípa",12.09
"2023-01-01",36,"36","Jablonec nad Nisou",10.48
"2023-01-01",37,"37","Liberec",11.73
"2023-01-01",38,"38","Semily",10.48
"2023-01-01",39,"39","Bruntál",7.05
"2023-01-01",40,"40","Frýdek-Místek",7.55
"2023-01-01",41,"41","Karviná",9.68
"2023-01-01",42,"42","Nový Jičín",7.47
"2023-01-01",43,"43","Opava",8.18
"2023-01-01",44,"44","Ostrava",8.81
"2023-01-01",45,"45","Šumperk",4.67
"2023-01-01",46,"46","Jeseník",9.02
"2023-01-01",47,"47","Olomouc",3.61
"2023-01-01",48,"48","Přerov",4.61
"2023-01-01",49,"49","Prostějov",3.94
"2023-01-01",50,"50","Ústí nad Orlicí",7.25
"2023-01-01",51,"51","Chrudim",10.03
"2023-01-01",52,"52","Pardubice",10.67
"2023-01-01",53,"53","Svitavy",6.94
"2023-01-01",54,"54","Domažlice",9.09
"2023-01-01",55,"55","Klatovy",10.09
"2023-01-01",56,"56","Plzeň - jih",11.37
"2023-01-01",57,"57","Plzeň - sever",11.32
"2023-01-01",58,"58","Plzeň",11.51
"2023-01-01",59,"59","Rokycany",12.39
"2023-01-01",60,"60","Tachov",9.46
"2023-01-01",61,"61","Praha 10",13.39
"2023-01-01",62,"62","Praha 11",13.39
"2023-01-01",63,"63","Praha 12",13.39
"2023-01-01",64,"64","Praha 13",13.44
"2023-01-01",65,"65","Praha 14",13.38
"2023-01-01",66,"66","Praha 15",13.38
"2023-01-01",67,"67","Praha 16",13.41
"2023-01-01",68,"68","Praha 17",13.44
"2023-01-01",69,"69","Praha 18",13.46
"2023-01-01",70,"70","Praha 19",13.45
"2023-01-01",71,"71","Praha 1",13.39
"2023-01-01",72,"72","Praha 20",13.16
"2023-01-01",73,"73","Praha 21",13.06
"2023-01-01",74,"74","Praha 22",13.19
"2023-01-01",75,"75","Praha 2",13.39
"2023-01-01",76,"76","Praha 3",13.39
"2023-01-01",77,"77","Praha 4",13.39
"2023-01-01",78,"78","Praha 5",13.41
"2023-01-01",79,"79","Praha 6",13.43
"2023-01-01",80,"80","Praha 7",13.39
"2023-01-01",81,"81","Praha 8",13.44
"2023-01-01",82,"82","Praha 9",13.39
"2023-01-01",83,"83","Benešov",11.64
"2023-01-01",84,"84","Beroun",12.92
"2023-01-01",85,"85","Kladno",13.62
"2023-01-01",86,"86","Kolín",12.79
"2023-01-01",87,"87","Kutná Hora",11.87
"2023-01-01",88,"88","Mělník",13.1
"2023-01-01",89,"89","Mladá Boleslav",11.08
"2023-01-01",90,"90","Nymburk",12.17
"2023-01-01",91,"91","Příbram",11.78
"2023-01-01",92,"92","Praha - východ",13.14
"2023-01-01",93,"93","Praha - západ",13.13
"2023-01-01",94,"94","Rakovník",12.98
"2023-01-01",95,"95","Kroměříž",4.21
"2023-01-01",96,"96","Uherské Hradiště",3.86
"2023-01-01",97,"97","Vsetín",5.87
"2023-01-01",98,"98","Zlín",4.6
"2023-01-02",1,"1","Ústí nad Labem",7.31
"2023-01-02",2,"2","Chomutov",8.77
"2023-01-02",3,"3","Děčín",8.45
"2023-01-02",4,"4","Litoměřice",6.77
"2023-01-02",5,"5","Louny",7.86
"2023-01-02",6,"6","Most",8.31
"2023-01-02",7,"7","Teplice",7.64
"2023-01-02",8,"8","České Budějovice",6.01
"2023-01-02",9,"9","Český Krumlov",6.53
"2023-01-02",10,"10","Jindřichův Hradec",5.83
"2023-01-02",11,"11","Písek",5.04
"2023-01-02",12,"12","Prachatice",6.56
"2023-01-02",13,"13","Strakonice",5.28
"2023-01-02",14,"14","Tábor",6.41
"2023-01-02",15,"15","Břeclav",4.95
