"date","ID_2","NAME_2","t2m"
"2004-01-01",1,"Freiburg",-1.89
"2004-01-01",2,"Karlsruhe",-2.78
"2004-01-01",3,"Stuttgart",-2.04
"2004-01-01",4,"Tübingen",-2.08
"2004-01-01",5,"Mittelfranken",-1.17
"2004-01-01",6,"Niederbayern",-1.8
"2004-01-01",7,"Oberbayern",-2.03
"2004-01-01",8,"Oberfranken",-1.18
"2004-01-01",9,"Oberpfalz",-1.34
"2004-01-01",10,"Schwaben",-2.63
"2004-01-01",11,"Unterfranken",-1.46
"2004-01-01",12,"Berlin",-1.91
"2004-01-01",13,"Brandenburg",-1.85
"2004-01-01",14,"Bremen",-3.11
"2004-01-01",15,"Bremerhaven",-3.53
"2004-01-01",16,"Hamburg",-4.79
"2004-01-01",17,"Darmstadt",-2.32
"2004-01-01",18,"Gießen",-2.19
"2004-01-01",19,"Kassel",-2.1
"2004-01-01",20,"Mecklenburg-Vorpommern",-3.39
"2004-01-01",21,"Braunschweig",-3.77
"2004-01-01",22,"Hannover",-2.92
"2004-01-01",23,"Lüneburg",-3.95
"2004-01-01",24,"Luneburg",-4.11
"2004-01-01",25,"Weser-Ems",-2
"2004-01-01",26,"Arnsberg",-2.38
"2004-01-01",27,"Düsseldorf",-1
"2004-01-01",28,"Detmold",-1.94
"2004-01-01",29,"Köln",-2.44
"2004-01-01",30,"Munster",-1.15
"2004-01-01",31,"Koblenz",-2.97
"2004-01-01",32,"Rheinhessen-Pfalz",-3.05
"2004-01-01",33,"Trier",-3.82
"2004-01-01",34,"Saarland",-3.08
"2004-01-01",35,"Dessau",-1.34
"2004-01-01",36,"Halle",-1.77
"2004-01-01",37,"Magdeburg",-3.54
"2004-01-01",38,"Chemnitz",-1.6
"2004-01-01",39,"Dresden",-0.54
"2004-01-01",40,"Leipzig",-0.65
"2004-01-01",41,"Schleswig-Holstein",-4.26
"2004-01-01",42,"Thüringen",-2.16
"2004-01-02",1,"Freiburg",-2.49
"2004-01-02",2,"Karlsruhe",-1.71
"2004-01-02",3,"Stuttgart",-1.7
"2004-01-02",4,"Tübingen",-2.21
"2004-01-02",5,"Mittelfranken",-2.63
"2004-01-02",6,"Niederbayern",-3.52
"2004-01-02",7,"Oberbayern",-3.57
"2004-01-02",8,"Oberfranken",-3.99
"2004-01-02",9,"Oberpfalz",-3.88
"2004-01-02",10,"Schwaben",-3.2
"2004-01-02",11,"Unterfranken",-2.22
"2004-01-02",12,"Berlin",-3.1
"2004-01-02",13,"Brandenburg",-3.35
"2004-01-02",14,"Bremen",-2.21
"2004-01-02",15,"Bremerhaven",-1.33
"2004-01-02",16,"Hamburg",-2.01
"2004-01-02",17,"Darmstadt",-1.07
"2004-01-02",18,"Gießen",-2.22
"2004-01-02",19,"Kassel",-3.89
"2004-01-02",20,"Mecklenburg-Vorpommern",-2.91
"2004-01-02",21,"Braunschweig",-4.03
"2004-01-02",22,"Hannover",-3.42
"2004-01-02",23,"Lüneburg",-2.04
"2004-01-02",24,"Luneburg",-2.25
"2004-01-02",25,"Weser-Ems",-2.14
"2004-01-02",26,"Arnsberg",-2.52
"2004-01-02",27,"Düsseldorf",-0.2
"2004-01-02",28,"Detmold",-3.18
"2004-01-02",29,"Köln",-0.97
"2004-01-02",30,"Munster",-1.15
"2004-01-02",31,"Koblenz",-1.59
"2004-01-02",32,"Rheinhessen-Pfalz",-1.51
"2004-01-02",33,"Trier",-2.06
"2004-01-02",34,"Saarland",-1.83
"2004-01-02",35,"Dessau",-3.11
"2004-01-02",36,"Halle",-4.22
"2004-01-02",37,"Magdeburg",-3.18
"2004-01-02",38,"Chemnitz",-5.81
"2004-01-02",39,"Dresden",-4.02
"2004-01-02",40,"Leipzig",-3.6
"2004-01-02",41,"Schleswig-Holstein",-1.5
"2004-01-02",42,"Thüringen",-5.18
"2004-01-03",1,"Freiburg",-5.45
"2004-01-03",2,"Karlsruhe",-5.49
"2004-01-03",3,"Stuttgart",-5.98
"2004-01-03",4,"Tübingen",-6.71
"2004-01-03",5,"Mittelfranken",-5.74
"2004-01-03",6,"Niederbayern",-7.86
"2004-01-03",7,"Oberbayern",-8.43
"2004-01-03",8,"Oberfranken",-5.96
"2004-01-03",9,"Oberpfalz",-6.27
"2004-01-03",10,"Schwaben",-7.8
"2004-01-03",11,"Unterfranken",-6.1
