"date","ID_1","NAME_1","t2m"
"2004-01-01",1,"Hovedstaden",-4.32
"2004-01-01",2,"Midtjylland",-5.67
"2004-01-01",3,"Nordjylland",-4.25
"2004-01-01",4,"Sjælland",-4.28
"2004-01-01",5,"Syddanmark",-5.55
"2004-01-02",1,"Hovedstaden",-1.57
"2004-01-02",2,"Midtjylland",-0.93
"2004-01-02",3,"Nordjylland",-0.3
"2004-01-02",4,"Sjælland",-0.98
"2004-01-02",5,"Syddanmark",-0.97
"2004-01-03",1,"Hovedstaden",-3.69
"2004-01-03",2,"Midtjylland",-3.72
"2004-01-03",3,"Nordjylland",-2.81
"2004-01-03",4,"Sjælland",-3.21
"2004-01-03",5,"Syddanmark",-4.4
"2004-01-04",1,"Hovedstaden",-1.24
"2004-01-04",2,"Midtjylland",-1.87
"2004-01-04",3,"Nordjylland",-1.33
"2004-01-04",4,"Sjælland",-1.17
"2004-01-04",5,"Syddanmark",-1.92
"2004-01-05",1,"Hovedstaden",-3.6
"2004-01-05",2,"Midtjylland",-3.85
"2004-01-05",3,"Nordjylland",-1.9
"2004-01-05",4,"Sjælland",-3.36
"2004-01-05",5,"Syddanmark",-3.48
"2004-01-06",1,"Hovedstaden",-3.43
"2004-01-06",2,"Midtjylland",-3.27
"2004-01-06",3,"Nordjylland",-2.39
"2004-01-06",4,"Sjælland",-3.55
"2004-01-06",5,"Syddanmark",-3.63
"2004-01-07",1,"Hovedstaden",0.41
"2004-01-07",2,"Midtjylland",3.75
"2004-01-07",3,"Nordjylland",4.12
"2004-01-07",4,"Sjælland",2.19
"2004-01-07",5,"Syddanmark",4.02
"2004-01-08",1,"Hovedstaden",1.95
"2004-01-08",2,"Midtjylland",1.57
"2004-01-08",3,"Nordjylland",1.5
"2004-01-08",4,"Sjælland",1.43
"2004-01-08",5,"Syddanmark",2.75
"2004-01-09",1,"Hovedstaden",1.43
"2004-01-09",2,"Midtjylland",1.84
"2004-01-09",3,"Nordjylland",2.12
"2004-01-09",4,"Sjælland",1.45
"2004-01-09",5,"Syddanmark",1.93
"2004-01-10",1,"Hovedstaden",-0.74
"2004-01-10",2,"Midtjylland",1.24
"2004-01-10",3,"Nordjylland",1.03
"2004-01-10",4,"Sjælland",0.42
"2004-01-10",5,"Syddanmark",2.24
"2004-01-11",1,"Hovedstaden",0.04
"2004-01-11",2,"Midtjylland",3.08
"2004-01-11",3,"Nordjylland",2.81
"2004-01-11",4,"Sjælland",0.71
"2004-01-11",5,"Syddanmark",3.07
"2004-01-12",1,"Hovedstaden",3.61
"2004-01-12",2,"Midtjylland",3.09
"2004-01-12",3,"Nordjylland",3.27
"2004-01-12",4,"Sjælland",3.41
"2004-01-12",5,"Syddanmark",3.61
"2004-01-13",1,"Hovedstaden",3.06
"2004-01-13",2,"Midtjylland",4.03
"2004-01-13",3,"Nordjylland",3.88
"2004-01-13",4,"Sjælland",3.18
"2004-01-13",5,"Syddanmark",4.08
"2004-01-14",1,"Hovedstaden",2.38
"2004-01-14",2,"Midtjylland",1.93
"2004-01-14",3,"Nordjylland",2.07
"2004-01-14",4,"Sjælland",3.21
"2004-01-14",5,"Syddanmark",3.06
"2004-01-15",1,"Hovedstaden",-1.07
"2004-01-15",2,"Midtjylland",0.23
"2004-01-15",3,"Nordjylland",0.56
"2004-01-15",4,"Sjælland",-0.87
"2004-01-15",5,"Syddanmark",0.04
"2004-01-16",1,"Hovedstaden",0.36
"2004-01-16",2,"Midtjylland",1.84
"2004-01-16",3,"Nordjylland",1.08
