"","date","ID_1","NAME_1","t2m"
"1","2017-01-01",1,"Andalucía",4.35
"2","2017-01-01",2,"Aragón",-0.98
"3","2017-01-01",3,"Cantabria",0.87
"4","2017-01-01",4,"Castilla-La Mancha",-0.71
"5","2017-01-01",5,"Castilla y León",-2.42
"6","2017-01-01",6,"Cataluña",1.26
"7","2017-01-01",7,"Ceuta y Melilla",13.15
"8","2017-01-01",8,"Comunidad de Madrid",-2.15
"9","2017-01-01",9,"Comunidad Foral de Navarra",-1.94
"10","2017-01-01",10,"Comunidad Valenciana",4.32
"11","2017-01-01",11,"Extremadura",2.2
"12","2017-01-01",12,"Galicia",2.05
"13","2017-01-01",13,"Islas Baleares",11.12
"14","2017-01-01",14,"Islas Canarias",17.13
"15","2017-01-01",15,"La Rioja",-2.77
"16","2017-01-01",16,"País Vasco",-0.29
"17","2017-01-01",17,"Principado de Asturias",0.72
"18","2017-01-01",18,"Región de Murcia",5
"19","2017-01-02",1,"Andalucía",4.72
"20","2017-01-02",2,"Aragón",-2.19
"21","2017-01-02",3,"Cantabria",2.25
"22","2017-01-02",4,"Castilla-La Mancha",-0.39
"23","2017-01-02",5,"Castilla y León",-1.12
"24","2017-01-02",6,"Cataluña",0.32
"25","2017-01-02",7,"Ceuta y Melilla",12.66
"26","2017-01-02",8,"Comunidad de Madrid",-1.63
"27","2017-01-02",9,"Comunidad Foral de Navarra",-1.52
"28","2017-01-02",10,"Comunidad Valenciana",2.94
"29","2017-01-02",11,"Extremadura",4.66
"30","2017-01-02",12,"Galicia",5.85
"31","2017-01-02",13,"Islas Baleares",12.78
"32","2017-01-02",14,"Islas Canarias",15.96
"33","2017-01-02",15,"La Rioja",-2.32
"34","2017-01-02",16,"País Vasco",0.36
"35","2017-01-02",17,"Principado de Asturias",3.26
"36","2017-01-02",18,"Región de Murcia",4.31
"37","2017-01-03",1,"Andalucía",6.5
"38","2017-01-03",2,"Aragón",0.13
"39","2017-01-03",3,"Cantabria",4.06
"40","2017-01-03",4,"Castilla-La Mancha",2.45
"41","2017-01-03",5,"Castilla y León",2.41
"42","2017-01-03",6,"Cataluña",1.27
