"date","ID_1","NAME_1","t2m"
"2021-01-01",1,"Andalucía",7.02
"2021-01-01",2,"Aragón",2.71
"2021-01-01",3,"Cantabria",2.57
"2021-01-01",4,"Castilla-La Mancha",3.28
"2021-01-01",5,"Castilla y León",0.48
"2021-01-01",6,"Cataluña",3.63
"2021-01-01",7,"Ceuta y Melilla",13.24
"2021-01-01",8,"Comunidad de Madrid",2.11
"2021-01-01",9,"Comunidad Foral de Navarra",2.85
"2021-01-01",10,"Comunidad Valenciana",5.62
"2021-01-01",11,"Extremadura",5.45
"2021-01-01",12,"Galicia",2.9
"2021-01-01",13,"Islas Baleares",12.06
"2021-01-01",14,"Islas Canarias",16.14
"2021-01-01",15,"La Rioja",1.64
"2021-01-01",16,"País Vasco",4.1
"2021-01-01",17,"Principado de Asturias",1.53
"2021-01-01",18,"Región de Murcia",5.38
"2021-01-02",1,"Andalucía",3.42
"2021-01-02",2,"Aragón",-0.51
"2021-01-02",3,"Cantabria",0.88
"2021-01-02",4,"Castilla-La Mancha",-0.19
"2021-01-02",5,"Castilla y León",-2.06
"2021-01-02",6,"Cataluña",0.11
"2021-01-02",7,"Ceuta y Melilla",11.19
"2021-01-02",8,"Comunidad de Madrid",-0.46
"2021-01-02",9,"Comunidad Foral de Navarra",1.09
"2021-01-02",10,"Comunidad Valenciana",3.3
"2021-01-02",11,"Extremadura",2.23
"2021-01-02",12,"Galicia",1.48
"2021-01-02",13,"Islas Baleares",8.9
"2021-01-02",14,"Islas Canarias",16.18
"2021-01-02",15,"La Rioja",-0.97
"2021-01-02",16,"País Vasco",1.94
"2021-01-02",17,"Principado de Asturias",-0.53
"2021-01-02",18,"Región de Murcia",4.2
"2021-01-03",1,"Andalucía",1.44
"2021-01-03",2,"Aragón",-1.42
"2021-01-03",3,"Cantabria",0.89
"2021-01-03",4,"Castilla-La Mancha",-1.56
"2021-01-03",5,"Castilla y León",-2.05
"2021-01-03",6,"Cataluña",0.06
"2021-01-03",7,"Ceuta y Melilla",11.23
"2021-01-03",8,"Comunidad de Madrid",-2.01
"2021-01-03",9,"Comunidad Foral de Navarra",-0.24
"2021-01-03",10,"Comunidad Valenciana",2.47
"2021-01-03",11,"Extremadura",0.35
"2021-01-03",12,"Galicia",2.56
"2021-01-03",13,"Islas Baleares",6.74
"2021-01-03",14,"Islas Canarias",15.95
"2021-01-03",15,"La Rioja",-2.06
"2021-01-03",16,"País Vasco",1.46
"2021-01-03",17,"Principado de Asturias",1.1
"2021-01-03",18,"Región de Murcia",3.76
"2021-01-04",1,"Andalucía",1.7
"2021-01-04",2,"Aragón",-0.53
"2021-01-04",3,"Cantabria",-0.03
"2021-01-04",4,"Castilla-La Mancha",0.11
"2021-01-04",5,"Castilla y León",-0.78
"2021-01-04",6,"Cataluña",-1.53
"2021-01-04",7,"Ceuta y Melilla",11.15
"2021-01-04",8,"Comunidad de Madrid",-0.32
"2021-01-04",9,"Comunidad Foral de Navarra",-0.4
"2021-01-04",10,"Comunidad Valenciana",2.41
"2021-01-04",11,"Extremadura",1.74
"2021-01-04",12,"Galicia",1.94
"2021-01-04",13,"Islas Baleares",8.27
"2021-01-04",14,"Islas Canarias",15.92
"2021-01-04",15,"La Rioja",-1.19
"2021-01-04",16,"País Vasco",0.41
"2021-01-04",17,"Principado de Asturias",-0.09
"2021-01-04",18,"Región de Murcia",1.82
"2021-01-05",1,"Andalucía",3.34
"2021-01-05",2,"Aragón",-2.1
"2021-01-05",3,"Cantabria",-1.06
"2021-01-05",4,"Castilla-La Mancha",-1.79
"2021-01-05",5,"Castilla y León",-3.76
"2021-01-05",6,"Cataluña",-1.03
"2021-01-05",7,"Ceuta y Melilla",11.51
"2021-01-05",8,"Comunidad de Madrid",-1.75
"2021-01-05",9,"Comunidad Foral de Navarra",-0.98
"2021-01-05",10,"Comunidad Valenciana",1.58
"2021-01-05",11,"Extremadura",0.63
"2021-01-05",12,"Galicia",-0.02
"2021-01-05",13,"Islas Baleares",8.26
"2021-01-05",14,"Islas Canarias",17.6
"2021-01-05",15,"La Rioja",-3.01
"2021-01-05",16,"País Vasco",0.56
"2021-01-05",17,"Principado de Asturias",-2.54
"2021-01-05",18,"Región de Murcia",2.5
"2021-01-06",1,"Andalucía",2.86
"2021-01-06",2,"Aragón",-3.12
"2021-01-06",3,"Cantabria",0.76
"2021-01-06",4,"Castilla-La Mancha",-3.41
"2021-01-06",5,"Castilla y León",-3.2
"2021-01-06",6,"Cataluña",-2.41
"2021-01-06",7,"Ceuta y Melilla",11.65
"2021-01-06",8,"Comunidad de Madrid",-4.56
"2021-01-06",9,"Comunidad Foral de Navarra",-1.76
"2021-01-06",10,"Comunidad Valenciana",-0.68
"2021-01-06",11,"Extremadura",-0.93
"2021-01-06",12,"Galicia",0.45
"2021-01-06",13,"Islas Baleares",6.53
"2021-01-06",14,"Islas Canarias",18.16
"2021-01-06",15,"La Rioja",-2.48
"2021-01-06",16,"País Vasco",0.34
"2021-01-06",17,"Principado de Asturias",0.51
"2021-01-06",18,"Región de Murcia",1.73
"2021-01-07",1,"Andalucía",5.16
"2021-01-07",2,"Aragón",-4.15
"2021-01-07",3,"Cantabria",-1.2
"2021-01-07",4,"Castilla-La Mancha",0.04
"2021-01-07",5,"Castilla y León",-4.06
"2021-01-07",6,"Cataluña",-2.41
"2021-01-07",7,"Ceuta y Melilla",13.49
"2021-01-07",8,"Comunidad de Madrid",-1.33
"2021-01-07",9,"Comunidad Foral de Navarra",-4.58
"2021-01-07",10,"Comunidad Valenciana",2.82
"2021-01-07",11,"Extremadura",2.4
"2021-01-07",12,"Galicia",-0.73
"2021-01-07",13,"Islas Baleares",8.06
"2021-01-07",14,"Islas Canarias",18.31
"2021-01-07",15,"La Rioja",-4.86
"2021-01-07",16,"País Vasco",-1.27
"2021-01-07",17,"Principado de Asturias",-2.45
"2021-01-07",18,"Región de Murcia",5.29
"2021-01-08",1,"Andalucía",4.91
"2021-01-08",2,"Aragón",-3.92
"2021-01-08",3,"Cantabria",-0.98
"2021-01-08",4,"Castilla-La Mancha",-1.29
"2021-01-08",5,"Castilla y León",-4.62
"2021-01-08",6,"Cataluña",-1.99
"2021-01-08",7,"Ceuta y Melilla",13.45
"2021-01-08",8,"Comunidad de Madrid",-2.84
"2021-01-08",9,"Comunidad Foral de Navarra",-4.34
"2021-01-08",10,"Comunidad Valenciana",2.55
"2021-01-08",11,"Extremadura",1.51
"2021-01-08",12,"Galicia",-1.08
"2021-01-08",13,"Islas Baleares",8.29
"2021-01-08",14,"Islas Canarias",17.27
"2021-01-08",15,"La Rioja",-5.21
"2021-01-08",16,"País Vasco",-1.42
"2021-01-08",17,"Principado de Asturias",-2.01
"2021-01-08",18,"Región de Murcia",3.35
"2021-01-09",1,"Andalucía",5.81
"2021-01-09",2,"Aragón",-2.21
"2021-01-09",3,"Cantabria",0.15
"2021-01-09",4,"Castilla-La Mancha",0.2
"2021-01-09",5,"Castilla y León",-2.52
"2021-01-09",6,"Cataluña",0.27
"2021-01-09",7,"Ceuta y Melilla",12.88
"2021-01-09",8,"Comunidad de Madrid",-0.7
"2021-01-09",9,"Comunidad Foral de Navarra",-1.62
"2021-01-09",10,"Comunidad Valenciana",2.65
"2021-01-09",11,"Extremadura",2.47
"2021-01-09",12,"Galicia",-0.19
"2021-01-09",13,"Islas Baleares",10.45
"2021-01-09",14,"Islas Canarias",13.91
"2021-01-09",15,"La Rioja",-2.8
"2021-01-09",16,"País Vasco",-0.22
"2021-01-09",17,"Principado de Asturias",-1.88
"2021-01-09",18,"Región de Murcia",4.73
"2021-01-10",1,"Andalucía",2.89
"2021-01-10",2,"Aragón",-1.28
"2021-01-10",3,"Cantabria",0.91
"2021-01-10",4,"Castilla-La Mancha",-1.78
"2021-01-10",5,"Castilla y León",-1.71
"2021-01-10",6,"Cataluña",1.04
"2021-01-10",7,"Ceuta y Melilla",10.43
"2021-01-10",8,"Comunidad de Madrid",-0.41
"2021-01-10",9,"Comunidad Foral de Navarra",-1.5
"2021-01-10",10,"Comunidad Valenciana",2.35
"2021-01-10",11,"Extremadura",1.47
"2021-01-10",12,"Galicia",3.21
"2021-01-10",13,"Islas Baleares",10.24
"2021-01-10",14,"Islas Canarias",14.45
"2021-01-10",15,"La Rioja",-2.87
"2021-01-10",16,"País Vasco",0.54
"2021-01-10",17,"Principado de Asturias",0.9
"2021-01-10",18,"Región de Murcia",2.2
"2021-01-11",1,"Andalucía",2.56
"2021-01-11",2,"Aragón",-2.36
"2021-01-11",3,"Cantabria",2.28
"2021-01-11",4,"Castilla-La Mancha",-2
"2021-01-11",5,"Castilla y León",-1.39
"2021-01-11",6,"Cataluña",-0.13
"2021-01-11",7,"Ceuta y Melilla",8.89
"2021-01-11",8,"Comunidad de Madrid",-2.42
"2021-01-11",9,"Comunidad Foral de Navarra",-1.2
"2021-01-11",10,"Comunidad Valenciana",2.34
"2021-01-11",11,"Extremadura",1.2
"2021-01-11",12,"Galicia",2.44
"2021-01-11",13,"Islas Baleares",9.74
"2021-01-11",14,"Islas Canarias",14.33
"2021-01-11",15,"La Rioja",-1.61
"2021-01-11",16,"País Vasco",1.8
"2021-01-11",17,"Principado de Asturias",1.86
"2021-01-11",18,"Región de Murcia",2.8
"2021-01-12",1,"Andalucía",1.55
"2021-01-12",2,"Aragón",-3.94
"2021-01-12",3,"Cantabria",-0.7
"2021-01-12",4,"Castilla-La Mancha",-5.78
"2021-01-12",5,"Castilla y León",-4.32
"2021-01-12",6,"Cataluña",-3.77
"2021-01-12",7,"Ceuta y Melilla",11.15
"2021-01-12",8,"Comunidad de Madrid",-6.04
"2021-01-12",9,"Comunidad Foral de Navarra",-1.32
"2021-01-12",10,"Comunidad Valenciana",-1
"2021-01-12",11,"Extremadura",-0.81
"2021-01-12",12,"Galicia",1.03
"2021-01-12",13,"Islas Baleares",7.95
"2021-01-12",14,"Islas Canarias",14.69
"2021-01-12",15,"La Rioja",-3.12
"2021-01-12",16,"País Vasco",1.41
"2021-01-12",17,"Principado de Asturias",-2.03
"2021-01-12",18,"Región de Murcia",1.05
"2021-01-13",1,"Andalucía",1.35
"2021-01-13",2,"Aragón",-0.81
"2021-01-13",3,"Cantabria",1.54
"2021-01-13",4,"Castilla-La Mancha",-4.53
"2021-01-13",5,"Castilla y León",-3.87
"2021-01-13",6,"Cataluña",-0.45
"2021-01-13",7,"Ceuta y Melilla",11.61
"2021-01-13",8,"Comunidad de Madrid",-6.44
"2021-01-13",9,"Comunidad Foral de Navarra",3.04
"2021-01-13",10,"Comunidad Valenciana",0.83
"2021-01-13",11,"Extremadura",-0.16
"2021-01-13",12,"Galicia",1.37
"2021-01-13",13,"Islas Baleares",8.33
"2021-01-13",14,"Islas Canarias",14.55
"2021-01-13",15,"La Rioja",-2.24
"2021-01-13",16,"País Vasco",3.12
"2021-01-13",17,"Principado de Asturias",-0.52
"2021-01-13",18,"Región de Murcia",1.56
"2021-01-14",1,"Andalucía",2.55
"2021-01-14",2,"Aragón",0.02
"2021-01-14",3,"Cantabria",1.6
"2021-01-14",4,"Castilla-La Mancha",-2.57
"2021-01-14",5,"Castilla y León",-3.67
"2021-01-14",6,"Cataluña",-0.49
"2021-01-14",7,"Ceuta y Melilla",11.42
"2021-01-14",8,"Comunidad de Madrid",-4.31
"2021-01-14",9,"Comunidad Foral de Navarra",2.76
"2021-01-14",10,"Comunidad Valenciana",1.71
"2021-01-14",11,"Extremadura",0.96
"2021-01-14",12,"Galicia",2.88
"2021-01-14",13,"Islas Baleares",8.38
"2021-01-14",14,"Islas Canarias",15.4
"2021-01-14",15,"La Rioja",-2.89
"2021-01-14",16,"País Vasco",2.32
"2021-01-14",17,"Principado de Asturias",-0.97
"2021-01-14",18,"Región de Murcia",1.98
"2021-01-15",1,"Andalucía",3.24
"2021-01-15",2,"Aragón",3.5
"2021-01-15",3,"Cantabria",5.75
"2021-01-15",4,"Castilla-La Mancha",-1.08
"2021-01-15",5,"Castilla y León",-0.53
"2021-01-15",6,"Cataluña",1.57
"2021-01-15",7,"Ceuta y Melilla",11.96
"2021-01-15",8,"Comunidad de Madrid",-2.15
"2021-01-15",9,"Comunidad Foral de Navarra",5.96
"2021-01-15",10,"Comunidad Valenciana",4.63
"2021-01-15",11,"Extremadura",1.22
"2021-01-15",12,"Galicia",6.46
"2021-01-15",13,"Islas Baleares",8.89
"2021-01-15",14,"Islas Canarias",15.45
"2021-01-15",15,"La Rioja",3.05
"2021-01-15",16,"País Vasco",6.43
"2021-01-15",17,"Principado de Asturias",4.44
"2021-01-15",18,"Región de Murcia",4.51
"2021-01-16",1,"Andalucía",3.88
"2021-01-16",2,"Aragón",2.62
"2021-01-16",3,"Cantabria",2.9
"2021-01-16",4,"Castilla-La Mancha",-0.57
"2021-01-16",5,"Castilla y León",-1.69
"2021-01-16",6,"Cataluña",1.88
"2021-01-16",7,"Ceuta y Melilla",12.46
"2021-01-16",8,"Comunidad de Madrid",-3.08
"2021-01-16",9,"Comunidad Foral de Navarra",4.31
"2021-01-16",10,"Comunidad Valenciana",5.28
"2021-01-16",11,"Extremadura",2.04
"2021-01-16",12,"Galicia",1.9
"2021-01-16",13,"Islas Baleares",9.24
"2021-01-16",14,"Islas Canarias",15.19
"2021-01-16",15,"La Rioja",2.28
"2021-01-16",16,"País Vasco",5.33
"2021-01-16",17,"Principado de Asturias",0.99
"2021-01-16",18,"Región de Murcia",5.14
"2021-01-17",1,"Andalucía",3.77
"2021-01-17",2,"Aragón",1.88
"2021-01-17",3,"Cantabria",3.35
"2021-01-17",4,"Castilla-La Mancha",-1.04
"2021-01-17",5,"Castilla y León",-2.33
"2021-01-17",6,"Cataluña",1.52
"2021-01-17",7,"Ceuta y Melilla",13.05
"2021-01-17",8,"Comunidad de Madrid",-3.07
"2021-01-17",9,"Comunidad Foral de Navarra",2.4
"2021-01-17",10,"Comunidad Valenciana",4.12
"2021-01-17",11,"Extremadura",2.57
"2021-01-17",12,"Galicia",3.9
"2021-01-17",13,"Islas Baleares",9.2
"2021-01-17",14,"Islas Canarias",15.43
"2021-01-17",15,"La Rioja",0.25
"2021-01-17",16,"País Vasco",3.52
"2021-01-17",17,"Principado de Asturias",2.98
"2021-01-17",18,"Región de Murcia",3.27
"2021-01-18",1,"Andalucía",4.46
"2021-01-18",2,"Aragón",3.81
"2021-01-18",3,"Cantabria",5.97
"2021-01-18",4,"Castilla-La Mancha",-0.23
"2021-01-18",5,"Castilla y León",0.42
"2021-01-18",6,"Cataluña",3.22
"2021-01-18",7,"Ceuta y Melilla",12.73
