"date","ID_2","GID_2","NAME_2","t2m"
"2023-01-01",1,"1","Almería",7.87
"2023-01-01",2,"2","Cádiz",11.4
"2023-01-01",3,"3","Córdoba",8.61
"2023-01-01",4,"4","Granada",4.58
"2023-01-01",5,"5","Huelva",11.56
"2023-01-01",6,"6","Jaén",5.8
"2023-01-01",7,"7","Málaga",10.03
"2023-01-01",8,"8","Sevilla",8.94
"2023-01-01",9,"9","Huesca",5.29
"2023-01-01",10,"10","Teruel",5.22
"2023-01-01",11,"11","Zaragoza",7.91
"2023-01-01",12,"12","Cantabria",13.62
"2023-01-01",13,"13","Albacete",5.57
"2023-01-01",14,"14","Ciudad Real",7.66
"2023-01-01",15,"15","Cuenca",5.04
"2023-01-01",16,"16","Guadalajara",5.6
"2023-01-01",17,"17","Toledo",7.06
"2023-01-01",18,"18","Ávila",6.54
"2023-01-01",19,"19","Burgos",10.81
"2023-01-01",20,"20","León",8.48
"2023-01-01",21,"21","Palencia",9.69
"2023-01-01",22,"22","Salamanca",10.42
"2023-01-01",23,"23","Segovia",7.86
"2023-01-01",24,"24","Soria",7.12
"2023-01-01",25,"25","Valladolid",9.8
"2023-01-01",26,"26","Zamora",10.23
"2023-01-01",27,"27","Barcelona",6.36
"2023-01-01",28,"28","Girona",7.9
"2023-01-01",29,"29","Lleida",4.25
"2023-01-01",30,"30","Tarragona",8.08
"2023-01-01",31,"31","Ceuta",16.87
"2023-01-01",32,"32","Melilla",12.47
"2023-01-01",33,"33","Madrid",6.37
"2023-01-01",34,"34","Navarra",10.57
"2023-01-01",35,"35","Alicante",9.81
"2023-01-01",36,"36","Castellón",6.24
"2023-01-01",37,"37","Valencia",6.28
"2023-01-01",38,"38","Badajoz",11.32
"2023-01-01",39,"39","Cáceres",10.9
"2023-01-01",40,"40","A Coruña",10.74
"2023-01-01",41,"41","Lugo",9.7
"2023-01-01",42,"42","Ourense",9.27
"2023-01-01",43,"43","Pontevedra",10.44
"2023-01-01",44,"44","Baleares",13.85
