"date","ID_0","NAME_0","t2m"
"2006-01-01",1,"Estonia",-0.81
"2006-01-02",1,"Estonia",0.4
"2006-01-03",1,"Estonia",-0.93
"2006-01-04",1,"Estonia",-0.58
"2006-01-05",1,"Estonia",-0.94
"2006-01-06",1,"Estonia",-4.15
"2006-01-07",1,"Estonia",-2.7
"2006-01-08",1,"Estonia",-2.66
"2006-01-09",1,"Estonia",-2.12
"2006-01-10",1,"Estonia",-1.13
"2006-01-11",1,"Estonia",-1.34
"2006-01-12",1,"Estonia",1.34
"2006-01-13",1,"Estonia",0.23
"2006-01-14",1,"Estonia",1.59
"2006-01-15",1,"Estonia",-0.86
"2006-01-16",1,"Estonia",0.13
"2006-01-17",1,"Estonia",-1
"2006-01-18",1,"Estonia",-14.41
"2006-01-19",1,"Estonia",-24.56
"2006-01-20",1,"Estonia",-26.03
"2006-01-21",1,"Estonia",-23.45
"2006-01-22",1,"Estonia",-21.6
"2006-01-23",1,"Estonia",-21.1
"2006-01-24",1,"Estonia",-6.53
"2006-01-25",1,"Estonia",-2.13
"2006-01-26",1,"Estonia",-3.13
"2006-01-27",1,"Estonia",-1.47
"2006-01-28",1,"Estonia",-1.28
"2006-01-29",1,"Estonia",0.74
"2006-01-30",1,"Estonia",1.98
"2006-01-31",1,"Estonia",-2.7
"2006-02-01",1,"Estonia",-3.07
"2006-02-02",1,"Estonia",-4.22
"2006-02-03",1,"Estonia",-11.03
"2006-02-04",1,"Estonia",-18.98
"2006-02-05",1,"Estonia",-19.44
"2006-02-06",1,"Estonia",-18.22
"2006-02-07",1,"Estonia",-17.4
"2006-02-08",1,"Estonia",-17.36
"2006-02-09",1,"Estonia",-13.45
"2006-02-10",1,"Estonia",-6.93
"2006-02-11",1,"Estonia",-6.63
"2006-02-12",1,"Estonia",-9.55
"2006-02-13",1,"Estonia",-9.41
"2006-02-14",1,"Estonia",-5.09
"2006-02-15",1,"Estonia",-4.89
"2006-02-16",1,"Estonia",-7.27
"2006-02-17",1,"Estonia",-11.97
"2006-02-18",1,"Estonia",-10.55
"2006-02-19",1,"Estonia",-3.09
"2006-02-20",1,"Estonia",-2.25
"2006-02-21",1,"Estonia",-3.06
"2006-02-22",1,"Estonia",-6.53
"2006-02-23",1,"Estonia",-5.72
