"","date","ID_1","NAME_1","t2m"
"1","2013-01-01",1,"Harju",1.54
"2","2013-01-01",2,"Hiiu",4.82
"3","2013-01-01",3,"Ida-Viru",0.96
"4","2013-01-01",4,"Järva",0.89
"5","2013-01-01",5,"Jõgeva",0.73
"6","2013-01-01",6,"Lääne-Viru",0.81
"7","2013-01-01",7,"Lääne",3.44
"8","2013-01-01",8,"Pärnu",3.01
"9","2013-01-01",9,"Põlva",0.88
"10","2013-01-01",10,"Peipsi",0.66
"11","2013-01-01",11,"Rapla",1.81
"12","2013-01-01",12,"Saare",4.39
"13","2013-01-01",13,"Tartu",0.91
"14","2013-01-01",14,"Võru",0.98
"15","2013-01-01",15,"Valga",1.53
"16","2013-01-01",16,"Viljandi",1.68
"17","2013-01-02",1,"Harju",2.4
"18","2013-01-02",2,"Hiiu",3.95
"19","2013-01-02",3,"Ida-Viru",1.31
"20","2013-01-02",4,"Järva",1.71
"21","2013-01-02",5,"Jõgeva",1.23
"22","2013-01-02",6,"Lääne-Viru",1.74
"23","2013-01-02",7,"Lääne",2.7
"24","2013-01-02",8,"Pärnu",2.25
"25","2013-01-02",9,"Põlva",1.49
"26","2013-01-02",10,"Peipsi",0.95
"27","2013-01-02",11,"Rapla",2.21
"28","2013-01-02",12,"Saare",3.74
"29","2013-01-02",13,"Tartu",1.31
"30","2013-01-02",14,"Võru",1.37
"31","2013-01-02",15,"Valga",1.25
"32","2013-01-02",16,"Viljandi",1.29
"33","2013-01-03",1,"Harju",1.47
"34","2013-01-03",2,"Hiiu",3
"35","2013-01-03",3,"Ida-Viru",1.03
"36","2013-01-03",4,"Järva",1.22
"37","2013-01-03",5,"Jõgeva",1.2
"38","2013-01-03",6,"Lääne-Viru",1.05
"39","2013-01-03",7,"Lääne",2.34
"40","2013-01-03",8,"Pärnu",2.15
"41","2013-01-03",9,"Põlva",1.35
"42","2013-01-03",10,"Peipsi",0.93
"43","2013-01-03",11,"Rapla",1.58
"44","2013-01-03",12,"Saare",2.95
"45","2013-01-03",13,"Tartu",1.29
"46","2013-01-03",14,"Võru",1.2
"47","2013-01-03",15,"Valga",1.37
"48","2013-01-03",16,"Viljandi",1.65
"49","2013-01-04",1,"Harju",0.64
"50","2013-01-04",2,"Hiiu",2.49
"51","2013-01-04",3,"Ida-Viru",-1.1
"52","2013-01-04",4,"Järva",0.22
"53","2013-01-04",5,"Jõgeva",0.18
"54","2013-01-04",6,"Lääne-Viru",-0.55
"55","2013-01-04",7,"Lääne",1.12
"56","2013-01-04",8,"Pärnu",1.02
"57","2013-01-04",9,"Põlva",0.56
"58","2013-01-04",10,"Peipsi",-0.41
"59","2013-01-04",11,"Rapla",0.57
"60","2013-01-04",12,"Saare",2.42
"61","2013-01-04",13,"Tartu",0.56
"62","2013-01-04",14,"Võru",0.64
"63","2013-01-04",15,"Valga",0.99
"64","2013-01-04",16,"Viljandi",0.84
"65","2013-01-05",1,"Harju",0.49
"66","2013-01-05",2,"Hiiu",1.3
"67","2013-01-05",3,"Ida-Viru",0.26
"68","2013-01-05",4,"Järva",0.5
"69","2013-01-05",5,"Jõgeva",0.56
"70","2013-01-05",6,"Lääne-Viru",0.4
"71","2013-01-05",7,"Lääne",1.08
"72","2013-01-05",8,"Pärnu",0.78
"73","2013-01-05",9,"Põlva",0.42
"74","2013-01-05",10,"Peipsi",0.08
"75","2013-01-05",11,"Rapla",0.53
"76","2013-01-05",12,"Saare",1.44
"77","2013-01-05",13,"Tartu",0.49
"78","2013-01-05",14,"Võru",0.34
"79","2013-01-05",15,"Valga",0.51
"80","2013-01-05",16,"Viljandi",0.59
"81","2013-01-06",1,"Harju",-2.44
"82","2013-01-06",2,"Hiiu",-0.29
"83","2013-01-06",3,"Ida-Viru",-2.87
"84","2013-01-06",4,"Järva",-3
"85","2013-01-06",5,"Jõgeva",-2.59
"86","2013-01-06",6,"Lääne-Viru",-2.7
"87","2013-01-06",7,"Lääne",-1.12
"88","2013-01-06",8,"Pärnu",-2.55
"89","2013-01-06",9,"Põlva",-2.24
"90","2013-01-06",10,"Peipsi",-2.91
"91","2013-01-06",11,"Rapla",-3.34
"92","2013-01-06",12,"Saare",-0.65
"93","2013-01-06",13,"Tartu",-2.25
"94","2013-01-06",14,"Võru",-2.53
"95","2013-01-06",15,"Valga",-2.36
"96","2013-01-06",16,"Viljandi",-2.88
"97","2013-01-07",1,"Harju",-3.72
"98","2013-01-07",2,"Hiiu",-2.16
"99","2013-01-07",3,"Ida-Viru",-4.04
"100","2013-01-07",4,"Järva",-4.06
"101","2013-01-07",5,"Jõgeva",-4.1
"102","2013-01-07",6,"Lääne-Viru",-3.84
"103","2013-01-07",7,"Lääne",-2.69
"104","2013-01-07",8,"Pärnu",-3.52
"105","2013-01-07",9,"Põlva",-3.89
"106","2013-01-07",10,"Peipsi",-4
"107","2013-01-07",11,"Rapla",-4.22
"108","2013-01-07",12,"Saare",-2.33
"109","2013-01-07",13,"Tartu",-3.9
"110","2013-01-07",14,"Võru",-4.17
"111","2013-01-07",15,"Valga",-3.76
"112","2013-01-07",16,"Viljandi",-3.86
"113","2013-01-08",1,"Harju",-4.2
"114","2013-01-08",2,"Hiiu",0.06
"115","2013-01-08",3,"Ida-Viru",-7.56
"116","2013-01-08",4,"Järva",-5.94
"117","2013-01-08",5,"Jõgeva",-5.8
"118","2013-01-08",6,"Lääne-Viru",-6.29
"119","2013-01-08",7,"Lääne",-1.28
"120","2013-01-08",8,"Pärnu",-3.36
"121","2013-01-08",9,"Põlva",-5.56
"122","2013-01-08",10,"Peipsi",-6.33
"123","2013-01-08",11,"Rapla",-4.5
"124","2013-01-08",12,"Saare",-0.39
"125","2013-01-08",13,"Tartu",-5.11
"126","2013-01-08",14,"Võru",-7
"127","2013-01-08",15,"Valga",-4.85
"128","2013-01-08",16,"Viljandi",-4.64
"129","2013-01-09",1,"Harju",-2.81
"130","2013-01-09",2,"Hiiu",0.96
"131","2013-01-09",3,"Ida-Viru",-5.93
"132","2013-01-09",4,"Järva",-5.69
"133","2013-01-09",5,"Jõgeva",-5.8
"134","2013-01-09",6,"Lääne-Viru",-5.71
"135","2013-01-09",7,"Lääne",-1.13
"136","2013-01-09",8,"Pärnu",-3.21
"137","2013-01-09",9,"Põlva",-5.84
"138","2013-01-09",10,"Peipsi",-5.53
"139","2013-01-09",11,"Rapla",-3.36
"140","2013-01-09",12,"Saare",0.38
"141","2013-01-09",13,"Tartu",-5.05
"142","2013-01-09",14,"Võru",-6.81
"143","2013-01-09",15,"Valga",-5.53
"144","2013-01-09",16,"Viljandi",-5.36
"145","2013-01-10",1,"Harju",-2.25
"146","2013-01-10",2,"Hiiu",-0.96
"147","2013-01-10",3,"Ida-Viru",-2.02
"148","2013-01-10",4,"Järva",-1.75
"149","2013-01-10",5,"Jõgeva",-1.2
"150","2013-01-10",6,"Lääne-Viru",-2.68
"151","2013-01-10",7,"Lääne",-0.82
"152","2013-01-10",8,"Pärnu",-0.29
"153","2013-01-10",9,"Põlva",-1.53
"154","2013-01-10",10,"Peipsi",-1.16
"155","2013-01-10",11,"Rapla",-1.3
"156","2013-01-10",12,"Saare",0.09
"157","2013-01-10",13,"Tartu",-0.89
"158","2013-01-10",14,"Võru",-2.19
"159","2013-01-10",15,"Valga",-1.32
"160","2013-01-10",16,"Viljandi",-0.45
"161","2013-01-11",1,"Harju",-4.07
"162","2013-01-11",2,"Hiiu",-2.13
"163","2013-01-11",3,"Ida-Viru",-5.85
"164","2013-01-11",4,"Järva",-5.3
"165","2013-01-11",5,"Jõgeva",-5.27
"166","2013-01-11",6,"Lääne-Viru",-5.48
"167","2013-01-11",7,"Lääne",-3.23
"168","2013-01-11",8,"Pärnu",-4.31
"169","2013-01-11",9,"Põlva",-5.99
"170","2013-01-11",10,"Peipsi",-5.06
"171","2013-01-11",11,"Rapla",-4.61
"172","2013-01-11",12,"Saare",-2.53
"173","2013-01-11",13,"Tartu",-4.86
"174","2013-01-11",14,"Võru",-7.09
"175","2013-01-11",15,"Valga",-5.87
"176","2013-01-11",16,"Viljandi",-4.75
"177","2013-01-12",1,"Harju",-7.52
"178","2013-01-12",2,"Hiiu",-5.09
"179","2013-01-12",3,"Ida-Viru",-11.11
"180","2013-01-12",4,"Järva",-10.64
"181","2013-01-12",5,"Jõgeva",-11.58
