"date","ID_2","GID_2","NAME_2","t2m"
"2023-01-01",1,"1","Aegviidu
",4.81
"2023-01-01",2,"2","Anija",4.91
"2023-01-01",3,"3","Harku",5.27
"2023-01-01",4,"4","Jõelähtme",5.12
"2023-01-01",5,"5","Kõue",4.97
"2023-01-01",6,"6","Keila",5.2
"2023-01-01",7,"7","Kernu",5.23
"2023-01-01",8,"8","Kiili",5.15
"2023-01-01",9,"9","Kose",5.05
"2023-01-01",10,"10","Kuusalu",4.99
"2023-01-01",11,"11","Loksa",5.02
"2023-01-01",12,"12","Maardu
",5.16
"2023-01-01",13,"13","Nissi",5.22
"2023-01-01",14,"14","Padise",5.09
"2023-01-01",15,"15","Paldiski",5.13
"2023-01-01",16,"16","Raasiku
",5.04
"2023-01-01",17,"17","Rae",5.14
"2023-01-01",18,"18","Saku",5.18
"2023-01-01",19,"19","Saue",5.23
"2023-01-01",20,"20","Tallinn",5.23
"2023-01-01",21,"21","Vasalemma",5.19
"2023-01-01",22,"22","Viimsi",5.23
"2023-01-01",23,"23","Emmaste
",5.68
"2023-01-01",24,"24","Käina",5.62
"2023-01-01",25,"25","Kärdla",5.34
"2023-01-01",26,"26","Kõrgessaare",5.58
"2023-01-01",27,"27","Pühalepa",5.25
"2023-01-01",28,"28","Alajõe",3.32
"2023-01-01",29,"29","Aseri
",4.49
"2023-01-01",30,"30","Avinurme",4.08
"2023-01-01",31,"31","Iisaku",3.52
"2023-01-01",32,"32","Illuka",3.9
"2023-01-01",33,"33","Jõhvi",4.15
"2023-01-01",34,"34","Kiviõli",4.28
"2023-01-01",35,"35","Kohtla-Järve",4.25
"2023-01-01",36,"36","Kohtla-Nõmme",4.22
"2023-01-01",37,"37","Kohtla",4.28
"2023-01-01",38,"38","Lüganuse",4.39
"2023-01-01",39,"39","Lohusuu",3.7
"2023-01-01",40,"40","Mäetaguse",4.18
"2023-01-01",41,"41","Maidla",4.27
"2023-01-01",42,"42","Narva-Jõesuu",4.12
"2023-01-01",43,"43","Narva",4.22
"2023-01-01",44,"44","Püssi
",4.28
"2023-01-01",45,"45","Sillamäe",4
"2023-01-01",46,"46","Sonda",4.36
"2023-01-01",47,"47","Toila",4.11
"2023-01-01",48,"48","Tudulinna",3.8
"2023-01-01",49,"49","Vaivara",4.13
"2023-01-01",50,"50","Albu",4.78
"2023-01-01",51,"51","Ambla
",4.62
"2023-01-01",52,"52","Imavere",4.75
"2023-01-01",53,"53","Järva-Jaani",4.38
"2023-01-01",54,"54","Kareda",4.52
"2023-01-01",55,"55","Koeru",4.31
"2023-01-01",56,"56","Koigi",4.61
"2023-01-01",57,"57","Paide 
",4.82
"2023-01-01",58,"58","Paide
",4.88
"2023-01-01",59,"59","Roosna-Alliku",4.59
"2023-01-01",60,"60","Türi",5.01
"2023-01-01",61,"61","Väätsa",4.92
"2023-01-01",62,"62","Jõgeva
 (commune)",4.68
"2023-01-01",63,"63","Jõgeva",4.75
"2023-01-01",64,"64","Kasepää",3.93
"2023-01-01",65,"65","Mustvee",3.93
"2023-01-01",66,"66","Põltsamaa

Põltsamaa
",4.44
"2023-01-01",67,"67","Põltsamaa",4.57
"2023-01-01",68,"68","Pajusi",4.5
"2023-01-01",69,"69","Palamuse",4.75
"2023-01-01",70,"70","Pala",3.98
"2023-01-01",71,"71","Puurmani",4.73
"2023-01-01",72,"72","Saare",4.45
"2023-01-01",73,"73","Tabivere
",4.83
"2023-01-01",74,"74","Torma",4.5
"2023-01-01",75,"75","Haljala",4.89
"2023-01-01",76,"76","Kadrina",4.71
"2023-01-01",77,"77","Kunda",4.68
"2023-01-01",78,"78","Laekvere",4.4
"2023-01-01",79,"79","Rägavere",4.34
"2023-01-01",80,"80","Rakke",4.44
"2023-01-01",81,"81","Rakvere",4.54
"2023-01-01",82,"82","Sõmeru",4.59
