"date","ID_1","NAME_1","t2m"
"2021-01-01",1,"Addis Ababa",9.39
"2021-01-01",2,"Afar",19.96
"2021-01-01",3,"Amhara",14.03
"2021-01-01",4,"Benshangul-Gumaz",19.43
"2021-01-01",5,"Dire Dawa",14.13
"2021-01-01",6,"Gambela Peoples",22.81
"2021-01-01",7,"Harari People",14.86
"2021-01-01",8,"Oromia",15.44
"2021-01-01",9,"Somali",20.03
"2021-01-01",10,"Southern Nations, Nationalities and Peoples",17.16
"2021-01-01",11,"Tigray",14.93
"2021-01-02",1,"Addis Ababa",11.41
"2021-01-02",2,"Afar",20.84
"2021-01-02",3,"Amhara",14.65
"2021-01-02",4,"Benshangul-Gumaz",20.48
"2021-01-02",5,"Dire Dawa",14.88
"2021-01-02",6,"Gambela Peoples",24.2
"2021-01-02",7,"Harari People",16.09
"2021-01-02",8,"Oromia",15.9
"2021-01-02",9,"Somali",20.03
"2021-01-02",10,"Southern Nations, Nationalities and Peoples",17.59
"2021-01-02",11,"Tigray",14.82
"2021-01-03",1,"Addis Ababa",9.84
"2021-01-03",2,"Afar",20.86
"2021-01-03",3,"Amhara",14.46
"2021-01-03",4,"Benshangul-Gumaz",20.37
"2021-01-03",5,"Dire Dawa",14.34
"2021-01-03",6,"Gambela Peoples",23.65
"2021-01-03",7,"Harari People",13.72
"2021-01-03",8,"Oromia",15.67
"2021-01-03",9,"Somali",19.69
"2021-01-03",10,"Southern Nations, Nationalities and Peoples",17.55
"2021-01-03",11,"Tigray",14.91
"2021-01-04",1,"Addis Ababa",10.45
"2021-01-04",2,"Afar",20.55
"2021-01-04",3,"Amhara",14.25
"2021-01-04",4,"Benshangul-Gumaz",20.44
"2021-01-04",5,"Dire Dawa",14.13
"2021-01-04",6,"Gambela Peoples",23.97
"2021-01-04",7,"Harari People",13.57
"2021-01-04",8,"Oromia",15.69
"2021-01-04",9,"Somali",19.82
"2021-01-04",10,"Southern Nations, Nationalities and Peoples",17.63
"2021-01-04",11,"Tigray",14.94
"2021-01-05",1,"Addis Ababa",8.08
"2021-01-05",2,"Afar",20.56
"2021-01-05",3,"Amhara",12.48
"2021-01-05",4,"Benshangul-Gumaz",18.51
"2021-01-05",5,"Dire Dawa",13.95
"2021-01-05",6,"Gambela Peoples",22.81
"2021-01-05",7,"Harari People",14.36
"2021-01-05",8,"Oromia",14.38
"2021-01-05",9,"Somali",20.33
"2021-01-05",10,"Southern Nations, Nationalities and Peoples",15.06
"2021-01-05",11,"Tigray",13.44
"2021-01-06",1,"Addis Ababa",6.54
"2021-01-06",2,"Afar",19.99
"2021-01-06",3,"Amhara",12.21
"2021-01-06",4,"Benshangul-Gumaz",18.17
"2021-01-06",5,"Dire Dawa",12.63
"2021-01-06",6,"Gambela Peoples",22.32
"2021-01-06",7,"Harari People",12.55
"2021-01-06",8,"Oromia",13.64
"2021-01-06",9,"Somali",19.48
"2021-01-06",10,"Southern Nations, Nationalities and Peoples",15.44
"2021-01-06",11,"Tigray",13.69
"2021-01-07",1,"Addis Ababa",8.55
"2021-01-07",2,"Afar",20.42
"2021-01-07",3,"Amhara",12.48
"2021-01-07",4,"Benshangul-Gumaz",18.52
"2021-01-07",5,"Dire Dawa",12.17
"2021-01-07",6,"Gambela Peoples",23.45
"2021-01-07",7,"Harari People",12.3
"2021-01-07",8,"Oromia",13.74
"2021-01-07",9,"Somali",18.69
"2021-01-07",10,"Southern Nations, Nationalities and Peoples",15.26
"2021-01-07",11,"Tigray",13.8
"2021-01-08",1,"Addis Ababa",8.45
"2021-01-08",2,"Afar",19.42
"2021-01-08",3,"Amhara",12.46
"2021-01-08",4,"Benshangul-Gumaz",18.86
"2021-01-08",5,"Dire Dawa",10.73
"2021-01-08",6,"Gambela Peoples",23.04
"2021-01-08",7,"Harari People",11.09
"2021-01-08",8,"Oromia",13.57
"2021-01-08",9,"Somali",17.92
"2021-01-08",10,"Southern Nations, Nationalities and Peoples",15.29
"2021-01-08",11,"Tigray",13.83
"2021-01-09",1,"Addis Ababa",10.42
"2021-01-09",2,"Afar",19.84
"2021-01-09",3,"Amhara",14.15
"2021-01-09",4,"Benshangul-Gumaz",20.4
"2021-01-09",5,"Dire Dawa",11.92
"2021-01-09",6,"Gambela Peoples",24.15
"2021-01-09",7,"Harari People",12.02
"2021-01-09",8,"Oromia",15
"2021-01-09",9,"Somali",17.86
"2021-01-09",10,"Southern Nations, Nationalities and Peoples",17.59
"2021-01-09",11,"Tigray",14.79
"2021-01-10",1,"Addis Ababa",10.39
"2021-01-10",2,"Afar",20.03
"2021-01-10",3,"Amhara",13.65
"2021-01-10",4,"Benshangul-Gumaz",19.64
"2021-01-10",5,"Dire Dawa",13.4
"2021-01-10",6,"Gambela Peoples",23.27
"2021-01-10",7,"Harari People",13.06
"2021-01-10",8,"Oromia",15.9
"2021-01-10",9,"Somali",19.22
"2021-01-10",10,"Southern Nations, Nationalities and Peoples",17.86
"2021-01-10",11,"Tigray",14.75
"2021-01-11",1,"Addis Ababa",10.91
"2021-01-11",2,"Afar",20.44
"2021-01-11",3,"Amhara",13.89
"2021-01-11",4,"Benshangul-Gumaz",20.46
"2021-01-11",5,"Dire Dawa",13.89
"2021-01-11",6,"Gambela Peoples",23.03
"2021-01-11",7,"Harari People",14.13
"2021-01-11",8,"Oromia",16.39
"2021-01-11",9,"Somali",19.65
"2021-01-11",10,"Southern Nations, Nationalities and Peoples",17.74
"2021-01-11",11,"Tigray",14.3
"2021-01-12",1,"Addis Ababa",11.39
"2021-01-12",2,"Afar",20.87
"2021-01-12",3,"Amhara",13.7
"2021-01-12",4,"Benshangul-Gumaz",20.28
"2021-01-12",5,"Dire Dawa",13.81
"2021-01-12",6,"Gambela Peoples",24.14
"2021-01-12",7,"Harari People",13.7
"2021-01-12",8,"Oromia",16.79
"2021-01-12",9,"Somali",19.95
"2021-01-12",10,"Southern Nations, Nationalities and Peoples",18.4
"2021-01-12",11,"Tigray",14.16
"2021-01-13",1,"Addis Ababa",10.53
"2021-01-13",2,"Afar",20.36
"2021-01-13",3,"Amhara",13.52
"2021-01-13",4,"Benshangul-Gumaz",20.27
"2021-01-13",5,"Dire Dawa",13.18
"2021-01-13",6,"Gambela Peoples",23.41
"2021-01-13",7,"Harari People",13.09
"2021-01-13",8,"Oromia",16.23
"2021-01-13",9,"Somali",19.61
"2021-01-13",10,"Southern Nations, Nationalities and Peoples",17.96
"2021-01-13",11,"Tigray",13.83
"2021-01-14",1,"Addis Ababa",10.69
"2021-01-14",2,"Afar",19.94
"2021-01-14",3,"Amhara",14.33
"2021-01-14",4,"Benshangul-Gumaz",20.6
"2021-01-14",5,"Dire Dawa",13.29
"2021-01-14",6,"Gambela Peoples",23.9
"2021-01-14",7,"Harari People",13.3
"2021-01-14",8,"Oromia",15.98
"2021-01-14",9,"Somali",19.74
"2021-01-14",10,"Southern Nations, Nationalities and Peoples",18.25
"2021-01-14",11,"Tigray",14.24
"2021-01-15",1,"Addis Ababa",11.66
"2021-01-15",2,"Afar",20.51
"2021-01-15",3,"Amhara",14.71
"2021-01-15",4,"Benshangul-Gumaz",20.65
"2021-01-15",5,"Dire Dawa",13.83
"2021-01-15",6,"Gambela Peoples",24.63
"2021-01-15",7,"Harari People",14.31
"2021-01-15",8,"Oromia",16.14
"2021-01-15",9,"Somali",20.01
"2021-01-15",10,"Southern Nations, Nationalities and Peoples",18.04
"2021-01-15",11,"Tigray",14.57
"2021-01-16",1,"Addis Ababa",11.7
"2021-01-16",2,"Afar",21.15
"2021-01-16",3,"Amhara",14.78
"2021-01-16",4,"Benshangul-Gumaz",20.76
"2021-01-16",5,"Dire Dawa",15.13
"2021-01-16",6,"Gambela Peoples",24.65
"2021-01-16",7,"Harari People",14.09
"2021-01-16",8,"Oromia",16.12
"2021-01-16",9,"Somali",20.29
"2021-01-16",10,"Southern Nations, Nationalities and Peoples",17.92
"2021-01-16",11,"Tigray",14.71
"2021-01-17",1,"Addis Ababa",10.95
"2021-01-17",2,"Afar",21.21
"2021-01-17",3,"Amhara",14.95
"2021-01-17",4,"Benshangul-Gumaz",21.59
"2021-01-17",5,"Dire Dawa",12.73
"2021-01-17",6,"Gambela Peoples",25.01
"2021-01-17",7,"Harari People",13.77
"2021-01-17",8,"Oromia",16.53
"2021-01-17",9,"Somali",20.12
"2021-01-17",10,"Southern Nations, Nationalities and Peoples",18.02
"2021-01-17",11,"Tigray",15.11
"2021-01-18",1,"Addis Ababa",10.21
"2021-01-18",2,"Afar",21.77
"2021-01-18",3,"Amhara",15.24
"2021-01-18",4,"Benshangul-Gumaz",21.94
"2021-01-18",5,"Dire Dawa",13.21
"2021-01-18",6,"Gambela Peoples",25.55
"2021-01-18",7,"Harari People",13.68
"2021-01-18",8,"Oromia",16.65
"2021-01-18",9,"Somali",20.37
"2021-01-18",10,"Southern Nations, Nationalities and Peoples",17.68
"2021-01-18",11,"Tigray",15.34
"2021-01-19",1,"Addis Ababa",8.35
"2021-01-19",2,"Afar",21.47
"2021-01-19",3,"Amhara",14.26
"2021-01-19",4,"Benshangul-Gumaz",21.34
"2021-01-19",5,"Dire Dawa",13.37
"2021-01-19",6,"Gambela Peoples",25.35
"2021-01-19",7,"Harari People",13.29
"2021-01-19",8,"Oromia",16.43
"2021-01-19",9,"Somali",21
"2021-01-19",10,"Southern Nations, Nationalities and Peoples",17.95
"2021-01-19",11,"Tigray",14.68
"2021-01-20",1,"Addis Ababa",9.29
"2021-01-20",2,"Afar",22.13
"2021-01-20",3,"Amhara",15.05
"2021-01-20",4,"Benshangul-Gumaz",21.54
"2021-01-20",5,"Dire Dawa",13.69
"2021-01-20",6,"Gambela Peoples",26.63
"2021-01-20",7,"Harari People",13.81
"2021-01-20",8,"Oromia",16.94
"2021-01-20",9,"Somali",21.38
"2021-01-20",10,"Southern Nations, Nationalities and Peoples",18.67
"2021-01-20",11,"Tigray",14.8
"2021-01-21",1,"Addis Ababa",11
"2021-01-21",2,"Afar",20.98
"2021-01-21",3,"Amhara",14.71
"2021-01-21",4,"Benshangul-Gumaz",20.71
"2021-01-21",5,"Dire Dawa",13.04
"2021-01-21",6,"Gambela Peoples",25.77
"2021-01-21",7,"Harari People",13.7
"2021-01-21",8,"Oromia",17.15
"2021-01-21",9,"Somali",21.84
"2021-01-21",10,"Southern Nations, Nationalities and Peoples",19.74
"2021-01-21",11,"Tigray",15.19
"2021-01-22",1,"Addis Ababa",9.94
"2021-01-22",2,"Afar",21.23
"2021-01-22",3,"Amhara",16.16
"2021-01-22",4,"Benshangul-Gumaz",22.78
"2021-01-22",5,"Dire Dawa",13.38
"2021-01-22",6,"Gambela Peoples",25.82
"2021-01-22",7,"Harari People",14.3
"2021-01-22",8,"Oromia",17.28
"2021-01-22",9,"Somali",22.11
"2021-01-22",10,"Southern Nations, Nationalities and Peoples",19.62
"2021-01-22",11,"Tigray",16.07
"2021-01-23",1,"Addis Ababa",7.06
"2021-01-23",2,"Afar",20.05
"2021-01-23",3,"Amhara",14.99
"2021-01-23",4,"Benshangul-Gumaz",22.61
"2021-01-23",5,"Dire Dawa",13.62
"2021-01-23",6,"Gambela Peoples",25.53
"2021-01-23",7,"Harari People",13.79
"2021-01-23",8,"Oromia",16.33
"2021-01-23",9,"Somali",21.47
"2021-01-23",10,"Southern Nations, Nationalities and Peoples",18.71
"2021-01-23",11,"Tigray",15.43
"2021-01-24",1,"Addis Ababa",9.76
"2021-01-24",2,"Afar",20.2
"2021-01-24",3,"Amhara",15.8
"2021-01-24",4,"Benshangul-Gumaz",22.91
"2021-01-24",5,"Dire Dawa",13.62
"2021-01-24",6,"Gambela Peoples",25.32
"2021-01-24",7,"Harari People",15.83
"2021-01-24",8,"Oromia",16.73
"2021-01-24",9,"Somali",20.56
"2021-01-24",10,"Southern Nations, Nationalities and Peoples",18.43
"2021-01-24",11,"Tigray",16.47
"2021-01-25",1,"Addis Ababa",8.13
"2021-01-25",2,"Afar",20.52
"2021-01-25",3,"Amhara",15.28
"2021-01-25",4,"Benshangul-Gumaz",22.7
