"","date","ID_1","NAME_1","t2m"
"1","2022-01-01",1,"Addis Ababa",11.98
"2","2022-01-01",2,"Afar",22.87
"3","2022-01-01",3,"Amhara",15.01
"4","2022-01-01",4,"Benshangul-Gumaz",20.8
"5","2022-01-01",5,"Dire Dawa",14.82
"6","2022-01-01",6,"Gambela Peoples",25.96
"7","2022-01-01",7,"Harari People",15.61
"8","2022-01-01",8,"Oromia",16.8
"9","2022-01-01",9,"Somali",20.98
"10","2022-01-01",10,"Southern Nations, Nationalities and Peoples",19.11
"11","2022-01-01",11,"Tigray",15.32
"12","2022-01-02",1,"Addis Ababa",13.93
"13","2022-01-02",2,"Afar",23.72
"14","2022-01-02",3,"Amhara",15.44
"15","2022-01-02",4,"Benshangul-Gumaz",21.02
"16","2022-01-02",5,"Dire Dawa",17.02
"17","2022-01-02",6,"Gambela Peoples",26
"18","2022-01-02",7,"Harari People",16.17
"19","2022-01-02",8,"Oromia",16.97
"20","2022-01-02",9,"Somali",21.14
"21","2022-01-02",10,"Southern Nations, Nationalities and Peoples",18.44
"22","2022-01-02",11,"Tigray",15.94
"23","2022-01-03",1,"Addis Ababa",13.18
"24","2022-01-03",2,"Afar",23.14
"25","2022-01-03",3,"Amhara",14.74
"26","2022-01-03",4,"Benshangul-Gumaz",19.77
"27","2022-01-03",5,"Dire Dawa",17.04
"28","2022-01-03",6,"Gambela Peoples",25.5
"29","2022-01-03",7,"Harari People",15.66
"30","2022-01-03",8,"Oromia",17.18
"31","2022-01-03",9,"Somali",21.6
"32","2022-01-03",10,"Southern Nations, Nationalities and Peoples",18.79
"33","2022-01-03",11,"Tigray",15.05
"34","2022-01-04",1,"Addis Ababa",12.3
"35","2022-01-04",2,"Afar",22.24
"36","2022-01-04",3,"Amhara",14.77
"37","2022-01-04",4,"Benshangul-Gumaz",19.24
"38","2022-01-04",5,"Dire Dawa",17.93
"39","2022-01-04",6,"Gambela Peoples",25.88
"40","2022-01-04",7,"Harari People",16.98
"41","2022-01-04",8,"Oromia",17.08
"42","2022-01-04",9,"Somali",21.94
"43","2022-01-04",10,"Southern Nations, Nationalities and Peoples",18.88
"44","2022-01-04",11,"Tigray",14.82
"45","2022-01-05",1,"Addis Ababa",11.65
"46","2022-01-05",2,"Afar",21.33
"47","2022-01-05",3,"Amhara",14.32
"48","2022-01-05",4,"Benshangul-Gumaz",18.9
"49","2022-01-05",5,"Dire Dawa",17.24
"50","2022-01-05",6,"Gambela Peoples",25.18
"51","2022-01-05",7,"Harari People",16.2
"52","2022-01-05",8,"Oromia",17.2
"53","2022-01-05",9,"Somali",22.65
"54","2022-01-05",10,"Southern Nations, Nationalities and Peoples",19.07
"55","2022-01-05",11,"Tigray",14.14
"56","2022-01-06",1,"Addis Ababa",11.29
"57","2022-01-06",2,"Afar",22.39
"58","2022-01-06",3,"Amhara",15.27
"59","2022-01-06",4,"Benshangul-Gumaz",21.23
"60","2022-01-06",5,"Dire Dawa",16.54
"61","2022-01-06",6,"Gambela Peoples",25.42
"62","2022-01-06",7,"Harari People",15.62
"63","2022-01-06",8,"Oromia",16.73
"64","2022-01-06",9,"Somali",22.18
"65","2022-01-06",10,"Southern Nations, Nationalities and Peoples",18.74
"66","2022-01-06",11,"Tigray",15.29
"67","2022-01-07",1,"Addis Ababa",11.22
"68","2022-01-07",2,"Afar",23.48
"69","2022-01-07",3,"Amhara",15.82
"70","2022-01-07",4,"Benshangul-Gumaz",20.95
"71","2022-01-07",5,"Dire Dawa",16.29
"72","2022-01-07",6,"Gambela Peoples",25.85
"73","2022-01-07",7,"Harari People",16.28
"74","2022-01-07",8,"Oromia",16.63
"75","2022-01-07",9,"Somali",21.85
"76","2022-01-07",10,"Southern Nations, Nationalities and Peoples",18.4
"77","2022-01-07",11,"Tigray",15.85
"78","2022-01-08",1,"Addis Ababa",10.23
"79","2022-01-08",2,"Afar",23.14
"80","2022-01-08",3,"Amhara",15.87
"81","2022-01-08",4,"Benshangul-Gumaz",21.76
"82","2022-01-08",5,"Dire Dawa",15.93
"83","2022-01-08",6,"Gambela Peoples",26.15
"84","2022-01-08",7,"Harari People",15.4
"85","2022-01-08",8,"Oromia",16.8
"86","2022-01-08",9,"Somali",21.76
"87","2022-01-08",10,"Southern Nations, Nationalities and Peoples",18.47
"88","2022-01-08",11,"Tigray",16.46
"89","2022-01-09",1,"Addis Ababa",10.04
"90","2022-01-09",2,"Afar",22.48
"91","2022-01-09",3,"Amhara",15.55
"92","2022-01-09",4,"Benshangul-Gumaz",21.61
"93","2022-01-09",5,"Dire Dawa",16.12
"94","2022-01-09",6,"Gambela Peoples",26.5
"95","2022-01-09",7,"Harari People",15.66
"96","2022-01-09",8,"Oromia",17.11
"97","2022-01-09",9,"Somali",21.63
"98","2022-01-09",10,"Southern Nations, Nationalities and Peoples",19.97
"99","2022-01-09",11,"Tigray",16.67
"100","2022-01-10",1,"Addis Ababa",9.4
"101","2022-01-10",2,"Afar",21.81
"102","2022-01-10",3,"Amhara",15.08
"103","2022-01-10",4,"Benshangul-Gumaz",22.76
"104","2022-01-10",5,"Dire Dawa",15.12
"105","2022-01-10",6,"Gambela Peoples",26.8
"106","2022-01-10",7,"Harari People",15.08
"107","2022-01-10",8,"Oromia",16.83
"108","2022-01-10",9,"Somali",21.23
"109","2022-01-10",10,"Southern Nations, Nationalities and Peoples",20.01
"110","2022-01-10",11,"Tigray",16.4
"111","2022-01-11",1,"Addis Ababa",9.85
"112","2022-01-11",2,"Afar",21.43
"113","2022-01-11",3,"Amhara",15.51
"114","2022-01-11",4,"Benshangul-Gumaz",23.46
"115","2022-01-11",5,"Dire Dawa",14.37
"116","2022-01-11",6,"Gambela Peoples",26.85
"117","2022-01-11",7,"Harari People",16.19
"118","2022-01-11",8,"Oromia",17.27
"119","2022-01-11",9,"Somali",20.93
"120","2022-01-11",10,"Southern Nations, Nationalities and Peoples",20.28
"121","2022-01-11",11,"Tigray",17.05
"122","2022-01-12",1,"Addis Ababa",9.26
"123","2022-01-12",2,"Afar",21.3
"124","2022-01-12",3,"Amhara",15.27
"125","2022-01-12",4,"Benshangul-Gumaz",22.83
"126","2022-01-12",5,"Dire Dawa",14.23
"127","2022-01-12",6,"Gambela Peoples",26.84
"128","2022-01-12",7,"Harari People",14.18
"129","2022-01-12",8,"Oromia",17.13
"130","2022-01-12",9,"Somali",20.55
"131","2022-01-12",10,"Southern Nations, Nationalities and Peoples",20.42
"132","2022-01-12",11,"Tigray",16.58
"133","2022-01-13",1,"Addis Ababa",8.52
"134","2022-01-13",2,"Afar",21.04
"135","2022-01-13",3,"Amhara",14.76
"136","2022-01-13",4,"Benshangul-Gumaz",22.41
"137","2022-01-13",5,"Dire Dawa",15.6
"138","2022-01-13",6,"Gambela Peoples",26.95
"139","2022-01-13",7,"Harari People",14.43
"140","2022-01-13",8,"Oromia",16.49
"141","2022-01-13",9,"Somali",20.15
"142","2022-01-13",10,"Southern Nations, Nationalities and Peoples",19.73
"143","2022-01-13",11,"Tigray",15.85
"144","2022-01-14",1,"Addis Ababa",9.45
"145","2022-01-14",2,"Afar",21.24
"146","2022-01-14",3,"Amhara",15.22
"147","2022-01-14",4,"Benshangul-Gumaz",23.29
"148","2022-01-14",5,"Dire Dawa",13.77
"149","2022-01-14",6,"Gambela Peoples",26.99
"150","2022-01-14",7,"Harari People",14.41
"151","2022-01-14",8,"Oromia",16.68
"152","2022-01-14",9,"Somali",20.55
"153","2022-01-14",10,"Southern Nations, Nationalities and Peoples",19.72
"154","2022-01-14",11,"Tigray",15.57
"155","2022-01-15",1,"Addis Ababa",13.15
"156","2022-01-15",2,"Afar",22.11
"157","2022-01-15",3,"Amhara",15.36
"158","2022-01-15",4,"Benshangul-Gumaz",23.42
"159","2022-01-15",5,"Dire Dawa",17.23
"160","2022-01-15",6,"Gambela Peoples",26.2
"161","2022-01-15",7,"Harari People",16.26
"162","2022-01-15",8,"Oromia",17.74
"163","2022-01-15",9,"Somali",21.63
"164","2022-01-15",10,"Southern Nations, Nationalities and Peoples",20.06
"165","2022-01-15",11,"Tigray",15.86
"166","2022-01-16",1,"Addis Ababa",13.79
"167","2022-01-16",2,"Afar",22.68
"168","2022-01-16",3,"Amhara",14.54
"169","2022-01-16",4,"Benshangul-Gumaz",21.46
"170","2022-01-16",5,"Dire Dawa",16.85
"171","2022-01-16",6,"Gambela Peoples",25.63
"172","2022-01-16",7,"Harari People",16.68
"173","2022-01-16",8,"Oromia",18.49
"174","2022-01-16",9,"Somali",22.59
"175","2022-01-16",10,"Southern Nations, Nationalities and Peoples",20.09
"176","2022-01-16",11,"Tigray",16.04
"177","2022-01-17",1,"Addis Ababa",11.93
"178","2022-01-17",2,"Afar",23.51
"179","2022-01-17",3,"Amhara",15.4
"180","2022-01-17",4,"Benshangul-Gumaz",23.16
"181","2022-01-17",5,"Dire Dawa",16.66
"182","2022-01-17",6,"Gambela Peoples",26.75
"183","2022-01-17",7,"Harari People",16.79
"184","2022-01-17",8,"Oromia",17.93
"185","2022-01-17",9,"Somali",22.17
"186","2022-01-17",10,"Southern Nations, Nationalities and Peoples",19.5
"187","2022-01-17",11,"Tigray",16.39
"188","2022-01-18",1,"Addis Ababa",12.15
"189","2022-01-18",2,"Afar",23.27
"190","2022-01-18",3,"Amhara",16.05
"191","2022-01-18",4,"Benshangul-Gumaz",21.56
"192","2022-01-18",5,"Dire Dawa",15.94
"193","2022-01-18",6,"Gambela Peoples",23.93
"194","2022-01-18",7,"Harari People",15.76
"195","2022-01-18",8,"Oromia",17.04
"196","2022-01-18",9,"Somali",21.81
"197","2022-01-18",10,"Southern Nations, Nationalities and Peoples",17.43
"198","2022-01-18",11,"Tigray",17.02
"199","2022-01-19",1,"Addis Ababa",10.55
"200","2022-01-19",2,"Afar",23.05
"201","2022-01-19",3,"Amhara",14.73
"202","2022-01-19",4,"Benshangul-Gumaz",19.98
"203","2022-01-19",5,"Dire Dawa",14.85
"204","2022-01-19",6,"Gambela Peoples",23.78
"205","2022-01-19",7,"Harari People",15.36
"206","2022-01-19",8,"Oromia",16.37
"207","2022-01-19",9,"Somali",21.72
"208","2022-01-19",10,"Southern Nations, Nationalities and Peoples",16.7
"209","2022-01-19",11,"Tigray",15.93
"210","2022-01-20",1,"Addis Ababa",8.07
"211","2022-01-20",2,"Afar",21.29
"212","2022-01-20",3,"Amhara",13.64
"213","2022-01-20",4,"Benshangul-Gumaz",19.28
"214","2022-01-20",5,"Dire Dawa",13.6
"215","2022-01-20",6,"Gambela Peoples",24.13
"216","2022-01-20",7,"Harari People",13.92
"217","2022-01-20",8,"Oromia",16.15
"218","2022-01-20",9,"Somali",21.36
"219","2022-01-20",10,"Southern Nations, Nationalities and Peoples",17.81
"220","2022-01-20",11,"Tigray",14.71
"221","2022-01-21",1,"Addis Ababa",7.92
"222","2022-01-21",2,"Afar",21.19
"223","2022-01-21",3,"Amhara",13.61
"224","2022-01-21",4,"Benshangul-Gumaz",18.94
"225","2022-01-21",5,"Dire Dawa",14.86
"226","2022-01-21",6,"Gambela Peoples",23.11
