"date","ID_0","NAME_0","t2m"
"2016-01-01",1,"Finland",-3.8
"2016-01-02",1,"Finland",-10.18
"2016-01-03",1,"Finland",-10.81
"2016-01-04",1,"Finland",-15.73
"2016-01-05",1,"Finland",-17.91
"2016-01-06",1,"Finland",-24.46
"2016-01-07",1,"Finland",-28.9
"2016-01-08",1,"Finland",-24.23
"2016-01-09",1,"Finland",-16.46
"2016-01-10",1,"Finland",-16.85
"2016-01-11",1,"Finland",-18.6
"2016-01-12",1,"Finland",-15.88
"2016-01-13",1,"Finland",-18.2
"2016-01-14",1,"Finland",-14.5
"2016-01-15",1,"Finland",-13.43
"2016-01-16",1,"Finland",-15.89
"2016-01-17",1,"Finland",-18.66
"2016-01-18",1,"Finland",-22.96
"2016-01-19",1,"Finland",-24.41
"2016-01-20",1,"Finland",-25.87
"2016-01-21",1,"Finland",-26.03
"2016-01-22",1,"Finland",-26.78
"2016-01-23",1,"Finland",-10.56
"2016-01-24",1,"Finland",-6.62
"2016-01-25",1,"Finland",-7.2
"2016-01-26",1,"Finland",-8.33
"2016-01-27",1,"Finland",-3.43
"2016-01-28",1,"Finland",-0.53
"2016-01-29",1,"Finland",-5.93
"2016-01-30",1,"Finland",-3.35
"2016-01-31",1,"Finland",-0.39
"2016-02-01",1,"Finland",-2.77
"2016-02-02",1,"Finland",-5.03
"2016-02-03",1,"Finland",-4.67
"2016-02-04",1,"Finland",-7.32
"2016-02-05",1,"Finland",-7.05
"2016-02-06",1,"Finland",-9.4
"2016-02-07",1,"Finland",-3.65
"2016-02-08",1,"Finland",0.36
"2016-02-09",1,"Finland",1.12
"2016-02-10",1,"Finland",1.13
"2016-02-11",1,"Finland",0.73
"2016-02-12",1,"Finland",-0.95
"2016-02-13",1,"Finland",-1.83
"2016-02-14",1,"Finland",-3
"2016-02-15",1,"Finland",-1.33
"2016-02-16",1,"Finland",-5.8
"2016-02-17",1,"Finland",-8.86
"2016-02-18",1,"Finland",-3.24
"2016-02-19",1,"Finland",-2.39
"2016-02-20",1,"Finland",-1.89
"2016-02-21",1,"Finland",-1.66
"2016-02-22",1,"Finland",-2.66
"2016-02-23",1,"Finland",-6.18
"2016-02-24",1,"Finland",-6.8
"2016-02-25",1,"Finland",-5.28
"2016-02-26",1,"Finland",-8.44
"2016-02-27",1,"Finland",-10.96
"2016-02-28",1,"Finland",-9.33
"2016-02-29",1,"Finland",-12.09
"2016-03-01",1,"Finland",-8.39
"2016-03-02",1,"Finland",-5.75
"2016-03-03",1,"Finland",-9.18
"2016-03-04",1,"Finland",-7.34
"2016-03-05",1,"Finland",-4.03
"2016-03-06",1,"Finland",-2.53
"2016-03-07",1,"Finland",-1.7
"2016-03-08",1,"Finland",-1.04
"2016-03-09",1,"Finland",-0.49
"2016-03-10",1,"Finland",-1.71
"2016-03-11",1,"Finland",-3.1
"2016-03-12",1,"Finland",-2.87
"2016-03-13",1,"Finland",-3.2
"2016-03-14",1,"Finland",-2.63
"2016-03-15",1,"Finland",-1.45
"2016-03-16",1,"Finland",1.91
"2016-03-17",1,"Finland",0.14
"2016-03-18",1,"Finland",-6.66
"2016-03-19",1,"Finland",-9.83
"2016-03-20",1,"Finland",-9.29
"2016-03-21",1,"Finland",-11.19
"2016-03-22",1,"Finland",-14.09
"2016-03-23",1,"Finland",-11.33
"2016-03-24",1,"Finland",-5.37
"2016-03-25",1,"Finland",-4.73
"2016-03-26",1,"Finland",-0.37
"2016-03-27",1,"Finland",1.34
"2016-03-28",1,"Finland",2.12
"2016-03-29",1,"Finland",0.61
"2016-03-30",1,"Finland",1.11
"2016-03-31",1,"Finland",0.37
"2016-04-01",1,"Finland",-2.17
"2016-04-02",1,"Finland",-2.4
"2016-04-03",1,"Finland",-2.19
"2016-04-04",1,"Finland",-2.49
"2016-04-05",1,"Finland",-0.14
"2016-04-06",1,"Finland",1.33
"2016-04-07",1,"Finland",2.88
"2016-04-08",1,"Finland",2.67
"2016-04-09",1,"Finland",1.41
"2016-04-10",1,"Finland",0.14
"2016-04-11",1,"Finland",-0.84
"2016-04-12",1,"Finland",0.15
"2016-04-13",1,"Finland",-1.86
"2016-04-14",1,"Finland",-4.99
"2016-04-15",1,"Finland",-5.1
"2016-04-16",1,"Finland",-2.67
"2016-04-17",1,"Finland",2.72
"2016-04-18",1,"Finland",2.2
"2016-04-19",1,"Finland",1.12
"2016-04-20",1,"Finland",0.5
"2016-04-21",1,"Finland",-1.17
"2016-04-22",1,"Finland",-1.6
"2016-04-23",1,"Finland",-2.12
"2016-04-24",1,"Finland",-2.64
"2016-04-25",1,"Finland",-1.23
"2016-04-26",1,"Finland",0.98
"2016-04-27",1,"Finland",6.74
"2016-04-28",1,"Finland",3.44
"2016-04-29",1,"Finland",7.08
"2016-04-30",1,"Finland",3.05
"2016-05-01",1,"Finland",3.54
"2016-05-02",1,"Finland",2.34
"2016-05-03",1,"Finland",1.36
"2016-05-04",1,"Finland",3.23
"2016-05-05",1,"Finland",4.3
"2016-05-06",1,"Finland",3.9
"2016-05-07",1,"Finland",3.9
"2016-05-08",1,"Finland",5.69
"2016-05-09",1,"Finland",6.39
"2016-05-10",1,"Finland",4.62
"2016-05-11",1,"Finland",3.8
"2016-05-12",1,"Finland",1.45
"2016-05-13",1,"Finland",5.19
"2016-05-14",1,"Finland",4.85
"2016-05-15",1,"Finland",7.4
"2016-05-16",1,"Finland",5.33
"2016-05-17",1,"Finland",6.62
"2016-05-18",1,"Finland",3.24
"2016-05-19",1,"Finland",3.92
"2016-05-20",1,"Finland",4.99
"2016-05-21",1,"Finland",6.32
"2016-05-22",1,"Finland",7.68
"2016-05-23",1,"Finland",6.46
"2016-05-24",1,"Finland",11.03
"2016-05-25",1,"Finland",9.71
"2016-05-26",1,"Finland",9.76
"2016-05-27",1,"Finland",6.76
"2016-05-28",1,"Finland",8.11
"2016-05-29",1,"Finland",8.92
"2016-05-30",1,"Finland",10.39
"2016-05-31",1,"Finland",11.42
"2016-06-01",1,"Finland",11.87
"2016-06-02",1,"Finland",10.69
"2016-06-03",1,"Finland",10
"2016-06-04",1,"Finland",6.37
"2016-06-05",1,"Finland",4.69
"2016-06-06",1,"Finland",4.02
"2016-06-07",1,"Finland",3.79
"2016-06-08",1,"Finland",9.65
"2016-06-09",1,"Finland",4.06
"2016-06-10",1,"Finland",4.62
"2016-06-11",1,"Finland",4.56
"2016-06-12",1,"Finland",4.99
"2016-06-13",1,"Finland",5.95
"2016-06-14",1,"Finland",6.54
"2016-06-15",1,"Finland",5.82
"2016-06-16",1,"Finland",10.93
"2016-06-17",1,"Finland",14.43
"2016-06-18",1,"Finland",13.59
"2016-06-19",1,"Finland",12.05
"2016-06-20",1,"Finland",9.65
"2016-06-21",1,"Finland",8.85
"2016-06-22",1,"Finland",12.65
"2016-06-23",1,"Finland",10.31
"2016-06-24",1,"Finland",12.37
"2016-06-25",1,"Finland",12.05
"2016-06-26",1,"Finland",11.93
"2016-06-27",1,"Finland",12.47
"2016-06-28",1,"Finland",13.61
"2016-06-29",1,"Finland",13.22
"2016-06-30",1,"Finland",13.14
"2016-07-01",1,"Finland",14.73
"2016-07-02",1,"Finland",14.75
"2016-07-03",1,"Finland",17.75
"2016-07-04",1,"Finland",12.9
"2016-07-05",1,"Finland",11.69
"2016-07-06",1,"Finland",13.05
"2016-07-07",1,"Finland",13.31
"2016-07-08",1,"Finland",12.23
"2016-07-09",1,"Finland",12.14
"2016-07-10",1,"Finland",11.4
"2016-07-11",1,"Finland",10.51
"2016-07-12",1,"Finland",12.85
"2016-07-13",1,"Finland",13.78
"2016-07-14",1,"Finland",13.05
"2016-07-15",1,"Finland",11.65
"2016-07-16",1,"Finland",14.48
"2016-07-17",1,"Finland",14.14
"2016-07-18",1,"Finland",12.25
"2016-07-19",1,"Finland",9.74
"2016-07-20",1,"Finland",9.27
"2016-07-21",1,"Finland",11.61
"2016-07-22",1,"Finland",12.9
"2016-07-23",1,"Finland",14.58
"2016-07-24",1,"Finland",15.38
"2016-07-25",1,"Finland",15.36
"2016-07-26",1,"Finland",14.55
"2016-07-27",1,"Finland",15.87
"2016-07-28",1,"Finland",13.64
"2016-07-29",1,"Finland",14.27
"2016-07-30",1,"Finland",13.36
"2016-07-31",1,"Finland",14.02
"2016-08-01",1,"Finland",13.25
"2016-08-02",1,"Finland",12.2
"2016-08-03",1,"Finland",10.92
"2016-08-04",1,"Finland",10.96
"2016-08-05",1,"Finland",12.56
"2016-08-06",1,"Finland",12.13
"2016-08-07",1,"Finland",12.61
"2016-08-08",1,"Finland",12.21
"2016-08-09",1,"Finland",15.15
"2016-08-10",1,"Finland",11.79
"2016-08-11",1,"Finland",10.38
"2016-08-12",1,"Finland",8.76
"2016-08-13",1,"Finland",8.97
"2016-08-14",1,"Finland",10.62
"2016-08-15",1,"Finland",11
"2016-08-16",1,"Finland",11.87
"2016-08-17",1,"Finland",10.63
"2016-08-18",1,"Finland",10.98
"2016-08-19",1,"Finland",12.48
"2016-08-20",1,"Finland",13.6
"2016-08-21",1,"Finland",12.46
"2016-08-22",1,"Finland",14.07
"2016-08-23",1,"Finland",14.3
"2016-08-24",1,"Finland",9.8
"2016-08-25",1,"Finland",7.72
"2016-08-26",1,"Finland",10.41
"2016-08-27",1,"Finland",11.35
"2016-08-28",1,"Finland",6.36
"2016-08-29",1,"Finland",4.99
"2016-08-30",1,"Finland",6.4
"2016-08-31",1,"Finland",6.97
"2016-09-01",1,"Finland",11.89
"2016-09-02",1,"Finland",10.05
"2016-09-03",1,"Finland",6.45
"2016-09-04",1,"Finland",6.66
"2016-09-05",1,"Finland",7.52
"2016-09-06",1,"Finland",3.18
"2016-09-07",1,"Finland",10.22
"2016-09-08",1,"Finland",10.24
"2016-09-09",1,"Finland",5.91
"2016-09-10",1,"Finland",8.11
"2016-09-11",1,"Finland",10.29
"2016-09-12",1,"Finland",12.12
"2016-09-13",1,"Finland",6.49
"2016-09-14",1,"Finland",4.56
"2016-09-15",1,"Finland",8.76
"2016-09-16",1,"Finland",6.41
"2016-09-17",1,"Finland",4.64
"2016-09-18",1,"Finland",3.19
"2016-09-19",1,"Finland",4.25
"2016-09-20",1,"Finland",6.67
"2016-09-21",1,"Finland",6.74
"2016-09-22",1,"Finland",7.7
"2016-09-23",1,"Finland",6.7
"2016-09-24",1,"Finland",6.93
"2016-09-25",1,"Finland",6.78
"2016-09-26",1,"Finland",9.85
"2016-09-27",1,"Finland",9.69
"2016-09-28",1,"Finland",11.15
"2016-09-29",1,"Finland",9.57
"2016-09-30",1,"Finland",9.73
"2016-10-01",1,"Finland",7.04
"2016-10-02",1,"Finland",5.1
"2016-10-03",1,"Finland",1.39
"2016-10-04",1,"Finland",1.56
"2016-10-05",1,"Finland",-0.67
"2016-10-06",1,"Finland",0.51
"2016-10-07",1,"Finland",2.22
"2016-10-08",1,"Finland",4.38
"2016-10-09",1,"Finland",3.93
"2016-10-10",1,"Finland",1.97
"2016-10-11",1,"Finland",0.33
"2016-10-12",1,"Finland",0.41
"2016-10-13",1,"Finland",1.38
"2016-10-14",1,"Finland",2.2
"2016-10-15",1,"Finland",2.65
"2016-10-16",1,"Finland",2.36
"2016-10-17",1,"Finland",2.13
"2016-10-18",1,"Finland",2.5
"2016-10-19",1,"Finland",2.68
"2016-10-20",1,"Finland",1.22
"2016-10-21",1,"Finland",1.53
"2016-10-22",1,"Finland",1.28
"2016-10-23",1,"Finland",1.12
"2016-10-24",1,"Finland",1.67
"2016-10-25",1,"Finland",1.59
"2016-10-26",1,"Finland",-0.93
"2016-10-27",1,"Finland",-1.37
"2016-10-28",1,"Finland",3.74
"2016-10-29",1,"Finland",2.12
"2016-10-30",1,"Finland",1.13
"2016-10-31",1,"Finland",0.32
"2016-11-01",1,"Finland",-0.39
"2016-11-02",1,"Finland",-0.82
"2016-11-03",1,"Finland",-2.52
"2016-11-04",1,"Finland",-4.11
"2016-11-05",1,"Finland",-7.51
"2016-11-06",1,"Finland",-8.89
"2016-11-07",1,"Finland",-9.36
"2016-11-08",1,"Finland",-10.31
"2016-11-09",1,"Finland",-8.7
"2016-11-10",1,"Finland",-8.54
"2016-11-11",1,"Finland",-9.28
"2016-11-12",1,"Finland",-7.85
"2016-11-13",1,"Finland",-8.07
"2016-11-14",1,"Finland",-5.43
"2016-11-15",1,"Finland",-3.05
"2016-11-16",1,"Finland",-0.64
"2016-11-17",1,"Finland",-0.47
"2016-11-18",1,"Finland",1.04
"2016-11-19",1,"Finland",1.67
"2016-11-20",1,"Finland",2.31
"2016-11-21",1,"Finland",1.42
"2016-11-22",1,"Finland",3.51
"2016-11-23",1,"Finland",1.85
"2016-11-24",1,"Finland",-0.12
"2016-11-25",1,"Finland",-3.42
"2016-11-26",1,"Finland",-3.84
"2016-11-27",1,"Finland",-4.42
"2016-11-28",1,"Finland",-8.07
