"","date","ID_1","NAME_1","t2m"
"1","2011-01-01",1,"Eastern Finland",-10.74
"2","2011-01-01",2,"Lapland",-12.79
"3","2011-01-01",3,"Oulu",-11.74
"4","2011-01-01",4,"Southern Finland",-6.32
"5","2011-01-01",5,"Western Finland",-5.63
"6","2011-01-02",1,"Eastern Finland",-13.96
"7","2011-01-02",2,"Lapland",-12.11
"8","2011-01-02",3,"Oulu",-11.4
"9","2011-01-02",4,"Southern Finland",-10.99
"10","2011-01-02",5,"Western Finland",-11.06
"11","2011-01-03",1,"Eastern Finland",-14.55
"12","2011-01-03",2,"Lapland",-11.69
"13","2011-01-03",3,"Oulu",-14.11
"14","2011-01-03",4,"Southern Finland",-12.97
"15","2011-01-03",5,"Western Finland",-10.11
"16","2011-01-04",1,"Eastern Finland",-19.22
"17","2011-01-04",2,"Lapland",-18.58
"18","2011-01-04",3,"Oulu",-19.07
"19","2011-01-04",4,"Southern Finland",-14.39
"20","2011-01-04",5,"Western Finland",-14.86
"21","2011-01-05",1,"Eastern Finland",-15.58
"22","2011-01-05",2,"Lapland",-21.8
"23","2011-01-05",3,"Oulu",-20.63
"24","2011-01-05",4,"Southern Finland",-10.48
"25","2011-01-05",5,"Western Finland",-16.69
"26","2011-01-06",1,"Eastern Finland",-13.18
"27","2011-01-06",2,"Lapland",-18.23
"28","2011-01-06",3,"Oulu",-16.63
"29","2011-01-06",4,"Southern Finland",-9.66
"30","2011-01-06",5,"Western Finland",-13.32
"31","2011-01-07",1,"Eastern Finland",-7.68
"32","2011-01-07",2,"Lapland",-14.71
"33","2011-01-07",3,"Oulu",-10.64
"34","2011-01-07",4,"Southern Finland",-6.25
"35","2011-01-07",5,"Western Finland",-5.89
"36","2011-01-08",1,"Eastern Finland",-5.6
"37","2011-01-08",2,"Lapland",-13.72
"38","2011-01-08",3,"Oulu",-9.18
"39","2011-01-08",4,"Southern Finland",-1.48
"40","2011-01-08",5,"Western Finland",-3.47
"41","2011-01-09",1,"Eastern Finland",-4.89
"42","2011-01-09",2,"Lapland",-11.02
"43","2011-01-09",3,"Oulu",-7.66
"44","2011-01-09",4,"Southern Finland",-1.58
"45","2011-01-09",5,"Western Finland",-2.49
"46","2011-01-10",1,"Eastern Finland",0.18
"47","2011-01-10",2,"Lapland",-6.08
"48","2011-01-10",3,"Oulu",-0.44
"49","2011-01-10",4,"Southern Finland",0.55
"50","2011-01-10",5,"Western Finland",0.39
"51","2011-01-11",1,"Eastern Finland",-0.37
"52","2011-01-11",2,"Lapland",-5.38
"53","2011-01-11",3,"Oulu",-1.2
"54","2011-01-11",4,"Southern Finland",0.33
"55","2011-01-11",5,"Western Finland",-0.44
"56","2011-01-12",1,"Eastern Finland",-0.48
