"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Eastern Finland",2.45
"2023-01-01",2,"2","Lapland",-2.48
"2023-01-01",3,"3","Oulu",1.08
"2023-01-01",4,"4","Southern Finland",3.73
"2023-01-01",5,"5","Western Finland",2.24
"2023-01-02",1,"1","Eastern Finland",-3.23
"2023-01-02",2,"2","Lapland",-4.23
"2023-01-02",3,"3","Oulu",-3.57
"2023-01-02",4,"4","Southern Finland",-2.82
"2023-01-02",5,"5","Western Finland",-2.74
"2023-01-03",1,"1","Eastern Finland",-9.45
"2023-01-03",2,"2","Lapland",-13.3
"2023-01-03",3,"3","Oulu",-11.22
"2023-01-03",4,"4","Southern Finland",-2.77
"2023-01-03",5,"5","Western Finland",-2.99
"2023-01-04",1,"1","Eastern Finland",-8.04
"2023-01-04",2,"2","Lapland",-14.07
"2023-01-04",3,"3","Oulu",-11.93
"2023-01-04",4,"4","Southern Finland",-3.82
"2023-01-04",5,"5","Western Finland",-4.16
"2023-01-05",1,"1","Eastern Finland",-11.55
"2023-01-05",2,"2","Lapland",-7.93
"2023-01-05",3,"3","Oulu",-9.35
"2023-01-05",4,"4","Southern Finland",-11.32
"2023-01-05",5,"5","Western Finland",-11.79
"2023-01-06",1,"1","Eastern Finland",-8.06
"2023-01-06",2,"2","Lapland",-10.45
"2023-01-06",3,"3","Oulu",-12.21
"2023-01-06",4,"4","Southern Finland",-8.72
"2023-01-06",5,"5","Western Finland",-8.64
"2023-01-07",1,"1","Eastern Finland",-15.13
"2023-01-07",2,"2","Lapland",-17.3
"2023-01-07",3,"3","Oulu",-18.42
"2023-01-07",4,"4","Southern Finland",-9.34
"2023-01-07",5,"5","Western Finland",-10.98
"2023-01-08",1,"1","Eastern Finland",-12.51
"2023-01-08",2,"2","Lapland",-17.48
"2023-01-08",3,"3","Oulu",-13.74
"2023-01-08",4,"4","Southern Finland",-9.47
"2023-01-08",5,"5","Western Finland",-8.2
"2023-01-09",1,"1","Eastern Finland",-10.67
"2023-01-09",2,"2","Lapland",-10.3
"2023-01-09",3,"3","Oulu",-10.62
"2023-01-09",4,"4","Southern Finland",-7.81
"2023-01-09",5,"5","Western Finland",-6.9
"2023-01-10",1,"1","Eastern Finland",-8.62
"2023-01-10",2,"2","Lapland",-9.17
"2023-01-10",3,"3","Oulu",-9.55
"2023-01-10",4,"4","Southern Finland",-5.57
"2023-01-10",5,"5","Western Finland",-5.55
"2023-01-11",1,"1","Eastern Finland",-3.68
"2023-01-11",2,"2","Lapland",-9.01
"2023-01-11",3,"3","Oulu",-9.42
"2023-01-11",4,"4","Southern Finland",1.35
"2023-01-11",5,"5","Western Finland",-1.03
"2023-01-12",1,"1","Eastern Finland",-0.24
"2023-01-12",2,"2","Lapland",-3.42
"2023-01-12",3,"3","Oulu",0.68
"2023-01-12",4,"4","Southern Finland",-0.21
"2023-01-12",5,"5","Western Finland",2.01
"2023-01-13",1,"1","Eastern Finland",0.4
"2023-01-13",2,"2","Lapland",0.13
"2023-01-13",3,"3","Oulu",0.72
"2023-01-13",4,"4","Southern Finland",0.64
"2023-01-13",5,"5","Western Finland",1.6
"2023-01-14",1,"1","Eastern Finland",0.88
"2023-01-14",2,"2","Lapland",-5.02
"2023-01-14",3,"3","Oulu",-0.34
"2023-01-14",4,"4","Southern Finland",2.41
"2023-01-14",5,"5","Western Finland",2.13
"2023-01-15",1,"1","Eastern Finland",1.13
"2023-01-15",2,"2","Lapland",-10.32
"2023-01-15",3,"3","Oulu",-0.45
"2023-01-15",4,"4","Southern Finland",2.5
"2023-01-15",5,"5","Western Finland",1.33
"2023-01-16",1,"1","Eastern Finland",0.87
"2023-01-16",2,"2","Lapland",-3.38
"2023-01-16",3,"3","Oulu",0.93
"2023-01-16",4,"4","Southern Finland",1.68
"2023-01-16",5,"5","Western Finland",2.03
"2023-01-17",1,"1","Eastern Finland",0.57
"2023-01-17",2,"2","Lapland",-2.25
"2023-01-17",3,"3","Oulu",-1.12
"2023-01-17",4,"4","Southern Finland",1.86
"2023-01-17",5,"5","Western Finland",-0.26
"2023-01-18",1,"1","Eastern Finland",-1.16
"2023-01-18",2,"2","Lapland",-6.64
"2023-01-18",3,"3","Oulu",-1.79
"2023-01-18",4,"4","Southern Finland",0.26
"2023-01-18",5,"5","Western Finland",-0.3
"2023-01-19",1,"1","Eastern Finland",0.12
"2023-01-19",2,"2","Lapland",-2.03
"2023-01-19",3,"3","Oulu",-0.53
"2023-01-19",4,"4","Southern Finland",0.5
"2023-01-19",5,"5","Western Finland",-0.07
"2023-01-20",1,"1","Eastern Finland",-1.39
"2023-01-20",2,"2","Lapland",-4.44
"2023-01-20",3,"3","Oulu",-2.38
"2023-01-20",4,"4","Southern Finland",-0.43
"2023-01-20",5,"5","Western Finland",-0.88
"2023-01-21",1,"1","Eastern Finland",-4.46
"2023-01-21",2,"2","Lapland",-7.01
"2023-01-21",3,"3","Oulu",-1.89
"2023-01-21",4,"4","Southern Finland",-6.14
"2023-01-21",5,"5","Western Finland",-4.27
"2023-01-22",1,"1","Eastern Finland",-3.77
"2023-01-22",2,"2","Lapland",-8.19
"2023-01-22",3,"3","Oulu",-4.23
"2023-01-22",4,"4","Southern Finland",-4.65
"2023-01-22",5,"5","Western Finland",-3.38
"2023-01-23",1,"1","Eastern Finland",-8.62
"2023-01-23",2,"2","Lapland",-4.98
"2023-01-23",3,"3","Oulu",-7.89
"2023-01-23",4,"4","Southern Finland",-6.63
"2023-01-23",5,"5","Western Finland",-5.37
"2023-01-24",1,"1","Eastern Finland",-4.7
"2023-01-24",2,"2","Lapland",-2.46
"2023-01-24",3,"3","Oulu",-4.65
"2023-01-24",4,"4","Southern Finland",-1.94
"2023-01-24",5,"5","Western Finland",-2.42
"2023-01-25",1,"1","Eastern Finland",-0.82
"2023-01-25",2,"2","Lapland",-3.96
"2023-01-25",3,"3","Oulu",-0.79
"2023-01-25",4,"4","Southern Finland",0.14
"2023-01-25",5,"5","Western Finland",0.24
"2023-01-26",1,"1","Eastern Finland",2.2
"2023-01-26",2,"2","Lapland",-6.44
"2023-01-26",3,"3","Oulu",-0.24
"2023-01-26",4,"4","Southern Finland",2.41
"2023-01-26",5,"5","Western Finland",1.94
"2023-01-27",1,"1","Eastern Finland",-5.98
"2023-01-27",2,"2","Lapland",-8.87
"2023-01-27",3,"3","Oulu",-10.06
"2023-01-27",4,"4","Southern Finland",-2.99
"2023-01-27",5,"5","Western Finland",-5.05
"2023-01-28",1,"1","Eastern Finland",-5.72
"2023-01-28",2,"2","Lapland",-1.75
"2023-01-28",3,"3","Oulu",-2.88
"2023-01-28",4,"4","Southern Finland",-5.38
"2023-01-28",5,"5","Western Finland",-2.48
