"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Alsace",13.04
"2023-01-01",2,"2","Aquitaine",13.02
"2023-01-01",3,"3","Auvergne",10.66
"2023-01-01",4,"4","Île-de-France",14.07
"2023-01-01",5,"5","Basse-Normandie",13.11
"2023-01-01",6,"6","Bourgogne",12.55
"2023-01-01",7,"7","Bretagne",11.98
"2023-01-01",8,"8","Centre",14.08
"2023-01-01",9,"9","Champagne-Ardenne",13.07
"2023-01-01",10,"10","Corse",9.39
"2023-01-01",11,"11","Franche-Comté",13.76
"2023-01-01",12,"12","Haute-Normandie",13.98
"2023-01-01",13,"13","Languedoc-Roussillon",10.29
"2023-01-01",14,"14","Limousin",11.12
"2023-01-01",15,"15","Lorraine",12.56
"2023-01-01",16,"16","Midi-Pyrénées",10.39
"2023-01-01",17,"17","Nord-Pas-de-Calais",14.04
"2023-01-01",18,"18","Pays de la Loire",14.15
"2023-01-01",19,"19","Picardie",13.82
"2023-01-01",20,"20","Poitou-Charentes",13.16
"2023-01-01",21,"21","Provence-Alpes-Côte d'Azur",7.96
"2023-01-01",22,"22","Rhône-Alpes",8.85
"2023-01-02",1,"1","Alsace",10.66
"2023-01-02",2,"2","Aquitaine",14.16
"2023-01-02",3,"3","Auvergne",11.8
"2023-01-02",4,"4","Île-de-France",14.07
"2023-01-02",5,"5","Basse-Normandie",10.15
"2023-01-02",6,"6","Bourgogne",14.03
"2023-01-02",7,"7","Bretagne",8.8
"2023-01-02",8,"8","Centre",13.83
"2023-01-02",9,"9","Champagne-Ardenne",13.9
"2023-01-02",10,"10","Corse",10.18
"2023-01-02",11,"11","Franche-Comté",14.34
"2023-01-02",12,"12","Haute-Normandie",11.59
"2023-01-02",13,"13","Languedoc-Roussillon",11.1
"2023-01-02",14,"14","Limousin",12.95
"2023-01-02",15,"15","Lorraine",13.53
"2023-01-02",16,"16","Midi-Pyrénées",12.31
"2023-01-02",17,"17","Nord-Pas-de-Calais",12.28
"2023-01-02",18,"18","Pays de la Loire",11.23
"2023-01-02",19,"19","Picardie",13
"2023-01-02",20,"20","Poitou-Charentes",12.68
"2023-01-02",21,"21","Provence-Alpes-Côte d'Azur",6.36
"2023-01-02",22,"22","Rhône-Alpes",8.23
"2023-01-03",1,"1","Alsace",6.83
"2023-01-03",2,"2","Aquitaine",7.82
"2023-01-03",3,"3","Auvergne",5.75
"2023-01-03",4,"4","Île-de-France",5.25
"2023-01-03",5,"5","Basse-Normandie",6.63
"2023-01-03",6,"6","Bourgogne",5.33
"2023-01-03",7,"7","Bretagne",7.68
"2023-01-03",8,"8","Centre",5.89
"2023-01-03",9,"9","Champagne-Ardenne",4.56
"2023-01-03",10,"10","Corse",10.64
"2023-01-03",11,"11","Franche-Comté",6.89
