"","date","ID_1","NAME_1","t2m"
"1","2011-01-01",1,"England",4.64
"2","2011-01-01",2,"Northern Ireland",6.47
"3","2011-01-01",3,"Scotland",5.65
"4","2011-01-01",4,"Wales",3.86
"5","2011-01-02",1,"England",2.31
"6","2011-01-02",2,"Northern Ireland",2.92
"7","2011-01-02",3,"Scotland",1.02
"8","2011-01-02",4,"Wales",3.19
"9","2011-01-03",1,"England",0.75
"10","2011-01-03",2,"Northern Ireland",0.63
"11","2011-01-03",3,"Scotland",1.16
"12","2011-01-03",4,"Wales",0.19
"13","2011-01-04",1,"England",0.31
"14","2011-01-04",2,"Northern Ireland",2.35
"15","2011-01-04",3,"Scotland",3.74
"16","2011-01-04",4,"Wales",-0.82
"17","2011-01-05",1,"England",4.76
"18","2011-01-05",2,"Northern Ireland",2.92
"19","2011-01-05",3,"Scotland",2.24
"20","2011-01-05",4,"Wales",5.78
"21","2011-01-06",1,"England",3.5
"22","2011-01-06",2,"Northern Ireland",2.58
"23","2011-01-06",3,"Scotland",2.73
"24","2011-01-06",4,"Wales",2.8
"25","2011-01-07",1,"England",0.16
"26","2011-01-07",2,"Northern Ireland",-1.94
"27","2011-01-07",3,"Scotland",-3.44
"28","2011-01-07",4,"Wales",-0.94
"29","2011-01-08",1,"England",6.69
"30","2011-01-08",2,"Northern Ireland",0.24
"31","2011-01-08",3,"Scotland",-1.75
"32","2011-01-08",4,"Wales",6
"33","2011-01-09",1,"England",2.6
"34","2011-01-09",2,"Northern Ireland",1.97
"35","2011-01-09",3,"Scotland",-1.05
"36","2011-01-09",4,"Wales",3.71
"37","2011-01-10",1,"England",0.86
"38","2011-01-10",2,"Northern Ireland",2.61
"39","2011-01-10",3,"Scotland",2.34
"40","2011-01-10",4,"Wales",1.71
"41","2011-01-11",1,"England",5.84
"42","2011-01-11",2,"Northern Ireland",4.99
"43","2011-01-11",3,"Scotland",1.5
"44","2011-01-11",4,"Wales",7.23
"45","2011-01-12",1,"England",2.94
"46","2011-01-12",2,"Northern Ireland",4
"47","2011-01-12",3,"Scotland",0.31
"48","2011-01-12",4,"Wales",4.01
"49","2011-01-13",1,"England",9.46
"50","2011-01-13",2,"Northern Ireland",9.44
"51","2011-01-13",3,"Scotland",4.43
"52","2011-01-13",4,"Wales",9.68
"53","2011-01-14",1,"England",9.96
"54","2011-01-14",2,"Northern Ireland",9.08
"55","2011-01-14",3,"Scotland",5
"56","2011-01-14",4,"Wales",9.25
"57","2011-01-15",1,"England",6.8
"58","2011-01-15",2,"Northern Ireland",6.84
"59","2011-01-15",3,"Scotland",5.25
"60","2011-01-15",4,"Wales",7.88
"61","2011-01-16",1,"England",10.18
"62","2011-01-16",2,"Northern Ireland",10.7
"63","2011-01-16",3,"Scotland",9.23
"64","2011-01-16",4,"Wales",9.61
"65","2011-01-17",1,"England",6.93
"66","2011-01-17",2,"Northern Ireland",5.44
"67","2011-01-17",3,"Scotland",5.97
"68","2011-01-17",4,"Wales",5.67
"69","2011-01-18",1,"England",4.09
"70","2011-01-18",2,"Northern Ireland",1.91
"71","2011-01-18",3,"Scotland",2.45
"72","2011-01-18",4,"Wales",4.04
"73","2011-01-19",1,"England",1.68
"74","2011-01-19",2,"Northern Ireland",1.49
"75","2011-01-19",3,"Scotland",4.55
"76","2011-01-19",4,"Wales",1.01
"77","2011-01-20",1,"England",0.91
"78","2011-01-20",2,"Northern Ireland",-1.32
"79","2011-01-20",3,"Scotland",0.23
"80","2011-01-20",4,"Wales",-0.9
"81","2011-01-21",1,"England",-0.5
"82","2011-01-21",2,"Northern Ireland",-2.96
"83","2011-01-21",3,"Scotland",0.58
"84","2011-01-21",4,"Wales",-2.3
"85","2011-01-22",1,"England",-0.68
"86","2011-01-22",2,"Northern Ireland",-0.14
"87","2011-01-22",3,"Scotland",3.01
"88","2011-01-22",4,"Wales",-1.43
"89","2011-01-23",1,"England",4.17
"90","2011-01-23",2,"Northern Ireland",1.57
"91","2011-01-23",3,"Scotland",3.83
"92","2011-01-23",4,"Wales",3.14
"93","2011-01-24",1,"England",4.96
"94","2011-01-24",2,"Northern Ireland",2.87
"95","2011-01-24",3,"Scotland",4.35
"96","2011-01-24",4,"Wales",3.21
"97","2011-01-25",1,"England",4.99
"98","2011-01-25",2,"Northern Ireland",6.72
"99","2011-01-25",3,"Scotland",6.77
"100","2011-01-25",4,"Wales",4.98
"101","2011-01-26",1,"England",5.74
"102","2011-01-26",2,"Northern Ireland",6.66
"103","2011-01-26",3,"Scotland",4.61
"104","2011-01-26",4,"Wales",5.95
"105","2011-01-27",1,"England",2.04
"106","2011-01-27",2,"Northern Ireland",2.17
"107","2011-01-27",3,"Scotland",2.4
"108","2011-01-27",4,"Wales",2.09
"109","2011-01-28",1,"England",0.77
"110","2011-01-28",2,"Northern Ireland",2.23
"111","2011-01-28",3,"Scotland",0.85
"112","2011-01-28",4,"Wales",-0.3
"113","2011-01-29",1,"England",-1.69
"114","2011-01-29",2,"Northern Ireland",1.14
"115","2011-01-29",3,"Scotland",1.24
"116","2011-01-29",4,"Wales",-2.88
"117","2011-01-30",1,"England",0.13
"118","2011-01-30",2,"Northern Ireland",1.44
"119","2011-01-30",3,"Scotland",2.17
"120","2011-01-30",4,"Wales",-2.19
"121","2011-01-31",1,"England",-0.9
"122","2011-01-31",2,"Northern Ireland",2.41
"123","2011-01-31",3,"Scotland",4.14
"124","2011-01-31",4,"Wales",-3.76
"125","2011-02-01",1,"England",0.28
"126","2011-02-01",2,"Northern Ireland",8.39
"127","2011-02-01",3,"Scotland",7.49
"128","2011-02-01",4,"Wales",3.39
"129","2011-02-02",1,"England",3.86
"130","2011-02-02",2,"Northern Ireland",7.72
"131","2011-02-02",3,"Scotland",4.86
"132","2011-02-02",4,"Wales",5.3
"133","2011-02-03",1,"England",6.26
"134","2011-02-03",2,"Northern Ireland",3.49
"135","2011-02-03",3,"Scotland",2.97
"136","2011-02-03",4,"Wales",5.44
"137","2011-02-04",1,"England",8.86
"138","2011-02-04",2,"Northern Ireland",6.05
"139","2011-02-04",3,"Scotland",3.67
"140","2011-02-04",4,"Wales",9.16
"141","2011-02-05",1,"England",10.91
"142","2011-02-05",2,"Northern Ireland",8.44
"143","2011-02-05",3,"Scotland",6.84
"144","2011-02-05",4,"Wales",10.07
"145","2011-02-06",1,"England",9.62
"146","2011-02-06",2,"Northern Ireland",5.55
"147","2011-02-06",3,"Scotland",3.39
"148","2011-02-06",4,"Wales",9.52
"149","2011-02-07",1,"England",8.66
"150","2011-02-07",2,"Northern Ireland",4.76
"151","2011-02-07",3,"Scotland",3.67
"152","2011-02-07",4,"Wales",8.64
"153","2011-02-08",1,"England",3.59
"154","2011-02-08",2,"Northern Ireland",1.78
"155","2011-02-08",3,"Scotland",2.69
"156","2011-02-08",4,"Wales",2.79
"157","2011-02-09",1,"England",4.86
"158","2011-02-09",2,"Northern Ireland",7.59
"159","2011-02-09",3,"Scotland",2.65
"160","2011-02-09",4,"Wales",6.68
"161","2011-02-10",1,"England",7.9
"162","2011-02-10",2,"Northern Ireland",6.23
"163","2011-02-10",3,"Scotland",5.42
"164","2011-02-10",4,"Wales",8.73
"165","2011-02-11",1,"England",6.43
"166","2011-02-11",2,"Northern Ireland",4.68
"167","2011-02-11",3,"Scotland",-1.15
"168","2011-02-11",4,"Wales",7.76
"169","2011-02-12",1,"England",7.89
"170","2011-02-12",2,"Northern Ireland",3.94
"171","2011-02-12",3,"Scotland",4.12
"172","2011-02-12",4,"Wales",7.43
"173","2011-02-13",1,"England",4.46
"174","2011-02-13",2,"Northern Ireland",6.98
"175","2011-02-13",3,"Scotland",3.62
"176","2011-02-13",4,"Wales",6.15
"177","2011-02-14",1,"England",5.73
"178","2011-02-14",2,"Northern Ireland",3
"179","2011-02-14",3,"Scotland",2.96
"180","2011-02-14",4,"Wales",4.75
"181","2011-02-15",1,"England",2.46
"182","2011-02-15",2,"Northern Ireland",0.93
"183","2011-02-15",3,"Scotland",2.21
"184","2011-02-15",4,"Wales",1.49
"185","2011-02-16",1,"England",4.86
"186","2011-02-16",2,"Northern Ireland",5.64
"187","2011-02-16",3,"Scotland",3.94
"188","2011-02-16",4,"Wales",4.28
"189","2011-02-17",1,"England",4.66
"190","2011-02-17",2,"Northern Ireland",2.42
"191","2011-02-17",3,"Scotland",2.48
"192","2011-02-17",4,"Wales",5.41
"193","2011-02-18",1,"England",3.91
"194","2011-02-18",2,"Northern Ireland",3.53
"195","2011-02-18",3,"Scotland",2.82
"196","2011-02-18",4,"Wales",4.29
"197","2011-02-19",1,"England",3.53
"198","2011-02-19",2,"Northern Ireland",6.5
"199","2011-02-19",3,"Scotland",3.58
"200","2011-02-19",4,"Wales",5.6
"201","2011-02-20",1,"England",4.04
"202","2011-02-20",2,"Northern Ireland",6.14
"203","2011-02-20",3,"Scotland",3.04
"204","2011-02-20",4,"Wales",5.23
"205","2011-02-21",1,"England",3.33
"206","2011-02-21",2,"Northern Ireland",6.6
"207","2011-02-21",3,"Scotland",2.69
"208","2011-02-21",4,"Wales",4.43
"209","2011-02-22",1,"England",3.82
"210","2011-02-22",2,"Northern Ireland",5.87
"211","2011-02-22",3,"Scotland",3.01
"212","2011-02-22",4,"Wales",5.49
"213","2011-02-23",1,"England",6.04
"214","2011-02-23",2,"Northern Ireland",9.27
"215","2011-02-23",3,"Scotland",5.96
"216","2011-02-23",4,"Wales",7.16
"217","2011-02-24",1,"England",8.88
"218","2011-02-24",2,"Northern Ireland",9.58
"219","2011-02-24",3,"Scotland",7.61
"220","2011-02-24",4,"Wales",8.31
"221","2011-02-25",1,"England",8.11
"222","2011-02-25",2,"Northern Ireland",11.92
"223","2011-02-25",3,"Scotland",9.73
"224","2011-02-25",4,"Wales",9.72
"225","2011-02-26",1,"England",9.17
"226","2011-02-26",2,"Northern Ireland",8.03
"227","2011-02-26",3,"Scotland",6.72
"228","2011-02-26",4,"Wales",7.95
"229","2011-02-27",1,"England",4.37
"230","2011-02-27",2,"Northern Ireland",3.79
"231","2011-02-27",3,"Scotland",3.19
"232","2011-02-27",4,"Wales",4.23
"233","2011-02-28",1,"England",4.19
"234","2011-02-28",2,"Northern Ireland",2.59
"235","2011-02-28",3,"Scotland",1.78
"236","2011-02-28",4,"Wales",3.58
"237","2011-03-01",1,"England",2.63
"238","2011-03-01",2,"Northern Ireland",3.76
