"date","ID_2","NAME_2","t2m"
"2018-01-01",1,"Barking and Dagenham",7.23
"2018-01-01",2,"Bath and North East Somerset",6.09
"2018-01-01",3,"Bedfordshire",6.46
"2018-01-01",4,"Berkshire",6.28
"2018-01-01",5,"Bexley",7.23
"2018-01-01",6,"Blackburn with Darwen",5.24
"2018-01-01",7,"Bournemouth",7.5
"2018-01-01",8,"Brent",6.95
"2018-01-01",9,"Brighton and Hove",8.48
"2018-01-01",10,"Bristol",6.03
"2018-01-01",11,"Bromley",6.95
"2018-01-01",12,"Buckinghamshire",6.24
"2018-01-01",13,"Cambridgeshire",6.92
"2018-01-01",14,"Camden",6.99
"2018-01-01",15,"Cheshire",4.9
"2018-01-01",16,"Cornwall",7.36
"2018-01-01",17,"Croydon",6.83
"2018-01-01",18,"Cumbria",4.23
"2018-01-01",19,"Darlington",4.5
"2018-01-01",20,"Derbyshire",4.5
"2018-01-01",21,"Derby",4.96
"2018-01-01",22,"Devon",6.34
"2018-01-01",23,"Dorset",6.76
"2018-01-01",24,"Durham",3.98
"2018-01-01",25,"Ealing",6.94
"2018-01-01",26,"East Riding of Yorkshire",5.44
"2018-01-01",27,"East Sussex",7.41
"2018-01-01",28,"Enfield",6.92
"2018-01-01",29,"Essex",7.22
"2018-01-01",30,"Gloucestershire",5.45
"2018-01-01",31,"Greenwich",7.16
"2018-01-01",32,"Hackney",7.16
"2018-01-01",33,"Halton",5.75
"2018-01-01",34,"Hammersmith and Fulham",6.95
"2018-01-01",35,"Hampshire",6.6
"2018-01-01",36,"Haringey",7.11
"2018-01-01",37,"Harrow",6.92
"2018-01-01",38,"Hartlepool",5.42
"2018-01-01",39,"Havering",7.26
"2018-01-01",40,"Herefordshire",5.01
"2018-01-01",41,"Hertfordshire",6.74
"2018-01-01",42,"Hillingdon",6.85
"2018-01-01",43,"Hounslow",6.91
"2018-01-01",44,"Isle of Wight",7.76
"2018-01-01",45,"Islington",7.16
"2018-01-01",46,"Kensington and Chelsea",6.95
"2018-01-01",47,"Kent",7.35
"2018-01-01",48,"Kingston upon Hull",5.43
"2018-01-01",49,"Kingston upon Thames",6.89
"2018-01-01",50,"Lambeth",7.12
"2018-01-01",51,"Lancashire",5.41
"2018-01-01",52,"Leicestershire",5.32
"2018-01-01",53,"Leicester",5.26
"2018-01-01",54,"Lewisham",7.16
"2018-01-01",55,"Lincolnshire",5.97
"2018-01-01",56,"London",7.16
"2018-01-01",57,"Luton",6.49
"2018-01-01",58,"Manchester",5.02
"2018-01-01",59,"Medway",7.22
"2018-01-01",60,"Merseyside",6.2
"2018-01-01",61,"Merton",6.95
"2018-01-01",62,"Middlesbrough",5.2
"2018-01-01",63,"Milton Keynes",6.1
"2018-01-01",64,"Newham",7.16
"2018-01-01",65,"Norfolk",6.75
"2018-01-01",66,"North East Lincolnshire",5.67
"2018-01-01",67,"North Lincolnshire",5.48
"2018-01-01",68,"North Somerset",6.28
"2018-01-01",69,"North Yorkshire",4.65
"2018-01-01",70,"Northamptonshire",5.79
"2018-01-01",71,"Northumberland",3.96
"2018-01-01",72,"Nottinghamshire",5.51
"2018-01-01",73,"Nottingham",5.31
"2018-01-01",74,"Oxfordshire",5.75
"2018-01-01",75,"Peterborough",6.54
"2018-01-01",76,"Plymouth",6.51
"2018-01-01",77,"Poole",7.3
"2018-01-01",78,"Portsmouth",7.77
"2018-01-01",79,"Redbridge",7.18
"2018-01-01",80,"Redcar and Cleveland",5.24
"2018-01-01",81,"Richmond upon Thames",6.95
"2018-01-01",82,"Rutland",5.77
"2018-01-01",83,"Shropshire",4.75
"2018-01-01",84,"Somerset",6.19
"2018-01-01",85,"South Gloucestershire",5.96
"2018-01-01",86,"South Yorkshire",4.97
"2018-01-01",87,"Southampton",6.54
