"date","ID_1","NAME_1","t2m"
"2003-01-01",1,"Abkhazia",3.55
"2003-01-01",2,"Ajaria",-0.15
"2003-01-01",3,"Guria",2.43
"2003-01-01",4,"Imereti",1.38
"2003-01-01",5,"Kakheti",-2.88
"2003-01-01",6,"Kvemo Kartli",-3.89
"2003-01-01",7,"Mtskheta-Mtianeti",-8.11
"2003-01-01",8,"Racha-Lechkhumi-Kvemo Svaneti",-1.92
"2003-01-01",9,"Samegrelo-Zemo Svaneti",0.55
"2003-01-01",10,"Samtskhe-Javakheti",-6.82
"2003-01-01",11,"Shida Kartli",-1.33
"2003-01-01",12,"Tbilisi",-2.16
"2003-01-02",1,"Abkhazia",3.73
"2003-01-02",2,"Ajaria",0.54
"2003-01-02",3,"Guria",3.02
"2003-01-02",4,"Imereti",1.7
"2003-01-02",5,"Kakheti",-1.93
"2003-01-02",6,"Kvemo Kartli",-3.54
"2003-01-02",7,"Mtskheta-Mtianeti",-7.16
"2003-01-02",8,"Racha-Lechkhumi-Kvemo Svaneti",-0.88
"2003-01-02",9,"Samegrelo-Zemo Svaneti",1.78
"2003-01-02",10,"Samtskhe-Javakheti",-6.14
"2003-01-02",11,"Shida Kartli",-2.81
"2003-01-02",12,"Tbilisi",-4.7
"2003-01-03",1,"Abkhazia",2.49
"2003-01-03",2,"Ajaria",0.37
"2003-01-03",3,"Guria",2.83
"2003-01-03",4,"Imereti",1.17
"2003-01-03",5,"Kakheti",-4.15
"2003-01-03",6,"Kvemo Kartli",-4.4
"2003-01-03",7,"Mtskheta-Mtianeti",-7.43
"2003-01-03",8,"Racha-Lechkhumi-Kvemo Svaneti",-3.03
"2003-01-03",9,"Samegrelo-Zemo Svaneti",-0.17
"2003-01-03",10,"Samtskhe-Javakheti",-4.69
"2003-01-03",11,"Shida Kartli",-4.22
"2003-01-03",12,"Tbilisi",-5.18
"2003-01-04",1,"Abkhazia",3.25
"2003-01-04",2,"Ajaria",-1.21
"2003-01-04",3,"Guria",0.62
"2003-01-04",4,"Imereti",-0.14
"2003-01-04",5,"Kakheti",-3.44
"2003-01-04",6,"Kvemo Kartli",-5.06
"2003-01-04",7,"Mtskheta-Mtianeti",-7.79
"2003-01-04",8,"Racha-Lechkhumi-Kvemo Svaneti",-3.67
"2003-01-04",9,"Samegrelo-Zemo Svaneti",-0.6
"2003-01-04",10,"Samtskhe-Javakheti",-5.11
"2003-01-04",11,"Shida Kartli",-4.39
"2003-01-04",12,"Tbilisi",-6.95
"2003-01-05",1,"Abkhazia",0.02
"2003-01-05",2,"Ajaria",-0.9
"2003-01-05",3,"Guria",1.48
"2003-01-05",4,"Imereti",0.96
"2003-01-05",5,"Kakheti",-2.5
"2003-01-05",6,"Kvemo Kartli",-2.53
"2003-01-05",7,"Mtskheta-Mtianeti",-7.1
"2003-01-05",8,"Racha-Lechkhumi-Kvemo Svaneti",-3.02
"2003-01-05",9,"Samegrelo-Zemo Svaneti",-1.07
"2003-01-05",10,"Samtskhe-Javakheti",-4.1
"2003-01-05",11,"Shida Kartli",-1.99
"2003-01-05",12,"Tbilisi",-1.01
"2003-01-06",1,"Abkhazia",1.1
"2003-01-06",2,"Ajaria",-0.86
"2003-01-06",3,"Guria",2.41
"2003-01-06",4,"Imereti",1.19
"2003-01-06",5,"Kakheti",-1.08
"2003-01-06",6,"Kvemo Kartli",-4.9
"2003-01-06",7,"Mtskheta-Mtianeti",-5.11
"2003-01-06",8,"Racha-Lechkhumi-Kvemo Svaneti",-3.36
"2003-01-06",9,"Samegrelo-Zemo Svaneti",-0.84
"2003-01-06",10,"Samtskhe-Javakheti",-5.01
"2003-01-06",11,"Shida Kartli",-3.07
"2003-01-06",12,"Tbilisi",-3.8
"2003-01-07",1,"Abkhazia",2
"2003-01-07",2,"Ajaria",2.25
"2003-01-07",3,"Guria",3.35
"2003-01-07",4,"Imereti",1.85
"2003-01-07",5,"Kakheti",0.88
"2003-01-07",6,"Kvemo Kartli",-1.7
"2003-01-07",7,"Mtskheta-Mtianeti",-3.56
"2003-01-07",8,"Racha-Lechkhumi-Kvemo Svaneti",-2.54
