"date","ID_2","GID_2","NAME_2","t2m"
"2023-01-01",1,"1","Gagra",-0.59
"2023-01-01",2,"2","Gali",2.15
"2023-01-01",3,"3","Gudauta",-3.26
"2023-01-01",4,"4","Gulripshi",-7.24
"2023-01-01",5,"5","Ochamchire",-3.05
"2023-01-01",6,"6","Sokhumi",-3.36
"2023-01-01",7,"7","Batumi",1.26
"2023-01-01",8,"8","Keda",-4.82
"2023-01-01",9,"9","Khulo",-9.23
"2023-01-01",10,"10","Kobuleti",0.33
"2023-01-01",11,"11","Shuakhevi",-9.63
"2023-01-01",12,"12","Chokhatauri",-4.39
"2023-01-01",13,"13","Lanchkhuti",1.13
"2023-01-01",14,"14","Ozurgeti",-0.88
"2023-01-01",15,"15","Bagdati",-7.39
"2023-01-01",16,"16","Chiatura",-0.42
"2023-01-01",17,"17","Kharagauli",-3.62
"2023-01-01",18,"18","Khoni",-2.54
"2023-01-01",19,"19","Kutaisi",-1.22
"2023-01-01",20,"20","Sachkhere",-1.17
"2023-01-01",21,"21","Samtredia",-0.45
"2023-01-01",22,"22","Terjola",-1.41
"2023-01-01",23,"23","Tkibuli",-1.89
"2023-01-01",24,"24","Tskaltubo",-1.75
"2023-01-01",25,"25","Vani",-4.95
"2023-01-01",26,"26","Zestaponi",-3.5
"2023-01-01",27,"27","Akhmeta",-9.81
"2023-01-01",28,"28","Dedoplis Tskaro",-1.05
"2023-01-01",29,"29","Gurjaani",-0.69
"2023-01-01",30,"30","Kvareli",-1.98
"2023-01-01",31,"31","Lagodekhi",-2.55
"2023-01-01",32,"32","Sagarejo",-1.22
"2023-01-01",33,"33","Signagi",-0.94
"2023-01-01",34,"34","Telavi",-4.48
"2023-01-01",35,"35","Bolnisi",-3.34
"2023-01-01",36,"36","Dmanisi",-7.65
"2023-01-01",37,"37","Gardabani",-1.37
"2023-01-01",38,"38","Marneuli",-2.65
"2023-01-01",39,"39","Tetri Tskaro",-2.1
"2023-01-01",40,"40","Tsalka",-7.04
"2023-01-01",41,"41","Akhalgori",-5.75
"2023-01-01",42,"42","Dusheti",-9.76
"2023-01-01",43,"43","Kazbegi",-8.88
"2023-01-01",44,"44","Mtskheta",-1.43
"2023-01-01",45,"45","Tianeti",-7.88
"2023-01-01",46,"46","Ambrolauri",-4.17
"2023-01-01",47,"47","Lentekhi",-11.95
"2023-01-01",48,"48","Oni",-8.24
"2023-01-01",49,"49","Tsageri",-7.74
"2023-01-01",50,"50","Abasha",1.06
"2023-01-01",51,"51","Chkhorotsku",-4.49
"2023-01-01",52,"52","Khobi",2.44
"2023-01-01",53,"53","Martvili",-4.61
"2023-01-01",54,"54","Mestia",-14.53
"2023-01-01",55,"55","Senaki",0.85
"2023-01-01",56,"56","Tsalenjikha",-5.75
"2023-01-01",57,"57","Zugdidi",3.15
"2023-01-01",58,"58","Adigeni",-11.16
"2023-01-01",59,"59","Akhalkalaki",-8.23
"2023-01-01",60,"60","Akhaltsikhe",-11.47
"2023-01-01",61,"61","Aspindza",-8.47
"2023-01-01",62,"62","Borjomi",-9.69
"2023-01-01",63,"63","Ninotsminda",-10.12
"2023-01-01",64,"64","Gori",-2.69
"2023-01-01",65,"65","Java",-9.18
"2023-01-01",66,"66","Kareli",-1.58
"2023-01-01",67,"67","Kaspi",-1.22
"2023-01-01",68,"68","Khashuri",-2.09
"2023-01-01",69,"69","Tbilisi",-0.77
"2023-01-02",1,"1","Gagra",0.02
"2023-01-02",2,"2","Gali",2.31
"2023-01-02",3,"3","Gudauta",-1.73
"2023-01-02",4,"4","Gulripshi",-5.14
"2023-01-02",5,"5","Ochamchire",-1.46
"2023-01-02",6,"6","Sokhumi",-2.17
"2023-01-02",7,"7","Batumi",0.23
"2023-01-02",8,"8","Keda",-5.56
"2023-01-02",9,"9","Khulo",-9.7
"2023-01-02",10,"10","Kobuleti",-0.67
"2023-01-02",11,"11","Shuakhevi",-10.09
"2023-01-02",12,"12","Chokhatauri",-5.17
"2023-01-02",13,"13","Lanchkhuti",-0.04
"2023-01-02",14,"14","Ozurgeti",-2.02
"2023-01-02",15,"15","Bagdati",-7.88
"2023-01-02",16,"16","Chiatura",0.8
"2023-01-02",17,"17","Kharagauli",-4
"2023-01-02",18,"18","Khoni",-1.95
"2023-01-02",19,"19","Kutaisi",-1.14
"2023-01-02",20,"20","Sachkhere",-0.13
"2023-01-02",21,"21","Samtredia",-1.09
"2023-01-02",22,"22","Terjola",-1.52
"2023-01-02",23,"23","Tkibuli",-1.73
"2023-01-02",24,"24","Tskaltubo",-1.46
"2023-01-02",25,"25","Vani",-5.67
"2023-01-02",26,"26","Zestaponi",-3.68
"2023-01-02",27,"27","Akhmeta",-6.38
"2023-01-02",28,"28","Dedoplis Tskaro",0.02
"2023-01-02",29,"29","Gurjaani",0.33
"2023-01-02",30,"30","Kvareli",-0.52
"2023-01-02",31,"31","Lagodekhi",-1.44
