"date","ID_0","NAME_0","t2m"
"2005-01-01",1,"Greece",5.07
"2005-01-02",1,"Greece",5.01
"2005-01-03",1,"Greece",3.94
"2005-01-04",1,"Greece",5.48
"2005-01-05",1,"Greece",3.53
"2005-01-06",1,"Greece",4.35
"2005-01-07",1,"Greece",6.82
"2005-01-08",1,"Greece",4.34
"2005-01-09",1,"Greece",4.29
"2005-01-10",1,"Greece",4.42
"2005-01-11",1,"Greece",4.63
"2005-01-12",1,"Greece",4.45
"2005-01-13",1,"Greece",4.85
"2005-01-14",1,"Greece",4.99
"2005-01-15",1,"Greece",4.79
"2005-01-16",1,"Greece",3.11
"2005-01-17",1,"Greece",3.64
"2005-01-18",1,"Greece",3.01
"2005-01-19",1,"Greece",2.33
"2005-01-20",1,"Greece",6.31
"2005-01-21",1,"Greece",5.13
"2005-01-22",1,"Greece",6.68
"2005-01-23",1,"Greece",4.31
"2005-01-24",1,"Greece",1.54
"2005-01-25",1,"Greece",6.61
"2005-01-26",1,"Greece",9.26
"2005-01-27",1,"Greece",6.41
"2005-01-28",1,"Greece",4.21
"2005-01-29",1,"Greece",5.63
"2005-01-30",1,"Greece",3.61
"2005-01-31",1,"Greece",1.92
"2005-02-01",1,"Greece",-0.04
"2005-02-02",1,"Greece",2.99
"2005-02-03",1,"Greece",1.85
"2005-02-04",1,"Greece",-0.28
"2005-02-05",1,"Greece",0.94
"2005-02-06",1,"Greece",-0.06
"2005-02-07",1,"Greece",-1.25
"2005-02-08",1,"Greece",-1.93
"2005-02-09",1,"Greece",-1.85
"2005-02-10",1,"Greece",-0.62
"2005-02-11",1,"Greece",-1.22
"2005-02-12",1,"Greece",-0.71
"2005-02-13",1,"Greece",2.18
"2005-02-14",1,"Greece",8.64
"2005-02-15",1,"Greece",10.1
"2005-02-16",1,"Greece",6.81
"2005-02-17",1,"Greece",4.81
"2005-02-18",1,"Greece",3.47
"2005-02-19",1,"Greece",4.15
"2005-02-20",1,"Greece",2.36
"2005-02-21",1,"Greece",4.77
"2005-02-22",1,"Greece",5.86
"2005-02-23",1,"Greece",8.48
"2005-02-24",1,"Greece",6.5
"2005-02-25",1,"Greece",6.58
"2005-02-26",1,"Greece",8.83
"2005-02-27",1,"Greece",9.07
"2005-02-28",1,"Greece",5.61
"2005-03-01",1,"Greece",3.77
"2005-03-02",1,"Greece",2.33
"2005-03-03",1,"Greece",2.97
"2005-03-04",1,"Greece",1.98
"2005-03-05",1,"Greece",7.31
"2005-03-06",1,"Greece",9.4
"2005-03-07",1,"Greece",5.75
"2005-03-08",1,"Greece",4.89
"2005-03-09",1,"Greece",1.75
"2005-03-10",1,"Greece",2.12
"2005-03-11",1,"Greece",1.4
"2005-03-12",1,"Greece",-0.56
"2005-03-13",1,"Greece",5.55
"2005-03-14",1,"Greece",7.31
"2005-03-15",1,"Greece",7.06
"2005-03-16",1,"Greece",7.9
"2005-03-17",1,"Greece",8.07
"2005-03-18",1,"Greece",8.82
"2005-03-19",1,"Greece",9.49
"2005-03-20",1,"Greece",11.25
"2005-03-21",1,"Greece",8.04
"2005-03-22",1,"Greece",8.08
"2005-03-23",1,"Greece",7.62
"2005-03-24",1,"Greece",8.06
"2005-03-25",1,"Greece",9.14
"2005-03-26",1,"Greece",8.59
"2005-03-27",1,"Greece",11.37
"2005-03-28",1,"Greece",13.15
"2005-03-29",1,"Greece",11.94
"2005-03-30",1,"Greece",10.27
"2005-03-31",1,"Greece",10.24
"2005-04-01",1,"Greece",7.09
"2005-04-02",1,"Greece",4.97
"2005-04-03",1,"Greece",3.44
