"","date","ID_1","NAME_1","t2m"
"1","2010-01-01",1,"Aegean",17.55
"2","2010-01-01",2,"Athos",14.08
"3","2010-01-01",3,"Attica",13.5
"4","2010-01-01",4,"Crete",16.17
"5","2010-01-01",5,"Epirus and Western Macedonia",7.21
"6","2010-01-01",6,"Macedonia and Thrace",8.37
"7","2010-01-01",7,"Peloponnese, Western Greece and the Ionian Islands",12.64
"8","2010-01-01",8,"Thessaly and Central Greece",9.79
"9","2010-01-02",1,"Aegean",17.62
"10","2010-01-02",2,"Athos",15.02
"11","2010-01-02",3,"Attica",15.74
"12","2010-01-02",4,"Crete",16.03
"13","2010-01-02",5,"Epirus and Western Macedonia",6.82
"14","2010-01-02",6,"Macedonia and Thrace",10.9
"15","2010-01-02",7,"Peloponnese, Western Greece and the Ionian Islands",12.59
"16","2010-01-02",8,"Thessaly and Central Greece",11.05
"17","2010-01-03",1,"Aegean",16.07
"18","2010-01-03",2,"Athos",13.65
"19","2010-01-03",3,"Attica",13.91
"20","2010-01-03",4,"Crete",13.93
"21","2010-01-03",5,"Epirus and Western Macedonia",4.61
"22","2010-01-03",6,"Macedonia and Thrace",7.55
"23","2010-01-03",7,"Peloponnese, Western Greece and the Ionian Islands",11
"24","2010-01-03",8,"Thessaly and Central Greece",9.35
"25","2010-01-04",1,"Aegean",13.07
"26","2010-01-04",2,"Athos",6.62
"27","2010-01-04",3,"Attica",9.45
"28","2010-01-04",4,"Crete",12.86
"29","2010-01-04",5,"Epirus and Western Macedonia",-0.83
"30","2010-01-04",6,"Macedonia and Thrace",0.49
"31","2010-01-04",7,"Peloponnese, Western Greece and the Ionian Islands",6.6
"32","2010-01-04",8,"Thessaly and Central Greece",3.42
"33","2010-01-05",1,"Aegean",9.97
"34","2010-01-05",2,"Athos",7.74
"35","2010-01-05",3,"Attica",8.08
"36","2010-01-05",4,"Crete",10.48
"37","2010-01-05",5,"Epirus and Western Macedonia",1.15
"38","2010-01-05",6,"Macedonia and Thrace",0.73
"39","2010-01-05",7,"Peloponnese, Western Greece and the Ionian Islands",7.14
"40","2010-01-05",8,"Thessaly and Central Greece",3.77
"41","2010-01-06",1,"Aegean",15.8
"42","2010-01-06",2,"Athos",14.13
"43","2010-01-06",3,"Attica",14.31
"44","2010-01-06",4,"Crete",13.98
"45","2010-01-06",5,"Epirus and Western Macedonia",7.76
"46","2010-01-06",6,"Macedonia and Thrace",5.86
"47","2010-01-06",7,"Peloponnese, Western Greece and the Ionian Islands",11.94
"48","2010-01-06",8,"Thessaly and Central Greece",8.68
"49","2010-01-07",1,"Aegean",16.92
"50","2010-01-07",2,"Athos",16.05
"51","2010-01-07",3,"Attica",14.43
"52","2010-01-07",4,"Crete",14.57
"53","2010-01-07",5,"Epirus and Western Macedonia",9.64
"54","2010-01-07",6,"Macedonia and Thrace",10.86
"55","2010-01-07",7,"Peloponnese, Western Greece and the Ionian Islands",13.26
