"date","ID_2","GID_2","NAME_2","t2m"
"2023-01-01",1,"1","North Aegean",13.57
"2023-01-01",2,"2","South Aegean",15.72
"2023-01-01",3,"3","Athos",12.48
"2023-01-01",4,"4","Attica",9.33
"2023-01-01",5,"5","Crete",11.34
"2023-01-01",6,"6","Epirus",3.35
"2023-01-01",7,"7","West Macedonia",2.03
"2023-01-01",8,"8","Central Macedonia",3.52
"2023-01-01",9,"9","East Macedonia and Thrace",2.66
"2023-01-01",10,"10","Ionian Islands",15.12
"2023-01-01",11,"11","Peloponnese",6.51
"2023-01-01",12,"12","West Greece",5.97
"2023-01-01",13,"13","Central Greece",5.99
"2023-01-01",14,"14","Thessaly",4.49
"2023-01-02",1,"1","North Aegean",12.5
"2023-01-02",2,"2","South Aegean",16.11
"2023-01-02",3,"3","Athos",12.15
"2023-01-02",4,"4","Attica",8.59
"2023-01-02",5,"5","Crete",11.51
"2023-01-02",6,"6","Epirus",1.94
"2023-01-02",7,"7","West Macedonia",1
"2023-01-02",8,"8","Central Macedonia",2.5
"2023-01-02",9,"9","East Macedonia and Thrace",2.48
"2023-01-02",10,"10","Ionian Islands",15
"2023-01-02",11,"11","Peloponnese",6.31
"2023-01-02",12,"12","West Greece",5.08
"2023-01-02",13,"13","Central Greece",5.12
"2023-01-02",14,"14","Thessaly",3.51
"2023-01-03",1,"1","North Aegean",11.77
"2023-01-03",2,"2","South Aegean",15.64
"2023-01-03",3,"3","Athos",11.54
"2023-01-03",4,"4","Attica",8.94
"2023-01-03",5,"5","Crete",11.48
"2023-01-03",6,"6","Epirus",2.85
"2023-01-03",7,"7","West Macedonia",0.42
"2023-01-03",8,"8","Central Macedonia",2.14
"2023-01-03",9,"9","East Macedonia and Thrace",1.87
"2023-01-03",10,"10","Ionian Islands",14.51
"2023-01-03",11,"11","Peloponnese",4.79
"2023-01-03",12,"12","West Greece",4
"2023-01-03",13,"13","Central Greece",4.09
"2023-01-03",14,"14","Thessaly",2.96
"2023-01-04",1,"1","North Aegean",12.06
"2023-01-04",2,"2","South Aegean",14.82
"2023-01-04",3,"3","Athos",12.53
"2023-01-04",4,"4","Attica",9.14
"2023-01-04",5,"5","Crete",10.29
"2023-01-04",6,"6","Epirus",2.59
"2023-01-04",7,"7","West Macedonia",0.23
"2023-01-04",8,"8","Central Macedonia",3.92
"2023-01-04",9,"9","East Macedonia and Thrace",3
"2023-01-04",10,"10","Ionian Islands",14.94
"2023-01-04",11,"11","Peloponnese",5.09
"2023-01-04",12,"12","West Greece",6.59
"2023-01-04",13,"13","Central Greece",4.98
"2023-01-04",14,"14","Thessaly",4.43
"2023-01-05",1,"1","North Aegean",11.96
"2023-01-05",2,"2","South Aegean",15.54
"2023-01-05",3,"3","Athos",12.42
"2023-01-05",4,"4","Attica",10.37
"2023-01-05",5,"5","Crete",12.43
"2023-01-05",6,"6","Epirus",2.4
"2023-01-05",7,"7","West Macedonia",0.2
"2023-01-05",8,"8","Central Macedonia",5.39
"2023-01-05",9,"9","East Macedonia and Thrace",6.67
"2023-01-05",10,"10","Ionian Islands",14.6
"2023-01-05",11,"11","Peloponnese",5.8
"2023-01-05",12,"12","West Greece",5.61
"2023-01-05",13,"13","Central Greece",6.31
"2023-01-05",14,"14","Thessaly",5
"2023-01-06",1,"1","North Aegean",12.82
"2023-01-06",2,"2","South Aegean",15.51
"2023-01-06",3,"3","Athos",12.3
"2023-01-06",4,"4","Attica",9.34
"2023-01-06",5,"5","Crete",11.8
"2023-01-06",6,"6","Epirus",2.11
"2023-01-06",7,"7","West Macedonia",-0.3
"2023-01-06",8,"8","Central Macedonia",4.07
"2023-01-06",9,"9","East Macedonia and Thrace",4.2
"2023-01-06",10,"10","Ionian Islands",15.17
"2023-01-06",11,"11","Peloponnese",6.97
"2023-01-06",12,"12","West Greece",6.51
"2023-01-06",13,"13","Central Greece",5.22
"2023-01-06",14,"14","Thessaly",3.89
"2023-01-07",1,"1","North Aegean",13.28
"2023-01-07",2,"2","South Aegean",15.71
"2023-01-07",3,"3","Athos",12.94
"2023-01-07",4,"4","Attica",8.95
"2023-01-07",5,"5","Crete",12
"2023-01-07",6,"6","Epirus",1.82
"2023-01-07",7,"7","West Macedonia",0.3
"2023-01-07",8,"8","Central Macedonia",3.33
"2023-01-07",9,"9","East Macedonia and Thrace",3.55
"2023-01-07",10,"10","Ionian Islands",14.43
"2023-01-07",11,"11","Peloponnese",6.66
"2023-01-07",12,"12","West Greece",4.92
"2023-01-07",13,"13","Central Greece",6.04
"2023-01-07",14,"14","Thessaly",4.82
"2023-01-08",1,"1","North Aegean",12.26
"2023-01-08",2,"2","South Aegean",15.64
"2023-01-08",3,"3","Athos",12.56
"2023-01-08",4,"4","Attica",8.15
"2023-01-08",5,"5","Crete",11.46
"2023-01-08",6,"6","Epirus",1.5
"2023-01-08",7,"7","West Macedonia",-0.85
"2023-01-08",8,"8","Central Macedonia",2.39
"2023-01-08",9,"9","East Macedonia and Thrace",1.81
"2023-01-08",10,"10","Ionian Islands",14.24
"2023-01-08",11,"11","Peloponnese",6.01
"2023-01-08",12,"12","West Greece",5.58
"2023-01-08",13,"13","Central Greece",4.54
"2023-01-08",14,"14","Thessaly",2.73
"2023-01-09",1,"1","North Aegean",11.42
"2023-01-09",2,"2","South Aegean",15.25
"2023-01-09",3,"3","Athos",11.85
"2023-01-09",4,"4","Attica",7.88
"2023-01-09",5,"5","Crete",11.57
"2023-01-09",6,"6","Epirus",2.35
"2023-01-09",7,"7","West Macedonia",-0.75
"2023-01-09",8,"8","Central Macedonia",3.48
"2023-01-09",9,"9","East Macedonia and Thrace",2.14
"2023-01-09",10,"10","Ionian Islands",14.22
"2023-01-09",11,"11","Peloponnese",5.87
"2023-01-09",12,"12","West Greece",5.19
"2023-01-09",13,"13","Central Greece",4.13
"2023-01-09",14,"14","Thessaly",2.86
"2023-01-10",1,"1","North Aegean",15.47
"2023-01-10",2,"2","South Aegean",16.12
"2023-01-10",3,"3","Athos",14.46
"2023-01-10",4,"4","Attica",13.43
"2023-01-10",5,"5","Crete",13.4
"2023-01-10",6,"6","Epirus",8.87
"2023-01-10",7,"7","West Macedonia",5.75
"2023-01-10",8,"8","Central Macedonia",9.25
"2023-01-10",9,"9","East Macedonia and Thrace",7.42
"2023-01-10",10,"10","Ionian Islands",15.42
"2023-01-10",11,"11","Peloponnese",11.37
"2023-01-10",12,"12","West Greece",11.7
"2023-01-10",13,"13","Central Greece",10.09
"2023-01-10",14,"14","Thessaly",9.12
"2023-01-11",1,"1","North Aegean",13.45
"2023-01-11",2,"2","South Aegean",15.08
"2023-01-11",3,"3","Athos",11.27
"2023-01-11",4,"4","Attica",9.37
"2023-01-11",5,"5","Crete",12.31
"2023-01-11",6,"6","Epirus",2.84
"2023-01-11",7,"7","West Macedonia",1.58
"2023-01-11",8,"8","Central Macedonia",5.56
"2023-01-11",9,"9","East Macedonia and Thrace",7.45
"2023-01-11",10,"10","Ionian Islands",12.06
"2023-01-11",11,"11","Peloponnese",6.7
"2023-01-11",12,"12","West Greece",6.21
"2023-01-11",13,"13","Central Greece",5.7
"2023-01-11",14,"14","Thessaly",5.34
"2023-01-12",1,"1","North Aegean",11.84
"2023-01-12",2,"2","South Aegean",12.93
"2023-01-12",3,"3","Athos",11.27
"2023-01-12",4,"4","Attica",8.83
"2023-01-12",5,"5","Crete",9.7
"2023-01-12",6,"6","Epirus",1.15
"2023-01-12",7,"7","West Macedonia",-0.48
"2023-01-12",8,"8","Central Macedonia",4.64
"2023-01-12",9,"9","East Macedonia and Thrace",6.36
"2023-01-12",10,"10","Ionian Islands",12.14
"2023-01-12",11,"11","Peloponnese",6.87
"2023-01-12",12,"12","West Greece",6.28
"2023-01-12",13,"13","Central Greece",6.27
"2023-01-12",14,"14","Thessaly",4.75
"2023-01-13",1,"1","North Aegean",12.06
"2023-01-13",2,"2","South Aegean",12.6
"2023-01-13",3,"3","Athos",10.98
"2023-01-13",4,"4","Attica",9.59
"2023-01-13",5,"5","Crete",10.52
"2023-01-13",6,"6","Epirus",0.54
"2023-01-13",7,"7","West Macedonia",-0.54
"2023-01-13",8,"8","Central Macedonia",4.06
"2023-01-13",9,"9","East Macedonia and Thrace",5.07
"2023-01-13",10,"10","Ionian Islands",13.1
"2023-01-13",11,"11","Peloponnese",6.03
"2023-01-13",12,"12","West Greece",4.32
"2023-01-13",13,"13","Central Greece",5.01
"2023-01-13",14,"14","Thessaly",2.97
"2023-01-14",1,"1","North Aegean",11.33
"2023-01-14",2,"2","South Aegean",13.19
"2023-01-14",3,"3","Athos",10.27
"2023-01-14",4,"4","Attica",7.73
"2023-01-14",5,"5","Crete",11.32
"2023-01-14",6,"6","Epirus",-0.96
"2023-01-14",7,"7","West Macedonia",-0.74
"2023-01-14",8,"8","Central Macedonia",2.83
"2023-01-14",9,"9","East Macedonia and Thrace",5.11
"2023-01-14",10,"10","Ionian Islands",13.05
"2023-01-14",11,"11","Peloponnese",4.75
"2023-01-14",12,"12","West Greece",2.79
"2023-01-14",13,"13","Central Greece",3.26
"2023-01-14",14,"14","Thessaly",1.77
"2023-01-15",1,"1","North Aegean",11.71
"2023-01-15",2,"2","South Aegean",13.31
"2023-01-15",3,"3","Athos",10.39
"2023-01-15",4,"4","Attica",8.19
"2023-01-15",5,"5","Crete",10.2
