"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"HND.1_1","Atlántida",25.13
"2023-01-01",2,"HND.2_1","Choluteca",29.6
"2023-01-01",3,"HND.3_1","Colón",24.77
"2023-01-01",4,"HND.4_1","Comayagua",23.56
"2023-01-01",5,"HND.5_1","Copán",22.64
"2023-01-01",6,"HND.6_1","Cortés",25.63
"2023-01-01",7,"HND.7_1","El Paraíso",24.18
"2023-01-01",8,"HND.8_1","Francisco Morazán",24.74
"2023-01-01",9,"HND.9_1","Gracias a Dios",25.87
"2023-01-01",10,"HND.10_1","Intibucá",23.8
"2023-01-01",11,"HND.11_1","Islas de la Bahía",26.92
"2023-01-01",12,"HND.12_1","La Paz",25.28
"2023-01-01",13,"HND.13_1","Lempira",24.92
"2023-01-01",14,"HND.14_1","Ocotepeque",22.96
"2023-01-01",15,"HND.15_1","Olancho",23.96
"2023-01-01",16,"HND.16_1","Santa Bárbara",23.99
"2023-01-01",17,"HND.17_1","Valle",29.57
"2023-01-01",18,"HND.18_1","Yoro",24.15
"2023-01-02",1,"HND.1_1","Atlántida",24.76
"2023-01-02",2,"HND.2_1","Choluteca",28.65
"2023-01-02",3,"HND.3_1","Colón",24.4
"2023-01-02",4,"HND.4_1","Comayagua",22.76
"2023-01-02",5,"HND.5_1","Copán",22.53
"2023-01-02",6,"HND.6_1","Cortés",25.22
"2023-01-02",7,"HND.7_1","El Paraíso",23.21
"2023-01-02",8,"HND.8_1","Francisco Morazán",24.08
"2023-01-02",9,"HND.9_1","Gracias a Dios",25.41
"2023-01-02",10,"HND.10_1","Intibucá",22.72
"2023-01-02",11,"HND.11_1","Islas de la Bahía",26.64
"2023-01-02",12,"HND.12_1","La Paz",24.62
"2023-01-02",13,"HND.13_1","Lempira",24.8
"2023-01-02",14,"HND.14_1","Ocotepeque",22.68
"2023-01-02",15,"HND.15_1","Olancho",23.33
"2023-01-02",16,"HND.16_1","Santa Bárbara",24.18
"2023-01-02",17,"HND.17_1","Valle",29.66
"2023-01-02",18,"HND.18_1","Yoro",23.62
"2023-01-03",1,"HND.1_1","Atlántida",25.04
"2023-01-03",2,"HND.2_1","Choluteca",28.46
"2023-01-03",3,"HND.3_1","Colón",24.38
"2023-01-03",4,"HND.4_1","Comayagua",23.09
"2023-01-03",5,"HND.5_1","Copán",22.58
"2023-01-03",6,"HND.6_1","Cortés",25.13
"2023-01-03",7,"HND.7_1","El Paraíso",22.07
"2023-01-03",8,"HND.8_1","Francisco Morazán",23.31
"2023-01-03",9,"HND.9_1","Gracias a Dios",25.37
"2023-01-03",10,"HND.10_1","Intibucá",23.3
"2023-01-03",11,"HND.11_1","Islas de la Bahía",26.92
"2023-01-03",12,"HND.12_1","La Paz",24.73
"2023-01-03",13,"HND.13_1","Lempira",23.9
"2023-01-03",14,"HND.14_1","Ocotepeque",22.13
"2023-01-03",15,"HND.15_1","Olancho",22.73
"2023-01-03",16,"HND.16_1","Santa Bárbara",24.11
"2023-01-03",17,"HND.17_1","Valle",28.24
"2023-01-03",18,"HND.18_1","Yoro",24.13
"2023-01-04",1,"HND.1_1","Atlántida",24.63
"2023-01-04",2,"HND.2_1","Choluteca",28.86
"2023-01-04",3,"HND.3_1","Colón",24.77
"2023-01-04",4,"HND.4_1","Comayagua",23.91
