"","date","ID_1","NAME_1","t2m"
"1","2013-01-01",1,"Šibensko-Kninska",1.75
"2","2013-01-01",2,"Bjelovarska-Bilogorska",-4.11
"3","2013-01-01",3,"Brodsko-Posavska",-3.13
"4","2013-01-01",4,"Dubrovacko-Neretvanska",5.34
"5","2013-01-01",5,"Grad Zagreb",-2.54
"6","2013-01-01",6,"Istarska",4.47
"7","2013-01-01",7,"Karlovacka",-2.84
"8","2013-01-01",8,"Koprivničko-Križevačka",-3.84
"9","2013-01-01",9,"Krapinsko-Zagorska",-3.68
"10","2013-01-01",10,"Licko-Senjska",-0.9
"11","2013-01-01",11,"Medimurska",-2.27
"12","2013-01-01",12,"Osjecko-Baranjska",-2.48
"13","2013-01-01",13,"Požeško-Slavonska",-3.83
"14","2013-01-01",14,"Primorsko-Goranska",0.54
"15","2013-01-01",15,"Sisacko-Moslavacka",-3.78
"16","2013-01-01",16,"Splitsko-Dalmatinska",3.67
"17","2013-01-01",17,"Varaždinska",-3.68
"18","2013-01-01",18,"Viroviticko-Podravska",-3.45
"19","2013-01-01",19,"Vukovarsko-Srijemska",-1.79
"20","2013-01-01",20,"Zadarska",1.13
"21","2013-01-01",21,"Zagrebačka",-2.72
"22","2013-01-02",1,"Šibensko-Kninska",5.36
"23","2013-01-02",2,"Bjelovarska-Bilogorska",-1.05
"24","2013-01-02",3,"Brodsko-Posavska",-3.08
"25","2013-01-02",4,"Dubrovacko-Neretvanska",6.85
"26","2013-01-02",5,"Grad Zagreb",-2.68
"27","2013-01-02",6,"Istarska",5.71
"28","2013-01-02",7,"Karlovacka",-1.06
"29","2013-01-02",8,"Koprivničko-Križevačka",-0.39
"30","2013-01-02",9,"Krapinsko-Zagorska",-1.59
"31","2013-01-02",10,"Licko-Senjska",2.38
"32","2013-01-02",11,"Medimurska",-0.49
"33","2013-01-02",12,"Osjecko-Baranjska",-3.73
"34","2013-01-02",13,"Požeško-Slavonska",-2.83
"35","2013-01-02",14,"Primorsko-Goranska",3.3
"36","2013-01-02",15,"Sisacko-Moslavacka",-2.08
"37","2013-01-02",16,"Splitsko-Dalmatinska",5.29
"38","2013-01-02",17,"Varaždinska",-0.42
"39","2013-01-02",18,"Viroviticko-Podravska",-1.74
"40","2013-01-02",19,"Vukovarsko-Srijemska",-3.52
"41","2013-01-02",20,"Zadarska",4.78
"42","2013-01-02",21,"Zagrebačka",-2.46
"43","2013-01-03",1,"Šibensko-Kninska",6.87
"44","2013-01-03",2,"Bjelovarska-Bilogorska",1.64
"45","2013-01-03",3,"Brodsko-Posavska",1.47
"46","2013-01-03",4,"Dubrovacko-Neretvanska",8.02
"47","2013-01-03",5,"Grad Zagreb",1.7
"48","2013-01-03",6,"Istarska",5.97
"49","2013-01-03",7,"Karlovacka",2.6
"50","2013-01-03",8,"Koprivničko-Križevačka",0.48
"51","2013-01-03",9,"Krapinsko-Zagorska",1.26
"52","2013-01-03",10,"Licko-Senjska",2.41
"53","2013-01-03",11,"Medimurska",0.12
"54","2013-01-03",12,"Osjecko-Baranjska",1.19
"55","2013-01-03",13,"Požeško-Slavonska",1.45
"56","2013-01-03",14,"Primorsko-Goranska",3.83
"57","2013-01-03",15,"Sisacko-Moslavacka",2.02
"58","2013-01-03",16,"Splitsko-Dalmatinska",6.38
"59","2013-01-03",17,"Varaždinska",0.77
"60","2013-01-03",18,"Viroviticko-Podravska",1.25
"61","2013-01-03",19,"Vukovarsko-Srijemska",1.3
"62","2013-01-03",20,"Zadarska",6.28
"63","2013-01-03",21,"Zagrebačka",1.59
"64","2013-01-04",1,"Šibensko-Kninska",4.79
"65","2013-01-04",2,"Bjelovarska-Bilogorska",3.94
"66","2013-01-04",3,"Brodsko-Posavska",4.57
"67","2013-01-04",4,"Dubrovacko-Neretvanska",7.17
"68","2013-01-04",5,"Grad Zagreb",1.38
"69","2013-01-04",6,"Istarska",5.55
"70","2013-01-04",7,"Karlovacka",0.91
"71","2013-01-04",8,"Koprivničko-Križevačka",3.51
"72","2013-01-04",9,"Krapinsko-Zagorska",1.53
"73","2013-01-04",10,"Licko-Senjska",1.66
"74","2013-01-04",11,"Medimurska",2.11
"75","2013-01-04",12,"Osjecko-Baranjska",4.77
"76","2013-01-04",13,"Požeško-Slavonska",4.65
"77","2013-01-04",14,"Primorsko-Goranska",3.36
