"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Šibensko-Kninska",9.53
"2023-01-01",2,"2","Bjelovarska-Bilogorska",10.28
"2023-01-01",3,"3","Brodsko-Posavska",7.01
"2023-01-01",4,"4","Dubrovacko-Neretvanska",9.46
"2023-01-01",5,"5","Grad Zagreb",8.79
"2023-01-01",6,"6","Istarska",10.54
"2023-01-01",7,"7","Karlovacka",9.62
"2023-01-01",8,"8","Koprivničko-Križevačka",10.79
"2023-01-01",9,"9","Krapinsko-Zagorska",9.65
"2023-01-01",10,"10","Licko-Senjska",9.77
"2023-01-01",11,"11","Medimurska",10.71
"2023-01-01",12,"12","Osjecko-Baranjska",9.02
"2023-01-01",13,"13","Požeško-Slavonska",8.37
"2023-01-01",14,"14","Primorsko-Goranska",9.82
"2023-01-01",15,"15","Sisacko-Moslavacka",9.75
"2023-01-01",16,"16","Splitsko-Dalmatinska",8.74
"2023-01-01",17,"17","Varaždinska",10.49
"2023-01-01",18,"18","Viroviticko-Podravska",10.02
"2023-01-01",19,"19","Vukovarsko-Srijemska",7.29
"2023-01-01",20,"20","Zadarska",10.87
"2023-01-01",21,"21","Zagrebačka",9.08
"2023-01-02",1,"1","Šibensko-Kninska",7.44
"2023-01-02",2,"2","Bjelovarska-Bilogorska",8.61
"2023-01-02",3,"3","Brodsko-Posavska",5.61
"2023-01-02",4,"4","Dubrovacko-Neretvanska",8.76
"2023-01-02",5,"5","Grad Zagreb",7.95
"2023-01-02",6,"6","Istarska",9.97
"2023-01-02",7,"7","Karlovacka",8.59
"2023-01-02",8,"8","Koprivničko-Križevačka",8.94
"2023-01-02",9,"9","Krapinsko-Zagorska",7.96
"2023-01-02",10,"10","Licko-Senjska",7.94
"2023-01-02",11,"11","Medimurska",8.29
"2023-01-02",12,"12","Osjecko-Baranjska",6.49
"2023-01-02",13,"13","Požeško-Slavonska",6.64
"2023-01-02",14,"14","Primorsko-Goranska",8.81
"2023-01-02",15,"15","Sisacko-Moslavacka",8.11
"2023-01-02",16,"16","Splitsko-Dalmatinska",7.73
"2023-01-02",17,"17","Varaždinska",8.52
"2023-01-02",18,"18","Viroviticko-Podravska",8.26
"2023-01-02",19,"19","Vukovarsko-Srijemska",5.36
"2023-01-02",20,"20","Zadarska",9.13
"2023-01-02",21,"21","Zagrebačka",8.08
"2023-01-03",1,"1","Šibensko-Kninska",9.96
"2023-01-03",2,"2","Bjelovarska-Bilogorska",9.1
"2023-01-03",3,"3","Brodsko-Posavska",7.08
"2023-01-03",4,"4","Dubrovacko-Neretvanska",9.26
"2023-01-03",5,"5","Grad Zagreb",8.94
"2023-01-03",6,"6","Istarska",10.63
"2023-01-03",7,"7","Karlovacka",9.77
"2023-01-03",8,"8","Koprivničko-Križevačka",9.01
"2023-01-03",9,"9","Krapinsko-Zagorska",8.49
"2023-01-03",10,"10","Licko-Senjska",9.21
"2023-01-03",11,"11","Medimurska",7.19
"2023-01-03",12,"12","Osjecko-Baranjska",7.9
"2023-01-03",13,"13","Požeško-Slavonska",8.13
"2023-01-03",14,"14","Primorsko-Goranska",9.23
"2023-01-03",15,"15","Sisacko-Moslavacka",9.39
"2023-01-03",16,"16","Splitsko-Dalmatinska",9.03
"2023-01-03",17,"17","Varaždinska",8.36
"2023-01-03",18,"18","Viroviticko-Podravska",8.91
"2023-01-03",19,"19","Vukovarsko-Srijemska",5.87
"2023-01-03",20,"20","Zadarska",10.94
"2023-01-03",21,"21","Zagrebačka",9.06
"2023-01-04",1,"1","Šibensko-Kninska",9.39
"2023-01-04",2,"2","Bjelovarska-Bilogorska",8.39
"2023-01-04",3,"3","Brodsko-Posavska",7.45
"2023-01-04",4,"4","Dubrovacko-Neretvanska",9.08
"2023-01-04",5,"5","Grad Zagreb",8.47
"2023-01-04",6,"6","Istarska",10.09
"2023-01-04",7,"7","Karlovacka",7.91
"2023-01-04",8,"8","Koprivničko-Križevačka",8.21
"2023-01-04",9,"9","Krapinsko-Zagorska",8.04
"2023-01-04",10,"10","Licko-Senjska",7.68
"2023-01-04",11,"11","Medimurska",7.09
"2023-01-04",12,"12","Osjecko-Baranjska",7.67
"2023-01-04",13,"13","Požeško-Slavonska",7.69
"2023-01-04",14,"14","Primorsko-Goranska",8.86
"2023-01-04",15,"15","Sisacko-Moslavacka",8.43
"2023-01-04",16,"16","Splitsko-Dalmatinska",8.42
"2023-01-04",17,"17","Varaždinska",7.58
"2023-01-04",18,"18","Viroviticko-Podravska",8.06
"2023-01-04",19,"19","Vukovarsko-Srijemska",6.16
"2023-01-04",20,"20","Zadarska",9.94
"2023-01-04",21,"21","Zagrebačka",8.52
"2023-01-05",1,"1","Šibensko-Kninska",8.02
"2023-01-05",2,"2","Bjelovarska-Bilogorska",4.47
"2023-01-05",3,"3","Brodsko-Posavska",2.95
