"","date","ID_1","NAME_1","t2m"
"1","2010-01-01",1,"Bács-Kiskun",8.52
"2","2010-01-01",2,"Békés",8.93
"3","2010-01-01",3,"Baranya",8.34
"4","2010-01-01",4,"Borsod-Abaúj-Zemplén",3.19
"5","2010-01-01",5,"Budapest",4.95
"6","2010-01-01",6,"Csongrád",9.49
"7","2010-01-01",7,"Fejér",5.51
"8","2010-01-01",8,"Gyor-Moson-Sopron",3.84
"9","2010-01-01",9,"Hajdú-Bihar",6.63
"10","2010-01-01",10,"Heves",4.07
"11","2010-01-01",11,"Jász-Nagykun-Szolnok",6.54
"12","2010-01-01",12,"Komárom-Esztergom",4.67
"13","2010-01-01",13,"Nógrád",2.86
"14","2010-01-01",14,"Pest",5.35
"15","2010-01-01",15,"Somogy",7.36
"16","2010-01-01",16,"Szabolcs-Szatmár-Bereg",5.14
"17","2010-01-01",17,"Tolna",8.03
"18","2010-01-01",18,"Vas",2.02
"19","2010-01-01",19,"Veszprém",3.97
"20","2010-01-01",20,"Zala",4.2
"21","2010-01-02",1,"Bács-Kiskun",5.11
"22","2010-01-02",2,"Békés",4.97
"23","2010-01-02",3,"Baranya",4.59
"24","2010-01-02",4,"Borsod-Abaúj-Zemplén",2.67
"25","2010-01-02",5,"Budapest",3.6
"26","2010-01-02",6,"Csongrád",5.76
"27","2010-01-02",7,"Fejér",2.98
"28","2010-01-02",8,"Gyor-Moson-Sopron",2.63
"29","2010-01-02",9,"Hajdú-Bihar",3.3
"30","2010-01-02",10,"Heves",2.9
"31","2010-01-02",11,"Jász-Nagykun-Szolnok",4.05
"32","2010-01-02",12,"Komárom-Esztergom",1.96
"33","2010-01-02",13,"Nógrád",1.83
"34","2010-01-02",14,"Pest",3.81
"35","2010-01-02",15,"Somogy",3.87
"36","2010-01-02",16,"Szabolcs-Szatmár-Bereg",3.05
"37","2010-01-02",17,"Tolna",3.82
"38","2010-01-02",18,"Vas",3.45
"39","2010-01-02",19,"Veszprém",2.25
"40","2010-01-02",20,"Zala",3.84
"41","2010-01-03",1,"Bács-Kiskun",-1.05
"42","2010-01-03",2,"Békés",0.34
"43","2010-01-03",3,"Baranya",-0.56
"44","2010-01-03",4,"Borsod-Abaúj-Zemplén",-0.32
"45","2010-01-03",5,"Budapest",-1.4
"46","2010-01-03",6,"Csongrád",-0.03
"47","2010-01-03",7,"Fejér",-1.33
"48","2010-01-03",8,"Gyor-Moson-Sopron",-0.38
"49","2010-01-03",9,"Hajdú-Bihar",0.16
"50","2010-01-03",10,"Heves",-0.21
"51","2010-01-03",11,"Jász-Nagykun-Szolnok",0.03
"52","2010-01-03",12,"Komárom-Esztergom",-1.46
"53","2010-01-03",13,"Nógrád",-1.32
"54","2010-01-03",14,"Pest",-1.12
"55","2010-01-03",15,"Somogy",-0.32
"56","2010-01-03",16,"Szabolcs-Szatmár-Bereg",0.52
"57","2010-01-03",17,"Tolna",-1.1
"58","2010-01-03",18,"Vas",-0.07
"59","2010-01-03",19,"Veszprém",-1.03
"60","2010-01-03",20,"Zala",0.13
"61","2010-01-04",1,"Bács-Kiskun",-5.85
"62","2010-01-04",2,"Békés",-5.39
"63","2010-01-04",3,"Baranya",-4
"64","2010-01-04",4,"Borsod-Abaúj-Zemplén",-4.5
"65","2010-01-04",5,"Budapest",-6.11
"66","2010-01-04",6,"Csongrád",-5.82
"67","2010-01-04",7,"Fejér",-6.05
"68","2010-01-04",8,"Gyor-Moson-Sopron",-5.06
"69","2010-01-04",9,"Hajdú-Bihar",-3.94
"70","2010-01-04",10,"Heves",-6.6
"71","2010-01-04",11,"Jász-Nagykun-Szolnok",-6.44
"72","2010-01-04",12,"Komárom-Esztergom",-6.29
"73","2010-01-04",13,"Nógrád",-7.39
"74","2010-01-04",14,"Pest",-6.64
"75","2010-01-04",15,"Somogy",-4.68
"76","2010-01-04",16,"Szabolcs-Szatmár-Bereg",-4.34
"77","2010-01-04",17,"Tolna",-5.22
"78","2010-01-04",18,"Vas",-4.96
"79","2010-01-04",19,"Veszprém",-4.76
"80","2010-01-04",20,"Zala",-4.59
"81","2010-01-05",1,"Bács-Kiskun",-2.97
"82","2010-01-05",2,"Békés",-3.63
"83","2010-01-05",3,"Baranya",-1.45
"84","2010-01-05",4,"Borsod-Abaúj-Zemplén",-5.96
"85","2010-01-05",5,"Budapest",-4.97
"86","2010-01-05",6,"Csongrád",-2.98
"87","2010-01-05",7,"Fejér",-3.42
"88","2010-01-05",8,"Gyor-Moson-Sopron",-2.42
"89","2010-01-05",9,"Hajdú-Bihar",-5.02
"90","2010-01-05",10,"Heves",-6.64
"91","2010-01-05",11,"Jász-Nagykun-Szolnok",-4.98
"92","2010-01-05",12,"Komárom-Esztergom",-3.91
"93","2010-01-05",13,"Nógrád",-5.99
"94","2010-01-05",14,"Pest",-5.01
"95","2010-01-05",15,"Somogy",-1.43
"96","2010-01-05",16,"Szabolcs-Szatmár-Bereg",-6.55
"97","2010-01-05",17,"Tolna",-2.18
"98","2010-01-05",18,"Vas",-2.68
"99","2010-01-05",19,"Veszprém",-2.39
"100","2010-01-05",20,"Zala",-1.78
"101","2010-01-06",1,"Bács-Kiskun",-0.83
"102","2010-01-06",2,"Békés",-0.85
"103","2010-01-06",3,"Baranya",-0.48
"104","2010-01-06",4,"Borsod-Abaúj-Zemplén",-1.79
"105","2010-01-06",5,"Budapest",-2.45
"106","2010-01-06",6,"Csongrád",-0.44
"107","2010-01-06",7,"Fejér",-2.27
"108","2010-01-06",8,"Gyor-Moson-Sopron",-2.3
"109","2010-01-06",9,"Hajdú-Bihar",-0.99
"110","2010-01-06",10,"Heves",-2.78
"111","2010-01-06",11,"Jász-Nagykun-Szolnok",-1.83
"112","2010-01-06",12,"Komárom-Esztergom",-2.38
"113","2010-01-06",13,"Nógrád",-2.61
"114","2010-01-06",14,"Pest",-2.25
"115","2010-01-06",15,"Somogy",-1.5
"116","2010-01-06",16,"Szabolcs-Szatmár-Bereg",-0.41
"117","2010-01-06",17,"Tolna",-1.35
"118","2010-01-06",18,"Vas",-2.61
"119","2010-01-06",19,"Veszprém",-2.44
"120","2010-01-06",20,"Zala",-2.22
"121","2010-01-07",1,"Bács-Kiskun",-0.99
"122","2010-01-07",2,"Békés",-0.27
"123","2010-01-07",3,"Baranya",-0.93
"124","2010-01-07",4,"Borsod-Abaúj-Zemplén",-0.33
"125","2010-01-07",5,"Budapest",-0.7
"126","2010-01-07",6,"Csongrád",-0.61
"127","2010-01-07",7,"Fejér",-0.87
"128","2010-01-07",8,"Gyor-Moson-Sopron",-3.25
"129","2010-01-07",9,"Hajdú-Bihar",0.59
"130","2010-01-07",10,"Heves",-2.47
"131","2010-01-07",11,"Jász-Nagykun-Szolnok",-1.17
"132","2010-01-07",12,"Komárom-Esztergom",-2.03
"133","2010-01-07",13,"Nógrád",-3.38
"134","2010-01-07",14,"Pest",-1.09
"135","2010-01-07",15,"Somogy",-1.33
"136","2010-01-07",16,"Szabolcs-Szatmár-Bereg",1.55
"137","2010-01-07",17,"Tolna",-1.01
"138","2010-01-07",18,"Vas",-2.68
"139","2010-01-07",19,"Veszprém",-2.09
"140","2010-01-07",20,"Zala",-1.93
"141","2010-01-08",1,"Bács-Kiskun",-1.86
"142","2010-01-08",2,"Békés",0.07
"143","2010-01-08",3,"Baranya",-0.16
"144","2010-01-08",4,"Borsod-Abaúj-Zemplén",-2.72
"145","2010-01-08",5,"Budapest",-5.13
"146","2010-01-08",6,"Csongrád",-0.81
"147","2010-01-08",7,"Fejér",-3.38
"148","2010-01-08",8,"Gyor-Moson-Sopron",-3.46
"149","2010-01-08",9,"Hajdú-Bihar",-1.15
"150","2010-01-08",10,"Heves",-6.22
"151","2010-01-08",11,"Jász-Nagykun-Szolnok",-4.33
"152","2010-01-08",12,"Komárom-Esztergom",-3.8
"153","2010-01-08",13,"Nógrád",-4.73
"154","2010-01-08",14,"Pest",-4.92
"155","2010-01-08",15,"Somogy",-1.05
"156","2010-01-08",16,"Szabolcs-Szatmár-Bereg",-0.74
"157","2010-01-08",17,"Tolna",-1.28
"158","2010-01-08",18,"Vas",-2.06
"159","2010-01-08",19,"Veszprém",-2.39
"160","2010-01-08",20,"Zala",-1.59
"161","2010-01-09",1,"Bács-Kiskun",6.64
"162","2010-01-09",2,"Békés",7.61
"163","2010-01-09",3,"Baranya",5.84
"164","2010-01-09",4,"Borsod-Abaúj-Zemplén",4.28
"165","2010-01-09",5,"Budapest",4.07
"166","2010-01-09",6,"Csongrád",8.88
"167","2010-01-09",7,"Fejér",3.82
