"date","ID_2","GID_2","NAME_2","t2m"
"2023-01-01",1,"1","Bácsalmás",9.26
"2023-01-01",2,"2","Baja",9.69
"2023-01-01",3,"3","Jánoshalm",9.41
"2023-01-01",4,"4","Kalocsa",9.63
"2023-01-01",5,"5","Kecskemét",8.43
"2023-01-01",6,"6","Kiskőrös",9.15
"2023-01-01",7,"7","Kiskunfélegyház",8.56
"2023-01-01",8,"8","Kiskunhalas",9.17
"2023-01-01",9,"9","Kiskunmajsa",8.83
"2023-01-01",10,"10","Kunszentmiklós",8.83
"2023-01-01",11,"11","Békéscsabai",7.8
"2023-01-01",12,"12","Békési",7.85
"2023-01-01",13,"13","Gyulai",7.97
"2023-01-01",14,"14","Mezőkovácsház",7.68
"2023-01-01",15,"15","Orosház",7.88
"2023-01-01",16,"16","Sarkad",8.16
"2023-01-01",17,"17","Szarvas",7.92
"2023-01-01",18,"18","Szeghalmi",7.84
"2023-01-01",19,"19","Komlói",10.54
"2023-01-01",20,"20","Mohácsi",9.93
"2023-01-01",21,"21","Pécs",10.07
"2023-01-01",22,"22","Pécsváradi",10.28
"2023-01-01",23,"23","Sásdi",10.54
"2023-01-01",24,"24","Sellyei",10.08
"2023-01-01",25,"25","Siklósi",9.62
"2023-01-01",26,"26","Szentlőrinci",10.24
"2023-01-01",27,"27","Szigetvári",10.62
"2023-01-01",28,"28","Ózdi",3.62
"2023-01-01",29,"29","Abaúj–Hegyközi",5.56
"2023-01-01",30,"30","Bodrogközi",7.44
"2023-01-01",31,"31","Edelényi",3.59
"2023-01-01",32,"32","Encsi",4.8
"2023-01-01",33,"33","Kazincbarcikai",3.58
"2023-01-01",34,"34","Mezőcsáti",6.46
"2023-01-01",35,"35","Mezőkövesdi",5.33
"2023-01-01",36,"36","Miskolci",4.68
"2023-01-01",37,"37","Sárospatak",6.57
"2023-01-01",38,"38","Sátoraljaújhely",6.35
"2023-01-01",39,"39","Szerencs",5.7
"2023-01-01",40,"40","Szikszó",4.69
"2023-01-01",41,"41","Tiszaújváros",5.65
"2023-01-01",42,"42","Tokaji",6.4
"2023-01-01",43,"43","Budapesti",3.49
"2023-01-01",44,"44","Csongrádi",8.31
"2023-01-01",45,"45","Hódmezővásárhely",8.21
"2023-01-01",46,"46","Kistelek",8.56
"2023-01-01",47,"47","Mórahalm",8.91
"2023-01-01",48,"48","Makó",7.92
"2023-01-01",49,"49","Szeged",8.51
"2023-01-01",50,"50","Szentes",8.14
"2023-01-01",51,"51","Aba",9.13
"2023-01-01",52,"52","Adony",7.98
"2023-01-01",53,"53","Bicske",5.29
"2023-01-01",54,"54","Dunaújváros",9.27
"2023-01-01",55,"55","Enying",9.45
"2023-01-01",56,"56","Ercs",5.86
"2023-01-01",57,"57","Gárdony",6.83
"2023-01-01",58,"58","Mór",7.74
"2023-01-01",59,"59","Sárbogárd",9.8
"2023-01-01",60,"60","Székesfehérvár",8.02
"2023-01-01",61,"61","Csorna",8.2
"2023-01-01",62,"62","Győr",8.26
"2023-01-01",63,"63","Kapuvár-Beled",7.67
"2023-01-01",64,"64","Mosonmagyaróvár",7.19
"2023-01-01",65,"65","Pannonhalm",8.78
"2023-01-01",66,"66","Sopron-Fertőd",7.19
"2023-01-01",67,"67","Téti",8.82
"2023-01-01",68,"68","Balmazújváros",7.5
"2023-01-01",69,"69","Berettyóújfalu",8.26
"2023-01-01",70,"70","Debrecen",8.24
"2023-01-01",71,"71","Derecske–Létavértes",8.6
"2023-01-01",72,"72","Hajdúböszörmény",7.66
"2023-01-01",73,"73","Hajdúhadház",8.55
"2023-01-01",74,"74","Hajdúszoboszló",8.01
"2023-01-01",75,"75","Püspökladány",7.88
"2023-01-01",76,"76","Polgár",7.03
"2023-01-01",77,"77","Bélapátfalva",3.98
"2023-01-01",78,"78","Eger",4.56
"2023-01-01",79,"79","Füzesabony",5.94
"2023-01-01",80,"80","Gyöngyös",3.86
"2023-01-01",81,"81","Hatvani",4.05
"2023-01-01",82,"82","Heves",5.47
"2023-01-01",83,"83","Pétervására",3.57
"2023-01-01",84,"84","Jászberény",5.92
"2023-01-01",85,"85","Karcag",7.65
"2023-01-01",86,"86","Kunszentmárton",8.01
"2023-01-01",87,"87","Mezőtúri",7.78
"2023-01-01",88,"88","Szolnok",7.45
"2023-01-01",89,"89","Törökszentmiklós",7.52
"2023-01-01",90,"90","Tiszafüred",7.19
"2023-01-01",91,"91","Dorog",2.5
"2023-01-01",92,"92","Esztergom",2.87
"2023-01-01",93,"93","Kisbér",8.22
"2023-01-01",94,"94","Komárom",7.42
"2023-01-01",95,"95","Oroszlány",7.45
"2023-01-01",96,"96","Tatabánya",5.58
"2023-01-01",97,"97","Tata",5.92
"2023-01-01",98,"98","Bátonyterenye",3.46
"2023-01-01",99,"99","Balassagyarmat",2.8
"2023-01-01",100,"100","Pásztó",3.66
"2023-01-01",101,"101","Rétság",2.3
"2023-01-01",102,"102","Salgótarján",3.11
"2023-01-01",103,"103","Szécsény",3.18
"2023-01-01",104,"104","Érd",4.08
"2023-01-01",105,"105","Aszód",4.2
"2023-01-01",106,"106","Ceglédi",7.72
"2023-01-01",107,"107","Dabasi",7.21
"2023-01-01",108,"108","Dunakeszi",2.82
"2023-01-01",109,"109","Gödöllő",4.38
"2023-01-01",110,"110","Gyál",5.89
"2023-01-01",111,"111","Monor",6.03
"2023-01-01",112,"112","Nagykáta",6.4
"2023-01-01",113,"113","Pilisvörösvár",2.88
"2023-01-01",114,"114","Ráckeve",6.81
"2023-01-01",115,"115","Szentendre",2.04
"2023-01-01",116,"116","Szob",2.06
"2023-01-01",117,"117","Vác",2.4
"2023-01-01",118,"118","Veresegyház",2.8
"2023-01-01",119,"119","Balatonföldvári",9.77
"2023-01-01",120,"120","Barcs",10.92
"2023-01-01",121,"121","Csurgó",11.24
"2023-01-01",122,"122","Fonyód",9.76
"2023-01-01",123,"123","Kadarkút",10.8
"2023-01-01",124,"124","Lengyeltóti",10.06
"2023-01-01",125,"125","Marcali",10.79
"2023-01-01",126,"126","Nagyatád",11.13
"2023-01-01",127,"127","Siófok",9.45
"2023-01-01",128,"128","Tab",10.06
"2023-01-01",129,"129","Baktalórántháza",7.9
"2023-01-01",130,"130","Csenger",9
"2023-01-01",131,"131","Fehérgyarmat",8.65
"2023-01-01",132,"132","Ibrány–Nagyhalász",7.37
"2023-01-01",133,"133","Kisvárda",7.95
"2023-01-01",134,"134","Mátészalka",8.32
"2023-01-01",135,"135","Nagykálló",8.18
"2023-01-01",136,"136","Nyírbátor",8.52
"2023-01-01",137,"137","Nyíregyháza",7.65
"2023-01-01",138,"138","Tiszavasvár",6.81
"2023-01-01",139,"139","Vásárosnamény",8.29
"2023-01-01",140,"140","Bonyhád",10.53
"2023-01-01",141,"141","Dombóvár",10.68
"2023-01-01",142,"142","Paks",10.05
"2023-01-01",143,"143","Szekszárd",10.4
"2023-01-01",144,"144","Tamás",10.36
"2023-01-01",145,"145","Őriszentpéter",7.77
"2023-01-01",146,"146","Celldömölk",8.59
"2023-01-01",147,"147","Csepreg",7.33
"2023-01-01",148,"148","Kőszeg",5.86
"2023-01-01",149,"149","Körmend",7.34
"2023-01-01",150,"150","Sárvár",7.99
"2023-01-01",151,"151","Szentgotthárd",5.3
"2023-01-01",152,"152","Szombathely",6.5
"2023-01-01",153,"153","Vasvár",8.72
"2023-01-01",154,"154","Ajka",8.95
"2023-01-01",155,"155","Balatonalmádi",8.9
"2023-01-01",156,"156","Balatonfüred",8.87
