"date","ID_0","NAME_0","t2m"
"2006-01-01",1,"Iceland",-3.3
"2006-01-02",1,"Iceland",2.52
"2006-01-03",1,"Iceland",-1.17
"2006-01-04",1,"Iceland",2.47
"2006-01-05",1,"Iceland",5.39
"2006-01-06",1,"Iceland",-1.12
"2006-01-07",1,"Iceland",2.31
"2006-01-08",1,"Iceland",-3.54
"2006-01-09",1,"Iceland",2
"2006-01-10",1,"Iceland",-4.04
"2006-01-11",1,"Iceland",-4.47
"2006-01-12",1,"Iceland",-3.68
"2006-01-13",1,"Iceland",-5.5
"2006-01-14",1,"Iceland",-7.84
"2006-01-15",1,"Iceland",-5.96
"2006-01-16",1,"Iceland",-7.17
"2006-01-17",1,"Iceland",-9.97
"2006-01-18",1,"Iceland",-10.86
"2006-01-19",1,"Iceland",-3.41
"2006-01-20",1,"Iceland",-2.59
"2006-01-21",1,"Iceland",-1.23
"2006-01-22",1,"Iceland",2.43
"2006-01-23",1,"Iceland",-2.34
"2006-01-24",1,"Iceland",-4.35
"2006-01-25",1,"Iceland",1.74
"2006-01-26",1,"Iceland",2.58
"2006-01-27",1,"Iceland",2.66
"2006-01-28",1,"Iceland",-2.8
"2006-01-29",1,"Iceland",4.66
"2006-01-30",1,"Iceland",4.4
"2006-01-31",1,"Iceland",1.68
"2006-02-01",1,"Iceland",2.99
"2006-02-02",1,"Iceland",4.72
"2006-02-03",1,"Iceland",1.7
"2006-02-04",1,"Iceland",1.47
"2006-02-05",1,"Iceland",4.62
"2006-02-06",1,"Iceland",-1.04
"2006-02-07",1,"Iceland",-4.86
"2006-02-08",1,"Iceland",-6.72
"2006-02-09",1,"Iceland",-11.01
"2006-02-10",1,"Iceland",1
"2006-02-11",1,"Iceland",0.44
"2006-02-12",1,"Iceland",-3.14
"2006-02-13",1,"Iceland",2.14
"2006-02-14",1,"Iceland",0.13
"2006-02-15",1,"Iceland",-1.6
"2006-02-16",1,"Iceland",-6.73
"2006-02-17",1,"Iceland",-1.14
"2006-02-18",1,"Iceland",-0.1
"2006-02-19",1,"Iceland",-0.28
"2006-02-20",1,"Iceland",-1.17
"2006-02-21",1,"Iceland",3.85
"2006-02-22",1,"Iceland",4.25
"2006-02-23",1,"Iceland",3.79
"2006-02-24",1,"Iceland",0.73
"2006-02-25",1,"Iceland",-2.78
"2006-02-26",1,"Iceland",-2.27
"2006-02-27",1,"Iceland",1.14
"2006-02-28",1,"Iceland",-4.56
"2006-03-01",1,"Iceland",-8.14
"2006-03-02",1,"Iceland",-6.18
"2006-03-03",1,"Iceland",-9.21
"2006-03-04",1,"Iceland",-5.96
"2006-03-05",1,"Iceland",-8.06
"2006-03-06",1,"Iceland",-8.07
"2006-03-07",1,"Iceland",-0.65
"2006-03-08",1,"Iceland",-0.02
"2006-03-09",1,"Iceland",-2.78
"2006-03-10",1,"Iceland",-2.06
"2006-03-11",1,"Iceland",-0.35
"2006-03-12",1,"Iceland",-0.68
"2006-03-13",1,"Iceland",-0.55
"2006-03-14",1,"Iceland",-2.96
"2006-03-15",1,"Iceland",0.15
"2006-03-16",1,"Iceland",3.29
"2006-03-17",1,"Iceland",3.56
"2006-03-18",1,"Iceland",4.14
"2006-03-19",1,"Iceland",2.6
"2006-03-20",1,"Iceland",-3.85
"2006-03-21",1,"Iceland",-9.66
"2006-03-22",1,"Iceland",-10.97
"2006-03-23",1,"Iceland",-7.1
"2006-03-24",1,"Iceland",-8.66
"2006-03-25",1,"Iceland",-9.48
"2006-03-26",1,"Iceland",-6.05
"2006-03-27",1,"Iceland",-6.24
"2006-03-28",1,"Iceland",-3.22
"2006-03-29",1,"Iceland",-2.22
"2006-03-30",1,"Iceland",-2.91
"2006-03-31",1,"Iceland",-4.6
"2006-04-01",1,"Iceland",-6.04
"2006-04-02",1,"Iceland",-9.68
"2006-04-03",1,"Iceland",-6.59
"2006-04-04",1,"Iceland",-3.54
"2006-04-05",1,"Iceland",-1.06
"2006-04-06",1,"Iceland",-5.23
"2006-04-07",1,"Iceland",-6.4
"2006-04-08",1,"Iceland",-3.01
"2006-04-09",1,"Iceland",-5.58
"2006-04-10",1,"Iceland",1.6
"2006-04-11",1,"Iceland",-0.14
"2006-04-12",1,"Iceland",-4.65
"2006-04-13",1,"Iceland",-2.74
"2006-04-14",1,"Iceland",-6.06
"2006-04-15",1,"Iceland",-2.05
"2006-04-16",1,"Iceland",-2.03
"2006-04-17",1,"Iceland",-0.87
"2006-04-18",1,"Iceland",-2.63
"2006-04-19",1,"Iceland",-3.38
"2006-04-20",1,"Iceland",-2.22
"2006-04-21",1,"Iceland",1.11
"2006-04-22",1,"Iceland",-0.52
"2006-04-23",1,"Iceland",-5.23
"2006-04-24",1,"Iceland",-1.28
"2006-04-25",1,"Iceland",-1.97
"2006-04-26",1,"Iceland",-1.69
"2006-04-27",1,"Iceland",-0.28
"2006-04-28",1,"Iceland",3.68
"2006-04-29",1,"Iceland",4.25
"2006-04-30",1,"Iceland",3.51
"2006-05-01",1,"Iceland",0.7
"2006-05-02",1,"Iceland",0.82
"2006-05-03",1,"Iceland",3.03
"2006-05-04",1,"Iceland",4.2
"2006-05-05",1,"Iceland",4.68
"2006-05-06",1,"Iceland",4.09
"2006-05-07",1,"Iceland",4.1
"2006-05-08",1,"Iceland",4.48
"2006-05-09",1,"Iceland",5.49
"2006-05-10",1,"Iceland",5.4
"2006-05-11",1,"Iceland",1.09
"2006-05-12",1,"Iceland",-1.77
"2006-05-13",1,"Iceland",-2.29
"2006-05-14",1,"Iceland",-0.64
"2006-05-15",1,"Iceland",0.87
"2006-05-16",1,"Iceland",0.76
"2006-05-17",1,"Iceland",0.45
"2006-05-18",1,"Iceland",1.56
"2006-05-19",1,"Iceland",-0.59
"2006-05-20",1,"Iceland",-1.93
"2006-05-21",1,"Iceland",-2.75
"2006-05-22",1,"Iceland",-4.49
"2006-05-23",1,"Iceland",-1.19
"2006-05-24",1,"Iceland",-1.08
"2006-05-25",1,"Iceland",-2.44
"2006-05-26",1,"Iceland",-0.32
"2006-05-27",1,"Iceland",1.68
"2006-05-28",1,"Iceland",2.93
"2006-05-29",1,"Iceland",0.75
"2006-05-30",1,"Iceland",4.1
"2006-05-31",1,"Iceland",4.98
"2006-06-01",1,"Iceland",7.01
"2006-06-02",1,"Iceland",5.03
"2006-06-03",1,"Iceland",4.81
"2006-06-04",1,"Iceland",5.36
"2006-06-05",1,"Iceland",7.36
"2006-06-06",1,"Iceland",6.6
"2006-06-07",1,"Iceland",6.18
"2006-06-08",1,"Iceland",6.12
"2006-06-09",1,"Iceland",5.39
"2006-06-10",1,"Iceland",7.12
"2006-06-11",1,"Iceland",9.42
"2006-06-12",1,"Iceland",7.26
"2006-06-13",1,"Iceland",1.28
"2006-06-14",1,"Iceland",4.97
"2006-06-15",1,"Iceland",8.05
"2006-06-16",1,"Iceland",5.3
"2006-06-17",1,"Iceland",6.31
"2006-06-18",1,"Iceland",6.67
"2006-06-19",1,"Iceland",7.89
"2006-06-20",1,"Iceland",6.9
"2006-06-21",1,"Iceland",5.33
"2006-06-22",1,"Iceland",4.8
"2006-06-23",1,"Iceland",5.37
"2006-06-24",1,"Iceland",5.22
"2006-06-25",1,"Iceland",6.91
"2006-06-26",1,"Iceland",7.21
"2006-06-27",1,"Iceland",7.16
"2006-06-28",1,"Iceland",7.57
"2006-06-29",1,"Iceland",8.38
"2006-06-30",1,"Iceland",7.31
"2006-07-01",1,"Iceland",7.96
"2006-07-02",1,"Iceland",7.04
"2006-07-03",1,"Iceland",5.54
"2006-07-04",1,"Iceland",7.43
"2006-07-05",1,"Iceland",9.21
"2006-07-06",1,"Iceland",8.59
"2006-07-07",1,"Iceland",7.36
"2006-07-08",1,"Iceland",4.68
"2006-07-09",1,"Iceland",4.08
"2006-07-10",1,"Iceland",5.31
"2006-07-11",1,"Iceland",7.1
"2006-07-12",1,"Iceland",6.5
"2006-07-13",1,"Iceland",4.95
"2006-07-14",1,"Iceland",8.54
"2006-07-15",1,"Iceland",8.84
"2006-07-16",1,"Iceland",7.19
"2006-07-17",1,"Iceland",6.3
"2006-07-18",1,"Iceland",7.89
"2006-07-19",1,"Iceland",7.83
"2006-07-20",1,"Iceland",7.32
"2006-07-21",1,"Iceland",7.4
"2006-07-22",1,"Iceland",8.21
"2006-07-23",1,"Iceland",8.12
"2006-07-24",1,"Iceland",8.99
"2006-07-25",1,"Iceland",9.2
"2006-07-26",1,"Iceland",9.36
"2006-07-27",1,"Iceland",9.31
"2006-07-28",1,"Iceland",9.98
"2006-07-29",1,"Iceland",9.54
"2006-07-30",1,"Iceland",9.57
"2006-07-31",1,"Iceland",9.53
