"","date","ID_1","NAME_1","t2m"
"1","2018-01-01",1,"Austurland",-3.94
"2","2018-01-01",2,"Hálshreppur",-5.12
"3","2018-01-01",3,"Höfuðborgarsvæði",-10.84
"4","2018-01-01",4,"Norðurland vestra",-6.9
"5","2018-01-01",5,"Suðurland",-6.4
"6","2018-01-01",6,"Suðurnes",-3.05
"7","2018-01-01",7,"Vestfirðir",-5.92
"8","2018-01-01",8,"Vesturland",-8.45
"9","2018-01-02",1,"Austurland",-2.96
"10","2018-01-02",2,"Hálshreppur",-3.18
"11","2018-01-02",3,"Höfuðborgarsvæði",-9.94
"12","2018-01-02",4,"Norðurland vestra",-6.91
"13","2018-01-02",5,"Suðurland",-7.09
"14","2018-01-02",6,"Suðurnes",-3.97
"15","2018-01-02",7,"Vestfirðir",-5.11
"16","2018-01-02",8,"Vesturland",-8.47
"17","2018-01-03",1,"Austurland",-3
"18","2018-01-03",2,"Hálshreppur",-4.18
"19","2018-01-03",3,"Höfuðborgarsvæði",-2.37
"20","2018-01-03",4,"Norðurland vestra",-5.07
"21","2018-01-03",5,"Suðurland",-2.65
"22","2018-01-03",6,"Suðurnes",0.91
"23","2018-01-03",7,"Vestfirðir",-2.69
"24","2018-01-03",8,"Vesturland",-4.39
"25","2018-01-04",1,"Austurland",-4.83
"26","2018-01-04",2,"Hálshreppur",-5.66
"27","2018-01-04",3,"Höfuðborgarsvæði",-5.87
"28","2018-01-04",4,"Norðurland vestra",-6.95
"29","2018-01-04",5,"Suðurland",-5.52
"30","2018-01-04",6,"Suðurnes",-0.28
"31","2018-01-04",7,"Vestfirðir",-5.89
"32","2018-01-04",8,"Vesturland",-9.57
"33","2018-01-05",1,"Austurland",-4.58
"34","2018-01-05",2,"Hálshreppur",-5.9
"35","2018-01-05",3,"Höfuðborgarsvæði",-4.55
"36","2018-01-05",4,"Norðurland vestra",-7.32
"37","2018-01-05",5,"Suðurland",-3.93
"38","2018-01-05",6,"Suðurnes",0.24
"39","2018-01-05",7,"Vestfirðir",-3.91
"40","2018-01-05",8,"Vesturland",-6.08
"41","2018-01-06",1,"Austurland",-8.7
"42","2018-01-06",2,"Hálshreppur",-7.8
"43","2018-01-06",3,"Höfuðborgarsvæði",-0.55
"44","2018-01-06",4,"Norðurland vestra",-4.67
"45","2018-01-06",5,"Suðurland",-6.45
"46","2018-01-06",6,"Suðurnes",3.59
"47","2018-01-06",7,"Vestfirðir",-3.47
"48","2018-01-06",8,"Vesturland",-2.03
"49","2018-01-07",1,"Austurland",-7.28
"50","2018-01-07",2,"Hálshreppur",-7.94
"51","2018-01-07",3,"Höfuðborgarsvæði",-1.31
"52","2018-01-07",4,"Norðurland vestra",-5.75
"53","2018-01-07",5,"Suðurland",-4.1
"54","2018-01-07",6,"Suðurnes",1.17
"55","2018-01-07",7,"Vestfirðir",-4.11
"56","2018-01-07",8,"Vesturland",-3.29
"57","2018-01-08",1,"Austurland",2.32
"58","2018-01-08",2,"Hálshreppur",1.5
"59","2018-01-08",3,"Höfuðborgarsvæði",3.11
"60","2018-01-08",4,"Norðurland vestra",1.76
"61","2018-01-08",5,"Suðurland",2.21
"62","2018-01-08",6,"Suðurnes",4.23
"63","2018-01-08",7,"Vestfirðir",2.1
"64","2018-01-08",8,"Vesturland",2.78
"65","2018-01-09",1,"Austurland",2.33
"66","2018-01-09",2,"Hálshreppur",1.45
"67","2018-01-09",3,"Höfuðborgarsvæði",5.48
"68","2018-01-09",4,"Norðurland vestra",1.39
"69","2018-01-09",5,"Suðurland",4.48
"70","2018-01-09",6,"Suðurnes",6.02
"71","2018-01-09",7,"Vestfirðir",1.26
"72","2018-01-09",8,"Vesturland",3.15
"73","2018-01-10",1,"Austurland",3.02
"74","2018-01-10",2,"Hálshreppur",3.14
"75","2018-01-10",3,"Höfuðborgarsvæði",2.43
"76","2018-01-10",4,"Norðurland vestra",3.78
"77","2018-01-10",5,"Suðurland",3.72
"78","2018-01-10",6,"Suðurnes",1.87
"79","2018-01-10",7,"Vestfirðir",5.08
"80","2018-01-10",8,"Vesturland",4.6
"81","2018-01-11",1,"Austurland",-0.67
"82","2018-01-11",2,"Hálshreppur",-0.16
"83","2018-01-11",3,"Höfuðborgarsvæði",1.29
"84","2018-01-11",4,"Norðurland vestra",0.03
"85","2018-01-11",5,"Suðurland",0.14
"86","2018-01-11",6,"Suðurnes",3.3
"87","2018-01-11",7,"Vestfirðir",1.3
"88","2018-01-11",8,"Vesturland",0.91
"89","2018-01-12",1,"Austurland",2.69
"90","2018-01-12",2,"Hálshreppur",3.89
"91","2018-01-12",3,"Höfuðborgarsvæði",5.01
"92","2018-01-12",4,"Norðurland vestra",4.24
"93","2018-01-12",5,"Suðurland",3.9
"94","2018-01-12",6,"Suðurnes",6.02
"95","2018-01-12",7,"Vestfirðir",4.33
"96","2018-01-12",8,"Vesturland",4.66
"97","2018-01-13",1,"Austurland",3.11
"98","2018-01-13",2,"Hálshreppur",1.08
"99","2018-01-13",3,"Höfuðborgarsvæði",1.09
"100","2018-01-13",4,"Norðurland vestra",0.06
"101","2018-01-13",5,"Suðurland",0.1
"102","2018-01-13",6,"Suðurnes",3.14
"103","2018-01-13",7,"Vestfirðir",0.91
"104","2018-01-13",8,"Vesturland",0.94
"105","2018-01-14",1,"Austurland",0.64
"106","2018-01-14",2,"Hálshreppur",1.26
"107","2018-01-14",3,"Höfuðborgarsvæði",1.86
"108","2018-01-14",4,"Norðurland vestra",1.5
"109","2018-01-14",5,"Suðurland",0.71
"110","2018-01-14",6,"Suðurnes",2.22
"111","2018-01-14",7,"Vestfirðir",0.98
"112","2018-01-14",8,"Vesturland",1.51
"113","2018-01-15",1,"Austurland",-8.05
"114","2018-01-15",2,"Hálshreppur",-7.53
"115","2018-01-15",3,"Höfuðborgarsvæði",-4.42
"116","2018-01-15",4,"Norðurland vestra",-6.42
"117","2018-01-15",5,"Suðurland",-7.09
"118","2018-01-15",6,"Suðurnes",-0.43
"119","2018-01-15",7,"Vestfirðir",-3.19
"120","2018-01-15",8,"Vesturland",-3.82
"121","2018-01-16",1,"Austurland",-6.97
"122","2018-01-16",2,"Hálshreppur",-6.98
"123","2018-01-16",3,"Höfuðborgarsvæði",-10.25
"124","2018-01-16",4,"Norðurland vestra",-5.67
"125","2018-01-16",5,"Suðurland",-6.46
"126","2018-01-16",6,"Suðurnes",-3.09
"127","2018-01-16",7,"Vestfirðir",-4.67
"128","2018-01-16",8,"Vesturland",-6.42
"129","2018-01-17",1,"Austurland",-5.96
"130","2018-01-17",2,"Hálshreppur",-4.95
"131","2018-01-17",3,"Höfuðborgarsvæði",-3.82
"132","2018-01-17",4,"Norðurland vestra",-4.63
"133","2018-01-17",5,"Suðurland",-5.22
"134","2018-01-17",6,"Suðurnes",-0.77
"135","2018-01-17",7,"Vestfirðir",-2.58
"136","2018-01-17",8,"Vesturland",-3.89
"137","2018-01-18",1,"Austurland",-9.3
"138","2018-01-18",2,"Hálshreppur",-9.05
"139","2018-01-18",3,"Höfuðborgarsvæði",-9.62
"140","2018-01-18",4,"Norðurland vestra",-5.4
