"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Austurland",-9.55
"2023-01-01",2,"2","Hálshreppur",-11.45
"2023-01-01",3,"3","Höfuðborgarsvæði",-6.4
"2023-01-01",4,"4","Norðurland vestra",-9.78
"2023-01-01",5,"5","Suðurland",-6.45
"2023-01-01",6,"6","Suðurnes",-2.51
"2023-01-01",7,"7","Vestfirðir",-6.82
"2023-01-01",8,"8","Vesturland",-7.02
"2023-01-02",1,"1","Austurland",-8.31
"2023-01-02",2,"2","Hálshreppur",-6.25
"2023-01-02",3,"3","Höfuðborgarsvæði",-3.29
"2023-01-02",4,"4","Norðurland vestra",-4.8
"2023-01-02",5,"5","Suðurland",-5.84
"2023-01-02",6,"6","Suðurnes",2.36
"2023-01-02",7,"7","Vestfirðir",-2.87
"2023-01-02",8,"8","Vesturland",-3.81
"2023-01-03",1,"1","Austurland",2.41
"2023-01-03",2,"2","Hálshreppur",-0.34
"2023-01-03",3,"3","Höfuðborgarsvæði",-0.51
"2023-01-03",4,"4","Norðurland vestra",-1.96
"2023-01-03",5,"5","Suðurland",-0.68
"2023-01-03",6,"6","Suðurnes",1.72
"2023-01-03",7,"7","Vestfirðir",-0.11
"2023-01-03",8,"8","Vesturland",-0.98
"2023-01-04",1,"1","Austurland",-2.75
"2023-01-04",2,"2","Hálshreppur",-4.56
"2023-01-04",3,"3","Höfuðborgarsvæði",-8.02
"2023-01-04",4,"4","Norðurland vestra",-9.81
"2023-01-04",5,"5","Suðurland",-7.15
"2023-01-04",6,"6","Suðurnes",-2.45
"2023-01-04",7,"7","Vestfirðir",-6.01
"2023-01-04",8,"8","Vesturland",-8.53
"2023-01-05",1,"1","Austurland",-4.32
"2023-01-05",2,"2","Hálshreppur",-5.22
"2023-01-05",3,"3","Höfuðborgarsvæði",-15.39
"2023-01-05",4,"4","Norðurland vestra",-8.71
"2023-01-05",5,"5","Suðurland",-9.63
"2023-01-05",6,"6","Suðurnes",-7.08
"2023-01-05",7,"7","Vestfirðir",-7.23
"2023-01-05",8,"8","Vesturland",-12.05
"2023-01-06",1,"1","Austurland",-3.55
"2023-01-06",2,"2","Hálshreppur",-5.74
