"","date","ID_0","NAME_0","t2m"
"1","2019-01-01",1,"Italy",3.49
"2","2019-01-02",1,"Italy",2.3
"3","2019-01-03",1,"Italy",2.03
"4","2019-01-04",1,"Italy",-1.85
"5","2019-01-05",1,"Italy",-2.22
"6","2019-01-06",1,"Italy",0.67
"7","2019-01-07",1,"Italy",1.49
"8","2019-01-08",1,"Italy",0.8
"9","2019-01-09",1,"Italy",3.51
"10","2019-01-10",1,"Italy",1.48
"11","2019-01-11",1,"Italy",-0.68
"12","2019-01-12",1,"Italy",-0.59
"13","2019-01-13",1,"Italy",1.02
"14","2019-01-14",1,"Italy",3.81
"15","2019-01-15",1,"Italy",4.6
"16","2019-01-16",1,"Italy",0.61
"17","2019-01-17",1,"Italy",3.68
"18","2019-01-18",1,"Italy",5.14
"19","2019-01-19",1,"Italy",2.96
"20","2019-01-20",1,"Italy",1.15
"21","2019-01-21",1,"Italy",1.57
"22","2019-01-22",1,"Italy",1.83
"23","2019-01-23",1,"Italy",0.64
"24","2019-01-24",1,"Italy",0.68
"25","2019-01-25",1,"Italy",0.73
"26","2019-01-26",1,"Italy",-0.39
"27","2019-01-27",1,"Italy",0.27
"28","2019-01-28",1,"Italy",4.47
"29","2019-01-29",1,"Italy",1.09
"30","2019-01-30",1,"Italy",1.16
"31","2019-01-31",1,"Italy",0.99
"32","2019-02-01",1,"Italy",4.28
"33","2019-02-02",1,"Italy",8.05
"34","2019-02-03",1,"Italy",5.97
"35","2019-02-04",1,"Italy",3.72
"36","2019-02-05",1,"Italy",3.39
"37","2019-02-06",1,"Italy",2.69
"38","2019-02-07",1,"Italy",2.71
"39","2019-02-08",1,"Italy",2.97
"40","2019-02-09",1,"Italy",2.68
"41","2019-02-10",1,"Italy",4.55
"42","2019-02-11",1,"Italy",6.86
"43","2019-02-12",1,"Italy",3
"44","2019-02-13",1,"Italy",2.36
"45","2019-02-14",1,"Italy",2.04
"46","2019-02-15",1,"Italy",3.13
"47","2019-02-16",1,"Italy",3.46
"48","2019-02-17",1,"Italy",2.73
"49","2019-02-18",1,"Italy",3.14
"50","2019-02-19",1,"Italy",3.22
"51","2019-02-20",1,"Italy",3.2
"52","2019-02-21",1,"Italy",3.08
"53","2019-02-22",1,"Italy",4.2
"54","2019-02-23",1,"Italy",6.31
"55","2019-02-24",1,"Italy",2.03
"56","2019-02-25",1,"Italy",2.66
"57","2019-02-26",1,"Italy",4.08
"58","2019-02-27",1,"Italy",6.59
"59","2019-02-28",1,"Italy",5.67
"60","2019-03-01",1,"Italy",6.31
"61","2019-03-02",1,"Italy",6.49
"62","2019-03-03",1,"Italy",5.85
"63","2019-03-04",1,"Italy",6.07
"64","2019-03-05",1,"Italy",7.49
"65","2019-03-06",1,"Italy",5.65
"66","2019-03-07",1,"Italy",8.75
"67","2019-03-08",1,"Italy",9.29
"68","2019-03-09",1,"Italy",7.3
"69","2019-03-10",1,"Italy",7.67
"70","2019-03-11",1,"Italy",9.45
"71","2019-03-12",1,"Italy",4.92
"72","2019-03-13",1,"Italy",3.74
"73","2019-03-14",1,"Italy",4.8
"74","2019-03-15",1,"Italy",6.37
"75","2019-03-16",1,"Italy",7.56
"76","2019-03-17",1,"Italy",7.76
"77","2019-03-18",1,"Italy",8.04
