"date","ID_1","NAME_1","t2m"
"2021-01-01",1,"Abruzzo",-0.97
"2021-01-01",2,"Apulia",5.58
"2021-01-01",3,"Basilicata",2.89
"2021-01-01",4,"Calabria",5.98
"2021-01-01",5,"Campania",3.95
"2021-01-01",6,"Emilia-Romagna",3.14
"2021-01-01",7,"Friuli-Venezia Giulia",-0.06
"2021-01-01",8,"Lazio",2.79
"2021-01-01",9,"Liguria",3.67
"2021-01-01",10,"Lombardia",-0.79
"2021-01-01",11,"Marche",3.04
"2021-01-01",12,"Molise",0.59
"2021-01-01",13,"Piemonte",-1.22
"2021-01-01",14,"Sardegna",5.39
"2021-01-01",15,"Sicily",5.71
"2021-01-01",16,"Toscana",5.03
"2021-01-01",17,"Trentino-Alto Adige",-9.57
"2021-01-01",18,"Umbria",2.24
"2021-01-01",19,"Valle d'Aosta",-11.03
"2021-01-01",20,"Veneto",0.77
"2021-01-02",1,"Abruzzo",3.87
"2021-01-02",2,"Apulia",8.66
"2021-01-02",3,"Basilicata",4.8
"2021-01-02",4,"Calabria",8.4
"2021-01-02",5,"Campania",6.9
"2021-01-02",6,"Emilia-Romagna",4.66
"2021-01-02",7,"Friuli-Venezia Giulia",3.27
"2021-01-02",8,"Lazio",7.7
"2021-01-02",9,"Liguria",3.09
"2021-01-02",10,"Lombardia",0.9
"2021-01-02",11,"Marche",4.88
"2021-01-02",12,"Molise",6.28
"2021-01-02",13,"Piemonte",-0.72
"2021-01-02",14,"Sardegna",7.39
"2021-01-02",15,"Sicily",10.47
"2021-01-02",16,"Toscana",6.74
"2021-01-02",17,"Trentino-Alto Adige",-5.45
"2021-01-02",18,"Umbria",5.13
"2021-01-02",19,"Valle d'Aosta",-7.64
"2021-01-02",20,"Veneto",4.29
"2021-01-03",1,"Abruzzo",4.07
"2021-01-03",2,"Apulia",9.35
"2021-01-03",3,"Basilicata",5.53
"2021-01-03",4,"Calabria",7.97
"2021-01-03",5,"Campania",7.28
"2021-01-03",6,"Emilia-Romagna",5.38
"2021-01-03",7,"Friuli-Venezia Giulia",3.73
"2021-01-03",8,"Lazio",6.76
"2021-01-03",9,"Liguria",3.82
"2021-01-03",10,"Lombardia",2.34
"2021-01-03",11,"Marche",6.67
"2021-01-03",12,"Molise",5.77
"2021-01-03",13,"Piemonte",0.7
"2021-01-03",14,"Sardegna",6.1
"2021-01-03",15,"Sicily",7.35
"2021-01-03",16,"Toscana",7.21
"2021-01-03",17,"Trentino-Alto Adige",-3.92
"2021-01-03",18,"Umbria",5.82
"2021-01-03",19,"Valle d'Aosta",-6.35
"2021-01-03",20,"Veneto",5.23
"2021-01-04",1,"Abruzzo",1.59
"2021-01-04",2,"Apulia",7.36
"2021-01-04",3,"Basilicata",3.14
"2021-01-04",4,"Calabria",6.96
"2021-01-04",5,"Campania",5.15
"2021-01-04",6,"Emilia-Romagna",4.04
"2021-01-04",7,"Friuli-Venezia Giulia",1.24
"2021-01-04",8,"Lazio",4.49
"2021-01-04",9,"Liguria",3.74
"2021-01-04",10,"Lombardia",0.63
"2021-01-04",11,"Marche",3.32
"2021-01-04",12,"Molise",3.34
"2021-01-04",13,"Piemonte",-0.48
"2021-01-04",14,"Sardegna",4.09
"2021-01-04",15,"Sicily",6.61
"2021-01-04",16,"Toscana",5.23
"2021-01-04",17,"Trentino-Alto Adige",-6.91
"2021-01-04",18,"Umbria",3.45
"2021-01-04",19,"Valle d'Aosta",-10.82
"2021-01-04",20,"Veneto",2.57
"2021-01-05",1,"Abruzzo",1.24
"2021-01-05",2,"Apulia",6.11
"2021-01-05",3,"Basilicata",3.73
"2021-01-05",4,"Calabria",5.89
