"date","ID_0","NAME_0","t2m"
"2019-01-01",1,"Kenya",21.42
"2019-01-02",1,"Kenya",21.42
"2019-01-03",1,"Kenya",22.27
"2019-01-04",1,"Kenya",23.18
"2019-01-05",1,"Kenya",22.5
"2019-01-06",1,"Kenya",22.04
"2019-01-07",1,"Kenya",22.28
"2019-01-08",1,"Kenya",22.98
"2019-01-09",1,"Kenya",23.01
"2019-01-10",1,"Kenya",23.57
"2019-01-11",1,"Kenya",23.54
"2019-01-12",1,"Kenya",21.43
"2019-01-13",1,"Kenya",21.22
"2019-01-14",1,"Kenya",21.62
"2019-01-15",1,"Kenya",22.43
"2019-01-16",1,"Kenya",23.14
"2019-01-17",1,"Kenya",22.59
"2019-01-18",1,"Kenya",22.87
"2019-01-19",1,"Kenya",22.61
"2019-01-20",1,"Kenya",22.27
"2019-01-21",1,"Kenya",22.36
"2019-01-22",1,"Kenya",22.07
"2019-01-23",1,"Kenya",22.45
"2019-01-24",1,"Kenya",22.16
"2019-01-25",1,"Kenya",21.9
"2019-01-26",1,"Kenya",22.66
"2019-01-27",1,"Kenya",22.2
"2019-01-28",1,"Kenya",22.66
"2019-01-29",1,"Kenya",22.19
"2019-01-30",1,"Kenya",21.63
"2019-01-31",1,"Kenya",21.72
"2019-02-01",1,"Kenya",22.51
"2019-02-02",1,"Kenya",22.16
"2019-02-03",1,"Kenya",21.71
"2019-02-04",1,"Kenya",22.49
"2019-02-05",1,"Kenya",22.47
"2019-02-06",1,"Kenya",21.22
"2019-02-07",1,"Kenya",22.15
"2019-02-08",1,"Kenya",23.01
"2019-02-09",1,"Kenya",23.4
"2019-02-10",1,"Kenya",22.92
"2019-02-11",1,"Kenya",22.76
"2019-02-12",1,"Kenya",22.03
"2019-02-13",1,"Kenya",22.87
"2019-02-14",1,"Kenya",22.95
"2019-02-15",1,"Kenya",23
"2019-02-16",1,"Kenya",24.07
"2019-02-17",1,"Kenya",23.66
"2019-02-18",1,"Kenya",23.31
"2019-02-19",1,"Kenya",24.42
"2019-02-20",1,"Kenya",23.65
"2019-02-21",1,"Kenya",24.12
"2019-02-22",1,"Kenya",23.97
"2019-02-23",1,"Kenya",23.33
"2019-02-24",1,"Kenya",23.97
"2019-02-25",1,"Kenya",22.95
"2019-02-26",1,"Kenya",23.17
"2019-02-27",1,"Kenya",23.22
"2019-02-28",1,"Kenya",22.75
"2019-03-01",1,"Kenya",22.62
"2019-03-02",1,"Kenya",23.7
"2019-03-03",1,"Kenya",23.51
"2019-03-04",1,"Kenya",23.99
"2019-03-05",1,"Kenya",23.92
"2019-03-06",1,"Kenya",23.44
"2019-03-07",1,"Kenya",23.14
"2019-03-08",1,"Kenya",22.97
"2019-03-09",1,"Kenya",22.78
"2019-03-10",1,"Kenya",22.71
"2019-03-11",1,"Kenya",22.97
"2019-03-12",1,"Kenya",23.28
"2019-03-13",1,"Kenya",22.58
"2019-03-14",1,"Kenya",23.02
"2019-03-15",1,"Kenya",23.18
"2019-03-16",1,"Kenya",23.26
"2019-03-17",1,"Kenya",23.39
"2019-03-18",1,"Kenya",23
"2019-03-19",1,"Kenya",23.2
"2019-03-20",1,"Kenya",23.26
