"date","ID_2","GID_2","NAME_2","t2m"
"2023-01-01",1,"1","Kiambu",13.38
"2023-01-01",2,"2","Kirinyaga",12.21
"2023-01-01",3,"3","Machakos",16.52
"2023-01-01",4,"4","Murang'a",12.15
"2023-01-01",5,"5","Nyandarua",8.79
"2023-01-01",6,"6","Nyeri",8.98
"2023-01-01",7,"7","Kilifi",25.01
"2023-01-01",8,"8","Kwale",24.34
"2023-01-01",9,"9","Lamu",25.32
"2023-01-01",10,"10","Mombasa",25.87
"2023-01-01",11,"11","Taita Taveta",22.17
"2023-01-01",12,"12","Tana River",24.46
"2023-01-01",13,"13","Embu",16.36
"2023-01-01",14,"14","Isiolo",24.2
"2023-01-01",15,"15","Kitui",21.73
"2023-01-01",16,"16","Machakos",16.56
"2023-01-01",17,"17","Makueni",19.04
"2023-01-01",18,"18","Marsabit",25.56
"2023-01-01",19,"19","Meru",15.36
"2023-01-01",20,"20","Nithi",18.86
"2023-01-01",21,"21","Wajir",26.31
"2023-01-01",22,"22","Nairobi",15.07
"2023-01-01",23,"23","Garissa",24.69
"2023-01-01",24,"24","Mandera",26.41
"2023-01-01",25,"25","Wajir",26.62
"2023-01-01",26,"26","Homa Bay",21.18
"2023-01-01",27,"27","Kisii",16.22
"2023-01-01",28,"28","Kisumu",18.69
"2023-01-01",29,"29","Migori",18.35
"2023-01-01",30,"30","Nyamira",15.81
"2023-01-01",31,"31","Siaya",20.22
"2023-01-01",32,"32","Baringo",17.6
"2023-01-01",33,"33","Bomet",13.72
"2023-01-01",34,"34","Elgeyo-Marakwet",13.49
"2023-01-01",35,"35","Kericho",14.62
"2023-01-01",36,"36","Laikipia",13.36
"2023-01-01",37,"37","Nakuru",16.37
"2023-01-01",38,"38","Nandi",14.64
"2023-01-01",39,"39","Narok",14.23
"2023-01-01",40,"40","Samburu",18.98
"2023-01-01",41,"41","Trans-Nzoia",12.65
"2023-01-01",42,"42","Turkana",25.42
"2023-01-01",43,"43","Uasin Gishu",13.34
"2023-01-01",44,"44","West Pokot",17.75
"2023-01-01",45,"45","Bungoma",14.86
"2023-01-01",46,"46","Busia",18.82
"2023-01-01",47,"47","Kakamega",16.12
"2023-01-01",48,"48","Vihiga",18.35
"2023-01-02",1,"1","Kiambu",13.35
"2023-01-02",2,"2","Kirinyaga",13.1
"2023-01-02",3,"3","Machakos",17.55
"2023-01-02",4,"4","Murang'a",12.47
"2023-01-02",5,"5","Nyandarua",9
"2023-01-02",6,"6","Nyeri",9.2
"2023-01-02",7,"7","Kilifi",24.39
"2023-01-02",8,"8","Kwale",24.47
"2023-01-02",9,"9","Lamu",24.32
"2023-01-02",10,"10","Mombasa",26.4
"2023-01-02",11,"11","Taita Taveta",22
"2023-01-02",12,"12","Tana River",23.63
"2023-01-02",13,"13","Embu",17.27
"2023-01-02",14,"14","Isiolo",23.17
"2023-01-02",15,"15","Kitui",21.58
"2023-01-02",16,"16","Machakos",16.99
"2023-01-02",17,"17","Makueni",19.18
"2023-01-02",18,"18","Marsabit",24.76
"2023-01-02",19,"19","Meru",15.23
"2023-01-02",20,"20","Nithi",18.87
"2023-01-02",21,"21","Wajir",24.21
"2023-01-02",22,"22","Nairobi",15.04
"2023-01-02",23,"23","Garissa",23.49
"2023-01-02",24,"24","Mandera",24.88
"2023-01-02",25,"25","Wajir",25.56
"2023-01-02",26,"26","Homa Bay",21.34
