"date","ID_0","NAME_0","t2m"
"2006-01-01",1,"South Korea",-0.42
"2006-01-02",1,"South Korea",0.3
"2006-01-03",1,"South Korea",-2.16
"2006-01-04",1,"South Korea",-3.35
"2006-01-05",1,"South Korea",-7.83
"2006-01-06",1,"South Korea",-7.42
"2006-01-07",1,"South Korea",-8.4
"2006-01-08",1,"South Korea",-7.32
"2006-01-09",1,"South Korea",-5.4
"2006-01-10",1,"South Korea",-1.63
"2006-01-11",1,"South Korea",-4.78
"2006-01-12",1,"South Korea",-2.93
"2006-01-13",1,"South Korea",5.18
"2006-01-14",1,"South Korea",3.34
"2006-01-15",1,"South Korea",1.89
"2006-01-16",1,"South Korea",0.25
"2006-01-17",1,"South Korea",-0.52
"2006-01-18",1,"South Korea",0.29
"2006-01-19",1,"South Korea",0.29
"2006-01-20",1,"South Korea",0.62
"2006-01-21",1,"South Korea",-1.07
"2006-01-22",1,"South Korea",-1.48
"2006-01-23",1,"South Korea",-6.03
"2006-01-24",1,"South Korea",-5.47
"2006-01-25",1,"South Korea",-3.84
"2006-01-26",1,"South Korea",-2.1
"2006-01-27",1,"South Korea",-0.34
"2006-01-28",1,"South Korea",-2.44
"2006-01-29",1,"South Korea",0.2
"2006-01-30",1,"South Korea",4.82
"2006-01-31",1,"South Korea",3.03
"2006-02-01",1,"South Korea",2.37
"2006-02-02",1,"South Korea",-2.15
"2006-02-03",1,"South Korea",-8.72
"2006-02-04",1,"South Korea",-9.99
"2006-02-05",1,"South Korea",-7.58
"2006-02-06",1,"South Korea",-2.99
"2006-02-07",1,"South Korea",0.29
"2006-02-08",1,"South Korea",-5.8
"2006-02-09",1,"South Korea",-7.55
"2006-02-10",1,"South Korea",-0.63
"2006-02-11",1,"South Korea",0.49
"2006-02-12",1,"South Korea",-2.74
"2006-02-13",1,"South Korea",0.09
"2006-02-14",1,"South Korea",7.12
"2006-02-15",1,"South Korea",3.72
"2006-02-16",1,"South Korea",2.28
"2006-02-17",1,"South Korea",-4.3
"2006-02-18",1,"South Korea",-3.05
"2006-02-19",1,"South Korea",-0.17
"2006-02-20",1,"South Korea",1.41
"2006-02-21",1,"South Korea",1.46
"2006-02-22",1,"South Korea",3.86
"2006-02-23",1,"South Korea",-0.54
"2006-02-24",1,"South Korea",2
"2006-02-25",1,"South Korea",2.19
"2006-02-26",1,"South Korea",4.65
"2006-02-27",1,"South Korea",-1.64
"2006-02-28",1,"South Korea",2.14
"2006-03-01",1,"South Korea",0.47
"2006-03-02",1,"South Korea",-0.61
"2006-03-03",1,"South Korea",-1.06
"2006-03-04",1,"South Korea",-0.23
"2006-03-05",1,"South Korea",7.46
"2006-03-06",1,"South Korea",6.17
"2006-03-07",1,"South Korea",4.75
"2006-03-08",1,"South Korea",4.25
"2006-03-09",1,"South Korea",6.99
"2006-03-10",1,"South Korea",6.63
"2006-03-11",1,"South Korea",8.4
"2006-03-12",1,"South Korea",-0.8
"2006-03-13",1,"South Korea",-3.89
"2006-03-14",1,"South Korea",-0.69
"2006-03-15",1,"South Korea",3.16
"2006-03-16",1,"South Korea",3
"2006-03-17",1,"South Korea",4.26
"2006-03-18",1,"South Korea",7.45
"2006-03-19",1,"South Korea",3.47
"2006-03-20",1,"South Korea",2.7
"2006-03-21",1,"South Korea",7.1
"2006-03-22",1,"South Korea",8.07
"2006-03-23",1,"South Korea",6.56
"2006-03-24",1,"South Korea",3.51
"2006-03-25",1,"South Korea",7.18
"2006-03-26",1,"South Korea",7.22
"2006-03-27",1,"South Korea",6.23
"2006-03-28",1,"South Korea",2.83
"2006-03-29",1,"South Korea",2.69
"2006-03-30",1,"South Korea",3.94
"2006-03-31",1,"South Korea",3.76
"2006-04-01",1,"South Korea",10.28
"2006-04-02",1,"South Korea",9
"2006-04-03",1,"South Korea",8.27
"2006-04-04",1,"South Korea",10.36
"2006-04-05",1,"South Korea",9.34
"2006-04-06",1,"South Korea",7.38
"2006-04-07",1,"South Korea",9.98
"2006-04-08",1,"South Korea",9.55
"2006-04-09",1,"South Korea",10.83
"2006-04-10",1,"South Korea",11.8
"2006-04-11",1,"South Korea",12.41
"2006-04-12",1,"South Korea",13.32
"2006-04-13",1,"South Korea",7.85
"2006-04-14",1,"South Korea",8.47
"2006-04-15",1,"South Korea",8.27
"2006-04-16",1,"South Korea",6.46
"2006-04-17",1,"South Korea",7.29
"2006-04-18",1,"South Korea",14.38
"2006-04-19",1,"South Korea",12.77
"2006-04-20",1,"South Korea",6.37
"2006-04-21",1,"South Korea",9.76
"2006-04-22",1,"South Korea",9.01
"2006-04-23",1,"South Korea",11.03
"2006-04-24",1,"South Korea",9.11
"2006-04-25",1,"South Korea",10.61
"2006-04-26",1,"South Korea",11.6
"2006-04-27",1,"South Korea",11.34
"2006-04-28",1,"South Korea",11.95
"2006-04-29",1,"South Korea",11.29
"2006-04-30",1,"South Korea",16.29
"2006-05-01",1,"South Korea",17.12
"2006-05-02",1,"South Korea",15.26
"2006-05-03",1,"South Korea",13.2
"2006-05-04",1,"South Korea",15.75
"2006-05-05",1,"South Korea",19.18
"2006-05-06",1,"South Korea",16.05
"2006-05-07",1,"South Korea",15.64
"2006-05-08",1,"South Korea",16.17
"2006-05-09",1,"South Korea",16.15
"2006-05-10",1,"South Korea",15.12
"2006-05-11",1,"South Korea",15.12
"2006-05-12",1,"South Korea",14.41
"2006-05-13",1,"South Korea",14.17
"2006-05-14",1,"South Korea",14.4
"2006-05-15",1,"South Korea",15.73
"2006-05-16",1,"South Korea",17.74
"2006-05-17",1,"South Korea",16.88
"2006-05-18",1,"South Korea",17.34
"2006-05-19",1,"South Korea",14.63
"2006-05-20",1,"South Korea",16.37
"2006-05-21",1,"South Korea",18.96
"2006-05-22",1,"South Korea",20.89
"2006-05-23",1,"South Korea",16.04
"2006-05-24",1,"South Korea",16.55
"2006-05-25",1,"South Korea",16.57
"2006-05-26",1,"South Korea",17.09
"2006-05-27",1,"South Korea",16.22
"2006-05-28",1,"South Korea",16.04
"2006-05-29",1,"South Korea",16.75
"2006-05-30",1,"South Korea",18.59
"2006-05-31",1,"South Korea",19.58
"2006-06-01",1,"South Korea",20.04
"2006-06-02",1,"South Korea",20.84
"2006-06-03",1,"South Korea",19.25
"2006-06-04",1,"South Korea",18.56
"2006-06-05",1,"South Korea",19.49
"2006-06-06",1,"South Korea",20.11
"2006-06-07",1,"South Korea",19.74
"2006-06-08",1,"South Korea",19.39
"2006-06-09",1,"South Korea",19.11
"2006-06-10",1,"South Korea",20.34
"2006-06-11",1,"South Korea",18.55
"2006-06-12",1,"South Korea",19.75
"2006-06-13",1,"South Korea",21.68
"2006-06-14",1,"South Korea",19.64
"2006-06-15",1,"South Korea",19.05
"2006-06-16",1,"South Korea",20.12
"2006-06-17",1,"South Korea",21.65
"2006-06-18",1,"South Korea",20.55
"2006-06-19",1,"South Korea",21.71
"2006-06-20",1,"South Korea",22.36
"2006-06-21",1,"South Korea",21.52
"2006-06-22",1,"South Korea",20.33
"2006-06-23",1,"South Korea",21.39
"2006-06-24",1,"South Korea",21.47
"2006-06-25",1,"South Korea",20.7
"2006-06-26",1,"South Korea",20.32
"2006-06-27",1,"South Korea",21.89
"2006-06-28",1,"South Korea",23.63
"2006-06-29",1,"South Korea",23.79
"2006-06-30",1,"South Korea",23.64
"2006-07-01",1,"South Korea",22.12
"2006-07-02",1,"South Korea",21.49
"2006-07-03",1,"South Korea",21.77
"2006-07-04",1,"South Korea",21.41
"2006-07-05",1,"South Korea",20.81
"2006-07-06",1,"South Korea",19.69
"2006-07-07",1,"South Korea",21.21
"2006-07-08",1,"South Korea",23.18
"2006-07-09",1,"South Korea",23.07
"2006-07-10",1,"South Korea",22.99
"2006-07-11",1,"South Korea",23.39
"2006-07-12",1,"South Korea",24.11
"2006-07-13",1,"South Korea",25.87
"2006-07-14",1,"South Korea",27.18
"2006-07-15",1,"South Korea",26.39
"2006-07-16",1,"South Korea",22.06
"2006-07-17",1,"South Korea",20.24
"2006-07-18",1,"South Korea",20.59
"2006-07-19",1,"South Korea",20.48
"2006-07-20",1,"South Korea",20.46
"2006-07-21",1,"South Korea",20.15
"2006-07-22",1,"South Korea",22.81
"2006-07-23",1,"South Korea",21.03
"2006-07-24",1,"South Korea",21.31
"2006-07-25",1,"South Korea",22.91
"2006-07-26",1,"South Korea",21.29
"2006-07-27",1,"South Korea",23.23
"2006-07-28",1,"South Korea",24.43
"2006-07-29",1,"South Korea",25.16
"2006-07-30",1,"South Korea",25.9
"2006-07-31",1,"South Korea",26.57
"2006-08-01",1,"South Korea",26.94
"2006-08-02",1,"South Korea",27.6
"2006-08-03",1,"South Korea",27.75
"2006-08-04",1,"South Korea",28
"2006-08-05",1,"South Korea",27.73
"2006-08-06",1,"South Korea",27.52
"2006-08-07",1,"South Korea",27.29
"2006-08-08",1,"South Korea",27.77
"2006-08-09",1,"South Korea",27.94
"2006-08-10",1,"South Korea",27.61
"2006-08-11",1,"South Korea",26.54
"2006-08-12",1,"South Korea",26.85
"2006-08-13",1,"South Korea",27.16
"2006-08-14",1,"South Korea",27.97
"2006-08-15",1,"South Korea",28.02
"2006-08-16",1,"South Korea",27.96
"2006-08-17",1,"South Korea",26.42
"2006-08-18",1,"South Korea",25.73
"2006-08-19",1,"South Korea",21.96
"2006-08-20",1,"South Korea",21.99
"2006-08-21",1,"South Korea",25.52
"2006-08-22",1,"South Korea",25.31
"2006-08-23",1,"South Korea",25.02
"2006-08-24",1,"South Korea",25.78
"2006-08-25",1,"South Korea",25.05
"2006-08-26",1,"South Korea",25.05
"2006-08-27",1,"South Korea",23.89
"2006-08-28",1,"South Korea",25.35
"2006-08-29",1,"South Korea",24.03
"2006-08-30",1,"South Korea",22.93
"2006-08-31",1,"South Korea",23.57
"2006-09-01",1,"South Korea",22.65
"2006-09-02",1,"South Korea",23.06
"2006-09-03",1,"South Korea",23.41
"2006-09-04",1,"South Korea",23.03
"2006-09-05",1,"South Korea",20.19
"2006-09-06",1,"South Korea",16.92
"2006-09-07",1,"South Korea",18.9
"2006-09-08",1,"South Korea",20.13
"2006-09-09",1,"South Korea",20.26
"2006-09-10",1,"South Korea",16.08
"2006-09-11",1,"South Korea",14.72
"2006-09-12",1,"South Korea",17.08
"2006-09-13",1,"South Korea",18.76
"2006-09-14",1,"South Korea",18.93
"2006-09-15",1,"South Korea",18.82
"2006-09-16",1,"South Korea",18.96
"2006-09-17",1,"South Korea",17.96
"2006-09-18",1,"South Korea",17.63
"2006-09-19",1,"South Korea",18.17
"2006-09-20",1,"South Korea",19.24
"2006-09-21",1,"South Korea",19.73
"2006-09-22",1,"South Korea",19.76
