"","date","ID_1","NAME_1","t2m"
"1","2013-01-01",1,"Busan",1.66
"2","2013-01-01",2,"Chungcheongbuk-do",-9.61
"3","2013-01-01",3,"Chungcheongnam-do",-2.17
"4","2013-01-01",4,"Daegu",-4.56
"5","2013-01-01",5,"Daejeon",-5.86
"6","2013-01-01",6,"Gangwon-do",-12.02
"7","2013-01-01",7,"Gwangju",-3.08
"8","2013-01-01",8,"Gyeonggi-do",-7.85
"9","2013-01-01",9,"Gyeongsangbuk-do",-8.49
"10","2013-01-01",10,"Gyeongsangnam-do",-4.22
"11","2013-01-01",11,"Incheon",-2.54
"12","2013-01-01",12,"Jeju",6.95
"13","2013-01-01",13,"Jeollabuk-do",-4.35
"14","2013-01-01",14,"Jeollanam-do",-0.29
"15","2013-01-01",15,"Sejong",-5.1
"16","2013-01-01",16,"Seoul",-6.52
"17","2013-01-01",17,"Ulsan",-1.46
"18","2013-01-02",1,"Busan",-0.04
"19","2013-01-02",2,"Chungcheongbuk-do",-10.3
"20","2013-01-02",3,"Chungcheongnam-do",-5.93
"21","2013-01-02",4,"Daegu",-4
"22","2013-01-02",5,"Daejeon",-8.21
"23","2013-01-02",6,"Gangwon-do",-13.83
"24","2013-01-02",7,"Gwangju",-3.06
"25","2013-01-02",8,"Gyeonggi-do",-13.8
"26","2013-01-02",9,"Gyeongsangbuk-do",-7.13
"27","2013-01-02",10,"Gyeongsangnam-do",-3.08
"28","2013-01-02",11,"Incheon",-10.69
"29","2013-01-02",12,"Jeju",4.58
"30","2013-01-02",13,"Jeollabuk-do",-5.99
"31","2013-01-02",14,"Jeollanam-do",-1.72
"32","2013-01-02",15,"Sejong",-7.7
"33","2013-01-02",16,"Seoul",-14.93
"34","2013-01-02",17,"Ulsan",-1.83
"35","2013-01-03",1,"Busan",-5.12
"36","2013-01-03",2,"Chungcheongbuk-do",-16.77
"37","2013-01-03",3,"Chungcheongnam-do",-10.88
"38","2013-01-03",4,"Daegu",-9.17
"39","2013-01-03",5,"Daejeon",-14.76
"40","2013-01-03",6,"Gangwon-do",-19.4
"41","2013-01-03",7,"Gwangju",-8.36
"42","2013-01-03",8,"Gyeonggi-do",-18.32
"43","2013-01-03",9,"Gyeongsangbuk-do",-13.34
"44","2013-01-03",10,"Gyeongsangnam-do",-8.63
"45","2013-01-03",11,"Incheon",-13.24
"46","2013-01-03",12,"Jeju",1.27
"47","2013-01-03",13,"Jeollabuk-do",-11.97
"48","2013-01-03",14,"Jeollanam-do",-6.13
