"","date","ID_1","NAME_1","t2m"
"1","2022-01-01",1,"Bomi",25.7
"2","2022-01-01",2,"Bong",24.87
"3","2022-01-01",3,"Gbapolu",24.55
"4","2022-01-01",4,"Grand Cape Mount",25.42
"5","2022-01-01",5,"GrandBassa",24.67
"6","2022-01-01",6,"GrandGedeh",23.13
"7","2022-01-01",7,"GrandKru",24.41
"8","2022-01-01",8,"Lofa",25.01
"9","2022-01-01",9,"Margibi",25.1
"10","2022-01-01",10,"Maryland",24.25
"11","2022-01-01",11,"Montserrado",25.43
"12","2022-01-01",12,"Nimba",24.41
"13","2022-01-01",13,"River Cess",24.08
"14","2022-01-01",14,"River Gee",22.82
"15","2022-01-01",15,"Sinoe",23.58
"16","2022-01-02",1,"Bomi",25.53
"17","2022-01-02",2,"Bong",24.49
"18","2022-01-02",3,"Gbapolu",23.97
"19","2022-01-02",4,"Grand Cape Mount",24.97
"20","2022-01-02",5,"GrandBassa",24.88
"21","2022-01-02",6,"GrandGedeh",24.27
"22","2022-01-02",7,"GrandKru",24.9
"23","2022-01-02",8,"Lofa",24.21
"24","2022-01-02",9,"Margibi",24.95
"25","2022-01-02",10,"Maryland",24.65
"26","2022-01-02",11,"Montserrado",25.39
"27","2022-01-02",12,"Nimba",24.76
"28","2022-01-02",13,"River Cess",24.58
"29","2022-01-02",14,"River Gee",23.55
"30","2022-01-02",15,"Sinoe",24.28
"31","2022-01-03",1,"Bomi",25.68
"32","2022-01-03",2,"Bong",24.49
"33","2022-01-03",3,"Gbapolu",24.21
"34","2022-01-03",4,"Grand Cape Mount",25.08
"35","2022-01-03",5,"GrandBassa",24.85
"36","2022-01-03",6,"GrandGedeh",23.7
"37","2022-01-03",7,"GrandKru",24.59
"38","2022-01-03",8,"Lofa",24.84
"39","2022-01-03",9,"Margibi",25.06
"40","2022-01-03",10,"Maryland",24.06
"41","2022-01-03",11,"Montserrado",25.55
"42","2022-01-03",12,"Nimba",24.71
"43","2022-01-03",13,"River Cess",24.75
"44","2022-01-03",14,"River Gee",23.15
"45","2022-01-03",15,"Sinoe",24.47
"46","2022-01-04",1,"Bomi",24.75
"47","2022-01-04",2,"Bong",23.38
