"date","ID_1","NAME_1","t2m"
"2001-01-01",1,"Balzers",-15.08
"2001-01-01",2,"Eschen",-10.58
"2001-01-01",3,"Gamprin",-10.58
"2001-01-01",4,"Mauren",-10.58
"2001-01-01",5,"Planken",-10.58
"2001-01-01",6,"Ruggell",-10.58
"2001-01-01",7,"Schaan",-12.28
"2001-01-01",8,"Schellenberg",-10.58
"2001-01-01",9,"Triesenberg",-14.54
"2001-01-01",10,"Triesen",-17.03
"2001-01-01",11,"Valduz",-11.98
"2001-01-02",1,"Balzers",-4.2
"2001-01-02",2,"Eschen",-1.71
"2001-01-02",3,"Gamprin",-1.71
"2001-01-02",4,"Mauren",-1.71
"2001-01-02",5,"Planken",-1.71
"2001-01-02",6,"Ruggell",-1.71
"2001-01-02",7,"Schaan",-2.66
"2001-01-02",8,"Schellenberg",-1.71
"2001-01-02",9,"Triesenberg",-3.89
"2001-01-02",10,"Triesen",-5.3
"2001-01-02",11,"Valduz",-2.49
"2001-01-03",1,"Balzers",-0.07
"2001-01-03",2,"Eschen",1.98
"2001-01-03",3,"Gamprin",1.98
"2001-01-03",4,"Mauren",1.98
"2001-01-03",5,"Planken",1.98
"2001-01-03",6,"Ruggell",1.98
"2001-01-03",7,"Schaan",1.21
"2001-01-03",8,"Schellenberg",1.98
"2001-01-03",9,"Triesenberg",0.18
"2001-01-03",10,"Triesen",-0.96
"2001-01-03",11,"Valduz",1.34
"2001-01-04",1,"Balzers",-7.45
"2001-01-04",2,"Eschen",-4.59
"2001-01-04",3,"Gamprin",-4.59
"2001-01-04",4,"Mauren",-4.59
"2001-01-04",5,"Planken",-4.59
"2001-01-04",6,"Ruggell",-4.59
"2001-01-04",7,"Schaan",-5.66
"2001-01-04",8,"Schellenberg",-4.59
"2001-01-04",9,"Triesenberg",-7.11
"2001-01-04",10,"Triesen",-8.66
"2001-01-04",11,"Valduz",-5.47
"2001-01-05",1,"Balzers",-6.24
"2001-01-05",2,"Eschen",-2.78
"2001-01-05",3,"Gamprin",-2.78
"2001-01-05",4,"Mauren",-2.78
"2001-01-05",5,"Planken",-2.78
"2001-01-05",6,"Ruggell",-2.78
"2001-01-05",7,"Schaan",-4.09
"2001-01-05",8,"Schellenberg",-2.78
"2001-01-05",9,"Triesenberg",-5.81
"2001-01-05",10,"Triesen",-7.76
"2001-01-05",11,"Valduz",-3.85
"2001-01-06",1,"Balzers",1.74
"2001-01-06",2,"Eschen",3.48
"2001-01-06",3,"Gamprin",3.48
"2001-01-06",4,"Mauren",3.48
"2001-01-06",5,"Planken",3.48
"2001-01-06",6,"Ruggell",3.48
"2001-01-06",7,"Schaan",2.84
"2001-01-06",8,"Schellenberg",3.48
"2001-01-06",9,"Triesenberg",1.94
"2001-01-06",10,"Triesen",1.02
"2001-01-06",11,"Valduz",2.95
"2001-01-07",1,"Balzers",0.1
"2001-01-07",2,"Eschen",0.85
"2001-01-07",3,"Gamprin",0.85
"2001-01-07",4,"Mauren",0.85
"2001-01-07",5,"Planken",0.85
"2001-01-07",6,"Ruggell",0.85
"2001-01-07",7,"Schaan",0.57
"2001-01-07",8,"Schellenberg",0.85
"2001-01-07",9,"Triesenberg",0.19
"2001-01-07",10,"Triesen",-0.21
"2001-01-07",11,"Valduz",0.62
"2001-01-08",1,"Balzers",-0.57
"2001-01-08",2,"Eschen",0.22
"2001-01-08",3,"Gamprin",0.22
"2001-01-08",4,"Mauren",0.22
"2001-01-08",5,"Planken",0.22
"2001-01-08",6,"Ruggell",0.22
"2001-01-08",7,"Schaan",-0.07
"2001-01-08",8,"Schellenberg",0.22
"2001-01-08",9,"Triesenberg",-0.5
"2001-01-08",10,"Triesen",-0.88
"2001-01-08",11,"Valduz",-0.02
"2001-01-09",1,"Balzers",-1.41
"2001-01-09",2,"Eschen",-0.15
"2001-01-09",3,"Gamprin",-0.15
"2001-01-09",4,"Mauren",-0.15
"2001-01-09",5,"Planken",-0.15
"2001-01-09",6,"Ruggell",-0.15
"2001-01-09",7,"Schaan",-0.61
"2001-01-09",8,"Schellenberg",-0.15
"2001-01-09",9,"Triesenberg",-1.28
"2001-01-09",10,"Triesen",-1.91
"2001-01-09",11,"Valduz",-0.53
"2001-01-10",1,"Balzers",-3.56
"2001-01-10",2,"Eschen",-3.51
"2001-01-10",3,"Gamprin",-3.51
"2001-01-10",4,"Mauren",-3.51
"2001-01-10",5,"Planken",-3.51
"2001-01-10",6,"Ruggell",-3.51
"2001-01-10",7,"Schaan",-3.5
"2001-01-10",8,"Schellenberg",-3.51
"2001-01-10",9,"Triesenberg",-3.61
"2001-01-10",10,"Triesen",-3.49
"2001-01-10",11,"Valduz",-3.5
"2001-01-11",1,"Balzers",-0.72
"2001-01-11",2,"Eschen",0.44
"2001-01-11",3,"Gamprin",0.44
"2001-01-11",4,"Mauren",0.44
"2001-01-11",5,"Planken",0.44
"2001-01-11",6,"Ruggell",0.44
"2001-01-11",7,"Schaan",0.01
"2001-01-11",8,"Schellenberg",0.44
"2001-01-11",9,"Triesenberg",-0.61
"2001-01-11",10,"Triesen",-1.17
"2001-01-11",11,"Valduz",0.09
"2001-01-12",1,"Balzers",-1.08
"2001-01-12",2,"Eschen",-0.75
"2001-01-12",3,"Gamprin",-0.75
"2001-01-12",4,"Mauren",-0.75
"2001-01-12",5,"Planken",-0.75
"2001-01-12",6,"Ruggell",-0.75
"2001-01-12",7,"Schaan",-0.84
"2001-01-12",8,"Schellenberg",-0.75
"2001-01-12",9,"Triesenberg",-1.12
"2001-01-12",10,"Triesen",-1.08
"2001-01-12",11,"Valduz",-0.82
"2001-01-13",1,"Balzers",-1.6
"2001-01-13",2,"Eschen",-1.1
"2001-01-13",3,"Gamprin",-1.1
"2001-01-13",4,"Mauren",-1.1
"2001-01-13",5,"Planken",-1.1
"2001-01-13",6,"Ruggell",-1.1
"2001-01-13",7,"Schaan",-1.28
"2001-01-13",8,"Schellenberg",-1.1
"2001-01-13",9,"Triesenberg",-1.57
"2001-01-13",10,"Triesen",-1.78
"2001-01-13",11,"Valduz",-1.25
"2001-01-14",1,"Balzers",-6.65
"2001-01-14",2,"Eschen",-6.1
"2001-01-14",3,"Gamprin",-6.1
"2001-01-14",4,"Mauren",-6.1
"2001-01-14",5,"Planken",-6.1
"2001-01-14",6,"Ruggell",-6.1
"2001-01-14",7,"Schaan",-6.28
"2001-01-14",8,"Schellenberg",-6.1
"2001-01-14",9,"Triesenberg",-6.63
"2001-01-14",10,"Triesen",-6.8
"2001-01-14",11,"Valduz",-6.25
"2001-01-15",1,"Balzers",-10.92
"2001-01-15",2,"Eschen",-8.08
"2001-01-15",3,"Gamprin",-8.08
"2001-01-15",4,"Mauren",-8.08
"2001-01-15",5,"Planken",-8.08
"2001-01-15",6,"Ruggell",-8.08
"2001-01-15",7,"Schaan",-9.13
"2001-01-15",8,"Schellenberg",-8.08
"2001-01-15",9,"Triesenberg",-10.61
"2001-01-15",10,"Triesen",-12.09
"2001-01-15",11,"Valduz",-8.94
"2001-01-16",1,"Balzers",-15.73
"2001-01-16",2,"Eschen",-14.27
"2001-01-16",3,"Gamprin",-14.27
"2001-01-16",4,"Mauren",-14.27
"2001-01-16",5,"Planken",-14.27
"2001-01-16",6,"Ruggell",-14.27
"2001-01-16",7,"Schaan",-14.79
"2001-01-16",8,"Schellenberg",-14.27
"2001-01-16",9,"Triesenberg",-15.62
"2001-01-16",10,"Triesen",-16.26
"2001-01-16",11,"Valduz",-14.7
"2001-01-17",1,"Balzers",-16.71
"2001-01-17",2,"Eschen",-14.49
"2001-01-17",3,"Gamprin",-14.49
"2001-01-17",4,"Mauren",-14.49
"2001-01-17",5,"Planken",-14.49
"2001-01-17",6,"Ruggell",-14.49
"2001-01-17",7,"Schaan",-15.31
"2001-01-17",8,"Schellenberg",-14.49
"2001-01-17",9,"Triesenberg",-16.49
"2001-01-17",10,"Triesen",-17.59
"2001-01-17",11,"Valduz",-15.16
"2001-01-18",1,"Balzers",-8.58
"2001-01-18",2,"Eschen",-7.31
"2001-01-18",3,"Gamprin",-7.31
"2001-01-18",4,"Mauren",-7.31
"2001-01-18",5,"Planken",-7.31
"2001-01-18",6,"Ruggell",-7.31
"2001-01-18",7,"Schaan",-7.77
"2001-01-18",8,"Schellenberg",-7.31
"2001-01-18",9,"Triesenberg",-8.46
"2001-01-18",10,"Triesen",-9.07
"2001-01-18",11,"Valduz",-7.69
"2001-01-19",1,"Balzers",-8.55
"2001-01-19",2,"Eschen",-8.25
"2001-01-19",3,"Gamprin",-8.25
"2001-01-19",4,"Mauren",-8.25
"2001-01-19",5,"Planken",-8.25
"2001-01-19",6,"Ruggell",-8.25
"2001-01-19",7,"Schaan",-8.34
"2001-01-19",8,"Schellenberg",-8.25
"2001-01-19",9,"Triesenberg",-8.58
"2001-01-19",10,"Triesen",-8.57
"2001-01-19",11,"Valduz",-8.32
"2001-01-20",1,"Balzers",-5.78
"2001-01-20",2,"Eschen",-3.64
"2001-01-20",3,"Gamprin",-3.64
"2001-01-20",4,"Mauren",-3.64
"2001-01-20",5,"Planken",-3.64
"2001-01-20",6,"Ruggell",-3.64
"2001-01-20",7,"Schaan",-4.42
"2001-01-20",8,"Schellenberg",-3.64
"2001-01-20",9,"Triesenberg",-5.58
"2001-01-20",10,"Triesen",-6.62
"2001-01-20",11,"Valduz",-4.28
"2001-01-21",1,"Balzers",-7.34
"2001-01-21",2,"Eschen",-3.42
"2001-01-21",3,"Gamprin",-3.42
"2001-01-21",4,"Mauren",-3.42
"2001-01-21",5,"Planken",-3.42
"2001-01-21",6,"Ruggell",-3.42
"2001-01-21",7,"Schaan",-4.89
"2001-01-21",8,"Schellenberg",-3.42
"2001-01-21",9,"Triesenberg",-6.89
"2001-01-21",10,"Triesen",-8.98
"2001-01-21",11,"Valduz",-4.63
"2001-01-22",1,"Balzers",-4.94
"2001-01-22",2,"Eschen",-2.58
"2001-01-22",3,"Gamprin",-2.58
"2001-01-22",4,"Mauren",-2.58
"2001-01-22",5,"Planken",-2.58
"2001-01-22",6,"Ruggell",-2.58
"2001-01-22",7,"Schaan",-3.46
"2001-01-22",8,"Schellenberg",-2.58
"2001-01-22",9,"Triesenberg",-4.69
"2001-01-22",10,"Triesen",-5.91
"2001-01-22",11,"Valduz",-3.3
"2001-01-23",1,"Balzers",-0.95
"2001-01-23",2,"Eschen",1.21
"2001-01-23",3,"Gamprin",1.21
"2001-01-23",4,"Mauren",1.21
"2001-01-23",5,"Planken",1.21
"2001-01-23",6,"Ruggell",1.21
"2001-01-23",7,"Schaan",0.4
"2001-01-23",8,"Schellenberg",1.21
"2001-01-23",9,"Triesenberg",-0.7
"2001-01-23",10,"Triesen",-1.87
"2001-01-23",11,"Valduz",0.55
"2001-01-24",1,"Balzers",1.22
"2001-01-24",2,"Eschen",3.39
"2001-01-24",3,"Gamprin",3.39
"2001-01-24",4,"Mauren",3.39
"2001-01-24",5,"Planken",3.39
"2001-01-24",6,"Ruggell",3.39
"2001-01-24",7,"Schaan",2.58
"2001-01-24",8,"Schellenberg",3.39
"2001-01-24",9,"Triesenberg",1.48
"2001-01-24",10,"Triesen",0.3
"2001-01-24",11,"Valduz",2.72
"2001-01-25",1,"Balzers",1.36
"2001-01-25",2,"Eschen",2.11
"2001-01-25",3,"Gamprin",2.11
"2001-01-25",4,"Mauren",2.11
"2001-01-25",5,"Planken",2.11
"2001-01-25",6,"Ruggell",2.11
"2001-01-25",7,"Schaan",1.83
"2001-01-25",8,"Schellenberg",2.11
"2001-01-25",9,"Triesenberg",1.44
"2001-01-25",10,"Triesen",1.07
"2001-01-25",11,"Valduz",1.88
"2001-01-26",1,"Balzers",-0.3
"2001-01-26",2,"Eschen",0.97
"2001-01-26",3,"Gamprin",0.97
"2001-01-26",4,"Mauren",0.97
"2001-01-26",5,"Planken",0.97
"2001-01-26",6,"Ruggell",0.97
"2001-01-26",7,"Schaan",0.5
"2001-01-26",8,"Schellenberg",0.97
"2001-01-26",9,"Triesenberg",-0.16
"2001-01-26",10,"Triesen",-0.84
"2001-01-26",11,"Valduz",0.58
"2001-01-27",1,"Balzers",-0.96
"2001-01-27",2,"Eschen",0.45
"2001-01-27",3,"Gamprin",0.45
"2001-01-27",4,"Mauren",0.45
"2001-01-27",5,"Planken",0.45
"2001-01-27",6,"Ruggell",0.45
"2001-01-27",7,"Schaan",-0.06
"2001-01-27",8,"Schellenberg",0.45
"2001-01-27",9,"Triesenberg",-0.83
"2001-01-27",10,"Triesen",-1.49
"2001-01-27",11,"Valduz",0.03
"2001-01-28",1,"Balzers",-5.43
"2001-01-28",2,"Eschen",-3.25
"2001-01-28",3,"Gamprin",-3.25
"2001-01-28",4,"Mauren",-3.25
"2001-01-28",5,"Planken",-3.25
"2001-01-28",6,"Ruggell",-3.25
"2001-01-28",7,"Schaan",-4.05
"2001-01-28",8,"Schellenberg",-3.25
"2001-01-28",9,"Triesenberg",-5.21
