"","date","ID_1","NAME_1","t2m"
"1","2013-01-01",1,"Balzers",-6.89
"2","2013-01-01",2,"Eschen",-5.16
"3","2013-01-01",3,"Gamprin",-5.16
"4","2013-01-01",4,"Mauren",-5.16
"5","2013-01-01",5,"Planken",-5.16
"6","2013-01-01",6,"Ruggell",-5.16
"7","2013-01-01",7,"Schaan",-5.83
"8","2013-01-01",8,"Schellenberg",-5.16
"9","2013-01-01",9,"Triesenberg",-6.63
"10","2013-01-01",10,"Triesen",-7.71
"11","2013-01-01",11,"Valduz",-5.71
"12","2013-01-02",1,"Balzers",-0.72
"13","2013-01-02",2,"Eschen",1.32
"14","2013-01-02",3,"Gamprin",1.32
"15","2013-01-02",4,"Mauren",1.32
"16","2013-01-02",5,"Planken",1.32
"17","2013-01-02",6,"Ruggell",1.32
"18","2013-01-02",7,"Schaan",0.56
"19","2013-01-02",8,"Schellenberg",1.32
"20","2013-01-02",9,"Triesenberg",-0.48
"21","2013-01-02",10,"Triesen",-1.58
"22","2013-01-02",11,"Valduz",0.69
"23","2013-01-03",1,"Balzers",-11.93
"24","2013-01-03",2,"Eschen",-9.47
"25","2013-01-03",3,"Gamprin",-9.47
"26","2013-01-03",4,"Mauren",-9.47
"27","2013-01-03",5,"Planken",-9.47
"28","2013-01-03",6,"Ruggell",-9.47
"29","2013-01-03",7,"Schaan",-10.42
"30","2013-01-03",8,"Schellenberg",-9.47
"31","2013-01-03",9,"Triesenberg",-11.57
"32","2013-01-03",10,"Triesen",-13.09
"33","2013-01-03",11,"Valduz",-10.25
"34","2013-01-04",1,"Balzers",1.17
"35","2013-01-04",2,"Eschen",2.43
"36","2013-01-04",3,"Gamprin",2.43
"37","2013-01-04",4,"Mauren",2.43
"38","2013-01-04",5,"Planken",2.43
"39","2013-01-04",6,"Ruggell",2.43
"40","2013-01-04",7,"Schaan",1.96
"41","2013-01-04",8,"Schellenberg",2.43
"42","2013-01-04",9,"Triesenberg",1.31
"43","2013-01-04",10,"Triesen",0.66
"44","2013-01-04",11,"Valduz",2.04
"45","2013-01-05",1,"Balzers",2.92
"46","2013-01-05",2,"Eschen",3.37
