"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Balzers",6.07
"2023-01-01",2,"2","Eschen",7.58
"2023-01-01",3,"3","Gamprin",7.58
"2023-01-01",4,"4","Mauren",7.58
"2023-01-01",5,"5","Planken",7.58
"2023-01-01",6,"6","Ruggell",7.58
"2023-01-01",7,"7","Schaan",7.01
"2023-01-01",8,"8","Schellenberg",7.58
"2023-01-01",9,"9","Triesenberg",6.25
"2023-01-01",10,"10","Triesen",5.41
"2023-01-01",11,"11","Valduz",7.11
"2023-01-02",1,"1","Balzers",5.4
"2023-01-02",2,"2","Eschen",6.84
"2023-01-02",3,"3","Gamprin",6.84
"2023-01-02",4,"4","Mauren",6.84
"2023-01-02",5,"5","Planken",6.84
"2023-01-02",6,"6","Ruggell",6.84
"2023-01-02",7,"7","Schaan",6.3
"2023-01-02",8,"8","Schellenberg",6.84
"2023-01-02",9,"9","Triesenberg",5.57
"2023-01-02",10,"10","Triesen",4.78
"2023-01-02",11,"11","Valduz",6.4
"2023-01-03",1,"1","Balzers",4.93
"2023-01-03",2,"2","Eschen",7.37
"2023-01-03",3,"3","Gamprin",7.37
"2023-01-03",4,"4","Mauren",7.37
"2023-01-03",5,"5","Planken",7.37
"2023-01-03",6,"6","Ruggell",7.37
"2023-01-03",7,"7","Schaan",6.46
"2023-01-03",8,"8","Schellenberg",7.37
"2023-01-03",9,"9","Triesenberg",5.2
"2023-01-03",10,"10","Triesen",3.89
"2023-01-03",11,"11","Valduz",6.62
"2023-01-04",1,"1","Balzers",1.89
"2023-01-04",2,"2","Eschen",4.37
"2023-01-04",3,"3","Gamprin",4.37
"2023-01-04",4,"4","Mauren",4.37
"2023-01-04",5,"5","Planken",4.37
"2023-01-04",6,"6","Ruggell",4.37
"2023-01-04",7,"7","Schaan",3.43
"2023-01-04",8,"8","Schellenberg",4.37
"2023-01-04",9,"9","Triesenberg",2.21
"2023-01-04",10,"10","Triesen",0.79
"2023-01-04",11,"11","Valduz",3.59
"2023-01-05",1,"1","Balzers",3.52
"2023-01-05",2,"2","Eschen",6.03
"2023-01-05",3,"3","Gamprin",6.03
"2023-01-05",4,"4","Mauren",6.03
"2023-01-05",5,"5","Planken",6.03
"2023-01-05",6,"6","Ruggell",6.03
"2023-01-05",7,"7","Schaan",5.08
"2023-01-05",8,"8","Schellenberg",6.03
"2023-01-05",9,"9","Triesenberg",3.83
"2023-01-05",10,"10","Triesen",2.44
"2023-01-05",11,"11","Valduz",5.25
"2023-01-06",1,"1","Balzers",-0.15
"2023-01-06",2,"2","Eschen",2.22
"2023-01-06",3,"3","Gamprin",2.22
"2023-01-06",4,"4","Mauren",2.22
"2023-01-06",5,"5","Planken",2.22
"2023-01-06",6,"6","Ruggell",2.22
"2023-01-06",7,"7","Schaan",1.31
"2023-01-06",8,"8","Schellenberg",2.22
"2023-01-06",9,"9","Triesenberg",0.15
"2023-01-06",10,"10","Triesen",-1.22
"2023-01-06",11,"11","Valduz",1.47
"2023-01-07",1,"1","Balzers",-1.58
"2023-01-07",2,"2","Eschen",1.22
"2023-01-07",3,"3","Gamprin",1.22
"2023-01-07",4,"4","Mauren",1.22
"2023-01-07",5,"5","Planken",1.22
"2023-01-07",6,"6","Ruggell",1.22
"2023-01-07",7,"7","Schaan",0.18
"2023-01-07",8,"8","Schellenberg",1.22
"2023-01-07",9,"9","Triesenberg",-1.28
"2023-01-07",10,"10","Triesen",-2.72
"2023-01-07",11,"11","Valduz",0.37
"2023-01-08",1,"1","Balzers",-0.04
"2023-01-08",2,"2","Eschen",1.05
"2023-01-08",3,"3","Gamprin",1.05
"2023-01-08",4,"4","Mauren",1.05
"2023-01-08",5,"5","Planken",1.05
"2023-01-08",6,"6","Ruggell",1.05
"2023-01-08",7,"7","Schaan",0.65
"2023-01-08",8,"8","Schellenberg",1.05
"2023-01-08",9,"9","Triesenberg",0.06
"2023-01-08",10,"10","Triesen",-0.45
"2023-01-08",11,"11","Valduz",0.72
"2023-01-09",1,"1","Balzers",3.18
"2023-01-09",2,"2","Eschen",4.21
"2023-01-09",3,"3","Gamprin",4.21
"2023-01-09",4,"4","Mauren",4.21
"2023-01-09",5,"5","Planken",4.21
"2023-01-09",6,"6","Ruggell",4.21
"2023-01-09",7,"7","Schaan",3.84
"2023-01-09",8,"8","Schellenberg",4.21
"2023-01-09",9,"9","Triesenberg",3.28
"2023-01-09",10,"10","Triesen",2.78
"2023-01-09",11,"11","Valduz",3.9
"2023-01-10",1,"1","Balzers",-0.62
"2023-01-10",2,"2","Eschen",1
"2023-01-10",3,"3","Gamprin",1
"2023-01-10",4,"4","Mauren",1
"2023-01-10",5,"5","Planken",1
"2023-01-10",6,"6","Ruggell",1
"2023-01-10",7,"7","Schaan",0.4
"2023-01-10",8,"8","Schellenberg",1
"2023-01-10",9,"9","Triesenberg",-0.45
"2023-01-10",10,"10","Triesen",-1.29
"2023-01-10",11,"11","Valduz",0.51
"2023-01-11",1,"1","Balzers",-1.63
"2023-01-11",2,"2","Eschen",0.78
"2023-01-11",3,"3","Gamprin",0.78
"2023-01-11",4,"4","Mauren",0.78
"2023-01-11",5,"5","Planken",0.78
"2023-01-11",6,"6","Ruggell",0.78
"2023-01-11",7,"7","Schaan",-0.13
"2023-01-11",8,"8","Schellenberg",0.78
"2023-01-11",9,"9","Triesenberg",-1.33
"2023-01-11",10,"10","Triesen",-2.68
"2023-01-11",11,"11","Valduz",0.03
