"date","ID_0","NAME_0","t2m"
"2000-01-01",1,"Lesotho",12.75
"2000-01-02",1,"Lesotho",12.68
"2000-01-03",1,"Lesotho",10.89
"2000-01-04",1,"Lesotho",11.9
"2000-01-05",1,"Lesotho",12.71
"2000-01-06",1,"Lesotho",13.09
"2000-01-07",1,"Lesotho",13.86
"2000-01-08",1,"Lesotho",12.81
"2000-01-09",1,"Lesotho",12.08
"2000-01-10",1,"Lesotho",12.04
"2000-01-11",1,"Lesotho",12.37
"2000-01-12",1,"Lesotho",13.7
"2000-01-13",1,"Lesotho",8.54
"2000-01-14",1,"Lesotho",8.99
"2000-01-15",1,"Lesotho",8.64
"2000-01-16",1,"Lesotho",8.27
"2000-01-17",1,"Lesotho",8.53
"2000-01-18",1,"Lesotho",6.83
"2000-01-19",1,"Lesotho",7.86
"2000-01-20",1,"Lesotho",10.46
"2000-01-21",1,"Lesotho",11.44
"2000-01-22",1,"Lesotho",11.6
"2000-01-23",1,"Lesotho",10.29
"2000-01-24",1,"Lesotho",11.91
"2000-01-25",1,"Lesotho",11.83
"2000-01-26",1,"Lesotho",13.43
"2000-01-27",1,"Lesotho",12.51
"2000-01-28",1,"Lesotho",12.66
"2000-01-29",1,"Lesotho",10.5
"2000-01-30",1,"Lesotho",8.21
"2000-01-31",1,"Lesotho",10.41
"2000-02-01",1,"Lesotho",11.82
"2000-02-02",1,"Lesotho",12.4
"2000-02-03",1,"Lesotho",11.89
"2000-02-04",1,"Lesotho",10.7
"2000-02-05",1,"Lesotho",12.03
"2000-02-06",1,"Lesotho",12.52
"2000-02-07",1,"Lesotho",13.57
"2000-02-08",1,"Lesotho",14.2
"2000-02-09",1,"Lesotho",13.95
"2000-02-10",1,"Lesotho",12.74
"2000-02-11",1,"Lesotho",13.2
"2000-02-12",1,"Lesotho",12.47
"2000-02-13",1,"Lesotho",13.43
"2000-02-14",1,"Lesotho",12.95
"2000-02-15",1,"Lesotho",13.79
"2000-02-16",1,"Lesotho",11.85
"2000-02-17",1,"Lesotho",10.88
"2000-02-18",1,"Lesotho",10.92
"2000-02-19",1,"Lesotho",10.94
"2000-02-20",1,"Lesotho",12.86
"2000-02-21",1,"Lesotho",13.51
"2000-02-22",1,"Lesotho",13.42
"2000-02-23",1,"Lesotho",14.41
"2000-02-24",1,"Lesotho",12.57
"2000-02-25",1,"Lesotho",11.7
"2000-02-26",1,"Lesotho",13.06
"2000-02-27",1,"Lesotho",11.67
"2000-02-28",1,"Lesotho",13.26
"2000-02-29",1,"Lesotho",12.52
"2000-03-01",1,"Lesotho",13.56
"2000-03-02",1,"Lesotho",13.44
"2000-03-03",1,"Lesotho",13.8
"2000-03-04",1,"Lesotho",13.82
"2000-03-05",1,"Lesotho",13.72
"2000-03-06",1,"Lesotho",12.59
"2000-03-07",1,"Lesotho",12
"2000-03-08",1,"Lesotho",11.73
"2000-03-09",1,"Lesotho",10.9
"2000-03-10",1,"Lesotho",11.01
"2000-03-11",1,"Lesotho",10.43
"2000-03-12",1,"Lesotho",11.11
"2000-03-13",1,"Lesotho",11.33
"2000-03-14",1,"Lesotho",11.84
"2000-03-15",1,"Lesotho",11.88
"2000-03-16",1,"Lesotho",11.97
"2000-03-17",1,"Lesotho",13.14
"2000-03-18",1,"Lesotho",12.94
"2000-03-19",1,"Lesotho",12.53
"2000-03-20",1,"Lesotho",12.53
"2000-03-21",1,"Lesotho",11.6
"2000-03-22",1,"Lesotho",11.48
"2000-03-23",1,"Lesotho",11.09
"2000-03-24",1,"Lesotho",10.92
"2000-03-25",1,"Lesotho",10.48
"2000-03-26",1,"Lesotho",12.38
"2000-03-27",1,"Lesotho",10.26
"2000-03-28",1,"Lesotho",11.67
"2000-03-29",1,"Lesotho",10.57
"2000-03-30",1,"Lesotho",10.32
"2000-03-31",1,"Lesotho",7.3
"2000-04-01",1,"Lesotho",9.03
"2000-04-02",1,"Lesotho",8.52
"2000-04-03",1,"Lesotho",9.07
"2000-04-04",1,"Lesotho",10.57
"2000-04-05",1,"Lesotho",4.14
"2000-04-06",1,"Lesotho",4.76
"2000-04-07",1,"Lesotho",4.73
"2000-04-08",1,"Lesotho",4.2
"2000-04-09",1,"Lesotho",5.79
"2000-04-10",1,"Lesotho",7.51
"2000-04-11",1,"Lesotho",6.28
"2000-04-12",1,"Lesotho",6.67
"2000-04-13",1,"Lesotho",7.89
"2000-04-14",1,"Lesotho",7.41
"2000-04-15",1,"Lesotho",6.59
"2000-04-16",1,"Lesotho",5.15
"2000-04-17",1,"Lesotho",5.66
"2000-04-18",1,"Lesotho",5.42
"2000-04-19",1,"Lesotho",4.92
"2000-04-20",1,"Lesotho",6.67
"2000-04-21",1,"Lesotho",7.1
"2000-04-22",1,"Lesotho",5.87
"2000-04-23",1,"Lesotho",6.94
"2000-04-24",1,"Lesotho",4.47
"2000-04-25",1,"Lesotho",4.95
"2000-04-26",1,"Lesotho",5.09
"2000-04-27",1,"Lesotho",5.45
"2000-04-28",1,"Lesotho",0.8
"2000-04-29",1,"Lesotho",2.56
"2000-04-30",1,"Lesotho",7.88
"2000-05-01",1,"Lesotho",6.18
"2000-05-02",1,"Lesotho",5.82
"2000-05-03",1,"Lesotho",6.06
"2000-05-04",1,"Lesotho",3.08
"2000-05-05",1,"Lesotho",2.18
"2000-05-06",1,"Lesotho",0.67
"2000-05-07",1,"Lesotho",-0.14
"2000-05-08",1,"Lesotho",1.47
"2000-05-09",1,"Lesotho",1.33
"2000-05-10",1,"Lesotho",1.95
"2000-05-11",1,"Lesotho",3.78
"2000-05-12",1,"Lesotho",3.89
"2000-05-13",1,"Lesotho",-3.32
"2000-05-14",1,"Lesotho",-1.93
"2000-05-15",1,"Lesotho",0.24
"2000-05-16",1,"Lesotho",0.48
"2000-05-17",1,"Lesotho",0.76
"2000-05-18",1,"Lesotho",2.55
"2000-05-19",1,"Lesotho",2.74
"2000-05-20",1,"Lesotho",0.61
"2000-05-21",1,"Lesotho",2.17
"2000-05-22",1,"Lesotho",2.14
"2000-05-23",1,"Lesotho",2.78
"2000-05-24",1,"Lesotho",5.06
"2000-05-25",1,"Lesotho",4.23
"2000-05-26",1,"Lesotho",3.41
"2000-05-27",1,"Lesotho",0.92
"2000-05-28",1,"Lesotho",-2.34
"2000-05-29",1,"Lesotho",-1.21
"2000-05-30",1,"Lesotho",-0.25
"2000-05-31",1,"Lesotho",-2.82
"2000-06-01",1,"Lesotho",-2.16
"2000-06-02",1,"Lesotho",-0.22
"2000-06-03",1,"Lesotho",-0.46
"2000-06-04",1,"Lesotho",-0.6
"2000-06-05",1,"Lesotho",-1.78
"2000-06-06",1,"Lesotho",-0.63
"2000-06-07",1,"Lesotho",-0.47
"2000-06-08",1,"Lesotho",0.25
"2000-06-09",1,"Lesotho",-0.23
"2000-06-10",1,"Lesotho",1.84
"2000-06-11",1,"Lesotho",2.62
"2000-06-12",1,"Lesotho",1.69
"2000-06-13",1,"Lesotho",2
"2000-06-14",1,"Lesotho",3.9
"2000-06-15",1,"Lesotho",1.58
"2000-06-16",1,"Lesotho",2.19
"2000-06-17",1,"Lesotho",1.63
"2000-06-18",1,"Lesotho",-1.64
"2000-06-19",1,"Lesotho",-2.07
