"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Berea",9.87
"2023-01-01",2,"2","Butha-Buthe",7.28
"2023-01-01",3,"3","Leribe",8.47
"2023-01-01",4,"4","Mafeteng",9.95
"2023-01-01",5,"5","Maseru",9.07
"2023-01-01",6,"6","Mohale's Hoek",9.15
"2023-01-01",7,"7","Mokhotlong",7.01
"2023-01-01",8,"8","Qacha's Nek",7.35
"2023-01-01",9,"9","Quthing",8.82
"2023-01-01",10,"10","Thaba-Tseka",7.29
"2023-01-02",1,"1","Berea",12.38
"2023-01-02",2,"2","Butha-Buthe",9.28
"2023-01-02",3,"3","Leribe",10.57
"2023-01-02",4,"4","Mafeteng",13.26
"2023-01-02",5,"5","Maseru",11.99
"2023-01-02",6,"6","Mohale's Hoek",12.13
"2023-01-02",7,"7","Mokhotlong",8.87
"2023-01-02",8,"8","Qacha's Nek",11.11
"2023-01-02",9,"9","Quthing",11.63
"2023-01-02",10,"10","Thaba-Tseka",10.42
"2023-01-03",1,"1","Berea",12.66
"2023-01-03",2,"2","Butha-Buthe",9.96
"2023-01-03",3,"3","Leribe",10.98
"2023-01-03",4,"4","Mafeteng",13.15
"2023-01-03",5,"5","Maseru",12.27
"2023-01-03",6,"6","Mohale's Hoek",12.61
"2023-01-03",7,"7","Mokhotlong",8.98
"2023-01-03",8,"8","Qacha's Nek",11.19
"2023-01-03",9,"9","Quthing",12.4
"2023-01-03",10,"10","Thaba-Tseka",9.84
"2023-01-04",1,"1","Berea",12.8
"2023-01-04",2,"2","Butha-Buthe",9.83
"2023-01-04",3,"3","Leribe",10.88
"2023-01-04",4,"4","Mafeteng",13.76
"2023-01-04",5,"5","Maseru",12.62
"2023-01-04",6,"6","Mohale's Hoek",12.57
"2023-01-04",7,"7","Mokhotlong",8.97
"2023-01-04",8,"8","Qacha's Nek",11.09
"2023-01-04",9,"9","Quthing",12.2
"2023-01-04",10,"10","Thaba-Tseka",9.91
"2023-01-05",1,"1","Berea",13.64
"2023-01-05",2,"2","Butha-Buthe",11.49
"2023-01-05",3,"3","Leribe",12.33
"2023-01-05",4,"4","Mafeteng",14.35
"2023-01-05",5,"5","Maseru",13.3
"2023-01-05",6,"6","Mohale's Hoek",13.49
"2023-01-05",7,"7","Mokhotlong",10.99
"2023-01-05",8,"8","Qacha's Nek",13
"2023-01-05",9,"9","Quthing",12.63
"2023-01-05",10,"10","Thaba-Tseka",11.78
"2023-01-06",1,"1","Berea",11.16
"2023-01-06",2,"2","Butha-Buthe",10.18
"2023-01-06",3,"3","Leribe",10.24
"2023-01-06",4,"4","Mafeteng",10.69
"2023-01-06",5,"5","Maseru",10.14
"2023-01-06",6,"6","Mohale's Hoek",8.83
"2023-01-06",7,"7","Mokhotlong",8.38
"2023-01-06",8,"8","Qacha's Nek",6.23
"2023-01-06",9,"9","Quthing",7.03
"2023-01-06",10,"10","Thaba-Tseka",7.05
"2023-01-07",1,"1","Berea",9.61
"2023-01-07",2,"2","Butha-Buthe",7.61
"2023-01-07",3,"3","Leribe",8.64
"2023-01-07",4,"4","Mafeteng",7.83
"2023-01-07",5,"5","Maseru",7.72
"2023-01-07",6,"6","Mohale's Hoek",6.46
"2023-01-07",7,"7","Mokhotlong",5.66
"2023-01-07",8,"8","Qacha's Nek",5.41
"2023-01-07",9,"9","Quthing",5.35
