"date","ID_1","NAME_1","t2m"
"2012-01-01",1,"Šiauliai",-1.62
"2012-01-01",2,"Alytaus",-1.98
"2012-01-01",3,"Kauno",-2.11
"2012-01-01",4,"Klaipedos",-1.7
"2012-01-01",5,"Marijampoles",-2.45
"2012-01-01",6,"Panevezio",-1.63
"2012-01-01",7,"Taurages",-2.66
"2012-01-01",8,"Telšiai",-2.48
"2012-01-01",9,"Utenos",-1.72
"2012-01-01",10,"Vilniaus",-1.94
"2012-01-02",1,"Šiauliai",-0.84
"2012-01-02",2,"Alytaus",-1.3
"2012-01-02",3,"Kauno",-1.05
"2012-01-02",4,"Klaipedos",0.75
"2012-01-02",5,"Marijampoles",-0.47
"2012-01-02",6,"Panevezio",-1.79
"2012-01-02",7,"Taurages",-0.26
"2012-01-02",8,"Telšiai",-0.26
"2012-01-02",9,"Utenos",-2.74
"2012-01-02",10,"Vilniaus",-2.38
"2012-01-03",1,"Šiauliai",3.75
"2012-01-03",2,"Alytaus",3.76
"2012-01-03",3,"Kauno",3.4
"2012-01-03",4,"Klaipedos",4.86
"2012-01-03",5,"Marijampoles",4.2
"2012-01-03",6,"Panevezio",2.89
"2012-01-03",7,"Taurages",4.18
"2012-01-03",8,"Telšiai",4.03
"2012-01-03",9,"Utenos",1.68
"2012-01-03",10,"Vilniaus",2.23
"2012-01-04",1,"Šiauliai",1.84
"2012-01-04",2,"Alytaus",3.12
"2012-01-04",3,"Kauno",2.85
"2012-01-04",4,"Klaipedos",3.28
"2012-01-04",5,"Marijampoles",3.68
"2012-01-04",6,"Panevezio",1.61
"2012-01-04",7,"Taurages",2.94
"2012-01-04",8,"Telšiai",1.78
"2012-01-04",9,"Utenos",0.98
"2012-01-04",10,"Vilniaus",1.8
"2012-01-05",1,"Šiauliai",3.19
"2012-01-05",2,"Alytaus",3.29
"2012-01-05",3,"Kauno",3.28
"2012-01-05",4,"Klaipedos",3.8
"2012-01-05",5,"Marijampoles",3.56
"2012-01-05",6,"Panevezio",3.34
"2012-01-05",7,"Taurages",3.14
"2012-01-05",8,"Telšiai",2.92
"2012-01-05",9,"Utenos",2.46
"2012-01-05",10,"Vilniaus",2.59
"2012-01-06",1,"Šiauliai",1.53
"2012-01-06",2,"Alytaus",2.12
"2012-01-06",3,"Kauno",1.89
"2012-01-06",4,"Klaipedos",2.36
"2012-01-06",5,"Marijampoles",2.21
"2012-01-06",6,"Panevezio",1.9
"2012-01-06",7,"Taurages",1.48
"2012-01-06",8,"Telšiai",1.75
"2012-01-06",9,"Utenos",1.47
"2012-01-06",10,"Vilniaus",1.5
"2012-01-07",1,"Šiauliai",-1.74
"2012-01-07",2,"Alytaus",-0.02
"2012-01-07",3,"Kauno",-0.69
"2012-01-07",4,"Klaipedos",0.15
"2012-01-07",5,"Marijampoles",-0.65
"2012-01-07",6,"Panevezio",-0.8
"2012-01-07",7,"Taurages",-1.59
"2012-01-07",8,"Telšiai",-1.57
"2012-01-07",9,"Utenos",-0.44
"2012-01-07",10,"Vilniaus",-0.32
"2012-01-08",1,"Šiauliai",0.98
"2012-01-08",2,"Alytaus",0.24
"2012-01-08",3,"Kauno",0.83
"2012-01-08",4,"Klaipedos",1.59
"2012-01-08",5,"Marijampoles",0.99
"2012-01-08",6,"Panevezio",0.83
"2012-01-08",7,"Taurages",1.02
"2012-01-08",8,"Telšiai",1.02
"2012-01-08",9,"Utenos",0.17
"2012-01-08",10,"Vilniaus",0.08
"2012-01-09",1,"Šiauliai",1.22
"2012-01-09",2,"Alytaus",0.51
"2012-01-09",3,"Kauno",1.08
"2012-01-09",4,"Klaipedos",2.39
"2012-01-09",5,"Marijampoles",1.92
"2012-01-09",6,"Panevezio",0.22
"2012-01-09",7,"Taurages",2.12
"2012-01-09",8,"Telšiai",1.72
"2012-01-09",9,"Utenos",-0.8
"2012-01-09",10,"Vilniaus",-0.62
"2012-01-10",1,"Šiauliai",-0.44
"2012-01-10",2,"Alytaus",0.33
"2012-01-10",3,"Kauno",0.06
"2012-01-10",4,"Klaipedos",-0.21
"2012-01-10",5,"Marijampoles",0.04
"2012-01-10",6,"Panevezio",-0.08
"2012-01-10",7,"Taurages",-0.9
"2012-01-10",8,"Telšiai",-1.18
"2012-01-10",9,"Utenos",0.03
"2012-01-10",10,"Vilniaus",-0.07
"2012-01-11",1,"Šiauliai",-0.4
"2012-01-11",2,"Alytaus",-2.46
"2012-01-11",3,"Kauno",-1.86
"2012-01-11",4,"Klaipedos",1.49
"2012-01-11",5,"Marijampoles",-1.69
"2012-01-11",6,"Panevezio",-0.76
"2012-01-11",7,"Taurages",-1.14
"2012-01-11",8,"Telšiai",0.36
"2012-01-11",9,"Utenos",-2.18
"2012-01-11",10,"Vilniaus",-3.31
"2012-01-12",1,"Šiauliai",2.13
"2012-01-12",2,"Alytaus",3.25
"2012-01-12",3,"Kauno",2.94
"2012-01-12",4,"Klaipedos",3.4
"2012-01-12",5,"Marijampoles",3.4
"2012-01-12",6,"Panevezio",1.68
"2012-01-12",7,"Taurages",2.86
"2012-01-12",8,"Telšiai",2.23
"2012-01-12",9,"Utenos",1.52
"2012-01-12",10,"Vilniaus",2.15
"2012-01-13",1,"Šiauliai",1.56
"2012-01-13",2,"Alytaus",2.85
"2012-01-13",3,"Kauno",2.19
"2012-01-13",4,"Klaipedos",2.46
"2012-01-13",5,"Marijampoles",1.84
"2012-01-13",6,"Panevezio",1.96
"2012-01-13",7,"Taurages",2.01
"2012-01-13",8,"Telšiai",1.53
"2012-01-13",9,"Utenos",3.13
"2012-01-13",10,"Vilniaus",3.38
"2012-01-14",1,"Šiauliai",-1.23
"2012-01-14",2,"Alytaus",-0.85
"2012-01-14",3,"Kauno",-1.37
"2012-01-14",4,"Klaipedos",-0.24
"2012-01-14",5,"Marijampoles",-1.28
"2012-01-14",6,"Panevezio",-1.19
"2012-01-14",7,"Taurages",-1.2
"2012-01-14",8,"Telšiai",-1.14
"2012-01-14",9,"Utenos",-1.48
"2012-01-14",10,"Vilniaus",-1.45
"2012-01-15",1,"Šiauliai",-3
"2012-01-15",2,"Alytaus",-3.11
"2012-01-15",3,"Kauno",-2.7
"2012-01-15",4,"Klaipedos",-3.35
"2012-01-15",5,"Marijampoles",-2.88
"2012-01-15",6,"Panevezio",-2.81
"2012-01-15",7,"Taurages",-2.83
"2012-01-15",8,"Telšiai",-3.72
"2012-01-15",9,"Utenos",-2.35
"2012-01-15",10,"Vilniaus",-3.06
"2012-01-16",1,"Šiauliai",-2.67
"2012-01-16",2,"Alytaus",-2.11
"2012-01-16",3,"Kauno",-1.59
"2012-01-16",4,"Klaipedos",-3.08
"2012-01-16",5,"Marijampoles",-1.67
"2012-01-16",6,"Panevezio",-2.45
"2012-01-16",7,"Taurages",-1.72
"2012-01-16",8,"Telšiai",-4.2
"2012-01-16",9,"Utenos",-2.77
"2012-01-16",10,"Vilniaus",-2.89
"2012-01-17",1,"Šiauliai",-3.06
"2012-01-17",2,"Alytaus",-2.86
"2012-01-17",3,"Kauno",-2.33
"2012-01-17",4,"Klaipedos",-4.05
"2012-01-17",5,"Marijampoles",-2.85
"2012-01-17",6,"Panevezio",-2.84
"2012-01-17",7,"Taurages",-2.78
"2012-01-17",8,"Telšiai",-3.99
"2012-01-17",9,"Utenos",-3.52
