"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Šiauliai",8.97
"2023-01-01",2,"2","Alytaus",10.61
"2023-01-01",3,"3","Kauno",10.35
"2023-01-01",4,"4","Klaipedos",8.84
"2023-01-01",5,"5","Marijampoles",11.27
"2023-01-01",6,"6","Panevezio",8.6
"2023-01-01",7,"7","Taurages",10.33
"2023-01-01",8,"8","Telšiai",8.37
"2023-01-01",9,"9","Utenos",7.5
"2023-01-01",10,"10","Vilniaus",8.89
"2023-01-02",1,"1","Šiauliai",5.79
"2023-01-02",2,"2","Alytaus",8.17
"2023-01-02",3,"3","Kauno",7.54
"2023-01-02",4,"4","Klaipedos",6.29
"2023-01-02",5,"5","Marijampoles",7.81
"2023-01-02",6,"6","Panevezio",5.07
"2023-01-02",7,"7","Taurages",6.81
"2023-01-02",8,"8","Telšiai",5.75
"2023-01-02",9,"9","Utenos",6.74
"2023-01-02",10,"10","Vilniaus",7.49
"2023-01-03",1,"1","Šiauliai",7.87
"2023-01-03",2,"2","Alytaus",9.48
"2023-01-03",3,"3","Kauno",9.62
"2023-01-03",4,"4","Klaipedos",6.69
"2023-01-03",5,"5","Marijampoles",9.99
"2023-01-03",6,"6","Panevezio",9.32
"2023-01-03",7,"7","Taurages",7.41
"2023-01-03",8,"8","Telšiai",6.54
"2023-01-03",9,"9","Utenos",8.57
"2023-01-03",10,"10","Vilniaus",9
"2023-01-04",1,"1","Šiauliai",0.82
"2023-01-04",2,"2","Alytaus",1.4
"2023-01-04",3,"3","Kauno",1.02
"2023-01-04",4,"4","Klaipedos",1.01
"2023-01-04",5,"5","Marijampoles",1.13
"2023-01-04",6,"6","Panevezio",0.88
"2023-01-04",7,"7","Taurages",0.69
"2023-01-04",8,"8","Telšiai",0.16
"2023-01-04",9,"9","Utenos",0.56
"2023-01-04",10,"10","Vilniaus",0.67
"2023-01-05",1,"1","Šiauliai",0.17
"2023-01-05",2,"2","Alytaus",2.98
"2023-01-05",3,"3","Kauno",1.07
"2023-01-05",4,"4","Klaipedos",3.62
"2023-01-05",5,"5","Marijampoles",4.16
"2023-01-05",6,"6","Panevezio",-0.18
"2023-01-05",7,"7","Taurages",2.65
"2023-01-05",8,"8","Telšiai",0.66
