"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Diekirch",11.84
"2023-01-01",2,"2","Grevenmacher",12.03
"2023-01-01",3,"3","Luxembourg",12.2
"2023-01-02",1,"1","Diekirch",11.71
"2023-01-02",2,"2","Grevenmacher",11.88
"2023-01-02",3,"3","Luxembourg",12.09
"2023-01-03",1,"1","Diekirch",4.99
"2023-01-03",2,"2","Grevenmacher",6.18
"2023-01-03",3,"3","Luxembourg",5.78
"2023-01-04",1,"1","Diekirch",5.42
"2023-01-04",2,"2","Grevenmacher",5.57
"2023-01-04",3,"3","Luxembourg",5.7
"2023-01-05",1,"1","Diekirch",9.57
"2023-01-05",2,"2","Grevenmacher",10.21
"2023-01-05",3,"3","Luxembourg",10.2
"2023-01-06",1,"1","Diekirch",8.75
"2023-01-06",2,"2","Grevenmacher",9.58
"2023-01-06",3,"3","Luxembourg",9.37
"2023-01-07",1,"1","Diekirch",8.19
"2023-01-07",2,"2","Grevenmacher",8.86
"2023-01-07",3,"3","Luxembourg",8.95
"2023-01-08",1,"1","Diekirch",7.64
"2023-01-08",2,"2","Grevenmacher",8.44
"2023-01-08",3,"3","Luxembourg",8.46
"2023-01-09",1,"1","Diekirch",5.04
"2023-01-09",2,"2","Grevenmacher",6.09
"2023-01-09",3,"3","Luxembourg",6.05
"2023-01-10",1,"1","Diekirch",3.13
"2023-01-10",2,"2","Grevenmacher",3.97
"2023-01-10",3,"3","Luxembourg",3.74
"2023-01-11",1,"1","Diekirch",6.68
"2023-01-11",2,"2","Grevenmacher",6.74
"2023-01-11",3,"3","Luxembourg",7.02
"2023-01-12",1,"1","Diekirch",6.42
"2023-01-12",2,"2","Grevenmacher",6.89
"2023-01-12",3,"3","Luxembourg",6.99
"2023-01-13",1,"1","Diekirch",7.86
"2023-01-13",2,"2","Grevenmacher",8.51
"2023-01-13",3,"3","Luxembourg",8.47
"2023-01-14",1,"1","Diekirch",4.64
"2023-01-14",2,"2","Grevenmacher",5.38
"2023-01-14",3,"3","Luxembourg",5.21
"2023-01-15",1,"1","Diekirch",6.06
"2023-01-15",2,"2","Grevenmacher",7.88
"2023-01-15",3,"3","Luxembourg",7.57
"2023-01-16",1,"1","Diekirch",3.32
"2023-01-16",2,"2","Grevenmacher",4
"2023-01-16",3,"3","Luxembourg",4.13
"2023-01-17",1,"1","Diekirch",0.21
"2023-01-17",2,"2","Grevenmacher",1.12
"2023-01-17",3,"3","Luxembourg",0.98
"2023-01-18",1,"1","Diekirch",-3.96
"2023-01-18",2,"2","Grevenmacher",-1.32
"2023-01-18",3,"3","Luxembourg",-1.33
"2023-01-19",1,"1","Diekirch",-1.4
