"","date","ID_1","NAME_1","t2m"
"1","2012-01-01",1,"Kurzeme",-1.24
"2","2012-01-01",2,"Latgale",-1.83
"3","2012-01-01",3,"Riga",-1.73
"4","2012-01-01",4,"Vidzeme",-2.72
"5","2012-01-01",5,"Zemgale",-1.56
"6","2012-01-02",1,"Kurzeme",0.34
"7","2012-01-02",2,"Latgale",-3.81
"8","2012-01-02",3,"Riga",-1.25
"9","2012-01-02",4,"Vidzeme",-2.59
"10","2012-01-02",5,"Zemgale",-1.61
"11","2012-01-03",1,"Kurzeme",4.18
"12","2012-01-03",2,"Latgale",-0.14
"13","2012-01-03",3,"Riga",3.38
"14","2012-01-03",4,"Vidzeme",1.05
"15","2012-01-03",5,"Zemgale",2.74
"16","2012-01-04",1,"Kurzeme",2.09
"17","2012-01-04",2,"Latgale",0.3
"18","2012-01-04",3,"Riga",1.57
"19","2012-01-04",4,"Vidzeme",0.62
"20","2012-01-04",5,"Zemgale",1.31
"21","2012-01-05",1,"Kurzeme",3.46
"22","2012-01-05",2,"Latgale",2.89
"23","2012-01-05",3,"Riga",3.11
"24","2012-01-05",4,"Vidzeme",2.6
"25","2012-01-05",5,"Zemgale",3.29
"26","2012-01-06",1,"Kurzeme",1.96
"27","2012-01-06",2,"Latgale",1.08
"28","2012-01-06",3,"Riga",0.99
"29","2012-01-06",4,"Vidzeme",0.87
"30","2012-01-06",5,"Zemgale",1.41
"31","2012-01-07",1,"Kurzeme",0.06
"32","2012-01-07",2,"Latgale",-0.11
"33","2012-01-07",3,"Riga",-1.1
"34","2012-01-07",4,"Vidzeme",-1.74
"35","2012-01-07",5,"Zemgale",-1.05
"36","2012-01-08",1,"Kurzeme",1.14
"37","2012-01-08",2,"Latgale",0.12
"38","2012-01-08",3,"Riga",-0.12
"39","2012-01-08",4,"Vidzeme",-0.93
"40","2012-01-08",5,"Zemgale",0.8
"41","2012-01-09",1,"Kurzeme",1.58
"42","2012-01-09",2,"Latgale",-1.69
"43","2012-01-09",3,"Riga",0.3
"44","2012-01-09",4,"Vidzeme",-0.93
"45","2012-01-09",5,"Zemgale",0.18
"46","2012-01-10",1,"Kurzeme",-1.04
"47","2012-01-10",2,"Latgale",-0.27
"48","2012-01-10",3,"Riga",-1.09
"49","2012-01-10",4,"Vidzeme",-1.51
"50","2012-01-10",5,"Zemgale",-0.41
"51","2012-01-11",1,"Kurzeme",1.84
"52","2012-01-11",2,"Latgale",-1.18
"53","2012-01-11",3,"Riga",0.67
"54","2012-01-11",4,"Vidzeme",0.11
"55","2012-01-11",5,"Zemgale",-0.33
"56","2012-01-12",1,"Kurzeme",2.71
"57","2012-01-12",2,"Latgale",0.79
"58","2012-01-12",3,"Riga",1.32
"59","2012-01-12",4,"Vidzeme",0.25
"60","2012-01-12",5,"Zemgale",1.07
"61","2012-01-13",1,"Kurzeme",1.96
"62","2012-01-13",2,"Latgale",3.72
"63","2012-01-13",3,"Riga",1.55
"64","2012-01-13",4,"Vidzeme",1.49
"65","2012-01-13",5,"Zemgale",1.75
"66","2012-01-14",1,"Kurzeme",-1.17
"67","2012-01-14",2,"Latgale",-1.31
"68","2012-01-14",3,"Riga",-1.72
"69","2012-01-14",4,"Vidzeme",-2.26
"70","2012-01-14",5,"Zemgale",-1.39
"71","2012-01-15",1,"Kurzeme",-3.09
"72","2012-01-15",2,"Latgale",-2.77
"73","2012-01-15",3,"Riga",-2.77
"74","2012-01-15",4,"Vidzeme",-2.81
"75","2012-01-15",5,"Zemgale",-2.69
"76","2012-01-16",1,"Kurzeme",-4.33
"77","2012-01-16",2,"Latgale",-3.43
"78","2012-01-16",3,"Riga",-3.86
