"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Kurzeme",7.07
"2023-01-01",2,"2","Latgale",5.42
"2023-01-01",3,"3","Riga",6.87
"2023-01-01",4,"4","Vidzeme",5.32
"2023-01-01",5,"5","Zemgale",7.74
"2023-01-02",1,"1","Kurzeme",2.39
"2023-01-02",2,"2","Latgale",1.8
"2023-01-02",3,"3","Riga",1.27
"2023-01-02",4,"4","Vidzeme",-0.01
"2023-01-02",5,"5","Zemgale",2.22
"2023-01-03",1,"1","Kurzeme",6.56
"2023-01-03",2,"2","Latgale",6.38
"2023-01-03",3,"3","Riga",7.41
"2023-01-03",4,"4","Vidzeme",4.89
"2023-01-03",5,"5","Zemgale",8.39
"2023-01-04",1,"1","Kurzeme",1.14
"2023-01-04",2,"2","Latgale",0.41
"2023-01-04",3,"3","Riga",0.65
"2023-01-04",4,"4","Vidzeme",0.25
"2023-01-04",5,"5","Zemgale",0.65
"2023-01-05",1,"1","Kurzeme",0.31
"2023-01-05",2,"2","Latgale",-1.56
"2023-01-05",3,"3","Riga",-0.99
"2023-01-05",4,"4","Vidzeme",-2.09
"2023-01-05",5,"5","Zemgale",-0.78
"2023-01-06",1,"1","Kurzeme",-7.47
"2023-01-06",2,"2","Latgale",-13.92
"2023-01-06",3,"3","Riga",-12.51
"2023-01-06",4,"4","Vidzeme",-14.79
"2023-01-06",5,"5","Zemgale",-13.39
"2023-01-07",1,"1","Kurzeme",-11.57
"2023-01-07",2,"2","Latgale",-16.92
"2023-01-07",3,"3","Riga",-14.22
"2023-01-07",4,"4","Vidzeme",-14.95
"2023-01-07",5,"5","Zemgale",-15.76
"2023-01-08",1,"1","Kurzeme",-6.29
"2023-01-08",2,"2","Latgale",-13.92
"2023-01-08",3,"3","Riga",-10.49
"2023-01-08",4,"4","Vidzeme",-12.8
"2023-01-08",5,"5","Zemgale",-10.51
"2023-01-09",1,"1","Kurzeme",-0.88
"2023-01-09",2,"2","Latgale",-6.82
"2023-01-09",3,"3","Riga",-3.9
"2023-01-09",4,"4","Vidzeme",-6.43
"2023-01-09",5,"5","Zemgale",-4.15
"2023-01-10",1,"1","Kurzeme",-1.58
"2023-01-10",2,"2","Latgale",-5.13
"2023-01-10",3,"3","Riga",-3.51
"2023-01-10",4,"4","Vidzeme",-5.35
"2023-01-10",5,"5","Zemgale",-3.42
"2023-01-11",1,"1","Kurzeme",3.21
"2023-01-11",2,"2","Latgale",-2.97
"2023-01-11",3,"3","Riga",1.23
"2023-01-11",4,"4","Vidzeme",-0.48
"2023-01-11",5,"5","Zemgale",0.31
"2023-01-12",1,"1","Kurzeme",1.79
"2023-01-12",2,"2","Latgale",-3.62
"2023-01-12",3,"3","Riga",0.52
"2023-01-12",4,"4","Vidzeme",-1.47
"2023-01-12",5,"5","Zemgale",-0.05
"2023-01-13",1,"1","Kurzeme",6.08
"2023-01-13",2,"2","Latgale",0.31
"2023-01-13",3,"3","Riga",4.7
"2023-01-13",4,"4","Vidzeme",2.42
"2023-01-13",5,"5","Zemgale",4.01
"2023-01-14",1,"1","Kurzeme",4.83
"2023-01-14",2,"2","Latgale",1.69
"2023-01-14",3,"3","Riga",4.91
"2023-01-14",4,"4","Vidzeme",3.09
"2023-01-14",5,"5","Zemgale",4.55
"2023-01-15",1,"1","Kurzeme",4.56
"2023-01-15",2,"2","Latgale",2.81
"2023-01-15",3,"3","Riga",3.84
"2023-01-15",4,"4","Vidzeme",3.3
"2023-01-15",5,"5","Zemgale",3.8
"2023-01-16",1,"1","Kurzeme",4.12
"2023-01-16",2,"2","Latgale",1.45
"2023-01-16",3,"3","Riga",3.57
"2023-01-16",4,"4","Vidzeme",2.56
"2023-01-16",5,"5","Zemgale",3.6
"2023-01-17",1,"1","Kurzeme",0.72
"2023-01-17",2,"2","Latgale",0.56
"2023-01-17",3,"3","Riga",1.29
"2023-01-17",4,"4","Vidzeme",1.45
"2023-01-17",5,"5","Zemgale",1.13
"2023-01-18",1,"1","Kurzeme",2.36
"2023-01-18",2,"2","Latgale",1.51
"2023-01-18",3,"3","Riga",2.56
"2023-01-18",4,"4","Vidzeme",1.66
"2023-01-18",5,"5","Zemgale",2.22
"2023-01-19",1,"1","Kurzeme",0.99
"2023-01-19",2,"2","Latgale",4.49
"2023-01-19",3,"3","Riga",0.52
"2023-01-19",4,"4","Vidzeme",1.88
"2023-01-19",5,"5","Zemgale",2
"2023-01-20",1,"1","Kurzeme",-2.53
"2023-01-20",2,"2","Latgale",-0.22
"2023-01-20",3,"3","Riga",-1.58
"2023-01-20",4,"4","Vidzeme",-0.61
"2023-01-20",5,"5","Zemgale",-0.79
"2023-01-21",1,"1","Kurzeme",-3.23
"2023-01-21",2,"2","Latgale",-1.76
"2023-01-21",3,"3","Riga",-3.77
"2023-01-21",4,"4","Vidzeme",-3.27
"2023-01-21",5,"5","Zemgale",-2.75
"2023-01-22",1,"1","Kurzeme",-2.53
"2023-01-22",2,"2","Latgale",-1.45
"2023-01-22",3,"3","Riga",-3.84
"2023-01-22",4,"4","Vidzeme",-4.03
"2023-01-22",5,"5","Zemgale",-2.7
"2023-01-23",1,"1","Kurzeme",-2.43
"2023-01-23",2,"2","Latgale",-2.83
"2023-01-23",3,"3","Riga",-3.54
"2023-01-23",4,"4","Vidzeme",-4.06
"2023-01-23",5,"5","Zemgale",-2.23
"2023-01-24",1,"1","Kurzeme",-2.34
"2023-01-24",2,"2","Latgale",-2.49
"2023-01-24",3,"3","Riga",-3.28
"2023-01-24",4,"4","Vidzeme",-3.55
"2023-01-24",5,"5","Zemgale",-2.88
"2023-01-25",1,"1","Kurzeme",2.1
"2023-01-25",2,"2","Latgale",-2.87
"2023-01-25",3,"3","Riga",0.06
"2023-01-25",4,"4","Vidzeme",-1.57
