"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"MEX.1_1","Aguascalientes",18.46
"2023-01-01",2,"MEX.3_1","Baja California",16.77
"2023-01-01",3,"MEX.2_1","Baja California Sur",21.32
"2023-01-01",4,"MEX.4_1","Campeche",28.34
"2023-01-01",5,"MEX.5_1","Chiapas",24.8
"2023-01-01",6,"MEX.6_1","Chihuahua",18.22
"2023-01-01",7,"MEX.7_1","Coahuila",22.82
"2023-01-01",8,"MEX.8_1","Colima",25.82
"2023-01-01",9,"MEX.9_1","Distrito Federal",13.6
"2023-01-01",10,"MEX.10_1","Durango",18.71
"2023-01-01",11,"MEX.11_1","Guanajuato",18.63
"2023-01-01",12,"MEX.12_1","Guerrero",24.36
"2023-01-01",13,"MEX.13_1","Hidalgo",17.85
"2023-01-01",14,"MEX.14_1","Jalisco",21.14
"2023-01-01",15,"MEX.15_1","México",15.87
"2023-01-01",16,"MEX.16_1","Michoacán",22.47
"2023-01-01",17,"MEX.17_1","Morelos",22.34
"2023-01-01",18,"MEX.18_1","Nayarit",23.13
"2023-01-01",19,"MEX.19_1","Nuevo León",22.77
"2023-01-01",20,"MEX.20_1","Oaxaca",22.66
"2023-01-01",21,"MEX.21_1","Puebla",18.67
"2023-01-01",22,"MEX.22_1","Querétaro",19.44
"2023-01-01",23,"MEX.23_1","Quintana Roo",26.53
"2023-01-01",24,"MEX.24_1","San Luis Potosí",20.6
"2023-01-01",25,"MEX.25_1","Sinaloa",23.91
"2023-01-01",26,"MEX.26_1","Sonora",21.3
"2023-01-01",27,"MEX.27_1","Tabasco",27.01
"2023-01-01",28,"MEX.28_1","Tamaulipas",23.09
"2023-01-01",29,"MEX.29_1","Tlaxcala",14.41
"2023-01-01",30,"MEX.30_1","Veracruz",23.66
"2023-01-01",31,"MEX.31_1","Yucatán",27.02
"2023-01-01",32,"MEX.32_1","Zacatecas",18.59
"2023-01-02",1,"MEX.1_1","Aguascalientes",18.54
"2023-01-02",2,"MEX.3_1","Baja California",12.11
"2023-01-02",3,"MEX.2_1","Baja California Sur",19.52
"2023-01-02",4,"MEX.4_1","Campeche",28.94
"2023-01-02",5,"MEX.5_1","Chiapas",24.52
"2023-01-02",6,"MEX.6_1","Chihuahua",17.96
"2023-01-02",7,"MEX.7_1","Coahuila",24.59
"2023-01-02",8,"MEX.8_1","Colima",25.5
"2023-01-02",9,"MEX.9_1","Distrito Federal",14.24
"2023-01-02",10,"MEX.10_1","Durango",18.21
"2023-01-02",11,"MEX.11_1","Guanajuato",19.03
"2023-01-02",12,"MEX.12_1","Guerrero",25.05
"2023-01-02",13,"MEX.13_1","Hidalgo",18.88
"2023-01-02",14,"MEX.14_1","Jalisco",21.26
"2023-01-02",15,"MEX.15_1","México",16.51
"2023-01-02",16,"MEX.16_1","Michoacán",22.43
"2023-01-02",17,"MEX.17_1","Morelos",23.08
"2023-01-02",18,"MEX.18_1","Nayarit",23.05
"2023-01-02",19,"MEX.19_1","Nuevo León",24.64
"2023-01-02",20,"MEX.20_1","Oaxaca",23.2
"2023-01-02",21,"MEX.21_1","Puebla",20.01
"2023-01-02",22,"MEX.22_1","Querétaro",20.02
"2023-01-02",23,"MEX.23_1","Quintana Roo",26.68
"2023-01-02",24,"MEX.24_1","San Luis Potosí",21.46
"2023-01-02",25,"MEX.25_1","Sinaloa",22.4
"2023-01-02",26,"MEX.26_1","Sonora",16.14
"2023-01-02",27,"MEX.27_1","Tabasco",27.37
"2023-01-02",28,"MEX.28_1","Tamaulipas",24.43
"2023-01-02",29,"MEX.29_1","Tlaxcala",15.06
"2023-01-02",30,"MEX.30_1","Veracruz",24.41
"2023-01-02",31,"MEX.31_1","Yucatán",26.88
"2023-01-02",32,"MEX.32_1","Zacatecas",18.76
"2023-01-03",1,"MEX.1_1","Aguascalientes",17.16
"2023-01-03",2,"MEX.3_1","Baja California",13.18
"2023-01-03",3,"MEX.2_1","Baja California Sur",18.67
"2023-01-03",4,"MEX.4_1","Campeche",28.92
"2023-01-03",5,"MEX.5_1","Chiapas",24.49
"2023-01-03",6,"MEX.6_1","Chihuahua",14.3
"2023-01-03",7,"MEX.7_1","Coahuila",24.51
"2023-01-03",8,"MEX.8_1","Colima",24.79
"2023-01-03",9,"MEX.9_1","Distrito Federal",13.81
"2023-01-03",10,"MEX.10_1","Durango",16.37
"2023-01-03",11,"MEX.11_1","Guanajuato",19.2
"2023-01-03",12,"MEX.12_1","Guerrero",24.31
