"date","ID_0","GID_0","NAME_0","t2m"
"2023-01-01",1,"139","Malta",16.87
"2023-01-02",1,"139","Malta",16.53
"2023-01-03",1,"139","Malta",17.34
"2023-01-04",1,"139","Malta",17.28
"2023-01-05",1,"139","Malta",15.95
"2023-01-06",1,"139","Malta",15.54
"2023-01-07",1,"139","Malta",16.25
"2023-01-08",1,"139","Malta",16.44
"2023-01-09",1,"139","Malta",16.46
"2023-01-10",1,"139","Malta",16.62
"2023-01-11",1,"139","Malta",15.21
"2023-01-12",1,"139","Malta",15.44
"2023-01-13",1,"139","Malta",15.63
"2023-01-14",1,"139","Malta",16.24
"2023-01-15",1,"139","Malta",15.82
"2023-01-16",1,"139","Malta",16.37
"2023-01-17",1,"139","Malta",17.01
"2023-01-18",1,"139","Malta",17.47
"2023-01-19",1,"139","Malta",14.85
"2023-01-20",1,"139","Malta",12.51
"2023-01-21",1,"139","Malta",13.48
"2023-01-22",1,"139","Malta",13.98
"2023-01-23",1,"139","Malta",11.99
"2023-01-24",1,"139","Malta",13.37
"2023-01-25",1,"139","Malta",14.3
"2023-01-26",1,"139","Malta",12.62
"2023-01-27",1,"139","Malta",12.2
"2023-01-28",1,"139","Malta",12.04
"2023-01-29",1,"139","Malta",11.43
"2023-01-30",1,"139","Malta",12.73
"2023-01-31",1,"139","Malta",13.87
"2023-02-01",1,"139","Malta",13.65
"2023-02-02",1,"139","Malta",14.5
"2023-02-03",1,"139","Malta",14.45
"2023-02-04",1,"139","Malta",14.43
"2023-02-05",1,"139","Malta",14.87
"2023-02-06",1,"139","Malta",11.05
"2023-02-07",1,"139","Malta",11.04
"2023-02-08",1,"139","Malta",11.63
"2023-02-09",1,"139","Malta",12.52
"2023-02-10",1,"139","Malta",13.31
"2023-02-11",1,"139","Malta",13.25
"2023-02-12",1,"139","Malta",13.15
"2023-02-13",1,"139","Malta",13.5
"2023-02-14",1,"139","Malta",13.2
"2023-02-15",1,"139","Malta",14.17
"2023-02-16",1,"139","Malta",13.77
"2023-02-17",1,"139","Malta",13.94
"2023-02-18",1,"139","Malta",14.75
"2023-02-19",1,"139","Malta",13.89
"2023-02-20",1,"139","Malta",14.95
"2023-02-21",1,"139","Malta",14.46
"2023-02-22",1,"139","Malta",15.16
"2023-02-23",1,"139","Malta",15.36
"2023-02-24",1,"139","Malta",15.13
"2023-02-25",1,"139","Malta",16.48
"2023-02-26",1,"139","Malta",16.25
"2023-02-27",1,"139","Malta",16.25
"2023-02-28",1,"139","Malta",15.24
"2023-03-01",1,"139","Malta",13.89
"2023-03-02",1,"139","Malta",14.86
"2023-03-03",1,"139","Malta",14.4
"2023-03-04",1,"139","Malta",14.06
"2023-03-05",1,"139","Malta",13.11
"2023-03-06",1,"139","Malta",14.14
"2023-03-07",1,"139","Malta",15.28
"2023-03-08",1,"139","Malta",14.5
"2023-03-09",1,"139","Malta",15.36
"2023-03-10",1,"139","Malta",16.17
"2023-03-11",1,"139","Malta",16.57
"2023-03-12",1,"139","Malta",16.54
"2023-03-13",1,"139","Malta",15.78
"2023-03-14",1,"139","Malta",15.57
"2023-03-15",1,"139","Malta",16.24
"2023-03-16",1,"139","Malta",15.11
"2023-03-17",1,"139","Malta",14.63
"2023-03-18",1,"139","Malta",13.51
"2023-03-19",1,"139","Malta",14.6
"2023-03-20",1,"139","Malta",15.33
"2023-03-21",1,"139","Malta",15.04
"2023-03-22",1,"139","Malta",15.06
"2023-03-23",1,"139","Malta",14.94
"2023-03-24",1,"139","Malta",15.61
"2023-03-25",1,"139","Malta",15.19
"2023-03-26",1,"139","Malta",16.9
"2023-03-27",1,"139","Malta",17.09
"2023-03-28",1,"139","Malta",15.11
"2023-03-29",1,"139","Malta",15.28
"2023-03-30",1,"139","Malta",15.12
"2023-03-31",1,"139","Malta",15.55
"2023-04-01",1,"139","Malta",16.78
"2023-04-02",1,"139","Malta",16.25
"2023-04-03",1,"139","Malta",13.19
"2023-04-04",1,"139","Malta",15.19
"2023-04-05",1,"139","Malta",15.13
"2023-04-06",1,"139","Malta",13.8
"2023-04-07",1,"139","Malta",14.77
"2023-04-08",1,"139","Malta",14.42
"2023-04-09",1,"139","Malta",15.15
"2023-04-10",1,"139","Malta",14.48
"2023-04-11",1,"139","Malta",14.06
"2023-04-12",1,"139","Malta",15.23
"2023-04-13",1,"139","Malta",17.02
"2023-04-14",1,"139","Malta",15.98
"2023-04-15",1,"139","Malta",15.5
"2023-04-16",1,"139","Malta",15.93
"2023-04-17",1,"139","Malta",14.51
"2023-04-18",1,"139","Malta",15.17
"2023-04-19",1,"139","Malta",15.16
"2023-04-20",1,"139","Malta",16.16
"2023-04-21",1,"139","Malta",16.04
"2023-04-22",1,"139","Malta",15.67
"2023-04-23",1,"139","Malta",15.9
"2023-04-24",1,"139","Malta",16.02
"2023-04-25",1,"139","Malta",16.74
"2023-04-26",1,"139","Malta",17.42
"2023-04-27",1,"139","Malta",16.9
"2023-04-28",1,"139","Malta",16.77
"2023-04-29",1,"139","Malta",16.89
"2023-04-30",1,"139","Malta",17.95
"2023-05-01",1,"139","Malta",17.56
"2023-05-02",1,"139","Malta",17.26
"2023-05-03",1,"139","Malta",16.27
"2023-05-04",1,"139","Malta",17.27
"2023-05-05",1,"139","Malta",17.46
"2023-05-06",1,"139","Malta",17.41
"2023-05-07",1,"139","Malta",17.42
"2023-05-08",1,"139","Malta",18.13
"2023-05-09",1,"139","Malta",17.29
"2023-05-10",1,"139","Malta",17.74
"2023-05-11",1,"139","Malta",17.36
"2023-05-12",1,"139","Malta",17.68
"2023-05-13",1,"139","Malta",19.53
"2023-05-14",1,"139","Malta",20.11
"2023-05-15",1,"139","Malta",18.58
"2023-05-16",1,"139","Malta",15.88
"2023-05-17",1,"139","Malta",18.39
"2023-05-18",1,"139","Malta",17.62
"2023-05-19",1,"139","Malta",18.83
"2023-05-20",1,"139","Malta",19.97
"2023-05-21",1,"139","Malta",17.99
"2023-05-22",1,"139","Malta",17.37
"2023-05-23",1,"139","Malta",18.01
"2023-05-24",1,"139","Malta",18.23
"2023-05-25",1,"139","Malta",18.62
"2023-05-26",1,"139","Malta",18.66
"2023-05-27",1,"139","Malta",18.8
"2023-05-28",1,"139","Malta",19.09
"2023-05-29",1,"139","Malta",19.2
"2023-05-30",1,"139","Malta",19.5
"2023-05-31",1,"139","Malta",19.82
"2023-06-01",1,"139","Malta",19.95
"2023-06-02",1,"139","Malta",20.08
"2023-06-03",1,"139","Malta",19.77
"2023-06-04",1,"139","Malta",20.39
"2023-06-05",1,"139","Malta",21.06
"2023-06-06",1,"139","Malta",21.23
"2023-06-07",1,"139","Malta",20.67
"2023-06-08",1,"139","Malta",20.53
"2023-06-09",1,"139","Malta",20.59
"2023-06-10",1,"139","Malta",21.29
"2023-06-11",1,"139","Malta",21.21
"2023-06-12",1,"139","Malta",21.74
"2023-06-13",1,"139","Malta",21.84
"2023-06-14",1,"139","Malta",21.25
"2023-06-15",1,"139","Malta",21.71
"2023-06-16",1,"139","Malta",22.01
"2023-06-17",1,"139","Malta",21.87
"2023-06-18",1,"139","Malta",22.43
"2023-06-19",1,"139","Malta",21.99
"2023-06-20",1,"139","Malta",22.23
"2023-06-21",1,"139","Malta",22.8
"2023-06-22",1,"139","Malta",23.69
"2023-06-23",1,"139","Malta",23.98
"2023-06-24",1,"139","Malta",24.44
"2023-06-25",1,"139","Malta",23.07
"2023-06-26",1,"139","Malta",23.81
"2023-06-27",1,"139","Malta",23.85
"2023-06-28",1,"139","Malta",22.92
"2023-06-29",1,"139","Malta",23.75
"2023-06-30",1,"139","Malta",24.02
"2023-07-01",1,"139","Malta",24.36
"2023-07-02",1,"139","Malta",23.96
"2023-07-03",1,"139","Malta",23.64
"2023-07-04",1,"139","Malta",23.61
"2023-07-05",1,"139","Malta",23.87
"2023-07-06",1,"139","Malta",24.78
"2023-07-07",1,"139","Malta",24.57
"2023-07-08",1,"139","Malta",25.68
"2023-07-09",1,"139","Malta",25.18
"2023-07-10",1,"139","Malta",25.3
"2023-07-11",1,"139","Malta",25.96
"2023-07-12",1,"139","Malta",26.7
"2023-07-13",1,"139","Malta",25.65
"2023-07-14",1,"139","Malta",26.1
"2023-07-15",1,"139","Malta",26.19
"2023-07-16",1,"139","Malta",27.13
"2023-07-17",1,"139","Malta",27.09
"2023-07-18",1,"139","Malta",28.2
"2023-07-19",1,"139","Malta",28.16
"2023-07-20",1,"139","Malta",28.64
"2023-07-21",1,"139","Malta",28.99
"2023-07-22",1,"139","Malta",28.41
"2023-07-23",1,"139","Malta",29.19
"2023-07-24",1,"139","Malta",29.56
"2023-07-25",1,"139","Malta",31.57
"2023-07-26",1,"139","Malta",29.18
"2023-07-27",1,"139","Malta",27.41
"2023-07-28",1,"139","Malta",25.81
"2023-07-29",1,"139","Malta",26.84
"2023-07-30",1,"139","Malta",27.04
"2023-07-31",1,"139","Malta",27.53
"2023-08-01",1,"139","Malta",28.24
"2023-08-02",1,"139","Malta",26.67
"2023-08-03",1,"139","Malta",26.77
"2023-08-04",1,"139","Malta",27.1
"2023-08-05",1,"139","Malta",25.84
"2023-08-06",1,"139","Malta",25.27
"2023-08-07",1,"139","Malta",25.46
"2023-08-08",1,"139","Malta",24.6
"2023-08-09",1,"139","Malta",24.16
"2023-08-10",1,"139","Malta",24.12
"2023-08-11",1,"139","Malta",24.54
"2023-08-12",1,"139","Malta",25.3
"2023-08-13",1,"139","Malta",25.4
"2023-08-14",1,"139","Malta",25.32
"2023-08-15",1,"139","Malta",25.66
"2023-08-16",1,"139","Malta",25.48
"2023-08-17",1,"139","Malta",25.97
"2023-08-18",1,"139","Malta",26.43
"2023-08-19",1,"139","Malta",26.33
"2023-08-20",1,"139","Malta",26.24
"2023-08-21",1,"139","Malta",26.66
"2023-08-22",1,"139","Malta",26.97
"2023-08-23",1,"139","Malta",26.64
"2023-08-24",1,"139","Malta",26.99
"2023-08-25",1,"139","Malta",27.21
"2023-08-26",1,"139","Malta",26.97
