"","date","ID_1","NAME_1","t2m"
"1","2013-01-01",1,"Šavnik",-6.91
"2","2013-01-01",2,"Žabljak",-6.49
"3","2013-01-01",3,"Andrijevica",-4.09
"4","2013-01-01",4,"Bar",5.8
"5","2013-01-01",5,"Berane",-3.67
"6","2013-01-01",6,"Bijelo Polje",-3.14
"7","2013-01-01",7,"Budva",7.17
"8","2013-01-01",8,"Cetinje",1.42
"9","2013-01-01",9,"Danilovgrad",-1.52
"10","2013-01-01",10,"Herceg Novi",3.64
"11","2013-01-01",11,"Kolašin",-3.66
"12","2013-01-01",12,"Kotor",4.33
"13","2013-01-01",13,"Mojkovac",-2.73
"14","2013-01-01",14,"Nikšic",-5.13
"15","2013-01-01",15,"Plav",-4.49
"16","2013-01-01",16,"Pljevlja",-6.06
"17","2013-01-01",17,"Plužine",-6.21
"18","2013-01-01",18,"Podgorica",-0.28
"19","2013-01-01",19,"Rožaje",-3.55
"20","2013-01-01",20,"Tivat",2.55
"21","2013-01-01",21,"Ulcinj",6.08
"22","2013-01-02",1,"Šavnik",-5.95
"23","2013-01-02",2,"Žabljak",-6.62
"24","2013-01-02",3,"Andrijevica",-1.88
"25","2013-01-02",4,"Bar",7.06
"26","2013-01-02",5,"Berane",-2.67
"27","2013-01-02",6,"Bijelo Polje",-3.12
"28","2013-01-02",7,"Budva",8.03
"29","2013-01-02",8,"Cetinje",2.3
"30","2013-01-02",9,"Danilovgrad",-0.22
"31","2013-01-02",10,"Herceg Novi",4.18
"32","2013-01-02",11,"Kolašin",-2.34
"33","2013-01-02",12,"Kotor",4.82
"34","2013-01-02",13,"Mojkovac",-5.44
"35","2013-01-02",14,"Nikšic",-2.85
"36","2013-01-02",15,"Plav",-3.49
"37","2013-01-02",16,"Pljevlja",-7.25
"38","2013-01-02",17,"Plužine",-6.34
"39","2013-01-02",18,"Podgorica",1.36
"40","2013-01-02",19,"Rožaje",-3.37
"41","2013-01-02",20,"Tivat",3
"42","2013-01-02",21,"Ulcinj",7.81
"43","2013-01-03",1,"Šavnik",-0.84
"44","2013-01-03",2,"Žabljak",-0.77
"45","2013-01-03",3,"Andrijevica",-0.93
"46","2013-01-03",4,"Bar",7.85
"47","2013-01-03",5,"Berane",-0.53
"48","2013-01-03",6,"Bijelo Polje",0.68
"49","2013-01-03",7,"Budva",9.03
"50","2013-01-03",8,"Cetinje",4.11
"51","2013-01-03",9,"Danilovgrad",1.62
"52","2013-01-03",10,"Herceg Novi",6.39
"53","2013-01-03",11,"Kolašin",-0.25
"54","2013-01-03",12,"Kotor",6.43
"55","2013-01-03",13,"Mojkovac",-0.16
"56","2013-01-03",14,"Nikšic",0.46
"57","2013-01-03",15,"Plav",-2.16
"58","2013-01-03",16,"Pljevlja",-0.78
"59","2013-01-03",17,"Plužine",-0.19
"60","2013-01-03",18,"Podgorica",2.33
"61","2013-01-03",19,"Rožaje",-0.87
"62","2013-01-03",20,"Tivat",4.73
"63","2013-01-03",21,"Ulcinj",8.54
"64","2013-01-04",1,"Šavnik",-1.18
"65","2013-01-04",2,"Žabljak",-1.3
"66","2013-01-04",3,"Andrijevica",-2.69
"67","2013-01-04",4,"Bar",6.81
"68","2013-01-04",5,"Berane",-1.59
"69","2013-01-04",6,"Bijelo Polje",-0.46
"70","2013-01-04",7,"Budva",8.57
"71","2013-01-04",8,"Cetinje",3.27
"72","2013-01-04",9,"Danilovgrad",0.45
"73","2013-01-04",10,"Herceg Novi",4.99
"74","2013-01-04",11,"Kolašin",-1.49
"75","2013-01-04",12,"Kotor",5.82
"76","2013-01-04",13,"Mojkovac",-1.5
"77","2013-01-04",14,"Nikšic",-0.23
"78","2013-01-04",15,"Plav",-3.78
"79","2013-01-04",16,"Pljevlja",-1.53
"80","2013-01-04",17,"Plužine",-1.01
"81","2013-01-04",18,"Podgorica",0.48
"82","2013-01-04",19,"Rožaje",-1.32
"83","2013-01-04",20,"Tivat",4.08
"84","2013-01-04",21,"Ulcinj",7.36
"85","2013-01-05",1,"Šavnik",-1.47
"86","2013-01-05",2,"Žabljak",-1.49
"87","2013-01-05",3,"Andrijevica",-0.87
"88","2013-01-05",4,"Bar",9.46
"89","2013-01-05",5,"Berane",-0.1
"90","2013-01-05",6,"Bijelo Polje",1.15
"91","2013-01-05",7,"Budva",10.4
"92","2013-01-05",8,"Cetinje",5
"93","2013-01-05",9,"Danilovgrad",2.13
"94","2013-01-05",10,"Herceg Novi",5.7
"95","2013-01-05",11,"Kolašin",0.1
"96","2013-01-05",12,"Kotor",6.87
"97","2013-01-05",13,"Mojkovac",0.73
"98","2013-01-05",14,"Nikšic",0.73
"99","2013-01-05",15,"Plav",-1.18
"100","2013-01-05",16,"Pljevlja",-0.52
"101","2013-01-05",17,"Plužine",-0.41
"102","2013-01-05",18,"Podgorica",3.04
"103","2013-01-05",19,"Rožaje",0.38
"104","2013-01-05",20,"Tivat",5.24
"105","2013-01-05",21,"Ulcinj",9.91
"106","2013-01-06",1,"Šavnik",-1.91
"107","2013-01-06",2,"Žabljak",-2.07
"108","2013-01-06",3,"Andrijevica",-2
"109","2013-01-06",4,"Bar",9.3
"110","2013-01-06",5,"Berane",-1.5
"111","2013-01-06",6,"Bijelo Polje",-0.73
"112","2013-01-06",7,"Budva",9.54
"113","2013-01-06",8,"Cetinje",5.31
"114","2013-01-06",9,"Danilovgrad",2.93
"115","2013-01-06",10,"Herceg Novi",6.17
"116","2013-01-06",11,"Kolašin",-0.8
"117","2013-01-06",12,"Kotor",6.59
"118","2013-01-06",13,"Mojkovac",-1.16
"119","2013-01-06",14,"Nikšic",0.9
"120","2013-01-06",15,"Plav",-2.35
"121","2013-01-06",16,"Pljevlja",-1.11
"122","2013-01-06",17,"Plužine",-1.35
"123","2013-01-06",18,"Podgorica",3.66
"124","2013-01-06",19,"Rožaje",-1.09
"125","2013-01-06",20,"Tivat",5.26
"126","2013-01-06",21,"Ulcinj",9.39
"127","2013-01-07",1,"Šavnik",-1.7
"128","2013-01-07",2,"Žabljak",-1.54
"129","2013-01-07",3,"Andrijevica",-2.03
"130","2013-01-07",4,"Bar",6.56
"131","2013-01-07",5,"Berane",-1.37
"132","2013-01-07",6,"Bijelo Polje",-0.34
"133","2013-01-07",7,"Budva",7.51
"134","2013-01-07",8,"Cetinje",2.92
"135","2013-01-07",9,"Danilovgrad",0.65
"136","2013-01-07",10,"Herceg Novi",3.37
"137","2013-01-07",11,"Kolašin",-1.45
"138","2013-01-07",12,"Kotor",4.44
"139","2013-01-07",13,"Mojkovac",-0.61
"140","2013-01-07",14,"Nikšic",-0.72
"141","2013-01-07",15,"Plav",-3.05
"142","2013-01-07",16,"Pljevlja",-0.5
"143","2013-01-07",17,"Plužine",-1.42
"144","2013-01-07",18,"Podgorica",1.26
"145","2013-01-07",19,"Rožaje",-1.06
"146","2013-01-07",20,"Tivat",3.04
"147","2013-01-07",21,"Ulcinj",6.29
"148","2013-01-08",1,"Šavnik",-8.67
"149","2013-01-08",2,"Žabljak",-8.83
"150","2013-01-08",3,"Andrijevica",-7.38
"151","2013-01-08",4,"Bar",3.99
"152","2013-01-08",5,"Berane",-7.22
"153","2013-01-08",6,"Bijelo Polje",-6.39
"154","2013-01-08",7,"Budva",4.17
"155","2013-01-08",8,"Cetinje",-0.11
"156","2013-01-08",9,"Danilovgrad",-2.74
"157","2013-01-08",10,"Herceg Novi",0.56
"158","2013-01-08",11,"Kolašin",-6.57
"159","2013-01-08",12,"Kotor",1.07
"160","2013-01-08",13,"Mojkovac",-6.88
"161","2013-01-08",14,"Nikšic",-5.03
