"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Šavnik",1.16
"2023-01-01",2,"2","Žabljak",1.1
"2023-01-01",3,"3","Andrijevica",0.35
"2023-01-01",4,"4","Bar",10.56
"2023-01-01",5,"5","Berane",0.82
"2023-01-01",6,"6","Bijelo Polje",2
"2023-01-01",7,"7","Budva",11.54
"2023-01-01",8,"8","Cetinje",5.77
"2023-01-01",9,"9","Danilovgrad",3.3
"2023-01-01",10,"10","Herceg Novi",7.03
"2023-01-01",11,"11","Kolašin",1.41
"2023-01-01",12,"12","Kotor",7.81
"2023-01-01",13,"13","Mojkovac",1.37
"2023-01-01",14,"14","Nikšic",1.93
"2023-01-01",15,"15","Plav",0.23
"2023-01-01",16,"16","Pljevlja",1.06
"2023-01-01",17,"17","Plužine",1.53
"2023-01-01",18,"18","Podgorica",4.72
"2023-01-01",19,"19","Rožaje",0.51
"2023-01-01",20,"20","Tivat",5.94
"2023-01-01",21,"21","Ulcinj",10.48
"2023-01-02",1,"1","Šavnik",1.51
"2023-01-02",2,"2","Žabljak",0.7
"2023-01-02",3,"3","Andrijevica",2.41
"2023-01-02",4,"4","Bar",10.02
"2023-01-02",5,"5","Berane",1.26
"2023-01-02",6,"6","Bijelo Polje",1.22
"2023-01-02",7,"7","Budva",10.9
"2023-01-02",8,"8","Cetinje",5.8
"2023-01-02",9,"9","Danilovgrad",3.86
"2023-01-02",10,"10","Herceg Novi",6.81
"2023-01-02",11,"11","Kolašin",1.94
"2023-01-02",12,"12","Kotor",7.5
"2023-01-02",13,"13","Mojkovac",0.07
"2023-01-02",14,"14","Nikšic",4.16
"2023-01-02",15,"15","Plav",1.78
"2023-01-02",16,"16","Pljevlja",0.36
"2023-01-02",17,"17","Plužine",2.77
"2023-01-02",18,"18","Podgorica",5.6
"2023-01-02",19,"19","Rožaje",0.05
"2023-01-02",20,"20","Tivat",5.74
"2023-01-02",21,"21","Ulcinj",9.72
"2023-01-03",1,"1","Šavnik",-0.14
"2023-01-03",2,"2","Žabljak",-0.34
"2023-01-03",3,"3","Andrijevica",1.18
"2023-01-03",4,"4","Bar",9.77
"2023-01-03",5,"5","Berane",0.82
"2023-01-03",6,"6","Bijelo Polje",0.76
"2023-01-03",7,"7","Budva",10.62
"2023-01-03",8,"8","Cetinje",5.18
"2023-01-03",9,"9","Danilovgrad",2.59
"2023-01-03",10,"10","Herceg Novi",6.19
"2023-01-03",11,"11","Kolašin",0.35
