"","date","ID_1","NAME_1","t2m"
"1","2022-01-01",1,"Balaka",24.48
"2","2022-01-01",2,"Blantyre",23.64
"3","2022-01-01",3,"Chikwawa",26.53
"4","2022-01-01",4,"Chiradzulu",22.12
"5","2022-01-01",5,"Chitipa",17.93
"6","2022-01-01",6,"Dedza",21.67
"7","2022-01-01",7,"Dowa",19.77
"8","2022-01-01",8,"Karonga",22.61
"9","2022-01-01",9,"Kasungu",20.89
"10","2022-01-01",10,"Likoma",24.82
"11","2022-01-01",11,"Lilongwe",19.94
"12","2022-01-01",12,"Machinga",24.42
"13","2022-01-01",13,"Mangochi",23.9
"14","2022-01-01",14,"Mchinji",21.08
"15","2022-01-01",15,"Mulanje",21.96
"16","2022-01-01",16,"Mwanza",24.24
"17","2022-01-01",17,"Mzimba",18.87
"18","2022-01-01",18,"Neno",23.16
"19","2022-01-01",19,"Nkhata Bay",23.52
"20","2022-01-01",20,"Nkhotakota",23.31
"21","2022-01-01",21,"Nsanje",27.24
"22","2022-01-01",22,"Ntcheu",22.25
"23","2022-01-01",23,"Ntchisi",19.78
"24","2022-01-01",24,"Phalombe",22.38
"25","2022-01-01",25,"Rumphi",20.08
"26","2022-01-01",26,"Salima",23.78
"27","2022-01-01",27,"Thyolo",23.35
"28","2022-01-01",28,"Zomba",23.3
"29","2022-01-02",1,"Balaka",24.33
"30","2022-01-02",2,"Blantyre",23.72
"31","2022-01-02",3,"Chikwawa",25.96
"32","2022-01-02",4,"Chiradzulu",21.71
"33","2022-01-02",5,"Chitipa",18.06
"34","2022-01-02",6,"Dedza",22.65
"35","2022-01-02",7,"Dowa",20.71
"36","2022-01-02",8,"Karonga",23.06
"37","2022-01-02",9,"Kasungu",21.33
"38","2022-01-02",10,"Likoma",25.59
"39","2022-01-02",11,"Lilongwe",20.99
"40","2022-01-02",12,"Machinga",23.48
"41","2022-01-02",13,"Mangochi",23.82
"42","2022-01-02",14,"Mchinji",22.25
"43","2022-01-02",15,"Mulanje",21.42
"44","2022-01-02",16,"Mwanza",24.58
"45","2022-01-02",17,"Mzimba",19.85
"46","2022-01-02",18,"Neno",23.39
"47","2022-01-02",19,"Nkhata Bay",23.93
"48","2022-01-02",20,"Nkhotakota",24
"49","2022-01-02",21,"Nsanje",25.31
"50","2022-01-02",22,"Ntcheu",22.4
"51","2022-01-02",23,"Ntchisi",20.45
"52","2022-01-02",24,"Phalombe",21.92
"53","2022-01-02",25,"Rumphi",20.49
"54","2022-01-02",26,"Salima",24.21
"55","2022-01-02",27,"Thyolo",23.26
"56","2022-01-02",28,"Zomba",23.02
"57","2022-01-03",1,"Balaka",25.03
"58","2022-01-03",2,"Blantyre",23.5
"59","2022-01-03",3,"Chikwawa",26.43
"60","2022-01-03",4,"Chiradzulu",22.28
"61","2022-01-03",5,"Chitipa",18.56
"62","2022-01-03",6,"Dedza",23.26
"63","2022-01-03",7,"Dowa",21.3
"64","2022-01-03",8,"Karonga",22.66
"65","2022-01-03",9,"Kasungu",21.58
"66","2022-01-03",10,"Likoma",23.69
"67","2022-01-03",11,"Lilongwe",21.14
"68","2022-01-03",12,"Machinga",24.16
