"date","ID_2","GID_2","NAME_2","t2m"
"2023-01-01",1,"NIC.1.1_1","Bonanza",24.3
"2023-01-01",2,"NIC.1.2_1","Prinzapolka",25.44
"2023-01-01",3,"NIC.1.3_1","Puerto Cabezas",26.05
"2023-01-01",4,"NIC.1.4_1","Rosita",25.14
"2023-01-01",5,"NIC.1.5_1","Siuna",24.29
"2023-01-01",6,"NIC.1.6_1","Waslala",23.14
"2023-01-01",7,"NIC.1.7_1","Waspán",25.52
"2023-01-01",8,"NIC.2.1_1","Bluefields",24.99
"2023-01-01",9,"NIC.2.2_1","Bocana de Paiwas",23.98
"2023-01-01",10,"NIC.2.3_1","El Rama",24.47
"2023-01-01",11,"NIC.2.4_1","Kukra Hill",25.27
"2023-01-01",12,"NIC.2.5_1","La Cruz de Río Grande",24.74
"2023-01-01",13,"NIC.2.6_1","Laguna de Perlas",25.5
"2023-01-01",14,"NIC.2.7_1","Muelle de los Bueyes",24.14
"2023-01-01",15,"NIC.2.8_1","Nueva Guinea",24.66
"2023-01-01",16,"NIC.3.1_1","Boaco",23.33
"2023-01-01",17,"NIC.3.2_1","Camoapa",23.45
"2023-01-01",18,"NIC.3.3_1","San José de los Remates",24.4
"2023-01-01",19,"NIC.3.4_1","San Lorenzo",26.55
"2023-01-01",20,"NIC.3.5_1","Santa Lucía",24.24
"2023-01-01",21,"NIC.3.6_1","Teustepe",25.98
"2023-01-01",22,"NIC.4.1_1","Diriamba",28.03
"2023-01-01",23,"NIC.4.2_1","Dolores",27.98
"2023-01-01",24,"NIC.4.3_1","El Rosario",27.98
"2023-01-01",25,"NIC.4.4_1","Jinotepe",27.87
"2023-01-01",26,"NIC.4.5_1","La Conquista",27.98
"2023-01-01",27,"NIC.4.6_1","La Paz de Carazo",27.08
"2023-01-01",28,"NIC.4.7_1","San Marcos",27.38
"2023-01-01",29,"NIC.5.1_1","Chichigalpa",29.36
"2023-01-01",30,"NIC.5.2_1","Chinandega",31.1
"2023-01-01",31,"NIC.5.3_1","Cinco Pinos",27.66
"2023-01-01",32,"NIC.5.4_1","Corinto",27.94
"2023-01-01",33,"NIC.5.5_1","El Realejo",27.5
"2023-01-01",34,"NIC.5.6_1","El Viejo",30.25
"2023-01-01",35,"NIC.5.7_1","Posoltega",29.76
"2023-01-01",36,"NIC.5.8_1","Puerto Morazán",31.52
"2023-01-01",37,"NIC.5.9_1","San Francisco del Norte",27.59
"2023-01-01",38,"NIC.5.10_1","San Pedro del Norte",28.39
"2023-01-01",39,"NIC.5.11_1","Somotillo",31.4
"2023-01-01",40,"NIC.5.12_1","Villanueva",30.78
"2023-01-01",41,"NIC.6.1_1","Acoyapa",25.6
"2023-01-01",42,"NIC.6.2_1","Comalapa",25.54
"2023-01-01",43,"NIC.6.3_1","Juigalpa",25.1
"2023-01-01",44,"NIC.6.4_1","La Libertad",23.38
"2023-01-01",45,"NIC.6.5_1","San Pedro de Lóvago",24.12
"2023-01-01",46,"NIC.6.6_1","Santo Domingo",23.36
"2023-01-01",47,"NIC.6.7_1","Santo Tomás",24.01
"2023-01-01",48,"NIC.6.8_1","Villa Sandino",24.54
"2023-01-01",49,"NIC.7.1_1","Condega",23.77
"2023-01-01",50,"NIC.7.2_1","Estelí",24.59
"2023-01-01",51,"NIC.7.3_1","La Trinidad",24.26
"2023-01-01",52,"NIC.7.4_1","Pueblo Nuevo",25.04
"2023-01-01",53,"NIC.7.5_1","San Juan de Limay",26.5
"2023-01-01",54,"NIC.7.6_1","San Nicolás",25.61
"2023-01-01",55,"NIC.8.1_1","Diriá",26.83
"2023-01-01",56,"NIC.8.2_1","Diriomo",26.86
"2023-01-01",57,"NIC.8.3_1","Granada",26.91
"2023-01-01",58,"NIC.8.4_1","Nandaime",26.83
"2023-01-01",59,"NIC.9.1_1","El Cuá",23.66
"2023-01-01",60,"NIC.9.2_1","Jinotega",22.25
"2023-01-01",61,"NIC.9.3_1","La Concordia",23.16
"2023-01-01",62,"NIC.9.4_1","San Rafael del Norte",22.44
"2023-01-01",63,"NIC.9.5_1","San Sebastián de Yalí",22.94
"2023-01-01",64,"NIC.9.6_1","Santa María de Pantasma",22.39
"2023-01-01",65,"NIC.9.7_1","Wiwilí",23.15
"2023-01-01",66,"NIC.10.1_1","Lago de Nicaragua",26.24
"2023-01-01",67,"NIC.11.1_1","Achuapa",28.34
"2023-01-01",68,"NIC.11.2_1","El Jicaral",28.48
"2023-01-01",69,"NIC.11.3_1","El Sauce",28.57
"2023-01-01",70,"NIC.11.4_1","La Paz Centro",29.8
"2023-01-01",71,"NIC.11.5_1","Larreynaga-Malpaisillo",30.16
"2023-01-01",72,"NIC.11.6_1","León",29.48
"2023-01-01",73,"NIC.11.7_1","Nagarote",29.74
"2023-01-01",74,"NIC.11.8_1","Quezalguaque",29.17
"2023-01-01",75,"NIC.11.9_1","Santa Rosa del Peñón",27.69
"2023-01-01",76,"NIC.11.10_1","Telica",30.57
"2023-01-01",77,"NIC.12.1_1","Las Sabanas",26.95
"2023-01-01",78,"NIC.12.2_1","Palacagüina",24.05
"2023-01-01",79,"NIC.12.3_1","San José de Cusmapa",27.43
"2023-01-01",80,"NIC.12.4_1","San Juan del Río Coco",23.27
"2023-01-01",81,"NIC.12.5_1","San Lucas",25.75
"2023-01-01",82,"NIC.12.6_1","Somoto",25.5
"2023-01-01",83,"NIC.12.7_1","Telpaneca",23.48
"2023-01-01",84,"NIC.12.8_1","Totogalpa",24.29
"2023-01-01",85,"NIC.12.9_1","Yalagüina",24.29
"2023-01-01",86,"NIC.13.1_1","Lago de Managua",29.22
"2023-01-01",87,"NIC.13.2_1","Managua",27.84
"2023-01-01",88,"NIC.13.3_1","Mateare",29.62
"2023-01-01",89,"NIC.13.4_1","San Francisco Libre",28.68
"2023-01-01",90,"NIC.13.5_1","San Rafael del Sur",29.16
"2023-01-01",91,"NIC.13.6_1","Ticuantepe",27.22
"2023-01-01",92,"NIC.13.7_1","Tipitapa",27.77
"2023-01-01",93,"NIC.13.8_1","Villa Carlos Fonseca",29.34
