"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Drenthe",15.18
"2023-01-01",2,"2","Flevoland",14.16
"2023-01-01",3,"3","Friesland",12.32
"2023-01-01",4,"4","Gelderland",15.46
"2023-01-01",5,"5","Groningen",14.09
"2023-01-01",6,"6","IJsselmeer",12.68
"2023-01-01",7,"7","Limburg",15.3
"2023-01-01",8,"8","Noord-Brabant",15.38
"2023-01-01",9,"9","Noord-Holland",12.8
"2023-01-01",10,"10","Overijssel",15.5
"2023-01-01",11,"11","Utrecht",15.07
"2023-01-01",12,"12","Zeeland",14.45
"2023-01-01",13,"13","Zeeuwse meren",14.27
"2023-01-01",14,"14","Zuid-Holland",14.34
"2023-01-02",1,"1","Drenthe",10
"2023-01-02",2,"2","Flevoland",10.05
"2023-01-02",3,"3","Friesland",9.13
"2023-01-02",4,"4","Gelderland",11.46
"2023-01-02",5,"5","Groningen",9.6
"2023-01-02",6,"6","IJsselmeer",9.32
"2023-01-02",7,"7","Limburg",13.35
"2023-01-02",8,"8","Noord-Brabant",12.27
"2023-01-02",9,"9","Noord-Holland",9.83
"2023-01-02",10,"10","Overijssel",10.8
"2023-01-02",11,"11","Utrecht",11.24
"2023-01-02",12,"12","Zeeland",11.82
"2023-01-02",13,"13","Zeeuwse meren",11.63
"2023-01-02",14,"14","Zuid-Holland",11.31
"2023-01-03",1,"1","Drenthe",3.53
"2023-01-03",2,"2","Flevoland",3.92
"2023-01-03",3,"3","Friesland",4.04
"2023-01-03",4,"4","Gelderland",4.64
"2023-01-03",5,"5","Groningen",3.87
"2023-01-03",6,"6","IJsselmeer",4.86
"2023-01-03",7,"7","Limburg",5.98
"2023-01-03",8,"8","Noord-Brabant",5
"2023-01-03",9,"9","Noord-Holland",4.94
"2023-01-03",10,"10","Overijssel",4.39
"2023-01-03",11,"11","Utrecht",3.76
"2023-01-03",12,"12","Zeeland",4.83
"2023-01-03",13,"13","Zeeuwse meren",4.5
"2023-01-03",14,"14","Zuid-Holland",4.15
"2023-01-04",1,"1","Drenthe",7.97
"2023-01-04",2,"2","Flevoland",8.89
"2023-01-04",3,"3","Friesland",8.42
"2023-01-04",4,"4","Gelderland",8.79
"2023-01-04",5,"5","Groningen",7.8
"2023-01-04",6,"6","IJsselmeer",8.87
"2023-01-04",7,"7","Limburg",8.7
"2023-01-04",8,"8","Noord-Brabant",9.17
"2023-01-04",9,"9","Noord-Holland",9.15
"2023-01-04",10,"10","Overijssel",8.31
"2023-01-04",11,"11","Utrecht",9.17
"2023-01-04",12,"12","Zeeland",9.35
"2023-01-04",13,"13","Zeeuwse meren",9.33
"2023-01-04",14,"14","Zuid-Holland",9.27
"2023-01-05",1,"1","Drenthe",10.05
"2023-01-05",2,"2","Flevoland",9.97
"2023-01-05",3,"3","Friesland",9.66
"2023-01-05",4,"4","Gelderland",10.44
"2023-01-05",5,"5","Groningen",9.74
"2023-01-05",6,"6","IJsselmeer",9.58
"2023-01-05",7,"7","Limburg",10.9
"2023-01-05",8,"8","Noord-Brabant",10.83
"2023-01-05",9,"9","Noord-Holland",10
"2023-01-05",10,"10","Overijssel",10.35
"2023-01-05",11,"11","Utrecht",10.35
"2023-01-05",12,"12","Zeeland",10.78
"2023-01-05",13,"13","Zeeuwse meren",10.63
"2023-01-05",14,"14","Zuid-Holland",10.47
"2023-01-06",1,"1","Drenthe",10.21
"2023-01-06",2,"2","Flevoland",10.22
"2023-01-06",3,"3","Friesland",9.63
"2023-01-06",4,"4","Gelderland",10.36
"2023-01-06",5,"5","Groningen",9.95
"2023-01-06",6,"6","IJsselmeer",9.71
"2023-01-06",7,"7","Limburg",10.24
"2023-01-06",8,"8","Noord-Brabant",10.59
"2023-01-06",9,"9","Noord-Holland",10.05
"2023-01-06",10,"10","Overijssel",10.34
"2023-01-06",11,"11","Utrecht",10.65
"2023-01-06",12,"12","Zeeland",10.82
"2023-01-06",13,"13","Zeeuwse meren",10.71
"2023-01-06",14,"14","Zuid-Holland",10.65
"2023-01-07",1,"1","Drenthe",9.84
"2023-01-07",2,"2","Flevoland",10.4
"2023-01-07",3,"3","Friesland",9.71
"2023-01-07",4,"4","Gelderland",10.56
"2023-01-07",5,"5","Groningen",9.06
"2023-01-07",6,"6","IJsselmeer",10.08
"2023-01-07",7,"7","Limburg",10.55
"2023-01-07",8,"8","Noord-Brabant",10.66
"2023-01-07",9,"9","Noord-Holland",10.52
"2023-01-07",10,"10","Overijssel",10.3
"2023-01-07",11,"11","Utrecht",10.78
"2023-01-07",12,"12","Zeeland",10.77
"2023-01-07",13,"13","Zeeuwse meren",10.76
"2023-01-07",14,"14","Zuid-Holland",10.85
"2023-01-08",1,"1","Drenthe",10.2
"2023-01-08",2,"2","Flevoland",9.61
"2023-01-08",3,"3","Friesland",9.52
"2023-01-08",4,"4","Gelderland",10.07
"2023-01-08",5,"5","Groningen",9.99
"2023-01-08",6,"6","IJsselmeer",9.27
"2023-01-08",7,"7","Limburg",10.26
"2023-01-08",8,"8","Noord-Brabant",9.87
"2023-01-08",9,"9","Noord-Holland",9.32
"2023-01-08",10,"10","Overijssel",10.23
"2023-01-08",11,"11","Utrecht",9.5
"2023-01-08",12,"12","Zeeland",9.24
"2023-01-08",13,"13","Zeeuwse meren",9.3
"2023-01-08",14,"14","Zuid-Holland",9.3
"2023-01-09",1,"1","Drenthe",6.91
"2023-01-09",2,"2","Flevoland",7.28
"2023-01-09",3,"3","Friesland",7.2
"2023-01-09",4,"4","Gelderland",7.22
"2023-01-09",5,"5","Groningen",6.53
"2023-01-09",6,"6","IJsselmeer",7.52
"2023-01-09",7,"7","Limburg",7.06
"2023-01-09",8,"8","Noord-Brabant",7
"2023-01-09",9,"9","Noord-Holland",7.54
"2023-01-09",10,"10","Overijssel",7.28
"2023-01-09",11,"11","Utrecht",7.18
"2023-01-09",12,"12","Zeeland",6.31
"2023-01-09",13,"13","Zeeuwse meren",6.47
"2023-01-09",14,"14","Zuid-Holland",6.92
"2023-01-10",1,"1","Drenthe",5.56
"2023-01-10",2,"2","Flevoland",6.33
"2023-01-10",3,"3","Friesland",6.64
"2023-01-10",4,"4","Gelderland",5.42
"2023-01-10",5,"5","Groningen",5.85
"2023-01-10",6,"6","IJsselmeer",6.9
