"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Ãstfold",-0.58
"2023-01-01",2,"2","Akershus",-2.88
"2023-01-01",3,"3","Aust-Agder",-3.99
"2023-01-01",4,"4","Buskerud",-7.49
"2023-01-01",5,"5","Finnmark",-3.81
"2023-01-01",6,"6","Hedmark",-7.74
"2023-01-01",7,"7","Hordaland",-4.1
"2023-01-01",8,"8","Møre og Romsdal",-3.67
"2023-01-01",9,"9","Nord-Trøndelag",-2.09
"2023-01-01",10,"10","Nordland",-1.36
"2023-01-01",11,"11","Oppland",-9.15
"2023-01-01",12,"12","Oslo",-6.14
"2023-01-01",13,"13","Rogaland",-2.56
"2023-01-01",14,"14","Sør-Trøndelag",-3.99
"2023-01-01",15,"15","Sogn og Fjordane",-4.48
"2023-01-01",16,"16","Telemark",-6.54
"2023-01-01",17,"17","Troms",-2.1
"2023-01-01",18,"18","Vest-Agder",-2.05
"2023-01-01",19,"19","Vestfold",-1.25
"2023-01-02",1,"1","Ãstfold",-2.09
"2023-01-02",2,"2","Akershus",-5.99
"2023-01-02",3,"3","Aust-Agder",-4.61
"2023-01-02",4,"4","Buskerud",-11.83
"2023-01-02",5,"5","Finnmark",-1.97
"2023-01-02",6,"6","Hedmark",-17.72
"2023-01-02",7,"7","Hordaland",-5.92
"2023-01-02",8,"8","Møre og Romsdal",-10.11
"2023-01-02",9,"9","Nord-Trøndelag",-8.37
"2023-01-02",10,"10","Nordland",-0.89
"2023-01-02",11,"11","Oppland",-16.87
"2023-01-02",12,"12","Oslo",-6.58
"2023-01-02",13,"13","Rogaland",-1.7
"2023-01-02",14,"14","Sør-Trøndelag",-11.05
"2023-01-02",15,"15","Sogn og Fjordane",-9.45
"2023-01-02",16,"16","Telemark",-7.32
"2023-01-02",17,"17","Troms",-2.6
"2023-01-02",18,"18","Vest-Agder",-2.42
"2023-01-02",19,"19","Vestfold",-4.02
"2023-01-03",1,"1","Ãstfold",-4.33
"2023-01-03",2,"2","Akershus",-8.59
"2023-01-03",3,"3","Aust-Agder",-3.25
"2023-01-03",4,"4","Buskerud",-14.2
"2023-01-03",5,"5","Finnmark",-7.21
"2023-01-03",6,"6","Hedmark",-16.85
"2023-01-03",7,"7","Hordaland",-7.41
"2023-01-03",8,"8","Møre og Romsdal",-11.67
"2023-01-03",9,"9","Nord-Trøndelag",-8.48
"2023-01-03",10,"10","Nordland",-5.32
"2023-01-03",11,"11","Oppland",-20.2
"2023-01-03",12,"12","Oslo",-9.65
"2023-01-03",13,"13","Rogaland",-0.06
"2023-01-03",14,"14","Sør-Trøndelag",-10.87
"2023-01-03",15,"15","Sogn og Fjordane",-14.02
"2023-01-03",16,"16","Telemark",-7.35
"2023-01-03",17,"17","Troms",-4.41
"2023-01-03",18,"18","Vest-Agder",-1.22
"2023-01-03",19,"19","Vestfold",-4.58
"2023-01-04",1,"1","Ãstfold",-5.28
"2023-01-04",2,"2","Akershus",-10.8
"2023-01-04",3,"3","Aust-Agder",-0.85
"2023-01-04",4,"4","Buskerud",-12.15
"2023-01-04",5,"5","Finnmark",-11.71
"2023-01-04",6,"6","Hedmark",-17.77
"2023-01-04",7,"7","Hordaland",-1.55
"2023-01-04",8,"8","Møre og Romsdal",-11.29
"2023-01-04",9,"9","Nord-Trøndelag",-10.11
"2023-01-04",10,"10","Nordland",-9.31
"2023-01-04",11,"11","Oppland",-19.08
"2023-01-04",12,"12","Oslo",-10.84
"2023-01-04",13,"13","Rogaland",2.22
"2023-01-04",14,"14","Sør-Trøndelag",-11.49
"2023-01-04",15,"15","Sogn og Fjordane",-8.55
"2023-01-04",16,"16","Telemark",-5.14
"2023-01-04",17,"17","Troms",-6.8
"2023-01-04",18,"18","Vest-Agder",1.15
"2023-01-04",19,"19","Vestfold",-4.87
"2023-01-05",1,"1","Ãstfold",-1.67
"2023-01-05",2,"2","Akershus",-3.08
"2023-01-05",3,"3","Aust-Agder",-4.15
"2023-01-05",4,"4","Buskerud",-7.89
"2023-01-05",5,"5","Finnmark",-9.92
"2023-01-05",6,"6","Hedmark",-6.93
"2023-01-05",7,"7","Hordaland",-3.74
"2023-01-05",8,"8","Møre og Romsdal",-2.73
"2023-01-05",9,"9","Nord-Trøndelag",-6.64
"2023-01-05",10,"10","Nordland",-8.85
"2023-01-05",11,"11","Oppland",-9.23
"2023-01-05",12,"12","Oslo",-2.99
"2023-01-05",13,"13","Rogaland",-0.98
"2023-01-05",14,"14","Sør-Trøndelag",-5.4
"2023-01-05",15,"15","Sogn og Fjordane",-4.08
"2023-01-05",16,"16","Telemark",-5.96
"2023-01-05",17,"17","Troms",-9.68
"2023-01-05",18,"18","Vest-Agder",-2.49
"2023-01-05",19,"19","Vestfold",-1.92
"2023-01-06",1,"1","Ãstfold",-4.09
"2023-01-06",2,"2","Akershus",-6.02
"2023-01-06",3,"3","Aust-Agder",-3.09
"2023-01-06",4,"4","Buskerud",-7.83
"2023-01-06",5,"5","Finnmark",-10.34
"2023-01-06",6,"6","Hedmark",-8.82
"2023-01-06",7,"7","Hordaland",-2.52
"2023-01-06",8,"8","Møre og Romsdal",-3.18
"2023-01-06",9,"9","Nord-Trøndelag",-6.19
"2023-01-06",10,"10","Nordland",-9.97
"2023-01-06",11,"11","Oppland",-9.6
"2023-01-06",12,"12","Oslo",-5.73
"2023-01-06",13,"13","Rogaland",-0.41
"2023-01-06",14,"14","Sør-Trøndelag",-5.61
"2023-01-06",15,"15","Sogn og Fjordane",-3.56
"2023-01-06",16,"16","Telemark",-6.02
"2023-01-06",17,"17","Troms",-12.83
"2023-01-06",18,"18","Vest-Agder",-1.19
"2023-01-06",19,"19","Vestfold",-2.7
