"date","ID_2","NAME_2","t2m"
"2019-01-01",1,"Tees Valley and Durham",4.28
"2019-01-01",2,"Northumberland and Tyne and Wear",4.38
"2019-01-01",3,"Cumbria",2.85
"2019-01-01",4,"Greater Manchester",3.32
"2019-01-01",5,"Lancashire",3.32
"2019-01-01",6,"Cheshire",4.32
"2019-01-01",7,"Merseyside",5.1
"2019-01-01",8,"East Yorkshire and Northern Lincolnshire",5.98
"2019-01-01",9,"North Yorkshire",4.44
"2019-01-01",10,"South Yorkshire",4.75
"2019-01-01",11,"West Yorkshire",3.98
"2019-01-01",12,"Derbyshire and Nottinghamshire",4.43
"2019-01-01",13,"Leicestershire, Rutland and Northamptonshire",5.45
"2019-01-01",14,"Lincolnshire",5.92
"2019-01-01",15,"Herefordshire, Worcestershire and Warwickshire",6.08
"2019-01-01",16,"Shropshire and Staffordshire",5.02
"2019-01-01",17,"West Midlands",5.15
"2019-01-01",18,"East Anglia",6.85
"2019-01-01",19,"Bedfordshire and Hertfordshire",7.23
"2019-01-01",20,"Essex",7.45
"2019-01-01",21,"Inner London - West",8.15
"2019-01-01",22,"Inner London - East",8.18
"2019-01-01",23,"Outer London - East and North East",8.16
"2019-01-01",24,"Outer London - South",8.33
"2019-01-01",25,"Outer London - West and North West",8.14
"2019-01-01",26,"Berkshire, Buckinghamshire and Oxfordshire",7.14
"2019-01-01",27,"Surrey, East and West Sussex",8.59
"2019-01-01",28,"Hampshire and Isle of Wight",8.31
"2019-01-01",29,"Kent",8.27
"2019-01-01",30,"Gloucestershire, Wiltshire and Bath/Bristol area",7.58
"2019-01-01",31,"Dorset and Somerset",8.67
"2019-01-01",32,"Cornwall and Isles of Scilly",9.18
"2019-01-01",33,"Devon",8.92
"2019-01-01",34,"West Wales",7.56
"2019-01-01",35,"East Wales",6.47
"2019-01-01",36,"North Eastern Scotland",3.93
"2019-01-01",37,"Highlands and Islands",3.51
"2019-01-01",38,"Eastern Scotland",1.6
"2019-01-01",39,"West Central Scotland",2.63
"2019-01-01",40,"Southern Scotland",3.28
"2019-01-01",41,"Northern Ireland",6.13
"2019-01-02",1,"Tees Valley and Durham",1.05
"2019-01-02",2,"Northumberland and Tyne and Wear",0.55
"2019-01-02",3,"Cumbria",0.85
"2019-01-02",4,"Greater Manchester",1.67
"2019-01-02",5,"Lancashire",2.25
"2019-01-02",6,"Cheshire",2.63
"2019-01-02",7,"Merseyside",3.37
"2019-01-02",8,"East Yorkshire and Northern Lincolnshire",4.89
"2019-01-02",9,"North Yorkshire",2.42
"2019-01-02",10,"South Yorkshire",3.41
"2019-01-02",11,"West Yorkshire",2.33
"2019-01-02",12,"Derbyshire and Nottinghamshire",3.32
"2019-01-02",13,"Leicestershire, Rutland and Northamptonshire",4.24
"2019-01-02",14,"Lincolnshire",4.64
"2019-01-02",15,"Herefordshire, Worcestershire and Warwickshire",2.39
"2019-01-02",16,"Shropshire and Staffordshire",1.97
"2019-01-02",17,"West Midlands",2.73
"2019-01-02",18,"East Anglia",5.09
"2019-01-02",19,"Bedfordshire and Hertfordshire",4.77
"2019-01-02",20,"Essex",4.94
"2019-01-02",21,"Inner London - West",4.82
"2019-01-02",22,"Inner London - East",4.78
