"","date","ID_1","NAME_1","t2m"
"1","2019-01-01",1,"Auckland",21.88
"2","2019-01-01",2,"Bay of Plenty",22.88
"3","2019-01-01",3,"Canterbury",19.45
"4","2019-01-01",4,"Chatham Islands",14.34
"5","2019-01-01",5,"Gisborne",21.6
"6","2019-01-01",6,"Hawke's Bay",21.77
"7","2019-01-01",7,"Manawatu-Wanganui",22.2
"8","2019-01-01",8,"Marlborough",20.6
"9","2019-01-01",9,"Nelson",21
"10","2019-01-01",10,"Northland",21.41
"11","2019-01-01",11,"Otago",17.89
"12","2019-01-01",12,"Southland",18.02
"13","2019-01-01",13,"Taranaki",22.11
"14","2019-01-01",14,"Waikato",22.81
"15","2019-01-01",15,"Wellington",21.05
"16","2019-01-01",16,"West Coast",17.31
"17","2019-01-02",1,"Auckland",21.82
"18","2019-01-02",2,"Bay of Plenty",23.86
"19","2019-01-02",3,"Canterbury",22.81
"20","2019-01-02",4,"Chatham Islands",16.18
"21","2019-01-02",5,"Gisborne",25.16
"22","2019-01-02",6,"Hawke's Bay",24.75
"23","2019-01-02",7,"Manawatu-Wanganui",20.86
"24","2019-01-02",8,"Marlborough",23.47
"25","2019-01-02",9,"Nelson",21.93
"26","2019-01-02",10,"Northland",22.19
"27","2019-01-02",11,"Otago",20.88
"28","2019-01-02",12,"Southland",17.34
"29","2019-01-02",13,"Taranaki",21.52
"30","2019-01-02",14,"Waikato",21.9
"31","2019-01-02",15,"Wellington",21.4
"32","2019-01-02",16,"West Coast",18.39
"33","2019-01-03",1,"Auckland",22.53
"34","2019-01-03",2,"Bay of Plenty",24.52
"35","2019-01-03",3,"Canterbury",20.27
"36","2019-01-03",4,"Chatham Islands",16.59
"37","2019-01-03",5,"Gisborne",26.25
"38","2019-01-03",6,"Hawke's Bay",25.23
"39","2019-01-03",7,"Manawatu-Wanganui",21.11
"40","2019-01-03",8,"Marlborough",21.8
"41","2019-01-03",9,"Nelson",19.92
"42","2019-01-03",10,"Northland",22.94
"43","2019-01-03",11,"Otago",16.54
"44","2019-01-03",12,"Southland",14.35
"45","2019-01-03",13,"Taranaki",21.44
"46","2019-01-03",14,"Waikato",22.57
"47","2019-01-03",15,"Wellington",21.12
"48","2019-01-03",16,"West Coast",16.51
"49","2019-01-04",1,"Auckland",21.59
"50","2019-01-04",2,"Bay of Plenty",24.2
"51","2019-01-04",3,"Canterbury",18.48
"52","2019-01-04",4,"Chatham Islands",14.72
"53","2019-01-04",5,"Gisborne",23.5
"54","2019-01-04",6,"Hawke's Bay",21.96
"55","2019-01-04",7,"Manawatu-Wanganui",19.4
"56","2019-01-04",8,"Marlborough",19.79
"57","2019-01-04",9,"Nelson",19.55
"58","2019-01-04",10,"Northland",22.54
"59","2019-01-04",11,"Otago",15.49
"60","2019-01-04",12,"Southland",13.19
"61","2019-01-04",13,"Taranaki",20.12
"62","2019-01-04",14,"Waikato",21.75
