"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Auckland",20.56
"2023-01-01",2,"2","Bay of Plenty",18.78
"2023-01-01",3,"3","Canterbury",15.74
"2023-01-01",4,"4","Chatham Islands",13.38
"2023-01-01",5,"5","Gisborne",16.57
"2023-01-01",6,"6","Hawke's Bay",15.47
"2023-01-01",7,"7","Manawatu-Wanganui",17.31
"2023-01-01",8,"8","Marlborough",15.16
"2023-01-01",9,"9","Nelson",17.54
"2023-01-01",10,"10","Northland",21.49
"2023-01-01",11,"11","Otago",17.97
"2023-01-01",12,"12","Southland",18.56
"2023-01-01",13,"13","Taranaki",19.63
"2023-01-01",14,"14","Waikato",19.69
"2023-01-01",15,"15","Wellington",15.22
"2023-01-01",16,"16","West Coast",18.81
"2023-01-02",1,"1","Auckland",20.32
"2023-01-02",2,"2","Bay of Plenty",18.22
"2023-01-02",3,"3","Canterbury",18.22
"2023-01-02",4,"4","Chatham Islands",13.53
"2023-01-02",5,"5","Gisborne",17.57
"2023-01-02",6,"6","Hawke's Bay",16.96
"2023-01-02",7,"7","Manawatu-Wanganui",18.36
"2023-01-02",8,"8","Marlborough",16.5
"2023-01-02",9,"9","Nelson",18.35
"2023-01-02",10,"10","Northland",19.55
"2023-01-02",11,"11","Otago",20.02
"2023-01-02",12,"12","Southland",19.72
"2023-01-02",13,"13","Taranaki",20.24
"2023-01-02",14,"14","Waikato",19.06
"2023-01-02",15,"15","Wellington",17.5
"2023-01-02",16,"16","West Coast",19.77
"2023-01-03",1,"1","Auckland",21.26
"2023-01-03",2,"2","Bay of Plenty",19.33
"2023-01-03",3,"3","Canterbury",19.91
"2023-01-03",4,"4","Chatham Islands",14.71
"2023-01-03",5,"5","Gisborne",18.29
"2023-01-03",6,"6","Hawke's Bay",18.68
"2023-01-03",7,"7","Manawatu-Wanganui",20.58
"2023-01-03",8,"8","Marlborough",17.34
"2023-01-03",9,"9","Nelson",17.1
"2023-01-03",10,"10","Northland",21.06
"2023-01-03",11,"11","Otago",20.71
"2023-01-03",12,"12","Southland",20.78
"2023-01-03",13,"13","Taranaki",22.17
"2023-01-03",14,"14","Waikato",20.6
"2023-01-03",15,"15","Wellington",19.59
"2023-01-03",16,"16","West Coast",18.34
"2023-01-04",1,"1","Auckland",19.84
"2023-01-04",2,"2","Bay of Plenty",18.52
"2023-01-04",3,"3","Canterbury",20.25
"2023-01-04",4,"4","Chatham Islands",15.14
"2023-01-04",5,"5","Gisborne",18.57
"2023-01-04",6,"6","Hawke's Bay",18.18
"2023-01-04",7,"7","Manawatu-Wanganui",19.88
"2023-01-04",8,"8","Marlborough",17.61
"2023-01-04",9,"9","Nelson",17.1
"2023-01-04",10,"10","Northland",19.96
"2023-01-04",11,"11","Otago",19.44
"2023-01-04",12,"12","Southland",19.33
"2023-01-04",13,"13","Taranaki",20.45
"2023-01-04",14,"14","Waikato",18.86
"2023-01-04",15,"15","Wellington",19.38
"2023-01-04",16,"16","West Coast",19.26
"2023-01-05",1,"1","Auckland",20.65
"2023-01-05",2,"2","Bay of Plenty",17.25
"2023-01-05",3,"3","Canterbury",19.46
"2023-01-05",4,"4","Chatham Islands",15.42
"2023-01-05",5,"5","Gisborne",17.5
"2023-01-05",6,"6","Hawke's Bay",17.91
"2023-01-05",7,"7","Manawatu-Wanganui",18.78
"2023-01-05",8,"8","Marlborough",15.21
"2023-01-05",9,"9","Nelson",15.55
"2023-01-05",10,"10","Northland",21.72
"2023-01-05",11,"11","Otago",18.5
"2023-01-05",12,"12","Southland",17.84
"2023-01-05",13,"13","Taranaki",21.39
"2023-01-05",14,"14","Waikato",18.72
"2023-01-05",15,"15","Wellington",17.99
"2023-01-05",16,"16","West Coast",17.23
"2023-01-06",1,"1","Auckland",20.75
"2023-01-06",2,"2","Bay of Plenty",18.21
"2023-01-06",3,"3","Canterbury",20.61
"2023-01-06",4,"4","Chatham Islands",15.95
"2023-01-06",5,"5","Gisborne",19.03
"2023-01-06",6,"6","Hawke's Bay",20.49
