"date","ID_2","GID_2","NAME_2","t2m"
"2023-01-01",1,"PAN.1.1_1","Bocas del Toro",25.04
"2023-01-01",2,"PAN.1.2_1","Changuinola",20.74
"2023-01-01",3,"PAN.1.3_1","Chiriquí Grande",23.18
"2023-01-01",4,"PAN.2.1_1","Alanje",25.42
"2023-01-01",5,"PAN.2.2_1","Barú",25.25
"2023-01-01",6,"PAN.2.3_1","Boquerón",23.26
"2023-01-01",7,"PAN.2.4_1","Boquete",21.16
"2023-01-01",8,"PAN.2.5_1","Bugaba",22.26
"2023-01-01",9,"PAN.2.6_1","David",25.34
"2023-01-01",10,"PAN.2.7_1","Dolega",23.28
"2023-01-01",11,"PAN.2.8_1","Gualaca",23.06
"2023-01-01",12,"PAN.2.9_1","Remedios",23.94
"2023-01-01",13,"PAN.2.10_1","Renacimiento",20.74
"2023-01-01",14,"PAN.2.11_1","San Félix",25.02
"2023-01-01",15,"PAN.2.12_1","San Lorenzo",25.59
"2023-01-01",16,"PAN.2.13_1","Tolé",24.66
"2023-01-01",17,"PAN.3.1_1","Aguadulce",28.43
"2023-01-01",18,"PAN.3.2_1","Antón",25.86
"2023-01-01",19,"PAN.3.3_1","La Pintada",24.88
"2023-01-01",20,"PAN.3.4_1","Natá",26.75
"2023-01-01",21,"PAN.3.5_1","Olá",24.37
"2023-01-01",22,"PAN.3.6_1","Penonomé",25.1
"2023-01-01",23,"PAN.4.1_1","Chagres",25.44
"2023-01-01",24,"PAN.4.2_1","Colón",25.39
"2023-01-01",25,"PAN.4.3_1","Donoso",25.08
"2023-01-01",26,"PAN.4.4_1","Lago Gatún",25.37
"2023-01-01",27,"PAN.4.5_1","Portobelo",25.53
"2023-01-01",28,"PAN.4.6_1","Santa Isabel",25.78
"2023-01-01",29,"PAN.5.1_1","Chepigana",26.16
"2023-01-01",30,"PAN.5.2_1","Pinogana",26.11
"2023-01-01",31,"PAN.6.1_1","Cémaco",25.98
"2023-01-01",32,"PAN.6.2_1","Sambú",25.77
"2023-01-01",33,"PAN.7.1_1","Chitré",28.69
"2023-01-01",34,"PAN.7.2_1","Las Minas",25.57
"2023-01-01",35,"PAN.7.3_1","Los Pozos",25.48
"2023-01-01",36,"PAN.7.4_1","Ocú",27.44
"2023-01-01",37,"PAN.7.5_1","Parita",28.56
"2023-01-01",38,"PAN.7.6_1","Pesé",27.27
"2023-01-01",39,"PAN.7.7_1","Santa María",28.32
"2023-01-01",40,"PAN.8.1_1","Kuna Yala",26.45
"2023-01-01",41,"PAN.9.1_1","Guararé",27.19
"2023-01-01",42,"PAN.9.2_1","Las Tablas",27.35
"2023-01-01",43,"PAN.9.3_1","Los Santos",27.38
"2023-01-01",44,"PAN.9.4_1","Macaracas",26.2
"2023-01-01",45,"PAN.9.5_1","Pedasí",27.33
"2023-01-01",46,"PAN.9.6_1","Pocrí",27.53
"2023-01-01",47,"PAN.9.7_1","Tonosí",26.31
"2023-01-01",48,"PAN.10.1_1","Besiko",22.65
"2023-01-01",49,"PAN.10.2_1","Kankintú",22.32
"2023-01-01",50,"PAN.10.3_1","Kusapín",23.34
"2023-01-01",51,"PAN.10.4_1","Mironó",22.25
"2023-01-01",52,"PAN.10.5_1","Müna",21.88
"2023-01-01",53,"PAN.10.6_1","Nole Duima",21.96
"2023-01-01",54,"PAN.10.7_1","Ñürüm",22.21
"2023-01-01",55,"PAN.12.1_1","Balboa",27.1
"2023-01-01",56,"PAN.12.2_1","Chepo",26.33
"2023-01-01",57,"PAN.12.3_1","Chimán",26.73
"2023-01-01",58,"PAN.12.4_1","Lago Alajuela",25.26
"2023-01-01",59,"PAN.12.5_1","Lago Bayano",26.76
"2023-01-01",60,"PAN.12.6_1","Panamá",25.6
"2023-01-01",61,"PAN.12.7_1","San Miguelito",25.47
"2023-01-01",62,"PAN.11.1_1","Arraiján",25.49
"2023-01-01",63,"PAN.11.2_1","Capira",25.15
"2023-01-01",64,"PAN.11.3_1","Chame",25.71
"2023-01-01",65,"PAN.11.4_1","La Chorrera",25.33
"2023-01-01",66,"PAN.11.5_1","Lago Gatún",25.38
"2023-01-01",67,"PAN.11.6_1","San Carlos",25.99
"2023-01-01",68,"PAN.11.7_1","Taboga",25.92
"2023-01-01",69,"PAN.13.1_1","Atalaya",28.2
"2023-01-01",70,"PAN.13.2_1","Calobre",26.17
"2023-01-01",71,"PAN.13.3_1","Cañazas",24.03
"2023-01-01",72,"PAN.13.4_1","La Mesa",26.08
"2023-01-01",73,"PAN.13.5_1","Las Palmas",25.56
"2023-01-01",74,"PAN.13.6_1","Montijo",26.27
"2023-01-01",75,"PAN.13.7_1","Río de Jesús",27.41
"2023-01-01",76,"PAN.13.8_1","San Francisco",26.27
"2023-01-01",77,"PAN.13.9_1","Santa Fe",23.6
"2023-01-01",78,"PAN.13.10_1","Santiago",27.6
"2023-01-01",79,"PAN.13.11_1","Soná",26.75
"2023-01-02",1,"PAN.1.1_1","Bocas del Toro",24.58
"2023-01-02",2,"PAN.1.2_1","Changuinola",20.02
"2023-01-02",3,"PAN.1.3_1","Chiriquí Grande",22.74
"2023-01-02",4,"PAN.2.1_1","Alanje",25.12
"2023-01-02",5,"PAN.2.2_1","Barú",26.09
"2023-01-02",6,"PAN.2.3_1","Boquerón",22.29
"2023-01-02",7,"PAN.2.4_1","Boquete",20.04
"2023-01-02",8,"PAN.2.5_1","Bugaba",21.49
"2023-01-02",9,"PAN.2.6_1","David",24.53
"2023-01-02",10,"PAN.2.7_1","Dolega",22.3
"2023-01-02",11,"PAN.2.8_1","Gualaca",21.99
"2023-01-02",12,"PAN.2.9_1","Remedios",22.84
"2023-01-02",13,"PAN.2.10_1","Renacimiento",19.75
"2023-01-02",14,"PAN.2.11_1","San Félix",24.11
"2023-01-02",15,"PAN.2.12_1","San Lorenzo",24.79
"2023-01-02",16,"PAN.2.13_1","Tolé",23.83
"2023-01-02",17,"PAN.3.1_1","Aguadulce",27.15
"2023-01-02",18,"PAN.3.2_1","Antón",25.03
"2023-01-02",19,"PAN.3.3_1","La Pintada",23.5
"2023-01-02",20,"PAN.3.4_1","Natá",25.4
"2023-01-02",21,"PAN.3.5_1","Olá",22.92
"2023-01-02",22,"PAN.3.6_1","Penonomé",23.84
"2023-01-02",23,"PAN.4.1_1","Chagres",24.53
"2023-01-02",24,"PAN.4.2_1","Colón",24.44
"2023-01-02",25,"PAN.4.3_1","Donoso",24.06
"2023-01-02",26,"PAN.4.4_1","Lago Gatún",24.36
"2023-01-02",27,"PAN.4.5_1","Portobelo",25.11
"2023-01-02",28,"PAN.4.6_1","Santa Isabel",24.7
"2023-01-02",29,"PAN.5.1_1","Chepigana",24.56
"2023-01-02",30,"PAN.5.2_1","Pinogana",24.27
"2023-01-02",31,"PAN.6.1_1","Cémaco",24.56
"2023-01-02",32,"PAN.6.2_1","Sambú",24.15
"2023-01-02",33,"PAN.7.1_1","Chitré",27.18
"2023-01-02",34,"PAN.7.2_1","Las Minas",24.38
"2023-01-02",35,"PAN.7.3_1","Los Pozos",24.25
"2023-01-02",36,"PAN.7.4_1","Ocú",26.23
"2023-01-02",37,"PAN.7.5_1","Parita",27.13
"2023-01-02",38,"PAN.7.6_1","Pesé",25.94
"2023-01-02",39,"PAN.7.7_1","Santa María",27.03
"2023-01-02",40,"PAN.8.1_1","Kuna Yala",25.78
"2023-01-02",41,"PAN.9.1_1","Guararé",25.75
"2023-01-02",42,"PAN.9.2_1","Las Tablas",25.73
"2023-01-02",43,"PAN.9.3_1","Los Santos",26.03
"2023-01-02",44,"PAN.9.4_1","Macaracas",24.68
"2023-01-02",45,"PAN.9.5_1","Pedasí",26.06
"2023-01-02",46,"PAN.9.6_1","Pocrí",26.04
"2023-01-02",47,"PAN.9.7_1","Tonosí",24.94
"2023-01-02",48,"PAN.10.1_1","Besiko",21.53
"2023-01-02",49,"PAN.10.2_1","Kankintú",21.32
"2023-01-02",50,"PAN.10.3_1","Kusapín",22.51
"2023-01-02",51,"PAN.10.4_1","Mironó",21.18
"2023-01-02",52,"PAN.10.5_1","Müna",20.83
"2023-01-02",53,"PAN.10.6_1","Nole Duima",20.87
"2023-01-02",54,"PAN.10.7_1","Ñürüm",21.2
"2023-01-02",55,"PAN.12.1_1","Balboa",26.65
"2023-01-02",56,"PAN.12.2_1","Chepo",25.48
"2023-01-02",57,"PAN.12.3_1","Chimán",25.71
"2023-01-02",58,"PAN.12.4_1","Lago Alajuela",24.48
"2023-01-02",59,"PAN.12.5_1","Lago Bayano",25.93
"2023-01-02",60,"PAN.12.6_1","Panamá",24.89
"2023-01-02",61,"PAN.12.7_1","San Miguelito",25.36
"2023-01-02",62,"PAN.11.1_1","Arraiján",25.09
"2023-01-02",63,"PAN.11.2_1","Capira",23.91
"2023-01-02",64,"PAN.11.3_1","Chame",24.53
"2023-01-02",65,"PAN.11.4_1","La Chorrera",24.46
"2023-01-02",66,"PAN.11.5_1","Lago Gatún",24.45
"2023-01-02",67,"PAN.11.6_1","San Carlos",24.95
"2023-01-02",68,"PAN.11.7_1","Taboga",25.86
"2023-01-02",69,"PAN.13.1_1","Atalaya",26.91
"2023-01-02",70,"PAN.13.2_1","Calobre",24.82
"2023-01-02",71,"PAN.13.3_1","Cañazas",23.03
"2023-01-02",72,"PAN.13.4_1","La Mesa",25.09
"2023-01-02",73,"PAN.13.5_1","Las Palmas",24.47
"2023-01-02",74,"PAN.13.6_1","Montijo",25.77
"2023-01-02",75,"PAN.13.7_1","Río de Jesús",26.21
"2023-01-02",76,"PAN.13.8_1","San Francisco",24.52
"2023-01-02",77,"PAN.13.9_1","Santa Fe",22.5
"2023-01-02",78,"PAN.13.10_1","Santiago",26.17
"2023-01-02",79,"PAN.13.11_1","Soná",25.74
"2023-01-03",1,"PAN.1.1_1","Bocas del Toro",23.83
"2023-01-03",2,"PAN.1.2_1","Changuinola",18.95
"2023-01-03",3,"PAN.1.3_1","Chiriquí Grande",22.4
"2023-01-03",4,"PAN.2.1_1","Alanje",23.72
"2023-01-03",5,"PAN.2.2_1","Barú",23.97
"2023-01-03",6,"PAN.2.3_1","Boquerón",21.43
"2023-01-03",7,"PAN.2.4_1","Boquete",19.66
"2023-01-03",8,"PAN.2.5_1","Bugaba",20.76
"2023-01-03",9,"PAN.2.6_1","David",23.42
"2023-01-03",10,"PAN.2.7_1","Dolega",21.45
"2023-01-03",11,"PAN.2.8_1","Gualaca",21.63
"2023-01-03",12,"PAN.2.9_1","Remedios",22.99
"2023-01-03",13,"PAN.2.10_1","Renacimiento",19.32
"2023-01-03",14,"PAN.2.11_1","San Félix",23.44
"2023-01-03",15,"PAN.2.12_1","San Lorenzo",23.66
"2023-01-03",16,"PAN.2.13_1","Tolé",23.62
"2023-01-03",17,"PAN.3.1_1","Aguadulce",27
"2023-01-03",18,"PAN.3.2_1","Antón",24.28
"2023-01-03",19,"PAN.3.3_1","La Pintada",23.81
"2023-01-03",20,"PAN.3.4_1","Natá",25.47
"2023-01-03",21,"PAN.3.5_1","Olá",23.24
"2023-01-03",22,"PAN.3.6_1","Penonomé",23.93
"2023-01-03",23,"PAN.4.1_1","Chagres",25.59
"2023-01-03",24,"PAN.4.2_1","Colón",25.75
"2023-01-03",25,"PAN.4.3_1","Donoso",24.25
"2023-01-03",26,"PAN.4.4_1","Lago Gatún",25.78
"2023-01-03",27,"PAN.4.5_1","Portobelo",25.84
"2023-01-03",28,"PAN.4.6_1","Santa Isabel",25.67
"2023-01-03",29,"PAN.5.1_1","Chepigana",25.29
"2023-01-03",30,"PAN.5.2_1","Pinogana",24.98
"2023-01-03",31,"PAN.6.1_1","Cémaco",25
"2023-01-03",32,"PAN.6.2_1","Sambú",25.05
"2023-01-03",33,"PAN.7.1_1","Chitré",26.65
"2023-01-03",34,"PAN.7.2_1","Las Minas",23.16
"2023-01-03",35,"PAN.7.3_1","Los Pozos",23.1
"2023-01-03",36,"PAN.7.4_1","Ocú",25.35
"2023-01-03",37,"PAN.7.5_1","Parita",26.54
"2023-01-03",38,"PAN.7.6_1","Pesé",25
"2023-01-03",39,"PAN.7.7_1","Santa María",26.32
"2023-01-03",40,"PAN.8.1_1","Kuna Yala",26.42
"2023-01-03",41,"PAN.9.1_1","Guararé",25.11
"2023-01-03",42,"PAN.9.2_1","Las Tablas",25.4
"2023-01-03",43,"PAN.9.3_1","Los Santos",25.07
"2023-01-03",44,"PAN.9.4_1","Macaracas",23.68
"2023-01-03",45,"PAN.9.5_1","Pedasí",25.87
"2023-01-03",46,"PAN.9.6_1","Pocrí",25.81
"2023-01-03",47,"PAN.9.7_1","Tonosí",24.2
"2023-01-03",48,"PAN.10.1_1","Besiko",21.57
"2023-01-03",49,"PAN.10.2_1","Kankintú",21.28
"2023-01-03",50,"PAN.10.3_1","Kusapín",22.07
"2023-01-03",51,"PAN.10.4_1","Mironó",21.1
"2023-01-03",52,"PAN.10.5_1","Müna",20.74
"2023-01-03",53,"PAN.10.6_1","Nole Duima",20.92
"2023-01-03",54,"PAN.10.7_1","Ñürüm",20.92
"2023-01-03",55,"PAN.12.1_1","Balboa",26.22
"2023-01-03",56,"PAN.12.2_1","Chepo",26.15
"2023-01-03",57,"PAN.12.3_1","Chimán",25.96
"2023-01-03",58,"PAN.12.4_1","Lago Alajuela",25.33
"2023-01-03",59,"PAN.12.5_1","Lago Bayano",26.4
"2023-01-03",60,"PAN.12.6_1","Panamá",25.67
"2023-01-03",61,"PAN.12.7_1","San Miguelito",25.88
"2023-01-03",62,"PAN.11.1_1","Arraiján",26.09
"2023-01-03",63,"PAN.11.2_1","Capira",24.38
"2023-01-03",64,"PAN.11.3_1","Chame",24.49
"2023-01-03",65,"PAN.11.4_1","La Chorrera",25.43
"2023-01-03",66,"PAN.11.5_1","Lago Gatún",25.8
"2023-01-03",67,"PAN.11.6_1","San Carlos",24.42
"2023-01-03",68,"PAN.11.7_1","Taboga",26.23
"2023-01-03",69,"PAN.13.1_1","Atalaya",25.89
"2023-01-03",70,"PAN.13.2_1","Calobre",24.86
"2023-01-03",71,"PAN.13.3_1","Cañazas",22.58
"2023-01-03",72,"PAN.13.4_1","La Mesa",24.44
"2023-01-03",73,"PAN.13.5_1","Las Palmas",24.38
"2023-01-03",74,"PAN.13.6_1","Montijo",24.62
"2023-01-03",75,"PAN.13.7_1","Río de Jesús",25.28
"2023-01-03",76,"PAN.13.8_1","San Francisco",24.12
"2023-01-03",77,"PAN.13.9_1","Santa Fe",22.14
"2023-01-03",78,"PAN.13.10_1","Santiago",25.47
"2023-01-03",79,"PAN.13.11_1","Soná",25.16
"2023-01-04",1,"PAN.1.1_1","Bocas del Toro",24.04
"2023-01-04",2,"PAN.1.2_1","Changuinola",19.94
"2023-01-04",3,"PAN.1.3_1","Chiriquí Grande",22.29
"2023-01-04",4,"PAN.2.1_1","Alanje",24.69
"2023-01-04",5,"PAN.2.2_1","Barú",24.65
"2023-01-04",6,"PAN.2.3_1","Boquerón",22.4
"2023-01-04",7,"PAN.2.4_1","Boquete",20.29
"2023-01-04",8,"PAN.2.5_1","Bugaba",21.25
"2023-01-04",9,"PAN.2.6_1","David",24.71
"2023-01-04",10,"PAN.2.7_1","Dolega",22.42
"2023-01-04",11,"PAN.2.8_1","Gualaca",22.49
"2023-01-04",12,"PAN.2.9_1","Remedios",24.1
"2023-01-04",13,"PAN.2.10_1","Renacimiento",19.74
"2023-01-04",14,"PAN.2.11_1","San Félix",24.83
"2023-01-04",15,"PAN.2.12_1","San Lorenzo",25.14
"2023-01-04",16,"PAN.2.13_1","Tolé",25.15
"2023-01-04",17,"PAN.3.1_1","Aguadulce",27.12
"2023-01-04",18,"PAN.3.2_1","Antón",24.51
"2023-01-04",19,"PAN.3.3_1","La Pintada",23.29
"2023-01-04",20,"PAN.3.4_1","Natá",25.36
"2023-01-04",21,"PAN.3.5_1","Olá",23.04
"2023-01-04",22,"PAN.3.6_1","Penonomé",23.4
"2023-01-04",23,"PAN.4.1_1","Chagres",24.52
"2023-01-04",24,"PAN.4.2_1","Colón",24.55
"2023-01-04",25,"PAN.4.3_1","Donoso",23.74
"2023-01-04",26,"PAN.4.4_1","Lago Gatún",24.59
"2023-01-04",27,"PAN.4.5_1","Portobelo",24.82
"2023-01-04",28,"PAN.4.6_1","Santa Isabel",24.65
"2023-01-04",29,"PAN.5.1_1","Chepigana",23.6
"2023-01-04",30,"PAN.5.2_1","Pinogana",23.14
"2023-01-04",31,"PAN.6.1_1","Cémaco",22.56
"2023-01-04",32,"PAN.6.2_1","Sambú",23.23
"2023-01-04",33,"PAN.7.1_1","Chitré",27.14
"2023-01-04",34,"PAN.7.2_1","Las Minas",23.72
"2023-01-04",35,"PAN.7.3_1","Los Pozos",23.79
"2023-01-04",36,"PAN.7.4_1","Ocú",25.69
"2023-01-04",37,"PAN.7.5_1","Parita",26.99
"2023-01-04",38,"PAN.7.6_1","Pesé",25.63
"2023-01-04",39,"PAN.7.7_1","Santa María",26.71
"2023-01-04",40,"PAN.8.1_1","Kuna Yala",25.09
"2023-01-04",41,"PAN.9.1_1","Guararé",25.82
"2023-01-04",42,"PAN.9.2_1","Las Tablas",25.79
"2023-01-04",43,"PAN.9.3_1","Los Santos",25.95
"2023-01-04",44,"PAN.9.4_1","Macaracas",24.48
"2023-01-04",45,"PAN.9.5_1","Pedasí",25.99
"2023-01-04",46,"PAN.9.6_1","Pocrí",26.07
"2023-01-04",47,"PAN.9.7_1","Tonosí",24.79
"2023-01-04",48,"PAN.10.1_1","Besiko",22.16
"2023-01-04",49,"PAN.10.2_1","Kankintú",21.28
"2023-01-04",50,"PAN.10.3_1","Kusapín",22.39
"2023-01-04",51,"PAN.10.4_1","Mironó",21.85
"2023-01-04",52,"PAN.10.5_1","Müna",21.77
"2023-01-04",53,"PAN.10.6_1","Nole Duima",21.72
"2023-01-04",54,"PAN.10.7_1","Ñürüm",22.19
"2023-01-04",55,"PAN.12.1_1","Balboa",27.11
"2023-01-04",56,"PAN.12.2_1","Chepo",24.75
"2023-01-04",57,"PAN.12.3_1","Chimán",24.87
"2023-01-04",58,"PAN.12.4_1","Lago Alajuela",24.1
"2023-01-04",59,"PAN.12.5_1","Lago Bayano",24.92
"2023-01-04",60,"PAN.12.6_1","Panamá",24.71
"2023-01-04",61,"PAN.12.7_1","San Miguelito",25.5
"2023-01-04",62,"PAN.11.1_1","Arraiján",25.67
"2023-01-04",63,"PAN.11.2_1","Capira",23.84
"2023-01-04",64,"PAN.11.3_1","Chame",24.52
"2023-01-04",65,"PAN.11.4_1","La Chorrera",24.81
"2023-01-04",66,"PAN.11.5_1","Lago Gatún",24.77
"2023-01-04",67,"PAN.11.6_1","San Carlos",24.72
"2023-01-04",68,"PAN.11.7_1","Taboga",26.82
"2023-01-04",69,"PAN.13.1_1","Atalaya",26.28
"2023-01-04",70,"PAN.13.2_1","Calobre",25.06
"2023-01-04",71,"PAN.13.3_1","Cañazas",24.04
"2023-01-04",72,"PAN.13.4_1","La Mesa",26.02
"2023-01-04",73,"PAN.13.5_1","Las Palmas",25.83
"2023-01-04",74,"PAN.13.6_1","Montijo",25.27
"2023-01-04",75,"PAN.13.7_1","Río de Jesús",25.57
"2023-01-04",76,"PAN.13.8_1","San Francisco",24.78
"2023-01-04",77,"PAN.13.9_1","Santa Fe",22.39
"2023-01-04",78,"PAN.13.10_1","Santiago",25.83
"2023-01-04",79,"PAN.13.11_1","Soná",25.42
"2023-01-05",1,"PAN.1.1_1","Bocas del Toro",24.87
"2023-01-05",2,"PAN.1.2_1","Changuinola",20.2
"2023-01-05",3,"PAN.1.3_1","Chiriquí Grande",23.04
"2023-01-05",4,"PAN.2.1_1","Alanje",25.76
"2023-01-05",5,"PAN.2.2_1","Barú",26.43
"2023-01-05",6,"PAN.2.3_1","Boquerón",22.76
"2023-01-05",7,"PAN.2.4_1","Boquete",20.57
"2023-01-05",8,"PAN.2.5_1","Bugaba",22.31
"2023-01-05",9,"PAN.2.6_1","David",25.18
"2023-01-05",10,"PAN.2.7_1","Dolega",22.77
"2023-01-05",11,"PAN.2.8_1","Gualaca",22.65
"2023-01-05",12,"PAN.2.9_1","Remedios",24.61
"2023-01-05",13,"PAN.2.10_1","Renacimiento",20.56
"2023-01-05",14,"PAN.2.11_1","San Félix",25.55
"2023-01-05",15,"PAN.2.12_1","San Lorenzo",25.85
"2023-01-05",16,"PAN.2.13_1","Tolé",25.39
"2023-01-05",17,"PAN.3.1_1","Aguadulce",27.78
"2023-01-05",18,"PAN.3.2_1","Antón",25.97
"2023-01-05",19,"PAN.3.3_1","La Pintada",24.93
"2023-01-05",20,"PAN.3.4_1","Natá",26.24
"2023-01-05",21,"PAN.3.5_1","Olá",23.8
"2023-01-05",22,"PAN.3.6_1","Penonomé",25.31
"2023-01-05",23,"PAN.4.1_1","Chagres",26.57
"2023-01-05",24,"PAN.4.2_1","Colón",26.33
"2023-01-05",25,"PAN.4.3_1","Donoso",25.61
"2023-01-05",26,"PAN.4.4_1","Lago Gatún",26.48
"2023-01-05",27,"PAN.4.5_1","Portobelo",26.05
"2023-01-05",28,"PAN.4.6_1","Santa Isabel",25.77
"2023-01-05",29,"PAN.5.1_1","Chepigana",26.29
"2023-01-05",30,"PAN.5.2_1","Pinogana",25.75
"2023-01-05",31,"PAN.6.1_1","Cémaco",25.16
"2023-01-05",32,"PAN.6.2_1","Sambú",25.88
"2023-01-05",33,"PAN.7.1_1","Chitré",27.66
"2023-01-05",34,"PAN.7.2_1","Las Minas",25.1
"2023-01-05",35,"PAN.7.3_1","Los Pozos",25.08
"2023-01-05",36,"PAN.7.4_1","Ocú",26.71
"2023-01-05",37,"PAN.7.5_1","Parita",27.55
"2023-01-05",38,"PAN.7.6_1","Pesé",26.36
"2023-01-05",39,"PAN.7.7_1","Santa María",27.34
"2023-01-05",40,"PAN.8.1_1","Kuna Yala",26.35
"2023-01-05",41,"PAN.9.1_1","Guararé",26.46
"2023-01-05",42,"PAN.9.2_1","Las Tablas",26.81
"2023-01-05",43,"PAN.9.3_1","Los Santos",26.45
"2023-01-05",44,"PAN.9.4_1","Macaracas",25.48
"2023-01-05",45,"PAN.9.5_1","Pedasí",27.19
"2023-01-05",46,"PAN.9.6_1","Pocrí",27.13
"2023-01-05",47,"PAN.9.7_1","Tonosí",26.1
"2023-01-05",48,"PAN.10.1_1","Besiko",22.57
"2023-01-05",49,"PAN.10.2_1","Kankintú",22.22
"2023-01-05",50,"PAN.10.3_1","Kusapín",22.78
"2023-01-05",51,"PAN.10.4_1","Mironó",22.15
"2023-01-05",52,"PAN.10.5_1","Müna",21.71
"2023-01-05",53,"PAN.10.6_1","Nole Duima",21.9
"2023-01-05",54,"PAN.10.7_1","Ñürüm",21.92
"2023-01-05",55,"PAN.12.1_1","Balboa",27.68
"2023-01-05",56,"PAN.12.2_1","Chepo",26.24
"2023-01-05",57,"PAN.12.3_1","Chimán",26.97
"2023-01-05",58,"PAN.12.4_1","Lago Alajuela",25.9
"2023-01-05",59,"PAN.12.5_1","Lago Bayano",26.56
"2023-01-05",60,"PAN.12.6_1","Panamá",26.17
"2023-01-05",61,"PAN.12.7_1","San Miguelito",26.9
"2023-01-05",62,"PAN.11.1_1","Arraiján",27.16
"2023-01-05",63,"PAN.11.2_1","Capira",26.08
"2023-01-05",64,"PAN.11.3_1","Chame",26.59
"2023-01-05",65,"PAN.11.4_1","La Chorrera",26.66
"2023-01-05",66,"PAN.11.5_1","Lago Gatún",26.6
"2023-01-05",67,"PAN.11.6_1","San Carlos",26.57
"2023-01-05",68,"PAN.11.7_1","Taboga",27.66
"2023-01-05",69,"PAN.13.1_1","Atalaya",27.22
"2023-01-05",70,"PAN.13.2_1","Calobre",25.43
"2023-01-05",71,"PAN.13.3_1","Cañazas",23.79
"2023-01-05",72,"PAN.13.4_1","La Mesa",25.93
"2023-01-05",73,"PAN.13.5_1","Las Palmas",26.01
"2023-01-05",74,"PAN.13.6_1","Montijo",27
"2023-01-05",75,"PAN.13.7_1","Río de Jesús",27.04
"2023-01-05",76,"PAN.13.8_1","San Francisco",25.32
