"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Łódź",12.53
"2023-01-01",2,"2","Świętokrzyskie",11.33
"2023-01-01",3,"3","Greater Poland",14.2
"2023-01-01",4,"4","Kuyavian-Pomeranian",13.51
"2023-01-01",5,"5","Lesser Poland",9.73
"2023-01-01",6,"6","Lower Silesian",13.74
"2023-01-01",7,"7","Lublin",10.48
"2023-01-01",8,"8","Lubusz",15.31
"2023-01-01",9,"9","Masovian",12.53
"2023-01-01",10,"10","Opole",12.24
"2023-01-01",11,"11","Podlachian",11.35
"2023-01-01",12,"12","Pomeranian",12.43
"2023-01-01",13,"13","Silesian",10.57
"2023-01-01",14,"14","Subcarpathian",8.59
"2023-01-01",15,"15","Warmian-Masurian",12.53
"2023-01-01",16,"16","West Pomeranian",13.76
"2023-01-02",1,"1","Łódź",8.59
"2023-01-02",2,"2","Świętokrzyskie",7.15
"2023-01-02",3,"3","Greater Poland",10.28
"2023-01-02",4,"4","Kuyavian-Pomeranian",9.64
"2023-01-02",5,"5","Lesser Poland",4.8
"2023-01-02",6,"6","Lower Silesian",9.21
"2023-01-02",7,"7","Lublin",8.05
"2023-01-02",8,"8","Lubusz",11.54
"2023-01-02",9,"9","Masovian",9.22
"2023-01-02",10,"10","Opole",8.12
"2023-01-02",11,"11","Podlachian",8.4
"2023-01-02",12,"12","Pomeranian",8.54
"2023-01-02",13,"13","Silesian",7.07
"2023-01-02",14,"14","Subcarpathian",7.81
"2023-01-02",15,"15","Warmian-Masurian",8.18
"2023-01-02",16,"16","West Pomeranian",9.74
"2023-01-03",1,"1","Łódź",8.97
"2023-01-03",2,"2","Świętokrzyskie",7.71
"2023-01-03",3,"3","Greater Poland",10.04
"2023-01-03",4,"4","Kuyavian-Pomeranian",10.13
"2023-01-03",5,"5","Lesser Poland",5.87
"2023-01-03",6,"6","Lower Silesian",9.25
"2023-01-03",7,"7","Lublin",7.24
"2023-01-03",8,"8","Lubusz",9.31
"2023-01-03",9,"9","Masovian",9.78
"2023-01-03",10,"10","Opole",8.7
"2023-01-03",11,"11","Podlachian",9.66
"2023-01-03",12,"12","Pomeranian",7.61
"2023-01-03",13,"13","Silesian",6.97
"2023-01-03",14,"14","Subcarpathian",7.46
"2023-01-03",15,"15","Warmian-Masurian",9.46
"2023-01-03",16,"16","West Pomeranian",8.02
"2023-01-04",1,"1","Łódź",0.48
"2023-01-04",2,"2","Świętokrzyskie",1.46
"2023-01-04",3,"3","Greater Poland",-0.23
"2023-01-04",4,"4","Kuyavian-Pomeranian",0.13
"2023-01-04",5,"5","Lesser Poland",1.39
"2023-01-04",6,"6","Lower Silesian",0.6
"2023-01-04",7,"7","Lublin",2.43
"2023-01-04",8,"8","Lubusz",2.32
"2023-01-04",9,"9","Masovian",1.94
"2023-01-04",10,"10","Opole",1.1
"2023-01-04",11,"11","Podlachian",2.99
"2023-01-04",12,"12","Pomeranian",1.96
"2023-01-04",13,"13","Silesian",0.91
"2023-01-04",14,"14","Subcarpathian",2.84
"2023-01-04",15,"15","Warmian-Masurian",2.93
"2023-01-04",16,"16","West Pomeranian",1
"2023-01-05",1,"1","Łódź",8.48
"2023-01-05",2,"2","Świętokrzyskie",7.89
"2023-01-05",3,"3","Greater Poland",9.14
"2023-01-05",4,"4","Kuyavian-Pomeranian",8.39
"2023-01-05",5,"5","Lesser Poland",7.29
"2023-01-05",6,"6","Lower Silesian",9.32
"2023-01-05",7,"7","Lublin",6.3
"2023-01-05",8,"8","Lubusz",9.9
"2023-01-05",9,"9","Masovian",7.32
"2023-01-05",10,"10","Opole",9.14
"2023-01-05",11,"11","Podlachian",5.94
"2023-01-05",12,"12","Pomeranian",8.13
"2023-01-05",13,"13","Silesian",7.82
"2023-01-05",14,"14","Subcarpathian",6.27
"2023-01-05",15,"15","Warmian-Masurian",7.37
"2023-01-05",16,"16","West Pomeranian",8.58
"2023-01-06",1,"1","Łódź",3.04
"2023-01-06",2,"2","Świętokrzyskie",3.76
"2023-01-06",3,"3","Greater Poland",3.24
"2023-01-06",4,"4","Kuyavian-Pomeranian",1.86
"2023-01-06",5,"5","Lesser Poland",4.01
"2023-01-06",6,"6","Lower Silesian",3.81
"2023-01-06",7,"7","Lublin",3.12
"2023-01-06",8,"8","Lubusz",2.94
"2023-01-06",9,"9","Masovian",1.3
"2023-01-06",10,"10","Opole",4.71
"2023-01-06",11,"11","Podlachian",-2.2
"2023-01-06",12,"12","Pomeranian",0.63
"2023-01-06",13,"13","Silesian",4.18
"2023-01-06",14,"14","Subcarpathian",4.4
"2023-01-06",15,"15","Warmian-Masurian",-2.11
"2023-01-06",16,"16","West Pomeranian",2.16
"2023-01-07",1,"1","Łódź",5.98
"2023-01-07",2,"2","Świętokrzyskie",6.24
"2023-01-07",3,"3","Greater Poland",5.48
"2023-01-07",4,"4","Kuyavian-Pomeranian",3.83
"2023-01-07",5,"5","Lesser Poland",5.59
"2023-01-07",6,"6","Lower Silesian",6.59
"2023-01-07",7,"7","Lublin",-0.6
"2023-01-07",8,"8","Lubusz",5.91
"2023-01-07",9,"9","Masovian",0.63
"2023-01-07",10,"10","Opole",6.97
"2023-01-07",11,"11","Podlachian",-5.45
"2023-01-07",12,"12","Pomeranian",3.49
"2023-01-07",13,"13","Silesian",6.11
"2023-01-07",14,"14","Subcarpathian",3.75
"2023-01-07",15,"15","Warmian-Masurian",-2.76
"2023-01-07",16,"16","West Pomeranian",4.52
"2023-01-08",1,"1","Łódź",2.4
"2023-01-08",2,"2","Świętokrzyskie",1.67
"2023-01-08",3,"3","Greater Poland",3.58
"2023-01-08",4,"4","Kuyavian-Pomeranian",4.06
"2023-01-08",5,"5","Lesser Poland",0.94
"2023-01-08",6,"6","Lower Silesian",3.37
"2023-01-08",7,"7","Lublin",1.25
"2023-01-08",8,"8","Lubusz",4.47
"2023-01-08",9,"9","Masovian",2.96
"2023-01-08",10,"10","Opole",3.9
"2023-01-08",11,"11","Podlachian",-1.77
"2023-01-08",12,"12","Pomeranian",4.66
"2023-01-08",13,"13","Silesian",1.82
