"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Amajyaruguru",14.11
"2023-01-01",2,"2","Amajyepfo",14.71
"2023-01-01",3,"3","Iburasirazuba",17.57
"2023-01-01",4,"4","Iburengerazuba",16.11
"2023-01-01",5,"5","Umujyi wa Kigali",16.31
"2023-01-02",1,"1","Amajyaruguru",13.5
"2023-01-02",2,"2","Amajyepfo",14.1
"2023-01-02",3,"3","Iburasirazuba",16.75
"2023-01-02",4,"4","Iburengerazuba",15.78
"2023-01-02",5,"5","Umujyi wa Kigali",15.48
"2023-01-03",1,"1","Amajyaruguru",14.24
"2023-01-03",2,"2","Amajyepfo",14.49
"2023-01-03",3,"3","Iburasirazuba",17.89
"2023-01-03",4,"4","Iburengerazuba",16.01
"2023-01-03",5,"5","Umujyi wa Kigali",16.56
"2023-01-04",1,"1","Amajyaruguru",15.31
"2023-01-04",2,"2","Amajyepfo",15.3
"2023-01-04",3,"3","Iburasirazuba",18.13
"2023-01-04",4,"4","Iburengerazuba",16.19
"2023-01-04",5,"5","Umujyi wa Kigali",17.11
"2023-01-05",1,"1","Amajyaruguru",15.08
"2023-01-05",2,"2","Amajyepfo",15.8
"2023-01-05",3,"3","Iburasirazuba",18.06
"2023-01-05",4,"4","Iburengerazuba",16.72
"2023-01-05",5,"5","Umujyi wa Kigali",17.44
"2023-01-06",1,"1","Amajyaruguru",14.64
"2023-01-06",2,"2","Amajyepfo",15.58
"2023-01-06",3,"3","Iburasirazuba",17.66
"2023-01-06",4,"4","Iburengerazuba",17.06
"2023-01-06",5,"5","Umujyi wa Kigali",16.36
"2023-01-07",1,"1","Amajyaruguru",15.64
"2023-01-07",2,"2","Amajyepfo",17.51
"2023-01-07",3,"3","Iburasirazuba",18.85
"2023-01-07",4,"4","Iburengerazuba",17.54
"2023-01-07",5,"5","Umujyi wa Kigali",17.7
"2023-01-08",1,"1","Amajyaruguru",13.94
"2023-01-08",2,"2","Amajyepfo",15.06
"2023-01-08",3,"3","Iburasirazuba",17.82
"2023-01-08",4,"4","Iburengerazuba",16.3
"2023-01-08",5,"5","Umujyi wa Kigali",16.79
"2023-01-09",1,"1","Amajyaruguru",14.22
"2023-01-09",2,"2","Amajyepfo",14.36
"2023-01-09",3,"3","Iburasirazuba",17.19
"2023-01-09",4,"4","Iburengerazuba",15.67
"2023-01-09",5,"5","Umujyi wa Kigali",16.23
"2023-01-10",1,"1","Amajyaruguru",15.3
"2023-01-10",2,"2","Amajyepfo",15.41
"2023-01-10",3,"3","Iburasirazuba",17.6
"2023-01-10",4,"4","Iburengerazuba",15.53
"2023-01-10",5,"5","Umujyi wa Kigali",17.19
"2023-01-11",1,"1","Amajyaruguru",14.47
"2023-01-11",2,"2","Amajyepfo",14.34
"2023-01-11",3,"3","Iburasirazuba",17.2
"2023-01-11",4,"4","Iburengerazuba",15.32
"2023-01-11",5,"5","Umujyi wa Kigali",16.12
"2023-01-12",1,"1","Amajyaruguru",14.44
"2023-01-12",2,"2","Amajyepfo",15.08
"2023-01-12",3,"3","Iburasirazuba",17.13
"2023-01-12",4,"4","Iburengerazuba",15.52
"2023-01-12",5,"5","Umujyi wa Kigali",16.11
"2023-01-13",1,"1","Amajyaruguru",13.54
"2023-01-13",2,"2","Amajyepfo",13.66
"2023-01-13",3,"3","Iburasirazuba",16.92
"2023-01-13",4,"4","Iburengerazuba",14.8
"2023-01-13",5,"5","Umujyi wa Kigali",15.54
"2023-01-14",1,"1","Amajyaruguru",13.68
"2023-01-14",2,"2","Amajyepfo",14.72
"2023-01-14",3,"3","Iburasirazuba",17.69
"2023-01-14",4,"4","Iburengerazuba",14.67
"2023-01-14",5,"5","Umujyi wa Kigali",16.78
"2023-01-15",1,"1","Amajyaruguru",16.02
"2023-01-15",2,"2","Amajyepfo",16.43
"2023-01-15",3,"3","Iburasirazuba",18.69
"2023-01-15",4,"4","Iburengerazuba",16.44
"2023-01-15",5,"5","Umujyi wa Kigali",18.19
"2023-01-16",1,"1","Amajyaruguru",13.8
"2023-01-16",2,"2","Amajyepfo",13.78
"2023-01-16",3,"3","Iburasirazuba",16.8
"2023-01-16",4,"4","Iburengerazuba",15.48
"2023-01-16",5,"5","Umujyi wa Kigali",15.06
"2023-01-17",1,"1","Amajyaruguru",14.58
"2023-01-17",2,"2","Amajyepfo",15.36
"2023-01-17",3,"3","Iburasirazuba",18.32
"2023-01-17",4,"4","Iburengerazuba",16.24
"2023-01-17",5,"5","Umujyi wa Kigali",17.43
"2023-01-18",1,"1","Amajyaruguru",14.47
"2023-01-18",2,"2","Amajyepfo",16.17
"2023-01-18",3,"3","Iburasirazuba",17.58
"2023-01-18",4,"4","Iburengerazuba",16.05
"2023-01-18",5,"5","Umujyi wa Kigali",18.35
"2023-01-19",1,"1","Amajyaruguru",15.19
"2023-01-19",2,"2","Amajyepfo",15.76
"2023-01-19",3,"3","Iburasirazuba",17.7
"2023-01-19",4,"4","Iburengerazuba",15.8
"2023-01-19",5,"5","Umujyi wa Kigali",17.41
"2023-01-20",1,"1","Amajyaruguru",16.15
"2023-01-20",2,"2","Amajyepfo",15.95
"2023-01-20",3,"3","Iburasirazuba",19.2
"2023-01-20",4,"4","Iburengerazuba",15.9
"2023-01-20",5,"5","Umujyi wa Kigali",19.22
"2023-01-21",1,"1","Amajyaruguru",15.23
"2023-01-21",2,"2","Amajyepfo",16.51
"2023-01-21",3,"3","Iburasirazuba",19.75
"2023-01-21",4,"4","Iburengerazuba",16.85
"2023-01-21",5,"5","Umujyi wa Kigali",17.96
"2023-01-22",1,"1","Amajyaruguru",13.77
"2023-01-22",2,"2","Amajyepfo",14.74
"2023-01-22",3,"3","Iburasirazuba",17.22
"2023-01-22",4,"4","Iburengerazuba",15.22
"2023-01-22",5,"5","Umujyi wa Kigali",15.69
"2023-01-23",1,"1","Amajyaruguru",13.84
"2023-01-23",2,"2","Amajyepfo",15.22
